,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.67,0.68,0.71,0.66,0.68,311.00,658.00,323.00,"{'0': {'precision': 0.7131474103585658, 'recall': 0.5755627009646302, 'f1-score': 0.6370106761565837, 'support': 311}, '1': {'precision': 0.6552567237163814, 'recall': 0.8145896656534954, 'f1-score': 0.7262872628726288, 'support': 658}, '2': {'precision': 0.6816143497757847, 'recall': 0.47058823529411764, 'f1-score': 0.5567765567765568, 'support': 323}, 'micro avg': {'precision': 0.6710526315789473, 'recall': 0.6710526315789473, 'f1-score': 0.6710526315789473, 'support': 1292}, 'macro avg': {'precision': 0.6833394946169106, 'recall': 0.6202468673040812, 'f1-score': 0.6400248319352564, 'support': 1292}, 'weighted avg': {'precision': 0.6757811174957209, 'recall': 0.6710526315789473, 'f1-score': 0.6624196339734637, 'support': 1292}}",5.17
1,clf,svc-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,0.26,0.00,0.51,0.00,311.00,658.00,323.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 311}, '1': {'precision': 0.5092879256965944, 'recall': 1.0, 'f1-score': 0.6748717948717948, 'support': 658}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 323}, 'micro avg': {'precision': 0.5092879256965944, 'recall': 0.5092879256965944, 'f1-score': 0.5092879256965944, 'support': 1292}, 'macro avg': {'precision': 0.1697626418988648, 'recall': 0.3333333333333333, 'f1-score': 0.22495726495726495, 'support': 1292}, 'weighted avg': {'precision': 0.2593741912603399, 'recall': 0.5092879256965944, 'f1-score': 0.34370405652139396, 'support': 1292}}",7.63
2,clf,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,0.70,0.73,0.71,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7312925170068028, 'recall': 0.6913183279742765, 'f1-score': 0.7107438016528925, 'support': 311}, '1': {'precision': 0.7099697885196374, 'recall': 0.7142857142857143, 'f1-score': 0.7121212121212123, 'support': 658}, '2': {'precision': 0.6458333333333334, 'recall': 0.6718266253869969, 'f1-score': 0.6585735963581184, 'support': 323}, 'micro avg': {'precision': 0.6981424148606811, 'recall': 0.6981424148606811, 'f1-score': 0.6981424148606811, 'support': 1292}, 'macro avg': {'precision': 0.6956985462865912, 'recall': 0.6924768892156626, 'f1-score': 0.6938128700440744, 'support': 1292}, 'weighted avg': {'precision': 0.6990683129270154, 'recall': 0.6981424148606811, 'f1-score': 0.6984027488494423, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 10}",0.69,0.69,0.72,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7194244604316546, 'recall': 0.6430868167202572, 'f1-score': 0.6791171477079796, 'support': 311}, '1': {'precision': 0.6880108991825613, 'recall': 0.7674772036474165, 'f1-score': 0.7255747126436781, 'support': 658}, '2': {'precision': 0.6857142857142857, 'recall': 0.5944272445820433, 'f1-score': 0.6368159203980099, 'support': 323}, 'micro avg': {'precision': 0.6942724458204335, 'recall': 0.6942724458204335, 'f1-score': 0.6942724458204335, 'support': 1292}, 'macro avg': {'precision': 0.6977165484428339, 'recall': 0.6683304216499056, 'f1-score': 0.6805025935832226, 'support': 1292}, 'weighted avg': {'precision': 0.6949983693050188, 'recall': 0.6942724458204335, 'f1-score': 0.6922021177595039, 'support': 1292}}",16.32
4,clf,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 100},0.70,0.70,0.72,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7198581560283688, 'recall': 0.6527331189710611, 'f1-score': 0.6846543001686342, 'support': 311}, '1': {'precision': 0.6895604395604396, 'recall': 0.7629179331306991, 'f1-score': 0.7243867243867245, 'support': 658}, '2': {'precision': 0.6914893617021277, 'recall': 0.6037151702786377, 'f1-score': 0.6446280991735538, 'support': 323}, 'micro avg': {'precision': 0.6965944272445821, 'recall': 0.6965944272445821, 'f1-score': 0.6965944272445821, 'support': 1292}, 'macro avg': {'precision': 0.7003026524303121, 'recall': 0.6731220741267993, 'f1-score': 0.6845563745763042, 'support': 1292}, 'weighted avg': {'precision': 0.6973356962735132, 'recall': 0.6965944272445821, 'f1-score': 0.6948829938327924, 'support': 1292}}",0.81
5,clf,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.70,0.70,0.74,0.69,0.69,311.00,658.00,323.00,"{'0': {'precision': 0.7352941176470589, 'recall': 0.6430868167202572, 'f1-score': 0.6861063464837049, 'support': 311}, '1': {'precision': 0.6912568306010929, 'recall': 0.7689969604863222, 'f1-score': 0.7280575539568346, 'support': 658}, '2': {'precision': 0.6909722222222222, 'recall': 0.6160990712074303, 'f1-score': 0.6513911620294598, 'support': 323}, 'micro avg': {'precision': 0.7004643962848297, 'recall': 0.7004643962848297, 'f1-score': 0.7004643962848297, 'support': 1292}, 'macro avg': {'precision': 0.705841056823458, 'recall': 0.6760609494713367, 'f1-score': 0.6885183541566664, 'support': 1292}, 'weighted avg': {'precision': 0.7017859852179043, 'recall': 0.7004643962848297, 'f1-score': 0.6987927938046012, 'support': 1292}}",2.12
6,clf,ada,basic,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,0.68,0.70,0.69,0.65,311.00,658.00,323.00,"{'0': {'precision': 0.7031802120141343, 'recall': 0.639871382636656, 'f1-score': 0.67003367003367, 'support': 311}, '1': {'precision': 0.6902654867256637, 'recall': 0.7112462006079028, 'f1-score': 0.7005988023952097, 'support': 658}, '2': {'precision': 0.649546827794562, 'recall': 0.6656346749226006, 'f1-score': 0.6574923547400613, 'support': 323}, 'micro avg': {'precision': 0.6826625386996904, 'recall': 0.6826625386996904, 'f1-score': 0.6826625386996904, 'support': 1292}, 'macro avg': {'precision': 0.6809975088447867, 'recall': 0.6722507527223865, 'f1-score': 0.6760416090563136, 'support': 1292}, 'weighted avg': {'precision': 0.6831945523061347, 'recall': 0.6826625386996904, 'f1-score': 0.6824647940693181, 'support': 1292}}",0.66
0,reg,kn,basic,ALL_NO_1_1_1,30_60,included,basic,18.87,{'n_neighbors': 11},,,,,,,,,19.07,4.83
1,reg,svr-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,26.11,"{'C': 1, 'gamma': 1}",,,,,,,,,26.46,5.61
2,reg,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,15.82,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,15.52,0.48
