,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
5,clf,gboosting,max,all,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 100},0.78,0.76,0.79,0.66,953.00,339.00,"{'0': {'precision': 0.7920704845814978, 'recall': 0.9433368310598111, 'f1-score': 0.861111111111111, 'support': 953}, '1': {'precision': 0.6560509554140127, 'recall': 0.30383480825958703, 'f1-score': 0.4153225806451613, 'support': 339}, 'micro avg': {'precision': 0.7755417956656346, 'recall': 0.7755417956656346, 'f1-score': 0.7755417956656346, 'support': 1292}, 'macro avg': {'precision': 0.7240607199977552, 'recall': 0.6235858196596991, 'f1-score': 0.6382168458781362, 'support': 1292}, 'weighted avg': {'precision': 0.7563811499160353, 'recall': 0.7755417956656346, 'f1-score': 0.7441433774981412, 'support': 1292}}",0.55
6,clf,ada,max,all,ALL_NO_3_2_1,0_30,included,basic,0.77,{'n_estimators': 10},0.77,0.75,0.80,0.60,953.00,339.00,"{'0': {'precision': 0.8029602220166513, 'recall': 0.9108079748163693, 'f1-score': 0.8534906588003933, 'support': 953}, '1': {'precision': 0.5971563981042654, 'recall': 0.37168141592920356, 'f1-score': 0.4581818181818182, 'support': 339}, 'micro avg': {'precision': 0.7693498452012384, 'recall': 0.7693498452012384, 'f1-score': 0.7693498452012384, 'support': 1292}, 'macro avg': {'precision': 0.7000583100604583, 'recall': 0.6412446953727864, 'f1-score': 0.6558362384911057, 'support': 1292}, 'weighted avg': {'precision': 0.7489606118724571, 'recall': 0.7693498452012384, 'f1-score': 0.7497679831272532, 'support': 1292}}",0.57
0,reg,kn,max,all,ALL_NO_3_2_1,0_30,included,basic,11.75,{'n_neighbors': 21},,,,,,,12.25,2.02
1,reg,svr-rbf,max,all,ALL_NO_3_2_1,0_30,included,basic,13.63,"{'C': 5, 'gamma': 1}",,,,,,,14.43,5.33
2,reg,dtree,max,all,ALL_NO_3_2_1,0_30,included,basic,11.55,"{'max_depth': 5, 'min_samples_leaf': 30}",,,,,,,11.83,0.35
3,reg,rforest,max,all,ALL_NO_3_2_1,0_30,included,basic,11.20,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,11.49,33.34
4,reg,xgb,max,all,ALL_NO_3_2_1,0_30,included,basic,11.18,{'n_estimators': 50},,,,,,,11.46,0.23
5,reg,gboosting,max,all,ALL_NO_3_2_1,0_30,included,basic,11.17,{'n_estimators': 50},,,,,,,11.51,0.45
6,reg,ada,max,all,ALL_NO_3_2_1,0_30,included,basic,12.44,{'n_estimators': 10},,,,,,,12.61,0.40
0,clf,kn,min,all,ALL_NO_3_2_1,0_30,included,basic,0.76,{'n_neighbors': 31},0.76,0.74,0.78,0.62,957.00,335.00,"{'0': {'precision': 0.7789203084832905, 'recall': 0.9498432601880877, 'f1-score': 0.8559322033898304, 'support': 957}, '1': {'precision': 0.616, 'recall': 0.2298507462686567, 'f1-score': 0.3347826086956522, 'support': 335}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6974601542416452, 'recall': 0.5898470032283722, 'f1-score': 0.5953574060427413, 'support': 1292}, 'weighted avg': {'precision': 0.7366770396428088, 'recall': 0.7631578947368421, 'f1-score': 0.7208044060039561, 'support': 1292}}",2.40
