,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 41},0.58,0.60,0.58,0.56,0.69,314.00,619.00,359.00,"{'0': {'precision': 0.5810055865921788, 'recall': 0.33121019108280253, 'f1-score': 0.4219066937119676, 'support': 314}, '1': {'precision': 0.5554371002132196, 'recall': 0.8416801292407108, 'f1-score': 0.6692357096981374, 'support': 619}, '2': {'precision': 0.6857142857142857, 'recall': 0.3342618384401114, 'f1-score': 0.44943820224719094, 'support': 359}, 'micro avg': {'precision': 0.576625386996904, 'recall': 0.576625386996904, 'f1-score': 0.576625386996904, 'support': 1292}, 'macro avg': {'precision': 0.6073856575065614, 'recall': 0.5023840529212082, 'f1-score': 0.513526868552432, 'support': 1292}, 'weighted avg': {'precision': 0.5978504239886654, 'recall': 0.576625386996904, 'f1-score': 0.5480525702286736, 'support': 1292}}",5.71
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_240,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,314.00,619.00,359.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 314}, '1': {'precision': 0.4791021671826625, 'recall': 1.0, 'f1-score': 0.6478283621140764, 'support': 619}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 359}, 'micro avg': {'precision': 0.4791021671826625, 'recall': 0.4791021671826625, 'f1-score': 0.4791021671826625, 'support': 1292}, 'macro avg': {'precision': 0.15970072239422084, 'recall': 0.3333333333333333, 'f1-score': 0.21594278737135877, 'support': 1292}, 'weighted avg': {'precision': 0.22953888659912391, 'recall': 0.4791021671826625, 'f1-score': 0.3103759722512487, 'support': 1292}}",8.05
2,clf,dtree,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,"{'max_depth': 4, 'min_samples_leaf': 150}",0.62,0.63,0.66,0.59,0.68,314.00,619.00,359.00,"{'0': {'precision': 0.6556603773584906, 'recall': 0.4426751592356688, 'f1-score': 0.5285171102661597, 'support': 314}, '1': {'precision': 0.5882352941176471, 'recall': 0.8077544426494345, 'f1-score': 0.6807351940095302, 'support': 619}, '2': {'precision': 0.6782608695652174, 'recall': 0.43454038997214484, 'f1-score': 0.5297113752122241, 'support': 359}, 'micro avg': {'precision': 0.6153250773993808, 'recall': 0.6153250773993808, 'f1-score': 0.6153250773993808, 'support': 1292}, 'macro avg': {'precision': 0.640718847013785, 'recall': 0.561656663952416, 'f1-score': 0.5796545598293047, 'support': 1292}, 'weighted avg': {'precision': 0.6296367319839804, 'recall': 0.6153250773993808, 'f1-score': 0.6017769670407599, 'support': 1292}}",0.47
3,clf,rforest,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,"{'max_depth': 7, 'min_samples_leaf': 30, 'n_estimators': 10}",0.60,0.61,0.63,0.58,0.65,314.00,619.00,359.00,"{'0': {'precision': 0.6328502415458938, 'recall': 0.4171974522292994, 'f1-score': 0.5028790786948177, 'support': 314}, '1': {'precision': 0.5787037037037037, 'recall': 0.8077544426494345, 'f1-score': 0.6743088334457181, 'support': 619}, '2': {'precision': 0.6515837104072398, 'recall': 0.4011142061281337, 'f1-score': 0.496551724137931, 'support': 359}, 'micro avg': {'precision': 0.5998452012383901, 'recall': 0.5998452012383901, 'f1-score': 0.5998452012383901, 'support': 1292}, 'macro avg': {'precision': 0.6210458852189458, 'recall': 0.5420220336689558, 'f1-score': 0.5579132120928224, 'support': 1292}, 'weighted avg': {'precision': 0.61211387033607, 'recall': 0.5998452012383901, 'f1-score': 0.5832533030794037, 'support': 1292}}",17.65
4,clf,xgb,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 50},0.61,0.62,0.61,0.60,0.66,314.00,619.00,359.00,"{'0': {'precision': 0.6137339055793991, 'recall': 0.4554140127388535, 'f1-score': 0.5228519195612431, 'support': 314}, '1': {'precision': 0.5958230958230958, 'recall': 0.7835218093699515, 'f1-score': 0.6769016050244243, 'support': 619}, '2': {'precision': 0.6571428571428571, 'recall': 0.44846796657381616, 'f1-score': 0.533112582781457, 'support': 359}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.622233286181784, 'recall': 0.5624679295608738, 'f1-score': 0.5776220357890415, 'support': 1292}, 'weighted avg': {'precision': 0.6172145730500878, 'recall': 0.6106811145510835, 'f1-score': 0.5995085243582756, 'support': 1292}}",0.81
5,clf,gboosting,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 10},0.62,0.63,0.65,0.59,0.68,314.00,619.00,359.00,"{'0': {'precision': 0.6456310679611651, 'recall': 0.42356687898089174, 'f1-score': 0.5115384615384616, 'support': 314}, '1': {'precision': 0.5909090909090909, 'recall': 0.8190630048465266, 'f1-score': 0.6865267433987814, 'support': 619}, '2': {'precision': 0.6842105263157895, 'recall': 0.43454038997214484, 'f1-score': 0.5315161839863715, 'support': 359}, 'micro avg': {'precision': 0.6160990712074303, 'recall': 0.6160990712074303, 'f1-score': 0.6160990712074303, 'support': 1292}, 'macro avg': {'precision': 0.6402502283953485, 'recall': 0.5590567579331878, 'f1-score': 0.5765271296412048, 'support': 1292}, 'weighted avg': {'precision': 0.6301334841794903, 'recall': 0.6160990712074303, 'f1-score': 0.6009268120263389, 'support': 1292}}",2.31
6,clf,ada,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,{'n_estimators': 10},0.61,0.62,0.66,0.59,0.63,314.00,619.00,359.00,"{'0': {'precision': 0.6587677725118484, 'recall': 0.4426751592356688, 'f1-score': 0.5295238095238096, 'support': 314}, '1': {'precision': 0.5905707196029777, 'recall': 0.7689822294022617, 'f1-score': 0.6680701754385965, 'support': 619}, '2': {'precision': 0.6327272727272727, 'recall': 0.48467966573816157, 'f1-score': 0.5488958990536278, 'support': 359}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.6273552549473663, 'recall': 0.5654456847920307, 'f1-score': 0.5821632946720113, 'support': 1292}, 'weighted avg': {'precision': 0.6188587050402898, 'recall': 0.6106811145510835, 'f1-score': 0.601284475655743, 'support': 1292}}",0.71
0,reg,kn,basic,ALL_NO_1_1_1,60_240,included,basic,36.22,{'n_neighbors': 11},,,,,,,,,36.68,5.71
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_240,included,basic,42.06,"{'C': 3, 'gamma': 1}",,,,,,,,,42.42,5.69
2,reg,dtree,basic,ALL_NO_1_1_1,60_240,included,basic,33.89,"{'max_depth': 4, 'min_samples_leaf': 20}",,,,,,,,,33.49,0.48
