,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
6,clf,ada,basic,ALL_YES_3_2_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[54.22222222222222, 77.49469214437367, 60.18099547511312]","[225, 471, 221]",917,0.48
0,clf,kn,all,ALL_YES_3_2_1,30_60,included,basic,0.70,{'n_neighbors': 31},0.68,"[48.44444444444444, 90.02123142250531, 42.53393665158371]","[225, 471, 221]",917,2.22
1,clf,svc-rbf,all,ALL_YES_3_2_1,30_60,included,basic,0.53,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[225, 471, 221]",917,3.80
2,clf,dtree,all,ALL_YES_3_2_1,30_60,included,basic,0.70,"{'max_depth': 5, 'min_samples_leaf': 100}",0.68,"[51.111111111111114, 84.50106157112526, 50.678733031674206]","[225, 471, 221]",917,0.28
3,clf,rforest,all,ALL_YES_3_2_1,30_60,included,basic,0.71,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 100}",0.69,"[52.44444444444444, 85.98726114649682, 48.86877828054298]","[225, 471, 221]",917,10.84
4,clf,xgb,all,ALL_YES_3_2_1,30_60,included,basic,0.71,{'n_estimators': 100},0.68,"[56.44444444444444, 80.89171974522293, 53.39366515837104]","[225, 471, 221]",917,1.23
5,clf,gboosting,all,ALL_YES_3_2_1,30_60,included,basic,0.71,{'n_estimators': 50},0.68,"[57.333333333333336, 79.40552016985139, 56.56108597285068]","[225, 471, 221]",917,1.58
6,clf,ada,all,ALL_YES_3_2_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[54.22222222222222, 77.49469214437367, 60.18099547511312]","[225, 471, 221]",917,0.47
0,clf,kn,basic,High_NO_1_1_1,30_60,included,basic,0.65,{'n_neighbors': 21},0.65,"[63.31360946745562, 77.18446601941747, 48.83720930232558]","[169, 206, 129]",504,0.29
1,clf,svc-rbf,basic,High_NO_1_1_1,30_60,included,basic,0.42,"{'C': 1, 'gamma': 1}",0.41,"[0.0, 100.0, 0.0]","[169, 206, 129]",504,0.83
2,clf,dtree,basic,High_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.68,"[75.7396449704142, 64.07766990291262, 64.34108527131782]","[169, 206, 129]",504,0.12
3,clf,rforest,basic,High_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.68,"[69.8224852071006, 71.84466019417475, 58.91472868217054]","[169, 206, 129]",504,7.32
4,clf,xgb,basic,High_NO_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.68,"[71.59763313609467, 69.41747572815534, 62.7906976744186]","[169, 206, 129]",504,0.53
5,clf,gboosting,basic,High_NO_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.67,"[73.37278106508876, 65.53398058252426, 60.46511627906977]","[169, 206, 129]",504,0.81
6,clf,ada,basic,High_NO_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.68,"[69.23076923076923, 67.47572815533981, 67.44186046511628]","[169, 206, 129]",504,0.30
0,clf,kn,all,High_NO_1_1_1,30_60,included,basic,0.66,{'n_neighbors': 11},0.64,"[68.63905325443787, 71.35922330097087, 47.286821705426355]","[169, 206, 129]",504,0.33
1,clf,svc-rbf,all,High_NO_1_1_1,30_60,included,basic,0.42,"{'C': 1, 'gamma': 1}",0.41,"[0.0, 100.0, 0.0]","[169, 206, 129]",504,0.88
2,clf,dtree,all,High_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.68,"[75.7396449704142, 64.07766990291262, 64.34108527131782]","[169, 206, 129]",504,0.14
3,clf,rforest,all,High_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 200}",0.68,"[72.18934911242603, 71.35922330097087, 56.58914728682171]","[169, 206, 129]",504,6.82
4,clf,xgb,all,High_NO_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.69,"[72.18934911242603, 68.93203883495146, 64.34108527131782]","[169, 206, 129]",504,0.52
5,clf,gboosting,all,High_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.68,"[72.7810650887574, 66.99029126213593, 62.7906976744186]","[169, 206, 129]",504,0.84
6,clf,ada,all,High_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[69.23076923076923, 69.90291262135922, 65.11627906976744]","[169, 206, 129]",504,0.29
0,clf,kn,basic,High_YES_1_1_1,30_60,included,basic,0.69,{'n_neighbors': 31},0.67,"[60.3448275862069, 83.33333333333333, 49.549549549549546]","[116, 162, 111]",389,0.22
1,clf,svc-rbf,basic,High_YES_1_1_1,30_60,included,basic,0.46,"{'C': 1, 'gamma': 1}",0.42,"[0.0, 100.0, 0.0]","[116, 162, 111]",389,0.44
2,clf,dtree,basic,High_YES_1_1_1,30_60,included,basic,0.69,"{'max_depth': 4, 'min_samples_leaf': 20}",0.69,"[54.310344827586206, 79.01234567901234, 69.36936936936937]","[116, 162, 111]",389,0.08
3,clf,rforest,basic,High_YES_1_1_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.68,"[66.37931034482759, 76.54320987654322, 58.55855855855856]","[116, 162, 111]",389,5.19
4,clf,xgb,basic,High_YES_1_1_1,30_60,included,basic,0.69,{'n_estimators': 100},0.64,"[62.93103448275862, 67.28395061728395, 61.26126126126126]","[116, 162, 111]",389,0.37
5,clf,gboosting,basic,High_YES_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.67,"[64.65517241379311, 75.92592592592592, 56.75675675675676]","[116, 162, 111]",389,0.57
6,clf,ada,basic,High_YES_1_1_1,30_60,included,basic,0.68,{'n_estimators': 10},0.67,"[77.58620689655173, 63.58024691358025, 59.45945945945946]","[116, 162, 111]",389,0.22
0,clf,kn,all,High_YES_1_1_1,30_60,included,basic,0.69,{'n_neighbors': 21},0.68,"[60.3448275862069, 83.95061728395062, 51.351351351351354]","[116, 162, 111]",389,0.25
1,clf,svc-rbf,all,High_YES_1_1_1,30_60,included,basic,0.46,"{'C': 1, 'gamma': 1}",0.42,"[0.0, 100.0, 0.0]","[116, 162, 111]",389,0.47
2,clf,dtree,all,High_YES_1_1_1,30_60,included,basic,0.68,"{'max_depth': 2, 'min_samples_leaf': 200}",0.68,"[75.0, 62.96296296296296, 69.36936936936937]","[116, 162, 111]",389,0.09
3,clf,rforest,all,High_YES_1_1_1,30_60,included,basic,0.70,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.67,"[59.48275862068966, 80.24691358024691, 54.95495495495496]","[116, 162, 111]",389,5.42
4,clf,xgb,all,High_YES_1_1_1,30_60,included,basic,0.70,{'n_estimators': 10},0.67,"[62.93103448275862, 76.54320987654322, 56.75675675675676]","[116, 162, 111]",389,0.40
5,clf,gboosting,all,High_YES_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[65.51724137931035, 76.54320987654322, 56.75675675675676]","[116, 162, 111]",389,0.60
6,clf,ada,all,High_YES_1_1_1,30_60,included,basic,0.68,{'n_estimators': 10},0.65,"[75.0, 64.19753086419753, 56.75675675675676]","[116, 162, 111]",389,0.23
