,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_240_after,direction_agg_0_240_after
28,2007-02-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,6,0,1,9,-9,13,2,5,2,5,8,7,5,5,8,18,7,20,11,21,-14,8,1
29,2007-02-07 10:30:00,18,-2.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,4,1,9,-4,5,-1,6,-1,8,5,19,7,20,10,22,8,-3,1
30,2007-02-07 15:00:00,12,-1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,6,0,5,0,4,0,5,-3,5,0,10,-2,11,5,15,-11,14,1
31,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,0,18,-2,12,9,5,8,12,-2,7,2,30,20,38,22,22,10,35,2
32,2007-02-08 10:00:00,31,-1.1,0,-0.2,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,5,3,6,0,5,4,7,10,5,9,21,7,25,20,19,1,15,1
33,2007-02-08 10:30:00,46,-5.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-2,6,-1,12,5,7,8,6,12,7,13,22,8,24,12,15,8,9,1
34,2007-02-12 14:00:00,25,-1.8,0,0.0,0,1,0,0,1,0,0,0,0,1,2007,7,0,1,5,1,5,-1,5,1,6,2,4,3,4,3,11,4,11,1,13,-8,4,1
35,2007-02-13 08:30:00,68,-1.7,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,7,1,1,12,2,17,17,9,15,7,9,3,11,7,6,23,1,28,-9,23,13,0,1
36,2007-02-13 10:00:00,37,-1.3,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,0,6,0,4,-4,5,-1,4,1,4,2,14,-4,14,-10,18,-7,6,1
37,2007-02-14 10:00:00,5,-0.2,0,-0.2,0,0,1,0,0,1,0,0,0,1,2007,7,2,1,36,33,12,33,10,39,10,47,11,40,5,40,50,36,50,33,46,3,20,2
38,2007-02-14 10:30:00,18,-0.4,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-5,5,-4,4,-7,4,-3,7,-8,10,-15,20,-11,21,-16,60,46,-20,0
39,2007-02-15 09:00:00,66,-44.4,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,7,3,1,18,17,19,32,11,26,10,34,10,34,8,27,35,11,35,12,28,6,-5,1
40,2007-02-15 10:30:00,46,-0.52,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,14,4,13,11,17,28,-6,9,-5,5,-2,33,-11,33,-7,17,-12,-9,1
41,2007-02-15 12:00:00,53,-2.9,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,7,3,1,10,9,8,8,10,0,5,2,9,8,7,4,16,2,21,-4,18,-1,3,1
