,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
5,clf,gboosting,all,ALL_YES_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.66,"[48.275862068965516, 82.2265625, 44.554455445544555]","[203, 512, 202]",917,1.59
6,clf,ada,all,ALL_YES_3_2_1,30_90,included,basic,0.64,{'n_estimators': 10},0.65,"[51.23152709359606, 79.6875, 43.06930693069307]","[203, 512, 202]",917,0.46
0,clf,kn,basic,High_NO_1_1_1,30_90,included,basic,0.59,{'n_neighbors': 11},0.58,"[55.27950310559006, 73.93364928909952, 34.84848484848485]","[161, 211, 132]",504,0.28
1,clf,svc-rbf,basic,High_NO_1_1_1,30_90,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.42,"[0.0, 100.0, 0.0]","[161, 211, 132]",504,0.84
2,clf,dtree,basic,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 2, 'min_samples_leaf': 250}",0.61,"[67.0807453416149, 68.24644549763033, 40.90909090909091]","[161, 211, 132]",504,0.12
3,clf,rforest,basic,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.61,"[60.24844720496895, 71.09004739336493, 46.21212121212121]","[161, 211, 132]",504,7.38
4,clf,xgb,basic,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.61,"[60.869565217391305, 70.14218009478672, 47.72727272727273]","[161, 211, 132]",504,0.53
5,clf,gboosting,basic,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.62,"[60.24844720496895, 73.45971563981043, 46.21212121212121]","[161, 211, 132]",504,0.80
6,clf,ada,basic,High_NO_1_1_1,30_90,included,basic,0.62,{'n_estimators': 10},0.60,"[67.0807453416149, 69.66824644549763, 35.60606060606061]","[161, 211, 132]",504,0.29
0,clf,kn,all,High_NO_1_1_1,30_90,included,basic,0.59,{'n_neighbors': 11},0.57,"[55.27950310559006, 72.51184834123222, 32.57575757575758]","[161, 211, 132]",504,0.33
1,clf,svc-rbf,all,High_NO_1_1_1,30_90,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.42,"[0.0, 100.0, 0.0]","[161, 211, 132]",504,0.89
2,clf,dtree,all,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 2, 'min_samples_leaf': 250}",0.61,"[67.0807453416149, 68.24644549763033, 40.90909090909091]","[161, 211, 132]",504,0.14
3,clf,rforest,all,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 6, 'min_samples_leaf': 100, 'n_estimators': 10}",0.61,"[59.006211180124225, 73.45971563981043, 42.42424242424242]","[161, 211, 132]",504,6.83
4,clf,xgb,all,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.61,"[59.62732919254658, 69.66824644549763, 46.96969696969697]","[161, 211, 132]",504,0.51
5,clf,gboosting,all,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 50},0.60,"[60.869565217391305, 67.29857819905213, 47.72727272727273]","[161, 211, 132]",504,0.86
6,clf,ada,all,High_NO_1_1_1,30_90,included,basic,0.61,{'n_estimators': 10},0.60,"[67.70186335403727, 69.66824644549763, 35.60606060606061]","[161, 211, 132]",504,0.29
0,clf,kn,basic,High_YES_1_1_1,30_90,included,basic,0.62,{'n_neighbors': 71},0.59,"[43.11926605504587, 84.18079096045197, 33.00970873786408]","[109, 177, 103]",389,0.22
1,clf,svc-rbf,basic,High_YES_1_1_1,30_90,included,basic,0.48,"{'C': 1, 'gamma': 1}",0.46,"[0.0, 100.0, 0.0]","[109, 177, 103]",389,0.45
2,clf,dtree,basic,High_YES_1_1_1,30_90,included,basic,0.63,"{'max_depth': 2, 'min_samples_leaf': 200}",0.60,"[37.61467889908257, 85.87570621468926, 39.80582524271845]","[109, 177, 103]",389,0.08
3,clf,rforest,basic,High_YES_1_1_1,30_90,included,basic,0.63,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.60,"[48.62385321100918, 79.66101694915254, 36.89320388349515]","[109, 177, 103]",389,5.24
4,clf,xgb,basic,High_YES_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.60,"[46.788990825688074, 81.35593220338983, 36.89320388349515]","[109, 177, 103]",389,0.35
5,clf,gboosting,basic,High_YES_1_1_1,30_90,included,basic,0.62,{'n_estimators': 50},0.59,"[53.211009174311926, 72.31638418079096, 41.74757281553398]","[109, 177, 103]",389,0.58
6,clf,ada,basic,High_YES_1_1_1,30_90,included,basic,0.60,{'n_estimators': 10},0.59,"[55.04587155963303, 70.05649717514125, 43.689320388349515]","[109, 177, 103]",389,0.23
0,clf,kn,all,High_YES_1_1_1,30_90,included,basic,0.62,{'n_neighbors': 31},0.59,"[44.03669724770642, 82.48587570621469, 33.980582524271846]","[109, 177, 103]",389,0.24
1,clf,svc-rbf,all,High_YES_1_1_1,30_90,included,basic,0.48,"{'C': 1, 'gamma': 1}",0.46,"[0.0, 100.0, 0.0]","[109, 177, 103]",389,0.48
2,clf,dtree,all,High_YES_1_1_1,30_90,included,basic,0.63,"{'max_depth': 2, 'min_samples_leaf': 200}",0.60,"[37.61467889908257, 85.87570621468926, 39.80582524271845]","[109, 177, 103]",389,0.09
3,clf,rforest,all,High_YES_1_1_1,30_90,included,basic,0.63,"{'max_depth': 5, 'min_samples_leaf': 20, 'n_estimators': 10}",0.62,"[50.45871559633027, 81.92090395480226, 39.80582524271845]","[109, 177, 103]",389,5.45
4,clf,xgb,all,High_YES_1_1_1,30_90,included,basic,0.62,{'n_estimators': 50},0.60,"[51.37614678899082, 75.70621468926554, 41.74757281553398]","[109, 177, 103]",389,0.41
5,clf,gboosting,all,High_YES_1_1_1,30_90,included,basic,0.62,{'n_estimators': 10},0.60,"[49.54128440366973, 80.7909604519774, 36.89320388349515]","[109, 177, 103]",389,0.60
6,clf,ada,all,High_YES_1_1_1,30_90,included,basic,0.60,{'n_estimators': 10},0.59,"[55.04587155963303, 70.05649717514125, 43.689320388349515]","[109, 177, 103]",389,0.22
