,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,0_30,included,basic,0.55,{'n_neighbors': 61},0.54,0.51,0.41,0.56,0.50,303.00,686.00,303.00,"{'0': {'precision': 0.41304347826086957, 'recall': 0.1254125412541254, 'f1-score': 0.1924050632911392, 'support': 303}, '1': {'precision': 0.5558419243986255, 'recall': 0.9431486880466472, 'f1-score': 0.6994594594594594, 'support': 686}, '2': {'precision': 0.5, 'recall': 0.0594059405940594, 'f1-score': 0.10619469026548671, 'support': 303}, 'micro avg': {'precision': 0.5441176470588235, 'recall': 0.5441176470588235, 'f1-score': 0.5441176470588235, 'support': 1292}, 'macro avg': {'precision': 0.489628467553165, 'recall': 0.3759890566316107, 'f1-score': 0.33268640433869506, 'support': 1292}, 'weighted avg': {'precision': 0.5092567601010067, 'recall': 0.5441176470588235, 'f1-score': 0.44141247253625915, 'support': 1292}}",1.86
1,clf,svc-rbf,basic,ALL_NO_1_1_1,0_30,included,basic,0.55,"{'C': 1, 'gamma': 1}",0.53,0.28,0.00,0.53,0.00,303.00,686.00,303.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, '1': {'precision': 0.5309597523219814, 'recall': 1.0, 'f1-score': 0.6936299292214358, 'support': 686}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 303}, 'micro avg': {'precision': 0.5309597523219814, 'recall': 0.5309597523219814, 'f1-score': 0.5309597523219814, 'support': 1292}, 'macro avg': {'precision': 0.17698658410732715, 'recall': 0.3333333333333333, 'f1-score': 0.23120997640714527, 'support': 1292}, 'weighted avg': {'precision': 0.28191825858581987, 'recall': 0.5309597523219814, 'f1-score': 0.3682895754225271, 'support': 1292}}",6.33
2,clf,dtree,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,"{'max_depth': 4, 'min_samples_leaf': 200}",0.55,0.50,0.41,0.58,0.40,303.00,686.00,303.00,"{'0': {'precision': 0.4129032258064516, 'recall': 0.21122112211221122, 'f1-score': 0.2794759825327511, 'support': 303}, '1': {'precision': 0.5772128060263654, 'recall': 0.8935860058309038, 'f1-score': 0.7013729977116704, 'support': 686}, '2': {'precision': 0.4, 'recall': 0.09900990099009901, 'f1-score': 0.15873015873015875, 'support': 303}, 'micro avg': {'precision': 0.5472136222910217, 'recall': 0.5472136222910217, 'f1-score': 0.5472136222910217, 'support': 1292}, 'macro avg': {'precision': 0.4633720106109391, 'recall': 0.401272342977738, 'f1-score': 0.3798597129915267, 'support': 1292}, 'weighted avg': {'precision': 0.4971189337100941, 'recall': 0.5472136222910217, 'f1-score': 0.47516899166630616, 'support': 1292}}",0.29
3,clf,rforest,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",0.55,0.51,0.47,0.56,0.43,303.00,686.00,303.00,"{'0': {'precision': 0.47297297297297297, 'recall': 0.11551155115511551, 'f1-score': 0.1856763925729443, 'support': 303}, '1': {'precision': 0.5576430401366353, 'recall': 0.9518950437317785, 'f1-score': 0.7032848680667744, 'support': 686}, '2': {'precision': 0.425531914893617, 'recall': 0.066006600660066, 'f1-score': 0.11428571428571428, 'support': 303}, 'micro avg': {'precision': 0.5479876160990712, 'recall': 0.5479876160990712, 'f1-score': 0.5479876160990712, 'support': 1292}, 'macro avg': {'precision': 0.4853826426677417, 'recall': 0.37780439851565334, 'f1-score': 0.33441565830847764, 'support': 1292}, 'weighted avg': {'precision': 0.5068034880474525, 'recall': 0.5479876160990712, 'f1-score': 0.4437631098080346, 'support': 1292}}",15.58
4,clf,xgb,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 10},0.55,0.52,0.45,0.57,0.49,303.00,686.00,303.00,"{'0': {'precision': 0.44565217391304346, 'recall': 0.1353135313531353, 'f1-score': 0.20759493670886076, 'support': 303}, '1': {'precision': 0.5672823218997362, 'recall': 0.9402332361516035, 'f1-score': 0.7076247942951179, 'support': 686}, '2': {'precision': 0.49206349206349204, 'recall': 0.10231023102310231, 'f1-score': 0.16939890710382516, 'support': 303}, 'micro avg': {'precision': 0.554953560371517, 'recall': 0.554953560371517, 'f1-score': 0.554953560371517, 'support': 1292}, 'macro avg': {'precision': 0.5016659959587573, 'recall': 0.39261899950928036, 'f1-score': 0.3615395460359346, 'support': 1292}, 'weighted avg': {'precision': 0.5211172752431186, 'recall': 0.554953560371517, 'f1-score': 0.4641329284533241, 'support': 1292}}",0.46
5,clf,gboosting,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 10},0.56,0.54,0.55,0.56,0.48,303.00,686.00,303.00,"{'0': {'precision': 0.5517241379310345, 'recall': 0.10561056105610561, 'f1-score': 0.17728531855955681, 'support': 303}, '1': {'precision': 0.5597643097643098, 'recall': 0.9693877551020408, 'f1-score': 0.7097118463180364, 'support': 686}, '2': {'precision': 0.4782608695652174, 'recall': 0.07260726072607261, 'f1-score': 0.12607449856733527, 'support': 303}, 'micro avg': {'precision': 0.5565015479876161, 'recall': 0.5565015479876161, 'f1-score': 0.5565015479876161, 'support': 1292}, 'macro avg': {'precision': 0.5299164390868539, 'recall': 0.3825351922947397, 'f1-score': 0.3376905544816428, 'support': 1292}, 'weighted avg': {'precision': 0.5387645307814868, 'recall': 0.5565015479876161, 'f1-score': 0.4479724080213787, 'support': 1292}}",1.38
6,clf,ada,basic,ALL_NO_1_1_1,0_30,included,basic,0.56,{'n_estimators': 50},0.55,0.49,0.38,0.59,0.38,303.00,686.00,303.00,"{'0': {'precision': 0.3816793893129771, 'recall': 0.16501650165016502, 'f1-score': 0.23041474654377886, 'support': 303}, '1': {'precision': 0.5868089233753637, 'recall': 0.8819241982507289, 'f1-score': 0.704717530576587, 'support': 686}, '2': {'precision': 0.38461538461538464, 'recall': 0.16501650165016502, 'f1-score': 0.2309468822170901, 'support': 303}, 'micro avg': {'precision': 0.5456656346749226, 'recall': 0.5456656346749226, 'f1-score': 0.5456656346749226, 'support': 1292}, 'macro avg': {'precision': 0.45103456576790846, 'recall': 0.40398573385035297, 'f1-score': 0.3886930531124853, 'support': 1292}, 'weighted avg': {'precision': 0.4912834658945767, 'recall': 0.5456656346749226, 'f1-score': 0.48237523180346903, 'support': 1292}}",0.46
0,reg,kn,basic,ALL_NO_1_1_1,0_30,included,basic,19.97,{'n_neighbors': 181},,,,,,,,,20.37,1.59
1,reg,svr-rbf,basic,ALL_NO_1_1_1,0_30,included,basic,20.00,"{'C': 1, 'gamma': 2}",,,,,,,,,20.34,4.00
2,reg,dtree,basic,ALL_NO_1_1_1,0_30,included,basic,19.91,"{'max_depth': 6, 'min_samples_leaf': 200}",,,,,,,,,20.22,0.25
