,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
2,clf,dtree,min,basic,ALL_NO_1_1_1,60_180,included,basic,0.77,"{'max_depth': 5, 'min_samples_leaf': 150}",0.76,0.71,0.78,0.46,993.00,299.00,"{'0': {'precision': 0.7841191066997518, 'recall': 0.9546827794561934, 'f1-score': 0.8610354223433243, 'support': 993}, '1': {'precision': 0.4578313253012048, 'recall': 0.12709030100334448, 'f1-score': 0.19895287958115185, 'support': 299}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.6209752160004783, 'recall': 0.5408865402297689, 'f1-score': 0.5299941509622381, 'support': 1292}, 'weighted avg': {'precision': 0.7086082346887878, 'recall': 0.7631578947368421, 'f1-score': 0.7078135335771558, 'support': 1292}}",0.63
3,clf,rforest,min,basic,ALL_NO_1_1_1,60_180,included,basic,0.77,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.77,0.70,0.78,0.46,993.00,299.00,"{'0': {'precision': 0.7768860353130016, 'recall': 0.9748237663645518, 'f1-score': 0.864671728450201, 'support': 993}, '1': {'precision': 0.45652173913043476, 'recall': 0.07023411371237458, 'f1-score': 0.12173913043478259, 'support': 299}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.6167038872217182, 'recall': 0.5225289400384632, 'f1-score': 0.4932054294424918, 'support': 1292}, 'weighted avg': {'precision': 0.7027460008249309, 'recall': 0.7654798761609907, 'f1-score': 0.6927391844822365, 'support': 1292}}",22.03
4,clf,xgb,min,basic,ALL_NO_1_1_1,60_180,included,basic,0.77,{'n_estimators': 50},0.77,0.73,0.79,0.52,993.00,299.00,"{'0': {'precision': 0.7896924355777224, 'recall': 0.9566968781470292, 'f1-score': 0.8652094717668487, 'support': 993}, '1': {'precision': 0.5168539325842697, 'recall': 0.15384615384615385, 'f1-score': 0.2371134020618557, 'support': 299}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.653273184080996, 'recall': 0.5552715159965915, 'f1-score': 0.5511614369143522, 'support': 1292}, 'weighted avg': {'precision': 0.7265510173153058, 'recall': 0.7708978328173375, 'f1-score': 0.7198528735920864, 'support': 1292}}",0.41
5,clf,gboosting,min,basic,ALL_NO_1_1_1,60_180,included,basic,0.77,{'n_estimators': 50},0.77,0.73,0.79,0.54,993.00,299.00,"{'0': {'precision': 0.793305439330544, 'recall': 0.9546827794561934, 'f1-score': 0.8665447897623401, 'support': 993}, '1': {'precision': 0.5360824742268041, 'recall': 0.17391304347826086, 'f1-score': 0.2626262626262626, 'support': 299}, 'micro avg': {'precision': 0.7739938080495357, 'recall': 0.7739938080495357, 'f1-score': 0.7739938080495357, 'support': 1292}, 'macro avg': {'precision': 0.664693956778674, 'recall': 0.5642979114672271, 'f1-score': 0.5645855261943014, 'support': 1292}, 'weighted avg': {'precision': 0.7337778336292914, 'recall': 0.7739938080495357, 'f1-score': 0.7267834587919939, 'support': 1292}}",1.10
6,clf,ada,min,basic,ALL_NO_1_1_1,60_180,included,basic,0.76,{'n_estimators': 100},0.77,0.73,0.80,0.50,993.00,299.00,"{'0': {'precision': 0.7991379310344827, 'recall': 0.9335347432024169, 'f1-score': 0.8611240130051091, 'support': 993}, '1': {'precision': 0.5, 'recall': 0.22073578595317725, 'f1-score': 0.3062645011600928, 'support': 299}, 'micro avg': {'precision': 0.7685758513931888, 'recall': 0.7685758513931888, 'f1-score': 0.7685758513931888, 'support': 1292}, 'macro avg': {'precision': 0.6495689655172414, 'recall': 0.5771352645777971, 'f1-score': 0.5836942570826009, 'support': 1292}, 'weighted avg': {'precision': 0.7299101900288245, 'recall': 0.7685758513931888, 'f1-score': 0.7327161228799853, 'support': 1292}}",1.11
0,reg,kn,min,basic,ALL_NO_1_1_1,60_180,included,basic,18.91,{'n_neighbors': 41},,,,,,,16.97,7.98
1,reg,svr-rbf,min,basic,ALL_NO_1_1_1,60_180,included,basic,20.87,"{'C': 5, 'gamma': 1}",,,,,,,18.53,7.95
2,reg,dtree,min,basic,ALL_NO_1_1_1,60_180,included,basic,18.68,"{'max_depth': 5, 'min_samples_leaf': 250}",,,,,,,17.12,0.57
3,reg,rforest,min,basic,ALL_NO_1_1_1,60_180,included,basic,18.16,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,16.49,57.56
4,reg,xgb,min,basic,ALL_NO_1_1_1,60_180,included,basic,18.33,{'n_estimators': 50},,,,,,,16.65,0.37
5,reg,gboosting,min,basic,ALL_NO_1_1_1,60_180,included,basic,18.40,{'n_estimators': 50},,,,,,,16.75,0.77
6,reg,ada,min,basic,ALL_NO_1_1_1,60_180,included,basic,19.96,{'n_estimators': 10},,,,,,,19.02,0.94
0,clf,kn,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,{'n_neighbors': 31},0.75,0.71,0.76,0.55,971.00,321.00,"{'0': {'precision': 0.7585114806017419, 'recall': 0.9866117404737385, 'f1-score': 0.8576544315129813, 'support': 971}, '1': {'precision': 0.5517241379310345, 'recall': 0.04984423676012461, 'f1-score': 0.09142857142857143, 'support': 321}, 'micro avg': {'precision': 0.7538699690402477, 'recall': 0.7538699690402477, 'f1-score': 0.7538699690402476, 'support': 1292}, 'macro avg': {'precision': 0.6551178092663882, 'recall': 0.5182279886169315, 'f1-score': 0.47454150147077634, 'support': 1292}, 'weighted avg': {'precision': 0.7071347491796853, 'recall': 0.7538699690402477, 'f1-score': 0.6672840746344244, 'support': 1292}}",7.78
1,clf,svc-rbf,max,all,ALL_NO_1_1_1,60_180,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.75,0.56,0.75,0.00,971.00,321.00,"{'0': {'precision': 0.7515479876160991, 'recall': 1.0, 'f1-score': 0.8581528943879806, 'support': 971}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 321}, 'micro avg': {'precision': 0.7515479876160991, 'recall': 0.7515479876160991, 'f1-score': 0.7515479876160991, 'support': 1292}, 'macro avg': {'precision': 0.37577399380804954, 'recall': 0.5, 'f1-score': 0.4290764471939903, 'support': 1292}, 'weighted avg': {'precision': 0.5648243776898082, 'recall': 0.7515479876160991, 'f1-score': 0.6449430808442176, 'support': 1292}}",8.25
