,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
2,clf,dtree,all,ALL_NO_3_2_1,60_180,included,basic,0.64,"{'max_depth': 3, 'min_samples_leaf': 150}",0.64,0.67,0.68,0.60,0.77,316.00,624.00,352.00,"{'0': {'precision': 0.6755555555555556, 'recall': 0.4810126582278481, 'f1-score': 0.5619223659889094, 'support': 316}, '1': {'precision': 0.6013590033975085, 'recall': 0.8509615384615384, 'f1-score': 0.7047113470471135, 'support': 624}, '2': {'precision': 0.7717391304347826, 'recall': 0.4034090909090909, 'f1-score': 0.5298507462686567, 'support': 352}, 'micro avg': {'precision': 0.6385448916408669, 'recall': 0.6385448916408669, 'f1-score': 0.6385448916408669, 'support': 1292}, 'macro avg': {'precision': 0.6828845631292823, 'recall': 0.5784610958661591, 'f1-score': 0.5988281531015599, 'support': 1292}, 'weighted avg': {'precision': 0.6659255012296009, 'recall': 0.6385448916408669, 'f1-score': 0.6221476864523694, 'support': 1292}}",0.59
3,clf,rforest,all,ALL_NO_3_2_1,60_180,included,basic,0.65,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.64,0.65,0.64,0.62,0.69,316.00,624.00,352.00,"{'0': {'precision': 0.6422413793103449, 'recall': 0.47151898734177217, 'f1-score': 0.5437956204379563, 'support': 316}, '1': {'precision': 0.6210653753026635, 'recall': 0.8221153846153846, 'f1-score': 0.7075862068965517, 'support': 624}, '2': {'precision': 0.6923076923076923, 'recall': 0.4602272727272727, 'f1-score': 0.552901023890785, 'support': 352}, 'micro avg': {'precision': 0.6377708978328174, 'recall': 0.6377708978328174, 'f1-score': 0.6377708978328174, 'support': 1292}, 'macro avg': {'precision': 0.6518714823069002, 'recall': 0.5846205482281431, 'f1-score': 0.6014276170750976, 'support': 1292}, 'weighted avg': {'precision': 0.6456543171387296, 'recall': 0.6377708978328174, 'f1-score': 0.6253826389871507, 'support': 1292}}",19.06
4,clf,xgb,all,ALL_NO_3_2_1,60_180,included,basic,0.65,{'n_estimators': 100},0.64,0.64,0.64,0.63,0.68,316.00,624.00,352.00,"{'0': {'precision': 0.6363636363636364, 'recall': 0.509493670886076, 'f1-score': 0.5659050966608086, 'support': 316}, '1': {'precision': 0.6307692307692307, 'recall': 0.7884615384615384, 'f1-score': 0.7008547008547009, 'support': 624}, '2': {'precision': 0.6756756756756757, 'recall': 0.4971590909090909, 'f1-score': 0.5728314238952537, 'support': 352}, 'micro avg': {'precision': 0.6408668730650154, 'recall': 0.6408668730650154, 'f1-score': 0.6408668730650154, 'support': 1292}, 'macro avg': {'precision': 0.6476028476028476, 'recall': 0.5983714334189018, 'f1-score': 0.6131970738035878, 'support': 1292}, 'weighted avg': {'precision': 0.6443720951460888, 'recall': 0.6408668730650154, 'f1-score': 0.6329690441867478, 'support': 1292}}",0.98
5,clf,gboosting,all,ALL_NO_3_2_1,60_180,included,basic,0.65,{'n_estimators': 10},0.65,0.65,0.67,0.63,0.69,316.00,624.00,352.00,"{'0': {'precision': 0.6724137931034483, 'recall': 0.4936708860759494, 'f1-score': 0.5693430656934307, 'support': 316}, '1': {'precision': 0.6253101736972705, 'recall': 0.8076923076923077, 'f1-score': 0.704895104895105, 'support': 624}, '2': {'precision': 0.6850393700787402, 'recall': 0.4943181818181818, 'f1-score': 0.5742574257425743, 'support': 352}, 'micro avg': {'precision': 0.6455108359133127, 'recall': 0.6455108359133127, 'f1-score': 0.6455108359133127, 'support': 1292}, 'macro avg': {'precision': 0.660921112293153, 'recall': 0.598560458528813, 'f1-score': 0.6161651987770367, 'support': 1292}, 'weighted avg': {'precision': 0.6531038430924945, 'recall': 0.6455108359133127, 'f1-score': 0.6361498204915292, 'support': 1292}}",2.63
6,clf,ada,all,ALL_NO_3_2_1,60_180,included,basic,0.64,{'n_estimators': 50},0.63,0.63,0.62,0.64,0.64,316.00,624.00,352.00,"{'0': {'precision': 0.6194029850746269, 'recall': 0.5253164556962026, 'f1-score': 0.5684931506849316, 'support': 316}, '1': {'precision': 0.636734693877551, 'recall': 0.75, 'f1-score': 0.6887417218543045, 'support': 624}, '2': {'precision': 0.6401384083044983, 'recall': 0.5255681818181818, 'f1-score': 0.5772230889235569, 'support': 352}, 'micro avg': {'precision': 0.6339009287925697, 'recall': 0.6339009287925697, 'f1-score': 0.6339009287925697, 'support': 1292}, 'macro avg': {'precision': 0.6320920290855587, 'recall': 0.6002948791714614, 'f1-score': 0.6114859871542643, 'support': 1292}, 'weighted avg': {'precision': 0.6334229968934655, 'recall': 0.6339009287925697, 'f1-score': 0.6289482951661117, 'support': 1292}}",0.81
0,reg,kn,all,ALL_NO_3_2_1,60_180,included,basic,31.55,{'n_neighbors': 11},,,,,,,,,31.09,6.45
1,reg,svr-rbf,all,ALL_NO_3_2_1,60_180,included,basic,38.42,"{'C': 5, 'gamma': 1}",,,,,,,,,37.48,6.18
2,reg,dtree,all,ALL_NO_3_2_1,60_180,included,basic,28.81,"{'max_depth': 4, 'min_samples_leaf': 50}",,,,,,,,,27.43,0.58
3,reg,rforest,all,ALL_NO_3_2_1,60_180,included,basic,28.43,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,26.81,57.08
4,reg,xgb,all,ALL_NO_3_2_1,60_180,included,basic,28.29,{'n_estimators': 50},,,,,,,,,27.41,0.33
5,reg,gboosting,all,ALL_NO_3_2_1,60_180,included,basic,28.25,{'n_estimators': 50},,,,,,,,,27.57,0.79
6,reg,ada,all,ALL_NO_3_2_1,60_180,included,basic,29.35,{'n_estimators': 10},,,,,,,,,27.91,0.81
