,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time,recall_above_TH,f1_above_TH,recall_below_TH,f1_below_TH
717,3,clf,rforest,min,all,ALL_NO_1_1_1,30_120,included,basic,0.77,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 50}",0.76,0.69,0.78,0.42,993.0,299.0,"{'0': {'precision': 0.7766129032258065, 'recall': 0.9697885196374623, 'f1-score': 0.8625167935512763, 'support': 993}, '1': {'precision': 0.4230769230769231, 'recall': 0.07357859531772576, 'f1-score': 0.12535612535612536, 'support': 299}, 'micro avg': {'precision': 0.7623839009287926, 'recall': 0.7623839009287926, 'f1-score': 0.7623839009287926, 'support': 1292}, 'macro avg': {'precision': 0.5998449131513648, 'recall': 0.521683557477594, 'f1-score': 0.49393645945370085, 'support': 1292}, 'weighted avg': {'precision': 0.6947961400179766, 'recall': 0.7623839009287926, 'f1-score': 0.6919200135277855, 'support': 1292}}",20.15,0.07,0.13,0.97,0.86
718,4,clf,xgb,min,all,ALL_NO_1_1_1,30_120,included,basic,0.76,{'n_estimators': 10},0.77,0.72,0.79,0.51,993.0,299.0,"{'0': {'precision': 0.7855382087099425, 'recall': 0.9627391742195368, 'f1-score': 0.865158371040724, 'support': 993}, '1': {'precision': 0.5066666666666667, 'recall': 0.12709030100334448, 'f1-score': 0.2032085561497326, 'support': 299}, 'micro avg': {'precision': 0.7693498452012384, 'recall': 0.7693498452012384, 'f1-score': 0.7693498452012384, 'support': 1292}, 'macro avg': {'precision': 0.6461024376883047, 'recall': 0.5449147376114406, 'f1-score': 0.5341834635952283, 'support': 1292}, 'weighted avg': {'precision': 0.7210005995219089, 'recall': 0.7693498452012384, 'f1-score': 0.71196719870914, 'support': 1292}}",0.32,0.13,0.2,0.96,0.87
719,5,clf,gboosting,min,all,ALL_NO_1_1_1,30_120,included,basic,0.76,{'n_estimators': 100},0.75,0.7,0.79,0.42,993.0,299.0,"{'0': {'precision': 0.7864406779661017, 'recall': 0.9345417925478349, 'f1-score': 0.854118729866544, 'support': 993}, '1': {'precision': 0.41964285714285715, 'recall': 0.15719063545150502, 'f1-score': 0.22871046228710468, 'support': 299}, 'micro avg': {'precision': 0.7546439628482973, 'recall': 0.7546439628482973, 'f1-score': 0.7546439628482972, 'support': 1292}, 'macro avg': {'precision': 0.6030417675544795, 'recall': 0.54586621399967, 'f1-score': 0.5414145960768244, 'support': 1292}, 'weighted avg': {'precision': 0.7015548045712487, 'recall': 0.7546439628482973, 'f1-score': 0.7093841540103116, 'support': 1292}}",0.83,0.16,0.23,0.93,0.85
720,6,clf,ada,min,all,ALL_NO_1_1_1,30_120,included,basic,0.76,{'n_estimators': 50},0.75,0.71,0.79,0.43,993.0,299.0,"{'0': {'precision': 0.792894280762565, 'recall': 0.9214501510574018, 'f1-score': 0.8523521192361434, 'support': 993}, '1': {'precision': 0.43478260869565216, 'recall': 0.20066889632107024, 'f1-score': 0.2745995423340961, 'support': 299}, 'micro avg': {'precision': 0.7546439628482973, 'recall': 0.7546439628482973, 'f1-score': 0.7546439628482972, 'support': 1292}, 'macro avg': {'precision': 0.6138384447291085, 'recall': 0.5610595236892361, 'f1-score': 0.5634758307851198, 'support': 1292}, 'weighted avg': {'precision': 0.7100185919483182, 'recall': 0.7546439628482973, 'f1-score': 0.7186462210211958, 'support': 1292}}",0.83,0.2,0.27,0.92,0.85
728,0,clf,kn,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_neighbors': 61},0.74,0.75,0.74,0.78,947.0,345.0,"{'0': {'precision': 0.7365549493374902, 'recall': 0.9978880675818373, 'f1-score': 0.8475336322869955, 'support': 947}, '1': {'precision': 0.7777777777777778, 'recall': 0.020289855072463767, 'f1-score': 0.03954802259887006, 'support': 345}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.757166363557634, 'recall': 0.5090889613271505, 'f1-score': 0.4435408274429328, 'support': 1292}, 'weighted avg': {'precision': 0.7475625931547497, 'recall': 0.7368421052631579, 'f1-score': 0.6317789609693459, 'support': 1292}}",5.39,0.02,0.04,1.0,0.85
729,1,clf,svc-rbf,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.54,0.73,0.0,947.0,345.0,"{'0': {'precision': 0.7329721362229102, 'recall': 1.0, 'f1-score': 0.8459133541759715, 'support': 947}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 345}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.3664860681114551, 'recall': 0.5, 'f1-score': 0.42295667708798573, 'support': 1292}, 'weighted avg': {'precision': 0.5372481524791765, 'recall': 0.7329721362229102, 'f1-score': 0.620030918269849, 'support': 1292}}",7.12,0.0,0.0,1.0,0.85
730,2,clf,dtree,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 150}",0.73,0.68,0.75,0.49,947.0,345.0,"{'0': {'precision': 0.7475247524752475, 'recall': 0.9567053854276664, 'f1-score': 0.8392774432607689, 'support': 947}, '1': {'precision': 0.4875, 'recall': 0.11304347826086956, 'f1-score': 0.18352941176470589, 'support': 345}, 'micro avg': {'precision': 0.7314241486068112, 'recall': 0.7314241486068112, 'f1-score': 0.7314241486068112, 'support': 1292}, 'macro avg': {'precision': 0.6175123762376238, 'recall': 0.534874431844268, 'f1-score': 0.5114034275127374, 'support': 1292}, 'weighted avg': {'precision': 0.6780908982926156, 'recall': 0.7314241486068112, 'f1-score': 0.6641744472343435, 'support': 1292}}",0.56,0.11,0.18,0.96,0.84
731,3,clf,rforest,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 200}",0.74,0.71,0.74,0.63,947.0,345.0,"{'0': {'precision': 0.7430389817024662, 'recall': 0.986272439281943, 'f1-score': 0.8475499092558983, 'support': 947}, '1': {'precision': 0.6285714285714286, 'recall': 0.06376811594202898, 'f1-score': 0.11578947368421051, 'support': 345}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6858052051369474, 'recall': 0.525020277611986, 'f1-score': 0.48166969147005445, 'support': 1292}, 'weighted avg': {'precision': 0.7124729555180948, 'recall': 0.739938080495356, 'f1-score': 0.6521494833485978, 'support': 1292}}",20.41,0.06,0.12,0.99,0.85
732,4,clf,xgb,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_estimators': 50},0.74,0.7,0.75,0.59,947.0,345.0,"{'0': {'precision': 0.7479740680713128, 'recall': 0.9746568109820486, 'f1-score': 0.8464007336084366, 'support': 947}, '1': {'precision': 0.5862068965517241, 'recall': 0.09855072463768116, 'f1-score': 0.1687344913151365, 'support': 345}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.6670904823115185, 'recall': 0.5366037678098649, 'f1-score': 0.5075676124617865, 'support': 1292}, 'weighted avg': {'precision': 0.7047777258311749, 'recall': 0.7407120743034056, 'f1-score': 0.6654449645750089, 'support': 1292}}",0.33,0.1,0.17,0.97,0.85
733,5,clf,gboosting,max,basic,ALL_NO_3_2_1,30_120,included,basic,0.75,{'n_estimators': 10},0.73,0.54,0.73,0.0,947.0,345.0,"{'0': {'precision': 0.7329721362229102, 'recall': 1.0, 'f1-score': 0.8459133541759715, 'support': 947}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 345}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.3664860681114551, 'recall': 0.5, 'f1-score': 0.42295667708798573, 'support': 1292}, 'weighted avg': {'precision': 0.5372481524791765, 'recall': 0.7329721362229102, 'f1-score': 0.620030918269849, 'support': 1292}}",0.78,0.0,0.0,1.0,0.85
