,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after,direction_agg_0_120_after_predicted
26,2018-11-14 08:30:00,11_6,0.0,0,0.0,0,2,0,0,2,0,0,2,0,0,2018,46,2,2,14,9,7,6,7,3,5,1,4,-1,12,-13,27,-1,27,-4,29,11,23,2,0
27,2018-11-15 08:30:00,67_15_58_39_19_51,1.2399999999999998,2,-2.37,4,1,4,1,4,0,2,2,3,1,2018,46,3,6,18,-12,7,-8,16,3,12,-4,10,3,19,-10,21,4,28,-1,24,-12,15,2,2
28,2018-11-15 10:00:00,3,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,46,3,1,8,3,3,3,11,12,15,19,5,14,6,18,23,14,23,16,18,-2,28,2,1
29,2018-11-15 10:30:00,44,-1.16,0,0.0,0,1,0,0,1,0,0,0,1,0,2018,46,3,1,4,-2,6,-3,5,-5,6,-1,5,-2,7,0,11,-2,14,-7,28,18,1,1,1
30,2018-11-15 11:00:00,16,-4.36,1,0.0,0,1,0,0,1,0,0,0,0,1,2018,46,3,1,6,-4,6,-7,4,-9,4,-9,5,-7,4,-5,12,-7,33,10,22,15,7,1,1
31,2018-11-16 09:15:00,7_40,-1.33,0,4.46,3,1,0,1,0,1,1,0,2,0,2018,46,4,2,12,6,7,12,5,15,5,13,6,12,7,12,20,12,20,5,79,51,10,1,1
32,2018-11-16 16:00:00,64,-0.28,0,-1.83,0,0,0,1,1,0,0,0,1,0,2018,46,4,1,2,-2,4,0,3,-2,1,-2,1,-2,1,-2,4,-2,7,1,11,7,3,1,1
33,2018-11-19 10:00:00,42,-6.14,2,0.0,0,0,0,1,1,0,0,0,1,0,2018,47,0,1,8,-2,9,5,12,14,18,27,7,27,4,27,33,27,39,29,12,4,22,2,2
34,2018-11-20 08:30:00,2_34,0.0,0,0.020000000000000018,2,2,0,0,1,1,0,0,0,2,2018,47,1,2,7,-3,6,-5,8,-9,5,-6,9,-11,5,-12,17,-11,28,-19,9,0,-26,0,0
35,2018-11-21 08:30:00,67_12_18,-10.5,1,-9.68,1,0,0,3,2,0,1,1,1,1,2018,47,2,3,12,9,8,8,4,8,7,4,5,-1,7,3,16,-1,24,-7,24,10,3,1,1
36,2018-11-21 10:00:00,5_21_61,-2.31,1,0.71,1,1,0,2,2,1,0,0,2,1,2018,47,2,3,14,10,3,10,5,14,7,16,4,19,4,19,24,19,24,7,21,-12,8,1,2
37,2018-11-21 10:30:00,16,-0.92,0,0.0,0,1,0,0,1,0,0,0,0,1,2018,47,2,1,6,-6,4,-4,7,-10,5,-8,9,-12,11,-18,19,-12,21,-14,28,7,-27,0,1
38,2018-11-21 12:00:00,44,-9.04,3,0.0,0,1,0,0,1,0,0,0,1,0,2018,47,2,1,11,-9,5,-7,3,-5,5,-6,2,-7,4,-9,13,-8,22,8,24,-3,-3,1,1
39,2018-11-23 09:45:00,30_31,-1.03,0,-2.4000000000000004,0,0,0,2,2,0,0,0,2,0,2018,47,4,2,4,-2,7,-6,6,-6,4,-6,5,-4,3,-4,10,-4,11,1,11,-2,-18,0,0
40,2018-11-27 09:00:00,63_33,-3.2,0,1.2,1,0,0,2,1,1,0,0,2,0,2018,48,1,2,5,3,4,4,7,8,5,4,3,3,5,4,10,3,33,-18,21,-9,-22,0,1
41,2018-11-27 10:00:00,4,-0.14,0,0.0,0,0,0,1,1,0,0,1,0,0,2018,48,1,1,7,0,5,-2,5,-1,12,9,6,10,4,12,19,10,22,1,34,-26,-18,0,1
42,2018-11-28 08:30:00,53_52_32_57,-1.17,0,-6.49,0,2,0,2,3,0,1,1,3,0,2018,48,2,4,6,-3,6,-1,6,0,6,2,6,3,5,1,12,3,17,-6,12,7,-9,1,2
43,2018-11-28 10:00:00,62_45,-1.34,1,2.42,1,0,0,2,1,1,0,0,2,0,2018,48,2,2,4,1,7,-3,4,0,3,1,8,1,4,1,10,1,16,6,17,-6,8,1,1
44,2018-11-28 10:30:00,16,-1.16,0,0.0,0,1,0,0,1,0,0,0,0,1,2018,48,2,1,4,3,6,6,5,4,6,8,7,5,9,-2,12,5,14,3,15,-3,70,2,1
45,2018-11-29 08:30:00,67_13_50_49,-1.63,2,-1.22,3,0,2,2,3,0,1,0,2,2,2018,48,3,4,13,6,5,4,8,-2,4,-5,5,-7,14,-17,32,-7,36,-11,26,13,-14,0,2
46,2018-11-29 10:00:00,48,-3.48,1,3.65,1,0,0,1,0,1,0,0,1,0,2018,48,3,1,13,-10,10,-17,4,-15,10,-7,5,-9,4,-5,21,-9,22,-3,18,12,-1,1,1
47,2018-11-29 10:30:00,44,-5.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2018,48,3,1,9,0,8,-7,9,-3,4,-3,9,2,7,7,17,2,29,5,22,5,-2,1,1
48,2018-11-30 09:45:00,8,2.78,1,0.0,0,0,1,0,1,0,0,0,0,1,2018,48,4,1,12,-7,8,-4,5,-6,5,-5,6,-2,4,-3,13,-2,20,-11,37,-18,-24,0,0
49,2018-12-03 00:00:00,65,0.51,0,0.0,0,0,1,0,1,0,0,0,1,0,2018,49,0,1,2,0,2,0,2,-2,2,0,4,-3,2,-2,5,-4,24,14,8,-2,11,1,1
50,2018-12-03 09:45:00,27,-1.12,0,-0.45,0,1,0,0,1,0,0,0,1,0,2018,49,0,1,9,5,4,7,5,3,11,0,11,11,11,3,23,10,24,8,26,11,12,2,1
51,2018-12-03 10:00:00,9_36_37,-2.65,2,-0.14,0,0,1,2,3,0,0,1,2,0,2018,49,0,3,11,-3,11,8,11,0,5,0,6,4,5,2,23,5,24,7,25,14,11,1,1
