,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
5,clf,gboosting,basic,ALL_YES_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.67,"[48.76847290640394, 82.6171875, 45.54455445544554]","[203, 512, 202]",917,1.40
6,clf,ada,basic,ALL_YES_3_2_1,30_90,included,basic,0.64,{'n_estimators': 10},0.65,"[51.23152709359606, 79.6875, 43.06930693069307]","[203, 512, 202]",917,0.47
0,clf,kn,all,ALL_YES_3_2_1,30_90,included,basic,0.64,{'n_neighbors': 51},0.65,"[33.004926108374384, 90.4296875, 32.67326732673267]","[203, 512, 202]",917,2.19
1,clf,svc-rbf,all,ALL_YES_3_2_1,30_90,included,basic,0.54,"{'C': 1, 'gamma': 1}",0.56,"[0.0, 100.0, 0.0]","[203, 512, 202]",917,3.77
2,clf,dtree,all,ALL_YES_3_2_1,30_90,included,basic,0.66,"{'max_depth': 3, 'min_samples_leaf': 100}",0.67,"[52.216748768472904, 83.3984375, 42.07920792079208]","[203, 512, 202]",917,0.30
3,clf,rforest,all,ALL_YES_3_2_1,30_90,included,basic,0.65,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 200}",0.67,"[45.8128078817734, 85.9375, 39.603960396039604]","[203, 512, 202]",917,10.89
4,clf,xgb,all,ALL_YES_3_2_1,30_90,included,basic,0.65,{'n_estimators': 10},0.67,"[42.364532019704434, 86.1328125, 43.06930693069307]","[203, 512, 202]",917,1.14
5,clf,gboosting,all,ALL_YES_3_2_1,30_90,included,basic,0.65,{'n_estimators': 50},0.66,"[48.275862068965516, 82.2265625, 44.554455445544555]","[203, 512, 202]",917,1.59
6,clf,ada,all,ALL_YES_3_2_1,30_90,included,basic,0.64,{'n_estimators': 10},0.65,"[51.23152709359606, 79.6875, 43.06930693069307]","[203, 512, 202]",917,0.46
0,clf,kn,basic,High_NO_1_1_1,30_90,included,basic,0.59,{'n_neighbors': 11},0.58,"[55.27950310559006, 73.93364928909952, 34.84848484848485]","[161, 211, 132]",504,0.28
1,clf,svc-rbf,basic,High_NO_1_1_1,30_90,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.42,"[0.0, 100.0, 0.0]","[161, 211, 132]",504,0.84
2,clf,dtree,basic,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 2, 'min_samples_leaf': 250}",0.61,"[67.0807453416149, 68.24644549763033, 40.90909090909091]","[161, 211, 132]",504,0.12
3,clf,rforest,basic,High_NO_1_1_1,30_90,included,basic,0.63,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.61,"[60.24844720496895, 71.09004739336493, 46.21212121212121]","[161, 211, 132]",504,7.38
4,clf,xgb,basic,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.61,"[60.869565217391305, 70.14218009478672, 47.72727272727273]","[161, 211, 132]",504,0.53
5,clf,gboosting,basic,High_NO_1_1_1,30_90,included,basic,0.63,{'n_estimators': 10},0.62,"[60.24844720496895, 73.45971563981043, 46.21212121212121]","[161, 211, 132]",504,0.80
6,clf,ada,basic,High_NO_1_1_1,30_90,included,basic,0.62,{'n_estimators': 10},0.60,"[67.0807453416149, 69.66824644549763, 35.60606060606061]","[161, 211, 132]",504,0.29
