,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,2.5%,EUR,"Thursday, December 29, 2011",2.8%,d,Low,EUR Euro-Zone M3 s.a. (3M) (NOV),2.8%,-,09:00
1,2.0%,EUR,"Thursday, December 29, 2011",2.5%,-,Low,EUR Euro-Zone M3 s.a. (YoY) (NOV),2.6%,-,09:00
2,92.5,EUR,"Thursday, December 29, 2011",93.7,d,Low,EUR Italian Business Confidence (DEC),94.0,u,09:00
3,0.8%,EUR,"Thursday, December 29, 2011",0.8%,-,Medium,EUR German Consumer Price Index (MoM) (DEC),0.0%,-,13:00
4,2.1%,EUR,"Thursday, December 29, 2011",2.2%,d,High,EUR German Consumer Price Index (YoY) (DEC P),2.4%,-,13:00
5,0.8%,EUR,"Thursday, December 29, 2011",0.8%,-,Medium,EUR German Consumer Price Index - EU Harmonised (MoM) (DEC P),0.0%,-,13:00
6,2.4%,EUR,"Thursday, December 29, 2011",2.4%,-,High,EUR German Consumer Price Index - EU Harmonised (YoY) (DEC P),2.8%,-,13:00
7,381K,USD,"Thursday, December 29, 2011",375K,d,Low,USD Initial Jobless Claims (DEC 23),366K,d,13:30
8,3601K,USD,"Thursday, December 29, 2011",3600K,d,Low,USD Continuing Claims (DEC 16),3567K,d,13:30
9,62.5,USD,"Thursday, December 29, 2011",61,u,Low,USD Chicago Purchasing Manager (DEC),62.6,-,14:45
10,7.3%,USD,"Thursday, December 29, 2011",1.5%,u,Low,USD Pending Home Sales (MoM) (NOV),10.4%,-,15:00
11,6.9%,USD,"Thursday, December 29, 2011",,-,Medium,USD Pending Home Sales (YoY) (NOV),7.3%,-,15:00
12,3899K,USD,"Thursday, December 29, 2011",-2500K,u,Low,USD DOE U.S. Crude Oil Inventories (DEC 23),-10570K,-,15:30
13,-289K,USD,"Thursday, December 29, 2011",,-,Low,USD DOE Cushing OK Crude Inventory (DEC 23),-990K,-,15:30
14,1205K,USD,"Thursday, December 29, 2011",-650K,u,Low,USD DOE U.S. Distillate Inventory (DEC 23),-2353K,-,15:30
15,-692K,USD,"Thursday, December 29, 2011",-500K,d,Low,USD DOE U.S. Gasoline Inventories (DEC 23),-412K,-,15:30
16,-4,USD,"Thursday, December 29, 2011",6,d,Low,USD Kansas City Fed Manf. Activity (DEC),4,-,16:00
17,50.2,JPY,"Thursday, December 29, 2011",,-,Low,JPY Nomura/JMMA Manufacturing Purchasing Manager Index (DEC),49.1,-,23:15
18,-0.2%,AUD,"Thursday, December 29, 2011",,-,Low,AUD RPData-Rismark House Px Raw (NOV),-0.3%,d,23:30
19,0.1%,AUD,"Thursday, December 29, 2011",,-,Low,AUD RPData-Rismark House Px s.a. (NOV),-0.6%,d,23:30
20,-1.0%,JPY,"Wednesday, December 28, 2011",0.0%,d,Low,JPY Labor Cash Earnings (YoY) (NOV),0.0%,u,01:50
21,0.01,CHF,"Wednesday, December 28, 2011",0.23,d,Medium,CHF KOF Swiss Leading Indicator (DEC),0.34,u,10:30
22,,USD,"Wednesday, December 28, 2011",,-,Low,USD MBA Mortgage Applications (DEC 23),,-,12:00
23,,CNY,"Tuesday, December 27, 2011",,-,Low,CNY Leading Index (NOV),100.4,-,
