,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,51.7,CNY,"Friday, January 4, 2013",,-,Medium,CNY HSBC Services PMI (DEC),52.1,-,01:45
1,1.2%,EUR,"Friday, January 4, 2013",0.8%,u,Medium,EUR Germany Retail Sales (MoM) (NOV),-1.3%,u,07:00
2,-0.9%,EUR,"Friday, January 4, 2013",-1.6%,u,Medium,EUR German Retail Sales (YoY) (NOV),0.2%,u,07:00
3,45.6,EUR,"Friday, January 4, 2013",45,u,Low,EUR Italian Purchasing Manager Index Services (DEC),44.6,-,07:45
4,45.2,EUR,"Friday, January 4, 2013",46.0,d,Low,EUR French Purchasing Manager Index Services (DEC F),46,-,08:50
5,52.0,EUR,"Friday, January 4, 2013",52.1,d,Medium,EUR German Purchasing Manager Index Services (DEC F),52.1,-,08:55
6,47.8,EUR,"Friday, January 4, 2013",47.8,-,Medium,EUR Euro-zone Purchasing Manager Index Services (DEC F),47.8,-,09:00
7,47.2,EUR,"Friday, January 4, 2013",47.3,d,Medium,EUR Euro-zone Purchasing Manager Index Composite (DEC F),47.3,-,09:00
8,0.1B,GBP,"Friday, January 4, 2013",0.0B,-,Medium,GBP Net Consumer Credit (NOV),-0.3B,u,09:30
9,$-350M,GBP,"Friday, January 4, 2013",,-,Low,GBP Official Reserves (Changes) (DEC),$44M,-,09:30
10,48.9,GBP,"Friday, January 4, 2013",50.2,d,Medium,GBP Purchasing Manager Index Services (DEC),50.2,-,09:30
11,-0.2B,GBP,"Friday, January 4, 2013",0.5B,-,Medium,GBP Net Lending Sec. on Dwellings (NOV),0.1B,d,09:30
12,54.0K,GBP,"Friday, January 4, 2013",54.0K,-,Medium,GBP Mortgage Approvals (NOV),53.1K,u,09:30
13,-0.2%,GBP,"Friday, January 4, 2013",,-,Low,GBP M4 Money Supply (MoM) (NOV),0.2%,-,09:30
14,-2.8%,GBP,"Friday, January 4, 2013",,-,Low,GBP M4 Money Supply (YoY) (NOV),-3.1%,u,09:30
15,4.3%,GBP,"Friday, January 4, 2013",,-,Low,GBP M4 Ex IOFCs 3M Annualised (NOV),5.4%,-,09:30
16,2.2%,EUR,"Friday, January 4, 2013",2.1%,-,Medium,EUR Euro-zone Consumer Price Index Estimate (YoY) (DEC),2.2%,-,10:00
17,155K,USD,"Friday, January 4, 2013",145K,u,High,USD Change in Nonfarm Payrolls (DEC),161K,u,13:30
