,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,5.4%,AUD,"Friday, December 30, 2016",5.4%,-,Medium,AUD Private Sector Credit (YoY) (NOV),5.3%,-,00:30
1,0.5%,AUD,"Friday, December 30, 2016",0.5%,-,Low,AUD Private Sector Credit (MoM) (NOV),0.5%,-,00:30
2,$69.3b,CNY,"Friday, December 30, 2016",,-,Low,CNY BoP Current Account Balance (3Q F),$71.2b,-,07:13
3,54.6,USD,"Friday, December 30, 2016",56.8,d,Low,USD Chicago Purchasing Manager (DEC),57.6,-,14:45
4,658,USD,"Friday, December 30, 2016",,-,Medium,USD Baker Hughes U.S. Rig Count (DEC 30),653,-,18:00
5,0.8%,GBP,"Thursday, December 29, 2016",0.2%,u,Low,GBP Nationwide House Prices s.a. (MoM) (DEC),0.1%,-,07:00
6,4.5%,GBP,"Thursday, December 29, 2016",3.8%,u,Medium,GBP Nationwide House Prices n.s.a. (YoY) (DEC),4.4%,-,07:00
7,4.8%,EUR,"Thursday, December 29, 2016",4.4%,u,Low,EUR Euro-Zone M3 s.a. (YoY) (NOV),4.4%,-,09:00
8,60.7,CAD,"Thursday, December 29, 2016",,-,Low,CAD CFIB Business Barometer (DEC),59.4,-,11:52
9,-$65.3b,USD,"Thursday, December 29, 2016",-$61.6b,d,High,USD Advance Goods Trade Balance (NOV),-$61.9b,u,13:30
10,0.9%,USD,"Thursday, December 29, 2016",0.2%,d,Medium,USD Wholesale Inventories (NOV P),-0.1%,u,13:30
11,1.0%,USD,"Thursday, December 29, 2016",,-,Low,USD Retail Inventories (MoM) (NOV),-0.4%,-,13:30
12,265k,USD,"Thursday, December 29, 2016",265k,-,Medium,USD Initial Jobless Claims (DEC 24),275k,-,13:30
13,2102k,USD,"Thursday, December 29, 2016",2027k,d,Medium,USD Continuing Claims (DEC 17),2039k,u,13:30
14,-237,USD,"Thursday, December 29, 2016",-225,-,Low,USD EIA Natural Gas Storage Change (DEC 23),-209,-,15:30
15,-237,USD,"Thursday, December 29, 2016",-225,-,Low,USD EIA Working Natural Gas Implied Flow (DEC 23),-209,-,15:30
16,614k,USD,"Thursday, December 29, 2016",-1500k,u,Medium,USD DOE U.S. Crude Oil Inventories (DEC 23),2256k,-,16:00
17,172k,USD,"Thursday, December 29, 2016",0k,u,Low,USD DOE Cushing OK Crude Inventory (DEC 23),-245k,-,16:00
