,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
19,2007-02-16 08:30:00,23,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,7,4,1,25,0,-33,1
20,2007-02-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,7,4,1,26,12,-7,0
21,2007-02-21 08:30:00,7,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,8,2,1,31,12,-23,0
22,2007-02-27 08:30:00,8,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,1,1,32,15,-8,0
23,2007-02-27 10:00:00,14_4,2.0,0,2.0,0,0,2,0,1,1,0,2,2007,9,1,2,26,4,-13,0
24,2007-02-28 08:30:00,26,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,9,2,1,26,22,-6,0
25,2007-02-28 10:00:00,21,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,2,1,20,-1,-26,1
26,2007-03-01 08:30:00,9,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,19,-1,-9,0
27,2007-03-01 10:00:00,17,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,40,-10,-35,1
28,2007-03-05 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,10,0,1,40,14,-13,0
29,2007-03-06 10:00:00,24,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,10,1,1,18,10,-7,0
30,2007-03-09 08:30:00,31_22_33,3.0,0,2.0,0,2,1,0,2,1,0,3,2007,10,4,3,38,-3,-45,1
31,2007-03-13 08:30:00,10_29,2.0,0,1.0,0,0,0,2,1,0,1,2,2007,11,1,2,30,-5,-17,0
32,2007-03-15 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,-6,-22,0
33,2007-03-15 09:00:00,30,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,-4,-9,0
34,2007-03-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,11,4,1,14,-11,-13,0
35,2007-03-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,11,4,1,23,-2,-6,0
36,2007-03-21 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,12,2,1,49,3,-27,1
37,2007-03-23 10:00:00,14,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,12,4,1,29,-9,-26,1
38,2007-03-26 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,0,1,53,28,-17,0
39,2007-03-27 10:00:00,4,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,1,1,17,-1,-5,0
40,2007-03-28 08:30:00,8,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,2,1,22,-1,-11,0
41,2007-03-30 08:30:00,9,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,13,4,1,20,16,-31,1
42,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,15,-7,-17,0
43,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,12,0,-2,0
44,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,12,4,-12,0
45,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,20,-5,-10,0
46,2007-04-06 08:30:00,22_33,2.0,0,1.0,0,0,2,0,1,1,0,2,2007,14,4,2,53,-5,-7,0
47,2007-04-13 08:30:00,31_23,2.0,0,1.0,0,0,2,0,2,0,0,2,2007,15,4,2,20,-9,-11,0
48,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,20,8,-36,1
49,2007-04-16 08:30:00,10_29,1.0,0,2.0,0,1,1,0,0,2,0,2,2007,16,0,2,15,-9,-10,0
50,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,21,2,-10,0
51,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,27,3,-16,0
52,2007-04-24 10:00:00,14_4,2.0,0,2.0,0,0,0,2,1,1,0,2,2007,17,1,2,29,6,-17,0
53,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,21,-9,-16,0
54,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,24,0,-16,0
55,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,43,8,-29,1
56,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,22,5,-4,0
57,2007-05-01 10:00:00,17_24,2.0,0,1.0,0,0,1,1,1,1,0,2,2007,18,1,2,28,-1,-64,1
58,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,25,17,-9,0
59,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,36,-15,-9,0
60,2007-05-04 08:30:00,22_33,1.0,0,1.0,0,1,0,1,2,0,0,2,2007,18,4,2,30,-5,-11,0
61,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,29,6,-7,0
62,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,19,4,-46,1
63,2007-05-11 08:30:00,10_29_23,3.0,0,2.0,0,0,1,2,1,2,0,3,2007,19,4,3,18,11,-17,0
64,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,32,7,-18,0
65,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,30,22,-7,0
66,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,10,4,-3,0
67,2007-05-24 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,19,11,-8,0
68,2007-05-24 10:00:00,21,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,33,3,-11,0
69,2007-05-25 10:00:00,14,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,10,-4,-5,0
70,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,17,-2,-11,0
71,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,2,1,23,-12,-8,0
72,2007-05-31 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,3,1,29,19,-6,0
73,2007-06-01 08:30:00,9_22_33,2.0,0,1.0,0,1,1,1,2,0,1,3,2007,22,4,3,35,-2,-40,1
74,2007-06-01 10:00:00,17_24,2.0,0,1.0,0,0,1,1,1,1,0,2,2007,22,4,2,23,-4,-25,1
75,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,24,-19,-14,0
76,2007-06-08 08:30:00,31,2.06,1,7.8,3,0,1,0,0,1,0,1,2007,23,4,1,33,21,-14,0
77,2007-06-13 08:30:00,10_29,3.55,2,0.94,0,0,2,0,0,2,0,2,2007,24,2,2,23,2,-3,0
78,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,32,-11,-1,0
79,2007-06-15 08:30:00,7,-1.41,3,0.0,0,0,0,1,1,0,0,1,2007,24,4,1,27,9,0,0
80,2007-06-15 09:00:00,30,0.35,1,-2.13,3,0,1,0,0,0,1,1,2007,24,4,1,31,22,-7,0
81,2007-06-15 10:00:00,28,-1.33,1,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,29,0,-8,0
82,2007-06-25 10:00:00,14,0.1,0,-0.69,1,0,1,0,1,0,0,1,2007,26,0,1,8,-1,-17,0
83,2007-06-26 10:00:00,21_4,-0.69,1,-1.83,2,0,0,2,0,1,1,2,2007,26,1,2,15,4,-5,0
84,2007-06-27 08:30:00,8,-0.6,0,1.61,1,0,0,1,0,1,0,1,2007,26,2,1,22,3,-13,0
85,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,17,-14,-16,0
86,2007-06-29 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,4,1,22,13,-3,0
