,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.66,"[52.733118971061096, 83.28267477203647, 43.65325077399381]","[311, 658, 323]",1292,1.79
1,clf,svc-rbf,basic,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,7.19
2,clf,svc-poly,basic,ALL_NO_1_1_1,30_60,included,basic,0.44,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.26
3,clf,dtree,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,"[69.13183279742765, 71.42857142857143, 67.18266253869969]","[311, 658, 323]",1292,0.32
4,clf,rforest,basic,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 50}",0.71,"[63.02250803858521, 79.93920972644376, 58.8235294117647]","[311, 658, 323]",1292,12.52
5,clf,xgb,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[62.70096463022508, 77.50759878419453, 61.60990712074303]","[311, 658, 323]",1292,1.41
6,clf,gboosting,basic,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[61.41479099678457, 79.93920972644376, 57.89473684210526]","[311, 658, 323]",1292,1.81
7,clf,ada,basic,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[63.98713826366559, 71.12462006079028, 66.56346749226006]","[311, 658, 323]",1292,0.60
0,clf,kn,all,ALL_NO_1_1_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.67,"[52.733118971061096, 84.19452887537994, 43.962848297213625]","[311, 658, 323]",1292,2.15
1,clf,svc-rbf,all,ALL_NO_1_1_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,7.57
2,clf,svc-poly,all,ALL_NO_1_1_1,30_60,included,basic,0.44,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.28
3,clf,dtree,all,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,"[69.13183279742765, 71.42857142857143, 67.18266253869969]","[311, 658, 323]",1292,0.39
4,clf,rforest,all,ALL_NO_1_1_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 50}",0.70,"[62.057877813504824, 79.7872340425532, 57.27554179566563]","[311, 658, 323]",1292,13.39
5,clf,xgb,all,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[62.70096463022508, 77.50759878419453, 61.60990712074303]","[311, 658, 323]",1292,1.61
6,clf,gboosting,all,ALL_NO_1_1_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[61.41479099678457, 79.93920972644376, 57.89473684210526]","[311, 658, 323]",1292,2.12
7,clf,ada,all,ALL_NO_1_1_1,30_60,included,basic,0.69,{'n_estimators': 10},0.67,"[65.27331189710611, 73.55623100303951, 54.17956656346749]","[311, 658, 323]",1292,0.65
0,clf,kn,basic,ALL_NO_3_2_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.67,"[54.01929260450161, 83.58662613981762, 44.582043343653254]","[311, 658, 323]",1292,1.54
1,clf,svc-rbf,basic,ALL_NO_3_2_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,6.55
2,clf,svc-poly,basic,ALL_NO_3_2_1,30_60,included,basic,0.44,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.29
3,clf,dtree,basic,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,"[69.13183279742765, 71.42857142857143, 67.18266253869969]","[311, 658, 323]",1292,0.33
4,clf,rforest,basic,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 10}",0.71,"[62.057877813504824, 81.0030395136778, 57.27554179566563]","[311, 658, 323]",1292,12.32
5,clf,xgb,basic,ALL_NO_3_2_1,30_60,included,basic,0.71,{'n_estimators': 10},0.71,"[62.70096463022508, 78.87537993920972, 60.9907120743034]","[311, 658, 323]",1292,1.37
6,clf,gboosting,basic,ALL_NO_3_2_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[62.057877813504824, 80.54711246200608, 57.27554179566563]","[311, 658, 323]",1292,1.81
7,clf,ada,basic,ALL_NO_3_2_1,30_60,included,basic,0.69,{'n_estimators': 10},0.68,"[63.98713826366559, 71.12462006079028, 66.56346749226006]","[311, 658, 323]",1292,0.55
0,clf,kn,all,ALL_NO_3_2_1,30_60,included,basic,0.64,{'n_neighbors': 21},0.67,"[53.37620578778135, 84.4984802431611, 43.962848297213625]","[311, 658, 323]",1292,1.99
1,clf,svc-rbf,all,ALL_NO_3_2_1,30_60,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.51,"[0.0, 100.0, 0.0]","[311, 658, 323]",1292,6.75
2,clf,svc-poly,all,ALL_NO_3_2_1,30_60,included,basic,0.44,{},0.43,"[36.334405144694536, 67.32522796352583, 0.0]","[311, 658, 323]",1292,0.29
3,clf,dtree,all,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 2, 'min_samples_leaf': 10}",0.70,"[69.13183279742765, 71.42857142857143, 67.18266253869969]","[311, 658, 323]",1292,0.41
4,clf,rforest,all,ALL_NO_3_2_1,30_60,included,basic,0.70,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 50}",0.70,"[62.70096463022508, 79.93920972644376, 58.51393188854489]","[311, 658, 323]",1292,13.04
5,clf,xgb,all,ALL_NO_3_2_1,30_60,included,basic,0.71,{'n_estimators': 10},0.71,"[62.70096463022508, 78.87537993920972, 60.9907120743034]","[311, 658, 323]",1292,1.50
6,clf,gboosting,all,ALL_NO_3_2_1,30_60,included,basic,0.71,{'n_estimators': 10},0.70,"[62.057877813504824, 80.54711246200608, 57.27554179566563]","[311, 658, 323]",1292,2.01
7,clf,ada,all,ALL_NO_3_2_1,30_60,included,basic,0.69,{'n_estimators': 50},0.69,"[66.88102893890675, 72.79635258358662, 61.60990712074303]","[311, 658, 323]",1292,0.62
