,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,20,GBP,"Monday, December 31, 2012",,-,Low,GBP Lloyds Business Barometer (DEC),17,-,00:01
1,0.0%,AUD,"Monday, December 31, 2012",0.2%,d,Medium,AUD Private Sector Credit (MoM) (NOV),0.1%,-,00:30
2,3.5%,AUD,"Monday, December 31, 2012",3.7%,d,Medium,AUD Private Sector Credit (YoY) (NOV),3.8%,-,00:30
3,51.5,CNY,"Monday, December 31, 2012",50.9,-,Medium,CNY HSBC Manufacturing PMI (DEC),50.5,-,01:45
4,6.8,USD,"Monday, December 31, 2012",-0.5,u,Low,USD Dallas Fed Manufacturing Activity (DEC),-2.8,d,15:30
5,,CNY,"Friday, December 28, 2012",,-,Medium,CNY Leading Index (NOV),100.42,-,
6,-1.1%,JPY,"Friday, December 28, 2012",-0.4%,d,Medium,JPY Labor Cash Earnings (YoY) (NOV),-0.4%,d,01:30
7,52.22,CNY,"Friday, December 28, 2012",,-,Low,CNY MNI December Business Sentiment Indicator,53.78,-,01:35
8,0.1%,EUR,"Friday, December 28, 2012",0.2%,d,Medium,EUR French Gross Domestic Product (QoQ) (3Q F),0.2%,-,07:45
9,0.0%,EUR,"Friday, December 28, 2012",0.1%,d,Medium,EUR French Gross Domestic Product (YoY) (3Q F),0.2%,-,07:45
10,,EUR,"Friday, December 28, 2012",,-,Medium,EUR Italy Sells 5 Year and 10 Year Bonds,,-,10:00
11,51.6,USD,"Friday, December 28, 2012",51.0,u,Low,USD Chicago Purchasing Manager (DEC),50.4,-,14:45
12,1.7%,USD,"Friday, December 28, 2012",1.0%,u,Low,USD Pending Home Sales (MoM) (NOV),5.0%,d,15:00
13,8.9%,USD,"Friday, December 28, 2012",12.2%,d,Medium,USD Pending Home Sales (YoY) (NOV),17.8%,d,15:00
14,-72,USD,"Friday, December 28, 2012",-72,-,Low,USD EIA Natural Gas Storage Change (DEC 21),-82,-,15:30
15,3.0%,CNY,"Thursday, December 27, 2012",,-,Medium,CNY Industrial Profits YTD (YoY) (NOV),0.5%,-,01:30
16,-8.4%,JPY,"Thursday, December 27, 2012",,-,Low,JPY Vehicle Production (YoY) (NOV),-12.4%,-,04:00
17,10.3%,JPY,"Thursday, December 27, 2012",10.7%,d,Medium,JPY Housing Starts (YoY) (NOV),25.2%,-,05:00
18,0.907M,JPY,"Thursday, December 27, 2012",0.911M,d,Medium,JPY Annualized Housing Starts (NOV),0.978M,-,05:00
19,-2.1%,JPY,"Thursday, December 27, 2012",,-,Low,JPY Construction Orders (YoY) (NOV),-13.8%,-,05:00
20,1.23,CHF,"Thursday, December 27, 2012",,-,Medium,CHF UBS Consumption Indicator (NOV),1.30,d,07:00
21,33634,GBP,"Thursday, December 27, 2012",34500,d,Medium,GBP BBA Loans for House Purchase (NOV),33128,u,09:30
22,350K,USD,"Thursday, December 27, 2012",360K,u,Medium,USD Initial Jobless Claims (DEC 22),362K,d,13:30
23,3206K,USD,"Thursday, December 27, 2012",3200K,d,Low,USD Continuing Claims (DEC 15),3238K,d,13:30
24,65.1,USD,"Thursday, December 27, 2012",70.0,d,High,USD Consumer Confidence (DEC),71.5,d,15:00
25,377K,USD,"Thursday, December 27, 2012",380K,d,Medium,USD New Home Sales (NOV),361K,d,15:00
26,4.4%,USD,"Thursday, December 27, 2012",3.3%,u,Low,USD New Home Sales (MoM) (NOV),-3.5%,d,15:00
27,45.0,JPY,"Thursday, December 27, 2012",,-,Medium,JPY Nomura/JMMA Manufacturing Purchasing Manager Index (DEC),46.5,-,23:15
28,4.1%,JPY,"Thursday, December 27, 2012",4.2%,d,Medium,JPY Jobless Rate (NOV),4.2%,-,23:30
29,0.8,JPY,"Thursday, December 27, 2012",0.8,-,Low,JPY Job-To-Applicant Ratio (NOV),0.8,-,23:30
30,0.2%,JPY,"Thursday, December 27, 2012",0.7%,d,Medium,JPY Household Spending (YoY) (NOV),-0.1%,-,23:30
31,-0.2%,JPY,"Thursday, December 27, 2012",-0.2%,-,Medium,JPY National Consumer Price Index (YoY) (NOV),-0.4%,-,23:30
32,-0.1%,JPY,"Thursday, December 27, 2012",-0.1%,-,Medium,JPY National Consumer Price Index Ex-Fresh Food (YoY) (NOV),0.0%,-,23:30
33,-0.5%,JPY,"Thursday, December 27, 2012",-0.5%,-,Medium,"JPY National Consumer Price Index Ex Food, Energy (YoY) (NOV)",-0.5%,-,23:30
34,-0.6%,JPY,"Thursday, December 27, 2012",-0.6%,-,Low,JPY Tokyo Consumer Price Index (YoY) (DEC),-0.5%,-,23:30
35,-0.6%,JPY,"Thursday, December 27, 2012",-0.5%,d,Low,JPY Tokyo Consumer Price Index Ex-Fresh Food (YoY) (DEC),-0.5%,-,23:30
36,-1.0%,JPY,"Thursday, December 27, 2012",-0.9%,d,Low,"JPY Tokyo Consumer Price Index Ex Food, Energy (YoY) (DEC)",-0.9%,-,23:30
37,0.0%,JPY,"Thursday, December 27, 2012",0.4%,d,Low,JPY Retail Trade s.a. (MoM) (NOV),0.8%,u,23:50
38,1.3%,JPY,"Thursday, December 27, 2012",1.1%,u,Medium,JPY Retail Trade (YoY) (NOV),-1.2%,-,23:50
39,0.9%,JPY,"Thursday, December 27, 2012",-0.4%,u,Medium,JPY Large Retailers' Sales (NOV),-3.2%,-,23:50
40,428.2B,JPY,"Thursday, December 27, 2012",,-,Low,JPY Japan Buying Foreign Bonds (Yen) (DEC 21),918.0B,-,23:50
41,-231.7B,JPY,"Thursday, December 27, 2012",,-,Low,JPY Japan Buying Foreign Stocks (Yen) (DEC 21),-104.3B,-,23:50
42,850.9B,JPY,"Thursday, December 27, 2012",,-,Low,JPY Foreign Buying Japan Bonds (Yen) (DEC 21),157.6B,-,23:50
43,764.9B,JPY,"Thursday, December 27, 2012",,-,Low,JPY Foreign Buying Japan Stocks (Yen) (DEC 21),389.6B,-,23:50
44,-1.7%,JPY,"Thursday, December 27, 2012",-0.5%,d,Low,JPY Industrial Production (MoM) (NOV P),1.6%,-,23:50
45,-5.8%,JPY,"Thursday, December 27, 2012",-4.6%,d,Medium,JPY Industrial Production (YoY) (NOV P),-4.5%,-,23:50
46,43.8,JPY,"Wednesday, December 26, 2012",,-,Low,JPY Small Business Confidence (DEC),43.3,-,05:00
47,,JPY,"Wednesday, December 26, 2012",,-,Medium,JPY New Japan PM Abe to Hold a Press Conference,,-,12:30
48,0.66%,USD,"Wednesday, December 26, 2012",0.48%,u,Low,USD S&P/CS 20 City (MoM) SA (OCT),0.38%,d,14:00
49,4.31%,USD,"Wednesday, December 26, 2012",4.00%,u,Low,USD S&P/Case-Shiller Composite-20 (YoY) (OCT),2.97%,d,14:00
50,146.08,USD,"Wednesday, December 26, 2012",145.93,u,Low,USD S&P/Case-Shiller Home Price Index (OCT),146.17,d,14:00
51,5,USD,"Wednesday, December 26, 2012",8,d,Low,USD Richmond Fed Manufacturing Index (DEC),9,-,15:00
52,,JPY,"Tuesday, December 25, 2012",,-,High,JPY BOJ to Publish Minutes of Board Meeting (NOV),,-,23:50
53,,EUR,"Monday, December 24, 2012",-0.3%,-,Low,EUR German Import Price Index (MoM) (NOV),-0.6%,-,
54,,EUR,"Monday, December 24, 2012",0.9%,-,Low,EUR German Import Price Index (YoY) (NOV),1.5%,-,
55,-0.1%,GBP,"Monday, December 24, 2012",,-,Low,GBP Hometrack Housing Survey (MoM) (DEC),-0.1%,-,00:01
56,-0.3%,GBP,"Monday, December 24, 2012",,-,Low,GBP Hometrack Housing Survey (YoY) (DEC),-0.3%,-,00:01
57,-0.6%,JPY,"Monday, December 24, 2012",-0.4%,d,Low,JPY Corporate Service Price (YoY) (NOV),-0.7%,-,23:50
58,31.4,NZD,"Thursday, December 20, 2012",,-,Low,NZD ANZ Activity Outlook (DEC),31.6,-,00:00
59,22.7,NZD,"Thursday, December 20, 2012",,-,Low,NZD ANZ Business Confidence (DEC),26.4,-,00:00
60,,AUD,"Thursday, December 20, 2012",,-,Low,AUD RBA Bulletin December QTR,,-,00:30
61,A$414M,AUD,"Thursday, December 20, 2012",,-,Low,AUD RBA Foreign Exchange Transaction (NOV),A$275M,-,00:30
62,248.5,CNY,"Thursday, December 20, 2012",,-,Low,CNY Conference Board China Leading Economic Index (NOV),245.8,-,02:00
63,0.10%,JPY,"Thursday, December 20, 2012",0.10%,-,High,JPY Bank of Japan Rate Decision (DEC 20),0.10%,-,04:03
64,0.0%,EUR,"Thursday, December 20, 2012",-0.2%,-,Low,EUR Germany Import Price Index (MoM) (Nov),-0.6%,-,07:00
65,1.1%,EUR,"Thursday, December 20, 2012",0.9%,-,Low,EUR Germany Import Price Index (YoY) (NOV),1.5%,-,07:00
66,2.95B,CHF,"Thursday, December 20, 2012",2.23B,u,Medium,CHF Trade Balance (Swiss franc) (NOV),2.73B,d,07:00
67,6.0%,CHF,"Thursday, December 20, 2012",,-,Low,CHF Exports (MoM) (NOV),-7.3%,u,07:00
68,0.2%,CHF,"Thursday, December 20, 2012",,-,Low,CHF Imports (MoM) (NOV),-6.9%,u,07:00
69,-0.1%,EUR,"Thursday, December 20, 2012",-0.2%,-,Medium,EUR German Producer Prices (MoM) (NOV),0.0%,-,07:00
70,1.4%,EUR,"Thursday, December 20, 2012",1.4%,-,High,EUR German Producer Prices (YoY) (NOV),1.5%,-,07:00
71,-2.5%,JPY,"Thursday, December 20, 2012",,-,Low,JPY Convenience Store Sales (YoY) (NOV),-2.1%,-,07:00
72,0.1%,GBP,"Thursday, December 20, 2012",0.4%,d,Low,GBP Retail Sales (MoM) (NOV),-0.5%,u,09:30
73,2.0%,GBP,"Thursday, December 20, 2012",2.2%,d,Medium,GBP Retail Sales (YoY) (NOV),1.4%,u,09:30
74,0.0%,GBP,"Thursday, December 20, 2012",0.4%,d,Low,GBP Retail Sales w/Auto Fuel (MoM) (NOV),-0.7%,u,09:30
75,0.9%,GBP,"Thursday, December 20, 2012",1.5%,d,Medium,GBP Retail Sales w/Auto Fuel (YoY) (NOV),0.8%,u,09:30
76,0.7%,CAD,"Thursday, December 20, 2012",0.2%,u,Medium,CAD Retail Sales (MoM) (OCT),0.2%,u,13:30
77,0.5%,CAD,"Thursday, December 20, 2012",0.2%,u,Low,CAD Retail Sales Less Autos (MoM) (OCT),0.1%,d,13:30
78,3.1%,USD,"Thursday, December 20, 2012",2.8%,u,High,USD Gross Domestic Product (Annualized) (3Q T),2.7%,-,13:30
79,,USD,"Thursday, December 20, 2012",1.4%,-,Medium,USD Personal Consumption (3Q T),1.4%,-,13:30
80,2.7%,USD,"Thursday, December 20, 2012",2.7%,-,High,USD Gross Domestic Product Price Index (3Q T),2.7%,-,13:30
81,1.1%,USD,"Thursday, December 20, 2012",1.1%,-,Medium,USD Core Personal Consumption Expenditure (QoQ) (3Q T),1.1%,-,13:30
82,361K,USD,"Thursday, December 20, 2012",360K,d,Medium,USD Initial Jobless Claims (DEC 15),344K,d,13:30
83,3125K,USD,"Thursday, December 20, 2012",3200K,u,Low,USD Continuing Claims (DEC 8),3213K,d,13:30
