,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,pips_agg_0_60_after,direction_agg_0_60_after
40,2007-04-16 09:00:00,30,-0.32,-0.46,0,0,1,1,0,0,1,2007,16,0,1,17,-2,-3,3,-3,-1,6,0,3,-4,0
41,2007-04-17 08:30:00,7,-1.22,-1.5,0,0,1,1,0,0,1,2007,16,1,1,23,16,16,8,17,0,16,32,15,36,2
42,2007-04-25 08:30:00,8,0.41,0.14,0,1,0,0,0,1,1,2007,17,2,1,12,-8,-8,13,-16,-8,11,-13,3,-5,0
43,2007-04-25 10:00:00,21,0.25,0.24,0,0,1,0,0,1,1,2007,17,2,1,16,16,16,6,14,-1,13,23,9,17,1
44,2007-04-27 08:30:00,1,-0.71,-0.71,0,0,1,0,0,1,1,2007,17,4,1,34,29,29,14,20,-9,11,19,-1,20,1
45,2007-04-30 08:30:00,9,-1.17,-1.18,0,0,1,1,0,0,1,2007,18,0,1,9,1,-2,6,-1,-2,8,7,7,14,1
46,2007-05-02 08:15:00,0,-0.72,-0.63,0,0,1,0,0,1,1,2007,18,2,1,7,7,4,5,6,0,3,5,-2,10,1
47,2007-05-03 10:00:00,18,0.99,0.99,0,1,0,1,0,0,1,2007,18,3,1,16,-15,-12,7,-12,4,6,-11,1,-6,0
48,2007-05-09 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,-27,9,-24,3,8,-22,2,-26,-2
49,2007-05-10 08:30:00,31,-1.41,-1.48,0,0,1,1,0,0,1,2007,19,3,1,14,11,12,16,0,-12,7,4,5,-26,-2
50,2007-05-15 08:30:00,7,0.0,0.45,1,0,0,1,0,0,1,2007,20,1,1,22,20,18,9,14,-7,6,20,5,4,0
