,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,13,-10,-7,7,-16,-3,10,-12,7,10,-20,-8,10,-13,7,6,-12,0,22,-7,22,-8,22,-13,-45,0
1,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,13,-6,-5,6,-4,1,7,4,7,7,7,3,7,2,-6,5,3,2,31,6,31,10,25,-10,25,2
2,2007-01-17 09:00:00,30,-14.1,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,12,3,-3,5,2,-1,9,-5,-7,7,-7,-3,13,5,11,5,8,2,25,3,36,15,31,8,23,2
3,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,19,-20,-12,12,-16,7,7,-12,3,6,-15,-2,8,-16,-2,9,-11,6,29,6,49,22,23,-4,38,2
4,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,10,-5,-2,10,-8,-3,6,-9,-2,5,-9,-1,7,-11,-2,8,-18,-5,21,-10,31,4,23,-15,28,2
5,2007-01-25 10:00:00,14,-0.03,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,8,-2,-1,13,-11,-11,6,-10,-2,5,-5,4,4,-7,-1,8,0,6,14,-3,14,-3,25,9,-9,1
6,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,20,-8,-1,12,1,10,7,-4,-6,7,-7,-3,11,0,6,16,16,15,38,17,38,16,23,-3,9,1
7,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,19,3,6,6,2,-2,6,-1,-4,4,-1,1,10,8,7,7,12,2,38,24,38,21,36,-24,16,2
8,2007-01-30 10:00:00,4,-0.2,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,7,6,5,5,4,-2,5,10,3,3,11,0,7,7,-4,7,4,-3,14,-1,14,7,16,-9,2,1
9,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,11,-4,0,12,-14,-9,6,-20,-4,9,-28,-7,5,-29,-1,8,-22,7,29,-14,29,-11,15,5,37,2
