,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
21,2007-02-21 08:30:00,7,0.71,0.0,0,1,0,0,0,1,1,2007,8,2,1,26,-13,-6,0,-1,19,-32,-17,-1,-2,10,-26,7,0,-2,4,-29,-2,0,-2,8,-35,-6,0,-2,5,-30,3,0,-2,31,12,-16,-1
22,2007-02-27 08:30:00,8,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,1,1,13,11,6,0,1,6,10,-1,0,1,6,12,3,0,1,11,6,-7,0,0,6,4,-3,0,0,12,11,7,0,1,32,15,-4,0
23,2007-02-27 10:00:00,14_4,1.42,1.42,0,2,0,1,1,0,2,2007,9,1,2,19,-13,-11,-1,-1,12,-22,-12,-1,-2,6,-23,-1,0,-2,8,-17,5,0,-1,4,-16,2,0,-1,7,-12,3,0,-1,26,4,4,0
24,2007-02-28 08:30:00,26,0.0,0.0,0,0,1,1,0,0,1,2007,9,2,1,14,-8,-6,0,0,15,4,11,1,0,8,0,-3,0,0,9,2,3,0,0,11,-5,-9,0,0,7,-5,1,0,0,26,22,-6,0
25,2007-02-28 10:00:00,21,-0.71,-0.71,0,0,1,0,1,0,1,2007,9,2,1,6,5,0,0,0,6,3,0,0,0,3,2,0,0,0,6,3,2,0,0,5,2,1,0,0,14,-8,-10,-1,0,20,-1,14,1
26,2007-03-01 08:30:00,9,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,8,2,3,0,0,9,4,3,0,0,9,1,-2,0,0,6,-4,-3,0,0,5,-3,0,0,0,7,0,2,0,0,19,-1,-30,-2
27,2007-03-01 10:00:00,17,0.71,0.71,0,1,0,1,0,0,1,2007,9,3,1,17,-14,-9,0,-1,8,-11,2,0,-1,8,-18,-6,0,-1,22,-37,-18,-1,-2,15,-24,13,1,-2,10,-30,-7,0,-2,40,-10,-35,-2
28,2007-03-05 10:00:00,18,-0.71,-0.71,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,1,1,11,7,-5,0,0,7,9,2,0,0,7,9,-2,0,0,2,12,2,0,1,7,12,0,0,1,40,14,-4,0
29,2007-03-06 10:00:00,24,-0.71,-0.71,0,0,1,0,0,1,1,2007,10,1,1,6,0,-2,0,0,10,-4,-5,0,0,5,1,3,0,0,4,2,1,0,0,4,2,1,0,0,6,-2,-3,0,0,18,10,4,0
30,2007-03-09 08:30:00,31_22_33,1.25,1.38,2,1,0,2,1,0,3,2007,10,4,3,31,-23,-13,-1,-2,19,-43,-17,-1,-2,7,-43,1,0,-2,16,-58,-13,-1,-2,10,-57,-2,0,-2,8,-57,0,0,-2,38,-3,-39,-2
31,2007-03-13 08:30:00,10_29,-1.33,-1.6600000000000001,0,0,2,1,0,1,2,2007,11,1,2,25,18,17,1,1,12,12,-4,0,1,10,19,8,0,1,7,20,1,0,1,7,22,2,0,2,9,24,2,0,2,30,-5,15,1
32,2007-03-15 08:30:00,23,1.13,1.13,0,1,0,1,0,0,1,2007,11,3,1,30,13,15,1,1,9,10,-3,0,1,8,4,-4,0,0,7,4,2,0,0,6,8,3,0,0,5,4,-5,0,0,30,-6,20,1
33,2007-03-15 09:00:00,30,1.1,1.13,0,1,0,1,0,0,1,2007,11,3,1,14,6,8,0,0,13,15,11,1,1,8,10,-6,0,1,5,8,0,0,0,15,15,7,0,1,7,12,-3,0,1,30,-4,22,2
34,2007-03-16 08:30:00,7,-0.58,0.0,1,0,0,1,0,0,1,2007,11,4,1,10,-2,1,0,0,8,-1,2,0,0,10,3,4,0,0,8,2,-3,0,0,6,0,-2,0,0,5,1,0,0,0,14,-11,-2,0
35,2007-03-16 10:00:00,28,-0.36,-0.49,0,0,1,0,0,1,1,2007,11,4,1,8,-3,-3,0,0,5,-1,2,0,0,4,-1,-1,0,0,7,-5,-3,0,0,4,-1,3,0,0,4,-3,-2,0,0,23,-2,-16,-1
36,2007-03-21 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,12,2,1,41,28,25,2,2,38,66,37,2,2,25,53,-13,-1,2,21,69,14,1,2,15,58,-8,0,2,12,67,9,0,2,49,3,79,2
37,2007-03-23 10:00:00,14,0.9,0.81,0,1,0,1,0,0,1,2007,12,4,1,16,-11,-11,-1,-1,9,-7,5,0,0,9,-14,-7,0,-1,14,-24,-11,-1,-2,11,-24,-2,0,-2,6,-24,0,0,-2,29,-9,-29,-2
38,2007-03-26 10:00:00,21,-0.61,-0.81,0,0,1,0,0,1,1,2007,13,0,1,21,22,17,1,2,14,33,12,1,2,4,32,-1,0,2,10,38,6,0,2,6,47,6,0,2,7,49,2,0,2,53,28,31,2
39,2007-03-27 10:00:00,4,-0.91,-0.99,0,0,1,0,0,1,1,2007,13,1,1,11,-4,-6,0,0,6,-6,-1,0,0,8,1,6,0,0,16,14,12,1,1,8,17,3,0,1,3,15,-2,0,1,17,-1,11,1
40,2007-03-28 08:30:00,8,0.31,0.29,0,0,1,0,0,1,1,2007,13,2,1,20,12,11,1,1,6,11,-1,0,1,3,10,-1,0,1,6,15,5,0,1,3,14,-2,0,1,10,8,-7,0,0,22,-1,20,1
41,2007-03-30 08:30:00,9,0.58,0.22,0,1,0,0,0,1,1,2007,13,4,1,7,-4,-4,0,0,29,-34,-28,-2,-2,11,-24,9,0,-2,7,-20,3,0,-1,8,-16,4,0,-1,5,-12,4,0,-1,20,16,-28,-2
42,2007-04-02 10:00:00,17,-0.12,-0.12,0,0,1,1,0,0,1,2007,14,0,1,12,8,7,0,0,5,9,1,0,0,4,8,0,0,0,10,1,-8,0,0,3,3,3,0,0,2,1,-2,0,0,15,-7,3,0
43,2007-04-03 10:00:00,24,0.89,0.89,0,1,0,1,0,0,1,2007,14,1,1,5,-4,-3,0,0,10,5,8,0,0,4,4,0,0,0,8,-1,-6,0,0,2,-1,0,0,0,3,0,1,0,0,12,0,-8,0
44,2007-04-04 08:15:00,0,0.0,0.4,0,0,1,0,1,0,1,2007,14,2,1,7,6,6,0,0,3,8,2,0,0,3,8,0,0,0,2,7,-1,0,0,9,-3,-9,0,0,6,-5,-2,0,0,12,4,11,1
45,2007-04-04 10:00:00,18,-0.51,-0.51,0,0,1,1,0,0,1,2007,14,2,1,13,9,9,0,0,10,7,-2,0,0,5,7,0,0,0,8,14,7,0,1,5,14,-1,0,1,5,14,0,0,1,20,-5,15,1
46,2007-04-06 08:30:00,22_33,1.8900000000000001,1.63,0,2,0,1,1,0,2,2007,14,4,2,41,-39,-34,-2,-2,19,-26,13,1,-2,22,-42,-16,-1,-2,9,-41,1,0,-2,7,-37,4,0,-2,4,-36,1,0,-2,53,-5,-45,-2
47,2007-04-13 08:30:00,31_23,0.44999999999999996,0.36,0,2,0,2,0,0,2,2007,15,4,2,17,4,5,0,0,9,-4,-8,0,0,8,1,4,0,0,2,1,1,0,0,6,4,3,0,0,4,6,1,0,0,20,-9,4,0
48,2007-04-13 10:00:00,28,-0.52,-0.22,0,0,1,1,0,0,1,2007,15,4,1,16,-4,-1,0,0,5,-9,-4,0,0,5,-9,0,0,0,8,-3,6,0,0,8,-8,-5,0,0,7,-4,4,0,0,20,8,-26,-2
49,2007-04-16 08:30:00,10_29,1.14,2.8499999999999996,1,1,0,0,2,0,2,2007,16,0,2,10,5,4,0,0,6,2,-3,0,0,5,5,3,0,0,3,5,0,0,0,3,6,1,0,0,3,6,-1,0,0,15,-9,3,0
50,2007-04-16 09:00:00,30,-0.32,-0.46,0,0,1,1,0,0,1,2007,16,0,1,17,-2,-3,0,0,3,-3,-1,0,0,6,0,3,0,0,2,0,0,0,0,3,-2,-2,0,0,9,-9,-7,0,0,21,2,0,0
51,2007-04-17 08:30:00,7,-1.22,-1.5,0,0,1,1,0,0,1,2007,16,1,1,23,16,16,1,1,8,17,0,0,1,16,32,15,1,2,18,47,15,1,2,11,40,-7,0,2,4,39,-1,0,2,27,3,34,2
52,2007-04-24 10:00:00,14_4,-1.86,-1.3800000000000001,0,0,2,1,1,0,2,2007,17,1,2,20,15,16,1,1,9,19,5,0,1,6,17,-2,0,1,11,26,8,0,2,11,34,8,0,2,7,36,1,0,2,29,6,31,2
53,2007-04-25 08:30:00,8,0.41,0.14,0,1,0,0,0,1,1,2007,17,2,1,12,-8,-8,0,0,13,-16,-8,0,-1,11,-13,3,0,-1,3,-13,0,0,-1,5,-8,5,0,0,3,-7,1,0,0,21,-9,10,1
54,2007-04-25 10:00:00,21,0.25,0.24,0,0,1,0,0,1,1,2007,17,2,1,16,16,16,1,1,6,14,-1,0,1,13,23,9,0,2,9,18,-5,0,1,11,17,-1,0,1,5,16,-1,0,1,24,0,14,1
55,2007-04-27 08:30:00,1,-0.71,-0.71,0,0,1,0,0,1,1,2007,17,4,1,34,29,29,2,2,14,20,-9,0,1,11,19,-1,0,1,12,12,-6,0,1,9,14,4,0,1,8,15,1,0,1,43,8,12,1
56,2007-04-30 08:30:00,9,-1.17,-1.18,0,0,1,1,0,0,1,2007,18,0,1,9,1,-2,0,0,6,-1,-2,0,0,8,7,7,0,0,8,13,7,0,1,3,10,-3,0,1,4,9,-1,0,0,22,5,19,1
57,2007-05-01 10:00:00,17_24,-0.43999999999999995,-0.43999999999999995,0,1,1,1,1,0,2,2007,18,1,2,15,-2,1,0,0,21,-19,-14,-1,-1,4,-21,-1,0,-2,9,-28,-8,0,-2,11,-32,-2,0,-2,10,-34,-3,0,-2,28,-1,-56,-2
58,2007-05-02 08:15:00,0,-0.72,-0.63,0,0,1,0,0,1,1,2007,18,2,1,7,7,4,0,0,5,6,0,0,0,3,5,-2,0,0,4,4,-1,0,0,4,6,3,0,0,3,6,-1,0,0,25,17,-3,0
59,2007-05-03 10:00:00,18,0.99,0.99,0,1,0,1,0,0,1,2007,18,3,1,16,-15,-12,-1,-1,7,-12,4,0,-1,6,-11,1,0,-1,4,-14,-3,0,-1,12,-24,-9,0,-2,6,-19,4,0,-1,36,-15,-13,-1
60,2007-05-04 08:30:00,22_33,-1.02,-1.12,1,0,1,2,0,0,2,2007,18,4,2,30,4,9,0,0,17,10,10,1,1,11,15,5,0,1,10,16,2,0,1,6,18,1,0,1,18,31,13,1,2,30,-5,31,2
61,2007-05-09 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,-27,-2,-2,9,-24,3,0,-2,8,-22,2,0,-2,8,-25,-1,0,-2,6,-27,-3,0,-2,6,-30,-3,0,-2,29,6,-31,-2
62,2007-05-10 08:30:00,31,-1.41,-1.48,0,0,1,1,0,0,1,2007,19,3,1,14,11,12,1,1,16,0,-12,-1,0,7,4,5,0,0,7,-1,-4,0,0,21,-26,-20,-1,-2,5,-25,1,0,-2,19,4,-23,-2
63,2007-05-11 08:30:00,10_29_23,-2.45,-1.7700000000000002,0,1,2,1,2,0,3,2007,19,4,3,11,2,0,0,0,17,-13,-16,-1,-1,5,-11,1,0,-1,5,-8,4,0,0,9,-3,4,0,0,5,1,4,0,0,18,11,17,1
64,2007-05-15 08:30:00,7,0.0,0.45,1,0,0,1,0,0,1,2007,20,1,1,22,20,18,1,1,9,14,-7,0,1,6,20,5,0,1,4,18,-2,0,1,5,16,-2,0,1,3,16,0,0,1,32,7,11,1
