,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
49,2007-02-28 10:30:00,18,0.25,0.25,1,0,0,1,0,0,0,1,0,2007,9,2,1,30,-8,15,1
50,2007-03-01 00:00:00,67,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,9,3,1,10,-1,2,0
51,2007-03-01 09:30:00,46,-1.01,-1.01,1,0,0,1,0,0,0,1,0,2007,9,3,1,18,0,-32,-2
52,2007-03-02 10:00:00,63,-0.71,0.71,0,0,1,1,0,0,0,0,1,2007,9,4,1,21,-5,-3,0
53,2007-03-05 10:00:00,40,-0.71,-0.71,0,0,1,1,0,0,1,0,0,2007,10,0,1,40,14,2,0
54,2007-03-07 08:15:00,0,-0.71,-0.71,0,0,1,0,0,1,0,0,1,2007,10,2,1,17,3,2,0
55,2007-03-07 10:30:00,18,1.23,1.23,1,0,0,1,0,0,0,1,0,2007,10,2,1,21,10,-5,0
56,2007-03-07 15:00:00,12,-0.54,-0.71,0,0,1,0,0,1,0,1,0,2007,10,2,1,24,21,-3,0
57,2007-03-08 08:30:00,69,0.79,0.8,1,0,0,1,0,0,0,1,0,2007,10,3,1,19,2,-36,-2
58,2007-03-08 09:30:00,46,0.59,0.59,1,0,0,1,0,0,0,1,0,2007,10,3,1,54,-28,-2,0
59,2007-03-09 10:00:00,31,-1.02,-1.02,0,0,1,1,0,0,0,1,0,2007,10,4,1,21,1,12,1
60,2007-03-12 15:00:00,25,-0.6,-0.6,0,1,0,1,0,0,0,0,1,2007,11,0,1,27,7,3,0
61,2007-03-13 10:00:00,5,-1.0,-0.93,0,0,1,1,0,0,0,0,1,2007,11,1,1,14,-9,-7,0
62,2007-03-13 11:00:00,37,0.33,0.33,1,0,0,1,0,0,0,1,0,2007,11,1,1,17,-13,4,0
63,2007-03-14 10:30:00,18,-0.1,-0.1,1,0,0,1,0,0,0,1,0,2007,11,2,1,33,30,7,0
64,2007-03-15 09:00:00,66,1.1,1.13,0,1,0,1,0,0,1,0,0,2007,11,3,1,30,-4,11,1
65,2007-03-15 10:30:00,46,-0.33,-0.33,1,0,0,1,0,0,0,1,0,2007,11,3,1,13,4,17,1
66,2007-03-15 12:00:00,53,-0.62,-0.62,0,0,1,1,0,0,0,0,1,2007,11,3,1,20,10,-16,-1
67,2007-03-16 10:00:00,58,-0.36,-0.49,0,0,1,0,0,1,1,0,0,2007,11,4,1,23,-2,-3,0
68,2007-03-19 13:00:00,44,-1.05,-1.07,0,0,1,0,0,1,0,1,0,2007,12,0,1,13,-2,-2,0
69,2007-03-21 10:30:00,18,-0.99,-0.99,1,0,0,1,0,0,0,1,0,2007,12,2,1,9,1,-3,0
70,2007-03-21 14:15:00,26,0.0,0.0,1,0,0,1,0,0,1,0,0,2007,12,2,1,49,3,71,2
71,2007-03-22 08:30:00,69,0.47,0.37,1,0,0,1,0,0,0,1,0,2007,12,3,1,20,-8,0,0
72,2007-03-22 10:00:00,7,-0.7,-1.15,0,0,1,0,0,1,0,1,0,2007,12,3,1,22,6,3,0
73,2007-03-22 10:30:00,46,-1.79,-1.79,1,0,0,1,0,0,0,1,0,2007,12,3,1,22,8,-12,-1
74,2007-03-23 10:00:00,23,0.9,0.81,0,1,0,1,0,0,1,0,0,2007,12,4,1,29,-9,-26,-2
75,2007-03-26 10:00:00,47,-0.61,-0.81,0,0,1,0,0,1,1,0,0,2007,13,0,1,53,28,33,2
76,2007-03-27 09:00:00,65,-1.13,-1.13,0,0,1,1,0,0,0,1,0,2007,13,1,1,21,-6,4,0
77,2007-03-28 10:30:00,18,0.34,0.34,1,0,0,1,0,0,0,1,0,2007,13,2,1,20,1,-7,0
78,2007-03-29 10:30:00,46,0.47,0.47,1,0,0,1,0,0,0,1,0,2007,13,3,1,10,2,-1,0
79,2007-03-30 09:45:00,10,1.15,1.15,0,1,0,1,0,0,0,0,1,2007,13,4,1,24,-2,-2,0
80,2007-04-03 01:00:00,67,-0.32,-0.32,1,0,0,1,0,0,0,1,0,2007,14,1,1,4,1,-10,-1
81,2007-04-03 10:00:00,50,0.89,0.89,0,1,0,1,0,0,1,0,0,2007,14,1,1,12,0,2,0
82,2007-04-04 08:15:00,0,0.0,0.4,0,0,1,0,1,0,1,0,0,2007,14,2,1,12,4,8,0
83,2007-04-04 10:30:00,18,-1.51,-1.51,1,0,0,1,0,0,0,1,0,2007,14,2,1,28,14,-3,0
84,2007-04-05 08:30:00,69,-1.47,-1.55,0,0,1,1,0,0,0,1,0,2007,14,3,1,22,9,39,2
85,2007-04-05 10:30:00,46,0.43,0.43,1,0,0,1,0,0,0,1,0,2007,14,3,1,16,5,-3,0
86,2007-04-06 10:00:00,31,0.44,0.45,0,0,1,0,1,0,0,1,0,2007,14,4,1,16,-5,1,0
87,2007-04-06 15:00:00,12,-0.78,-0.78,0,0,1,1,0,0,0,1,0,2007,14,4,1,8,4,-3,0
88,2007-04-10 10:00:00,37,-1.45,-1.45,0,0,1,1,0,0,0,1,0,2007,15,1,1,15,1,8,0
89,2007-04-11 10:30:00,18,0.59,0.59,1,0,0,1,0,0,0,1,0,2007,15,2,1,12,2,7,0
90,2007-04-11 14:00:00,25,-0.68,-0.68,0,0,1,1,0,0,0,0,1,2007,15,2,1,18,-5,-1,0
91,2007-04-12 10:30:00,46,0.42,0.42,1,0,0,1,0,0,0,1,0,2007,15,3,1,22,13,10,1
92,2007-04-13 10:00:00,58,-0.52,-0.22,0,0,1,1,0,0,1,0,0,2007,15,4,1,20,8,-23,-2
93,2007-04-16 09:00:00,66,-0.32,-0.46,0,0,1,1,0,0,1,0,0,2007,16,0,1,21,2,-4,0
94,2007-04-16 10:00:00,5,-0.44,-0.46,0,0,1,1,0,0,0,0,1,2007,16,0,1,14,-2,5,0
95,2007-04-16 13:00:00,44,-0.96,-0.85,0,0,1,1,0,0,0,1,0,2007,16,0,1,7,1,0,0
96,2007-04-18 10:30:00,18,0.89,0.89,1,0,0,1,0,0,0,1,0,2007,16,2,1,17,-3,0,0
97,2007-04-19 08:30:00,69,-0.56,-0.5,0,0,1,1,0,0,0,1,0,2007,16,3,1,18,6,-11,-1
98,2007-04-19 10:00:00,7,-0.39,0.16,0,0,1,0,0,1,0,1,0,2007,16,3,1,15,-4,20,1
99,2007-04-19 10:30:00,46,0.45,0.45,1,0,0,1,0,0,0,1,0,2007,16,3,1,25,9,13,1
100,2007-04-19 12:00:00,53,-0.51,-0.51,0,0,1,1,0,0,0,0,1,2007,16,3,1,14,-3,-1,0
101,2007-04-24 09:00:00,65,0.67,0.33,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,-4,15,1
102,2007-04-25 10:00:00,47,0.25,0.24,0,0,1,0,0,1,1,0,0,2007,17,2,1,24,0,17,1
103,2007-04-25 10:30:00,18,-0.32,-0.32,1,0,0,1,0,0,0,1,0,2007,17,2,1,34,17,-2,0
104,2007-04-26 08:30:00,69,0.68,0.68,1,0,0,1,0,0,0,1,0,2007,17,3,1,18,2,1,0
105,2007-04-26 10:30:00,46,0.19,0.19,1,0,0,1,0,0,0,1,0,2007,17,3,1,16,-1,-2,0
106,2007-04-27 10:00:00,63,1.16,1.2,0,1,0,1,0,0,0,0,1,2007,17,4,1,21,1,-3,0
107,2007-04-30 09:45:00,10,-0.4,-0.4,0,0,1,1,0,0,0,0,1,2007,18,0,1,17,1,10,1
108,2007-04-30 10:00:00,11,0.28,0.8,1,0,0,0,1,0,0,1,0,2007,18,0,1,24,18,6,0
109,2007-05-01 01:00:00,67,-0.93,-0.93,1,0,0,1,0,0,0,1,0,2007,18,1,1,9,-5,2,0
110,2007-05-02 08:15:00,0,-0.72,-0.63,0,0,1,0,0,1,1,0,0,2007,18,2,1,25,17,10,1
111,2007-05-02 10:00:00,24,1.04,1.24,0,1,0,0,1,0,0,0,1,2007,18,2,1,17,9,2,0
112,2007-05-02 10:30:00,18,0.4,0.4,1,0,0,1,0,0,0,1,0,2007,18,2,1,35,13,2,0
113,2007-05-03 10:00:00,40,0.99,0.99,0,1,0,1,0,0,1,0,0,2007,18,3,1,36,-15,-6,0
114,2007-05-03 10:30:00,46,0.18,0.18,1,0,0,1,0,0,0,1,0,2007,18,3,1,35,-30,1,0
115,2007-05-07 15:00:00,12,1.45,1.59,0,1,0,0,1,0,0,1,0,2007,19,0,1,11,-7,3,0
116,2007-05-08 10:00:00,31,0.51,0.53,0,1,0,0,1,0,0,1,0,2007,19,1,1,9,-1,-28,-2
117,2007-05-09 10:30:00,18,-1.45,-1.45,1,0,0,1,0,0,0,1,0,2007,19,2,1,12,-7,-3,0
118,2007-05-09 14:15:00,26,0.0,0.0,1,0,0,1,0,0,1,0,0,2007,19,2,1,29,6,-26,-2
119,2007-05-10 10:30:00,46,0.68,0.68,1,0,0,1,0,0,0,1,0,2007,19,3,1,16,3,-8,0
120,2007-05-10 14:00:00,25,0.1,0.1,0,1,0,1,0,0,0,0,1,2007,19,3,1,12,5,10,1
121,2007-05-11 10:00:00,5,1.25,1.18,0,1,0,0,1,0,0,0,1,2007,19,4,1,18,10,17,1
122,2007-05-15 09:00:00,66,-0.04,-0.14,0,0,1,1,0,0,1,0,0,2007,20,1,1,30,22,-9,0
123,2007-05-15 10:00:00,37,1.38,1.38,0,1,0,1,0,0,0,1,0,2007,20,1,1,10,-1,49,2
124,2007-05-15 13:00:00,44,-0.84,-0.77,0,0,1,1,0,0,0,1,0,2007,20,1,1,7,0,-9,0
125,2007-05-16 10:30:00,18,0.62,0.62,1,0,0,1,0,0,0,1,0,2007,20,2,1,12,-1,-31,-2
126,2007-05-17 08:30:00,69,0.6,0.68,0,1,0,1,0,0,0,1,0,2007,20,3,1,36,-4,-27,-2
127,2007-05-17 10:00:00,7,-1.72,0.72,0,0,1,0,1,0,0,1,0,2007,20,3,1,13,-3,-2,0
128,2007-05-17 10:30:00,46,1.04,1.04,1,0,0,1,0,0,0,1,0,2007,20,3,1,15,7,2,0
129,2007-05-17 12:00:00,53,0.43,0.43,0,1,0,1,0,0,0,0,1,2007,20,3,1,10,1,5,0
130,2007-05-18 10:00:00,58,0.61,0.95,0,1,0,0,1,0,1,0,0,2007,20,4,1,10,4,8,0
131,2007-05-22 10:00:00,64,0.5,0.5,0,0,1,1,0,0,0,1,0,2007,21,1,1,7,-2,11,1
132,2007-05-23 10:30:00,18,-0.26,-0.26,1,0,0,1,0,0,0,1,0,2007,21,2,1,11,-4,0,0
133,2007-05-24 10:00:00,47,1.31,1.21,0,1,0,0,0,1,1,0,0,2007,21,3,1,33,3,-14,-1
134,2007-05-24 10:30:00,46,-1.17,-1.17,1,0,0,1,0,0,0,1,0,2007,21,3,1,35,-26,1,0
