,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
0,clf,kn,basic,ALL_NO_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 31},0.58,0.60,0.56,0.56,0.69,314.00,619.00,359.00,"{'0': {'precision': 0.5645933014354066, 'recall': 0.37579617834394907, 'f1-score': 0.4512428298279159, 'support': 314}, '1': {'precision': 0.5622270742358079, 'recall': 0.8319870759289176, 'f1-score': 0.6710097719869708, 'support': 619}, '2': {'precision': 0.6946107784431138, 'recall': 0.3231197771587744, 'f1-score': 0.4410646387832699, 'support': 359}, 'micro avg': {'precision': 0.5797213622291022, 'recall': 0.5797213622291022, 'f1-score': 0.5797213622291022, 'support': 1292}, 'macro avg': {'precision': 0.6071437180381095, 'recall': 0.5103010104772138, 'f1-score': 0.5211057468660522, 'support': 1292}, 'weighted avg': {'precision': 0.5995867841050778, 'recall': 0.5797213622291022, 'f1-score': 0.5537054974838193, 'support': 1292}}",6.24
1,clf,svc-rbf,basic,ALL_NO_1_1_1,60_240,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,314.00,619.00,359.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 314}, '1': {'precision': 0.4791021671826625, 'recall': 1.0, 'f1-score': 0.6478283621140764, 'support': 619}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 359}, 'micro avg': {'precision': 0.4791021671826625, 'recall': 0.4791021671826625, 'f1-score': 0.4791021671826625, 'support': 1292}, 'macro avg': {'precision': 0.15970072239422084, 'recall': 0.3333333333333333, 'f1-score': 0.21594278737135877, 'support': 1292}, 'weighted avg': {'precision': 0.22953888659912391, 'recall': 0.4791021671826625, 'f1-score': 0.3103759722512487, 'support': 1292}}",8.74
2,clf,dtree,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,"{'max_depth': 4, 'min_samples_leaf': 150}",0.62,0.63,0.66,0.59,0.68,314.00,619.00,359.00,"{'0': {'precision': 0.6556603773584906, 'recall': 0.4426751592356688, 'f1-score': 0.5285171102661597, 'support': 314}, '1': {'precision': 0.5882352941176471, 'recall': 0.8077544426494345, 'f1-score': 0.6807351940095302, 'support': 619}, '2': {'precision': 0.6782608695652174, 'recall': 0.43454038997214484, 'f1-score': 0.5297113752122241, 'support': 359}, 'micro avg': {'precision': 0.6153250773993808, 'recall': 0.6153250773993808, 'f1-score': 0.6153250773993808, 'support': 1292}, 'macro avg': {'precision': 0.640718847013785, 'recall': 0.561656663952416, 'f1-score': 0.5796545598293047, 'support': 1292}, 'weighted avg': {'precision': 0.6296367319839804, 'recall': 0.6153250773993808, 'f1-score': 0.6017769670407599, 'support': 1292}}",0.49
3,clf,rforest,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.61,0.63,0.62,0.59,0.69,314.00,619.00,359.00,"{'0': {'precision': 0.6231884057971014, 'recall': 0.410828025477707, 'f1-score': 0.4952015355086372, 'support': 314}, '1': {'precision': 0.5904872389791184, 'recall': 0.8222940226171244, 'f1-score': 0.687373396353815, 'support': 619}, '2': {'precision': 0.6860986547085202, 'recall': 0.42618384401114207, 'f1-score': 0.5257731958762887, 'support': 359}, 'micro avg': {'precision': 0.6122291021671826, 'recall': 0.6122291021671826, 'f1-score': 0.6122291021671826, 'support': 1292}, 'macro avg': {'precision': 0.6332580998282467, 'recall': 0.5531019640353245, 'f1-score': 0.5694493759129137, 'support': 1292}, 'weighted avg': {'precision': 0.6250016852853892, 'recall': 0.6122291021671826, 'f1-score': 0.5957662475327486, 'support': 1292}}",19.33
4,clf,xgb,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 50},0.61,0.62,0.62,0.59,0.66,314.00,619.00,359.00,"{'0': {'precision': 0.6157205240174672, 'recall': 0.44904458598726116, 'f1-score': 0.5193370165745856, 'support': 314}, '1': {'precision': 0.5914634146341463, 'recall': 0.7835218093699515, 'f1-score': 0.6740792216817234, 'support': 619}, '2': {'precision': 0.6584362139917695, 'recall': 0.4456824512534819, 'f1-score': 0.5315614617940199, 'support': 359}, 'micro avg': {'precision': 0.608359133126935, 'recall': 0.608359133126935, 'f1-score': 0.608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.621873384214461, 'recall': 0.5594162822035648, 'f1-score': 0.5749925666834429, 'support': 1292}, 'weighted avg': {'precision': 0.6159680332995872, 'recall': 0.608359133126935, 'f1-score': 0.5968710729175385, 'support': 1292}}",0.90
5,clf,gboosting,basic,ALL_NO_1_1_1,60_240,included,basic,0.63,{'n_estimators': 10},0.61,0.63,0.64,0.59,0.68,314.00,619.00,359.00,"{'0': {'precision': 0.6442307692307693, 'recall': 0.4267515923566879, 'f1-score': 0.5134099616858238, 'support': 314}, '1': {'precision': 0.5881670533642691, 'recall': 0.8190630048465266, 'f1-score': 0.6846725185685347, 'support': 619}, '2': {'precision': 0.6846846846846847, 'recall': 0.4233983286908078, 'f1-score': 0.5232358003442341, 'support': 359}, 'micro avg': {'precision': 0.6137770897832817, 'recall': 0.6137770897832817, 'f1-score': 0.6137770897832817, 'support': 1292}, 'macro avg': {'precision': 0.6390275024265745, 'recall': 0.5564043086313408, 'f1-score': 0.5737727601995308, 'support': 1292}, 'weighted avg': {'precision': 0.6286111992049118, 'recall': 0.6137770897832817, 'f1-score': 0.5981924684882753, 'support': 1292}}",2.51
6,clf,ada,basic,ALL_NO_1_1_1,60_240,included,basic,0.62,{'n_estimators': 10},0.61,0.62,0.66,0.59,0.63,314.00,619.00,359.00,"{'0': {'precision': 0.6587677725118484, 'recall': 0.4426751592356688, 'f1-score': 0.5295238095238096, 'support': 314}, '1': {'precision': 0.5905707196029777, 'recall': 0.7689822294022617, 'f1-score': 0.6680701754385965, 'support': 619}, '2': {'precision': 0.6327272727272727, 'recall': 0.48467966573816157, 'f1-score': 0.5488958990536278, 'support': 359}, 'micro avg': {'precision': 0.6106811145510835, 'recall': 0.6106811145510835, 'f1-score': 0.6106811145510835, 'support': 1292}, 'macro avg': {'precision': 0.6273552549473663, 'recall': 0.5654456847920307, 'f1-score': 0.5821632946720113, 'support': 1292}, 'weighted avg': {'precision': 0.6188587050402898, 'recall': 0.6106811145510835, 'f1-score': 0.601284475655743, 'support': 1292}}",0.75
0,reg,kn,basic,ALL_NO_1_1_1,60_240,included,basic,36.22,{'n_neighbors': 11},,,,,,,,,36.68,6.24
1,reg,svr-rbf,basic,ALL_NO_1_1_1,60_240,included,basic,42.06,"{'C': 3, 'gamma': 1}",,,,,,,,,42.42,6.34
2,reg,dtree,basic,ALL_NO_1_1_1,60_240,included,basic,33.88,"{'max_depth': 4, 'min_samples_leaf': 20}",,,,,,,,,33.53,0.58
