,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
28,2007-03-05 10:00:00,18,-0.71,-0.71,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,11,7,-5,7,9,2,7,9,-2,2,12,2,7,12,0,40,14,2,0
29,2007-03-06 10:00:00,24,-0.71,-0.71,0,0,1,0,0,1,1,2007,10,1,1,6,0,-2,10,-4,-5,5,1,3,4,2,1,4,2,1,6,-2,-3,18,10,5,0
30,2007-03-09 08:30:00,31_22_33,1.25,1.38,2,1,0,2,1,0,3,2007,10,4,3,31,-23,-13,19,-43,-17,7,-43,1,16,-58,-13,10,-57,-2,8,-57,0,38,-3,-47,-2
31,2007-03-13 08:30:00,10_29,-1.33,-1.6600000000000001,0,0,2,1,0,1,2,2007,11,1,2,25,18,17,12,12,-4,10,19,8,7,20,1,7,22,2,9,24,2,30,-5,29,2
32,2007-03-15 08:30:00,23,1.13,1.13,0,1,0,1,0,0,1,2007,11,3,1,30,13,15,9,10,-3,8,4,-4,7,4,2,6,8,3,5,4,-5,30,-6,21,2
33,2007-03-15 09:00:00,30,1.1,1.13,0,1,0,1,0,0,1,2007,11,3,1,14,6,8,13,15,11,8,10,-6,5,8,0,15,15,7,7,12,-3,30,-4,11,1
34,2007-03-16 08:30:00,7,-0.58,0.0,1,0,0,1,0,0,1,2007,11,4,1,10,-2,1,8,-1,2,10,3,4,8,2,-3,6,0,-2,5,1,0,14,-11,-10,-1
35,2007-03-16 10:00:00,28,-0.36,-0.49,0,0,1,0,0,1,1,2007,11,4,1,8,-3,-3,5,-1,2,4,-1,-1,7,-5,-3,4,-1,3,4,-3,-2,23,-2,-3,0
36,2007-03-21 14:15:00,15,0.0,0.0,1,0,0,1,0,0,1,2007,12,2,1,41,28,25,38,66,37,25,53,-13,21,69,14,15,58,-8,12,67,9,49,3,71,2
37,2007-03-23 10:00:00,14,0.9,0.81,0,1,0,1,0,0,1,2007,12,4,1,16,-11,-11,9,-7,5,9,-14,-7,14,-24,-11,11,-24,-2,6,-24,0,29,-9,-26,-2
