,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
3,reg,rforest,basic,ALL_NO_1_1_1,60_120,included,basic,22.10,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,21.66,54.32
4,reg,xgb,basic,ALL_NO_1_1_1,60_120,included,basic,22.03,{'n_estimators': 50},,,,,,,,,22.10,0.31
5,reg,gboosting,basic,ALL_NO_1_1_1,60_120,included,basic,22.07,{'n_estimators': 50},,,,,,,,,22.58,0.80
6,reg,ada,basic,ALL_NO_1_1_1,60_120,included,basic,23.24,{'n_estimators': 10},,,,,,,,,23.07,0.98
0,clf,kn,all,ALL_NO_1_1_1,60_120,included,basic,0.63,{'n_neighbors': 11},0.65,0.66,0.63,0.63,0.73,332.00,618.00,342.00,"{'0': {'precision': 0.6333333333333333, 'recall': 0.5150602409638554, 'f1-score': 0.5681063122923588, 'support': 332}, '1': {'precision': 0.63, 'recall': 0.8155339805825242, 'f1-score': 0.7108603667136812, 'support': 618}, '2': {'precision': 0.7297297297297297, 'recall': 0.47368421052631576, 'f1-score': 0.5744680851063829, 'support': 342}, 'micro avg': {'precision': 0.6478328173374613, 'recall': 0.6478328173374613, 'f1-score': 0.6478328173374613, 'support': 1292}, 'macro avg': {'precision': 0.6643543543543543, 'recall': 0.6014261440242318, 'f1-score': 0.6178115880374743, 'support': 1292}, 'weighted avg': {'precision': 0.6572555992525031, 'recall': 0.6478328173374613, 'f1-score': 0.6380735970715953, 'support': 1292}}",7.62
1,clf,svc-rbf,all,ALL_NO_1_1_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,332.00,618.00,342.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 332}, '1': {'precision': 0.47832817337461303, 'recall': 1.0, 'f1-score': 0.6471204188481676, 'support': 618}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 342}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.15944272445820434, 'recall': 0.3333333333333333, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 0.22879784144389384, 'recall': 0.47832817337461303, 'f1-score': 0.3095359279010585, 'support': 1292}}",10.70
2,clf,dtree,all,ALL_NO_1_1_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 200}",0.68,0.69,0.73,0.65,0.71,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6476063829787234, 'recall': 0.7880258899676376, 'f1-score': 0.710948905109489, 'support': 618}, '2': {'precision': 0.7110266159695817, 'recall': 0.5467836257309941, 'f1-score': 0.6181818181818182, 'support': 342}, 'micro avg': {'precision': 0.6787925696594427, 'recall': 0.6787925696594427, 'f1-score': 0.6787925696594427, 'support': 1292}, 'macro avg': {'precision': 0.697161661502624, 'recall': 0.648751766277054, 'f1-score': 0.665265796652658, 'support': 1292}, 'weighted avg': {'precision': 0.6862993084738578, 'recall': 0.6787925696594427, 'f1-score': 0.6750138842950305, 'support': 1292}}",0.89
3,clf,rforest,all,ALL_NO_1_1_1,60_120,included,basic,0.67,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 10}",0.68,0.69,0.73,0.64,0.74,332.00,618.00,342.00,"{'0': {'precision': 0.7310924369747899, 'recall': 0.5240963855421686, 'f1-score': 0.6105263157894737, 'support': 332}, '1': {'precision': 0.6427688504326329, 'recall': 0.8414239482200647, 'f1-score': 0.728801681850035, 'support': 618}, '2': {'precision': 0.7428571428571429, 'recall': 0.5321637426900585, 'f1-score': 0.6201022146507666, 'support': 342}, 'micro avg': {'precision': 0.6780185758513931, 'recall': 0.6780185758513931, 'f1-score': 0.6780185758513931, 'support': 1292}, 'macro avg': {'precision': 0.7055728100881886, 'recall': 0.6325613588174307, 'f1-score': 0.6531434040967584, 'support': 1292}, 'weighted avg': {'precision': 0.6919589640093966, 'recall': 0.6780185758513931, 'f1-score': 0.6696355523498368, 'support': 1292}}",30.62
4,clf,xgb,all,ALL_NO_1_1_1,60_120,included,basic,0.68,{'n_estimators': 50},0.70,0.70,0.75,0.67,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.7509727626459144, 'recall': 0.5813253012048193, 'f1-score': 0.6553480475382003, 'support': 332}, '1': {'precision': 0.6653491436100132, 'recall': 0.8171521035598706, 'f1-score': 0.7334785766158315, 'support': 618}, '2': {'precision': 0.7246376811594203, 'recall': 0.5847953216374269, 'f1-score': 0.6472491909385114, 'support': 342}, 'micro avg': {'precision': 0.695046439628483, 'recall': 0.695046439628483, 'f1-score': 0.695046439628483, 'support': 1292}, 'macro avg': {'precision': 0.713653195805116, 'recall': 0.6610909088007056, 'f1-score': 0.6786919383641811, 'support': 1292}, 'weighted avg': {'precision': 0.703045522373029, 'recall': 0.695046439628483, 'f1-score': 0.6905762658144251, 'support': 1292}}",1.40
5,clf,gboosting,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 50},0.69,0.69,0.73,0.67,0.72,332.00,618.00,342.00,"{'0': {'precision': 0.7272727272727273, 'recall': 0.5783132530120482, 'f1-score': 0.6442953020134229, 'support': 332}, '1': {'precision': 0.6653279785809906, 'recall': 0.8042071197411004, 'f1-score': 0.7282051282051282, 'support': 618}, '2': {'precision': 0.7153024911032029, 'recall': 0.5877192982456141, 'f1-score': 0.6452648475120385, 'support': 342}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.7026343989856403, 'recall': 0.6567465569995875, 'f1-score': 0.6725884259101965, 'support': 1292}, 'weighted avg': {'precision': 0.6944742168536324, 'recall': 0.6888544891640866, 'f1-score': 0.684688380300575, 'support': 1292}}",4.64
6,clf,ada,all,ALL_NO_1_1_1,60_120,included,basic,0.67,{'n_estimators': 10},0.69,0.69,0.73,0.68,0.66,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.6837349397590361, 'recall': 0.7346278317152104, 'f1-score': 0.7082683307332295, 'support': 618}, '2': {'precision': 0.6638176638176638, 'recall': 0.6812865497076024, 'f1-score': 0.6724386724386725, 'support': 342}, 'micro avg': {'precision': 0.6888544891640866, 'recall': 0.6888544891640866, 'f1-score': 0.6888544891640866, 'support': 1292}, 'macro avg': {'precision': 0.6934681963787556, 'recall': 0.6757867215184477, 'f1-score': 0.6824578899461895, 'support': 1292}, 'weighted avg': {'precision': 0.6910841277109144, 'recall': 0.6888544891640866, 'f1-score': 0.6880937985297951, 'support': 1292}}",1.27
0,reg,kn,all,ALL_NO_1_1_1,60_120,included,basic,25.89,{'n_neighbors': 11},,,,,,,,,26.27,11.07
1,reg,svr-rbf,all,ALL_NO_1_1_1,60_120,included,basic,34.20,"{'C': 1, 'gamma': 1}",,,,,,,,,34.77,10.09
2,reg,dtree,all,ALL_NO_1_1_1,60_120,included,basic,22.29,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,22.15,0.86
3,reg,rforest,all,ALL_NO_1_1_1,60_120,included,basic,22.11,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,21.67,88.15
4,reg,xgb,all,ALL_NO_1_1_1,60_120,included,basic,22.16,{'n_estimators': 50},,,,,,,,,22.04,0.46
5,reg,gboosting,all,ALL_NO_1_1_1,60_120,included,basic,22.05,{'n_estimators': 50},,,,,,,,,22.65,1.08
6,reg,ada,all,ALL_NO_1_1_1,60_120,included,basic,23.14,{'n_estimators': 10},,,,,,,,,22.67,1.65
0,clf,kn,basic,ALL_NO_3_2_1,60_120,included,basic,0.63,{'n_neighbors': 11},0.65,0.66,0.65,0.63,0.74,332.00,618.00,342.00,"{'0': {'precision': 0.6463878326996197, 'recall': 0.5120481927710844, 'f1-score': 0.5714285714285714, 'support': 332}, '1': {'precision': 0.631578947368421, 'recall': 0.8155339805825242, 'f1-score': 0.711864406779661, 'support': 618}, '2': {'precision': 0.7402597402597403, 'recall': 0.5, 'f1-score': 0.5968586387434556, 'support': 342}, 'micro avg': {'precision': 0.6540247678018576, 'recall': 0.6540247678018576, 'f1-score': 0.6540247678018576, 'support': 1292}, 'macro avg': {'precision': 0.6727421734425937, 'recall': 0.6091940577845362, 'f1-score': 0.6267172056505627, 'support': 1292}, 'weighted avg': {'precision': 0.6641527717482888, 'recall': 0.6540247678018576, 'f1-score': 0.6453344764352771, 'support': 1292}}",7.80
1,clf,svc-rbf,basic,ALL_NO_3_2_1,60_120,included,basic,0.50,"{'C': 1, 'gamma': 1}",0.48,0.23,0.00,0.48,0.00,332.00,618.00,342.00,"{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 332}, '1': {'precision': 0.47832817337461303, 'recall': 1.0, 'f1-score': 0.6471204188481676, 'support': 618}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 342}, 'micro avg': {'precision': 0.47832817337461303, 'recall': 0.47832817337461303, 'f1-score': 0.47832817337461303, 'support': 1292}, 'macro avg': {'precision': 0.15944272445820434, 'recall': 0.3333333333333333, 'f1-score': 0.21570680628272254, 'support': 1292}, 'weighted avg': {'precision': 0.22879784144389384, 'recall': 0.47832817337461303, 'f1-score': 0.3095359279010585, 'support': 1292}}",11.56
2,clf,dtree,basic,ALL_NO_3_2_1,60_120,included,basic,0.68,"{'max_depth': 3, 'min_samples_leaf': 10}",0.69,0.71,0.73,0.64,0.81,332.00,618.00,342.00,"{'0': {'precision': 0.7328519855595668, 'recall': 0.6114457831325302, 'f1-score': 0.6666666666666667, 'support': 332}, '1': {'precision': 0.644361833952912, 'recall': 0.8414239482200647, 'f1-score': 0.7298245614035087, 'support': 618}, '2': {'precision': 0.8125, 'recall': 0.49415204678362573, 'f1-score': 0.6145454545454545, 'support': 342}, 'micro avg': {'precision': 0.6904024767801857, 'recall': 0.6904024767801857, 'f1-score': 0.6904024767801857, 'support': 1292}, 'macro avg': {'precision': 0.7299046065041596, 'recall': 0.6490072593787403, 'f1-score': 0.6703455608718766, 'support': 1292}, 'weighted avg': {'precision': 0.7116079509200277, 'recall': 0.6904024767801857, 'f1-score': 0.6830800756464761, 'support': 1292}}",0.72
