,datetime,new_id,forecast_error_ratio_zscore,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,direction_candle_0_5_after,direction_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,direction_candle_5_10_after,direction_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,direction_candle_10_15_after,direction_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,direction_candle_15_20_after,direction_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,direction_candle_20_25_after,direction_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,direction_candle_25_30_after,direction_agg_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
0,2007-01-08 15:00:00,12,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,0,1,6,1,0,0,0,4,-1,-2,0,0,9,1,1,0,0,4,2,2,0,0,6,0,-2,0,0,5,0,0,0,0,14,4,-1,0
1,2007-01-09 10:00:00,37,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,1,1,5,0,0,0,0,7,2,1,0,0,5,1,-2,0,0,5,2,1,0,0,4,0,0,0,0,6,5,5,0,0,20,-3,-3,0
2,2007-01-10 08:30:00,68,0.0,0.0,0,3,0,3,0,0,1,0,0,2007,2,2,1,13,-10,-7,0,-1,7,-16,-3,0,-1,10,-12,7,0,-1,10,-20,-8,0,-1,10,-13,7,0,-1,6,-12,0,0,-1,22,-13,-8,0
3,2007-01-10 10:00:00,31,0.0,0.0,0,0,1,0,1,0,0,1,0,2007,2,2,1,7,6,5,0,0,18,-12,-15,-1,-1,14,-20,-9,0,-1,7,-21,2,0,-2,6,-25,-2,0,-2,7,-28,-3,0,-2,24,-15,-21,-2
4,2007-01-10 10:30:00,18,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,2,1,5,4,4,0,0,8,10,6,0,1,5,10,-1,0,1,8,9,-3,0,0,7,9,-1,0,0,6,11,3,0,1,46,-37,13,1
5,2007-01-11 08:30:00,69,0.0,0.0,0,1,0,1,0,0,0,1,0,2007,2,3,1,11,-9,-9,0,0,26,-26,-16,-1,-2,20,-31,-4,0,-2,14,-42,-12,-1,-2,20,-47,-4,0,-2,11,-55,-5,0,-2,24,17,-72,-2
6,2007-01-11 10:30:00,46,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,2,3,1,8,0,5,0,0,7,-3,-3,0,0,3,-4,0,0,0,7,-7,-3,0,0,9,-3,4,0,0,7,-6,-3,0,0,46,-33,6,0
7,2007-01-12 10:00:00,5,0.0,0.0,2,0,0,0,2,0,0,0,1,2007,2,4,1,17,-4,-7,0,0,8,-10,-6,0,-1,8,-5,3,0,0,15,7,12,1,0,7,7,0,0,0,7,6,0,0,0,33,21,3,0
8,2007-01-12 14:00:00,25,0.0,0.0,0,2,0,2,0,0,0,0,1,2007,2,4,1,6,0,-1,0,0,5,-1,-1,0,0,7,-5,-2,0,0,4,-4,-1,0,0,5,-4,0,0,0,6,0,4,0,0,14,-5,0,0
9,2007-01-16 08:30:00,21,0.0,0.0,0,0,2,2,0,0,0,0,1,2007,3,1,1,11,15,10,1,1,6,11,0,0,1,5,13,2,0,1,7,8,-6,0,0,6,13,5,0,1,7,5,-7,0,0,28,-17,-2,0
10,2007-01-17 09:00:00,66,0.0,0.0,0,0,3,0,3,0,1,0,0,2007,3,2,1,12,3,-3,0,0,5,2,-1,0,0,9,-5,-7,0,0,7,-7,-3,0,0,13,5,11,1,0,5,8,2,0,0,31,8,15,1
11,2007-01-17 13:00:00,44,0.0,0.0,0,1,0,0,1,0,0,1,0,2007,3,2,1,7,-6,-4,0,0,7,-1,5,0,0,6,-6,-5,0,0,6,-5,0,0,0,5,-6,0,0,0,5,-4,1,0,0,14,2,-7,0
12,2007-01-18 12:00:00,53,0.0,0.0,0,2,0,2,0,0,0,0,1,2007,3,3,1,16,9,8,0,0,7,12,3,0,1,3,13,1,0,1,5,13,0,0,1,3,14,1,0,1,4,13,-2,0,1,22,-12,11,1
13,2007-01-19 10:00:00,58,0.0,0.0,0,3,0,0,3,0,1,0,0,2007,3,4,1,10,-5,-2,0,0,10,-8,-3,0,0,6,-9,-2,0,0,5,-9,-1,0,0,7,-11,-2,0,-1,8,-18,-5,0,-1,23,-15,4,0
14,2007-01-24 10:30:00,18,0.55,0.55,1,0,0,1,0,0,0,1,0,2007,4,2,1,6,3,4,0,0,4,5,1,0,0,10,2,-4,0,0,4,1,-1,0,0,5,1,-1,0,0,6,2,-1,0,0,43,-27,-5,0
15,2007-01-25 08:30:00,69,-1.15,-1.15,0,0,1,1,0,0,0,1,0,2007,4,3,1,8,9,6,0,0,9,6,-3,0,0,7,9,1,0,0,7,5,-2,0,0,5,2,-2,0,0,5,2,1,0,0,16,-2,-12,-1
16,2007-01-25 10:00:00,23,0.0,0.0,0,0,3,3,0,0,1,0,0,2007,4,3,1,8,-2,-1,0,0,13,-11,-11,-1,-1,6,-10,-2,0,-1,5,-5,4,0,0,4,-7,-1,0,0,8,0,6,0,0,25,9,-3,0
17,2007-01-25 10:30:00,46,-1.07,-1.07,1,0,0,1,0,0,0,1,0,2007,4,3,1,6,-4,-5,0,0,4,-5,0,0,0,7,-2,2,0,0,6,0,1,0,0,7,-4,-5,0,0,5,-5,-1,0,0,24,8,-9,0
18,2007-01-26 10:00:00,47,0.0,0.0,0,3,0,0,3,0,1,0,0,2007,4,4,1,19,3,6,0,0,6,2,-2,0,0,6,-1,-4,0,0,4,-1,1,0,0,10,8,7,0,0,7,12,2,0,1,36,-24,21,2
19,2007-01-30 09:00:00,65,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,5,1,1,4,0,0,0,0,7,3,4,0,0,7,-1,-5,0,0,6,-2,0,0,0,5,-1,0,0,0,5,-2,-1,0,0,18,-11,-7,0
20,2007-01-30 10:00:00,6,0.0,0.0,3,0,0,0,3,0,1,0,0,2007,5,1,1,7,6,5,0,0,5,4,-2,0,0,5,10,3,0,1,3,11,0,0,1,7,7,-4,0,0,7,4,-3,0,0,16,-9,7,0
21,2007-01-31 08:15:00,0,0.0,0.0,0,2,0,0,2,0,0,0,1,2007,5,2,1,6,1,2,0,0,4,4,2,0,0,6,5,2,0,0,11,1,0,0,0,12,-9,-9,0,0,6,-15,-4,0,-1,21,7,-12,-1
22,2007-01-31 09:45:00,10,0.0,0.0,0,0,2,2,0,0,0,0,1,2007,5,2,1,10,-5,-5,0,0,9,-6,-2,0,0,6,-6,1,0,0,8,-6,1,0,0,17,9,14,1,0,6,6,-3,0,0,42,37,24,2
23,2007-01-31 10:00:00,11,0.0,0.0,0,0,1,0,1,0,0,1,0,2007,5,2,1,8,0,1,0,0,17,15,14,1,1,6,12,-3,0,1,16,28,15,1,2,7,29,2,0,2,7,34,4,0,2,31,18,41,2
24,2007-01-31 10:30:00,18,0.45,0.45,1,0,0,1,0,0,0,1,0,2007,5,2,1,10,-6,-5,0,0,5,-4,2,0,0,23,19,23,2,1,14,8,-12,-1,0,8,5,-4,0,0,12,-3,-9,0,0,47,43,10,1
25,2007-01-31 14:15:00,26,0.0,0.0,3,0,0,3,0,0,1,0,0,2007,5,2,1,33,20,18,1,1,8,16,-2,0,1,14,18,2,0,1,6,20,1,0,1,9,20,2,0,1,10,16,-2,0,1,36,-1,23,2
26,2007-02-01 00:00:00,67,0.0,0.0,1,0,0,1,0,0,0,1,0,2007,5,3,1,5,-2,-1,0,0,5,-3,-3,0,0,5,-5,-3,0,0,4,-2,1,0,0,5,-3,-2,0,0,6,-5,-3,0,0,8,1,-7,0
27,2007-02-01 10:30:00,46,-1.33,-1.33,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,-1,0,0,8,-7,-3,0,0,12,-2,6,0,0,9,-7,-5,0,0,8,-11,-5,0,-1,6,-8,2,0,0,33,9,-4,0
28,2007-02-05 10:00:00,40,0.0,0.0,0,3,0,3,0,0,1,0,0,2007,6,0,1,9,-9,-4,0,0,13,2,8,0,0,5,2,-1,0,0,5,8,4,0,0,7,5,-1,0,0,5,8,4,0,0,21,-14,11,1
29,2007-02-07 10:30:00,18,0.46,0.46,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,0,0,0,4,1,1,0,0,9,-4,-6,0,0,5,-1,3,0,0,6,-1,1,0,0,8,5,6,0,0,22,8,10,1
30,2007-02-07 15:00:00,12,-0.71,-0.71,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,1,0,0,6,0,0,0,0,5,0,-2,0,0,4,0,2,0,0,5,-3,-3,0,0,5,0,0,0,0,15,-11,5,0
31,2007-02-08 08:30:00,69,-0.52,-0.57,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,0,1,0,0,18,-2,-5,0,0,12,9,12,1,0,5,8,0,0,0,12,-2,-11,-1,0,7,2,5,0,0,22,10,22,2
32,2007-02-08 10:00:00,31,0.71,0.71,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,1,0,0,5,3,3,0,0,6,0,-2,0,0,5,4,5,0,0,7,10,6,0,1,5,9,0,0,0,19,1,20,1
33,2007-02-08 10:30:00,46,-0.2,-0.2,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-2,-1,0,0,6,-1,2,0,0,12,5,7,0,0,7,8,3,0,0,6,12,3,0,1,7,13,2,0,1,15,8,12,1
34,2007-02-12 14:00:00,25,-1.42,-1.42,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,1,0,0,0,5,-1,-2,0,0,5,1,1,0,0,6,2,1,0,0,4,3,1,0,0,4,3,2,0,0,13,-8,1,0
35,2007-02-13 08:30:00,68,-2.13,-2.13,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,2,-4,0,0,17,17,15,1,1,9,15,-3,0,1,7,9,-5,0,0,3,11,0,0,1,7,6,-5,0,0,23,13,-9,0
36,2007-02-13 10:00:00,37,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,0,-2,0,0,6,0,0,0,0,4,-4,-4,0,0,5,-1,3,0,0,4,1,2,0,0,4,2,1,0,0,18,-7,-10,-1
37,2007-02-14 10:00:00,5,1.42,1.42,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,33,2,2,12,33,0,0,2,10,39,4,0,2,10,47,8,0,2,11,40,-8,0,2,5,40,-2,0,2,46,3,33,2
38,2007-02-14 10:30:00,18,0.48,0.48,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-5,-6,0,0,5,-4,-1,0,0,4,-7,-3,0,0,4,-3,2,0,0,7,-8,-5,0,0,10,-15,-8,0,-1,60,46,-16,-1
39,2007-02-15 09:00:00,66,-2.13,-2.13,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,17,7,0,1,19,32,16,1,2,11,26,-6,0,2,10,34,3,0,2,10,34,1,0,2,8,27,-6,0,2,28,6,12,1
40,2007-02-15 10:30:00,46,-0.07,-0.07,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,14,16,1,1,4,13,0,0,1,11,17,7,0,1,28,-6,-21,-2,0,9,-5,1,0,0,5,-2,2,0,0,17,-12,-7,0
41,2007-02-15 12:00:00,53,-1.42,-1.42,0,0,2,2,0,0,0,0,1,2007,7,3,1,10,9,8,0,0,8,8,-1,0,0,10,0,-8,0,0,5,2,2,0,0,9,8,4,0,0,7,4,-3,0,0,18,-1,-4,0
42,2007-02-15 13:00:00,44,0.71,0.71,0,1,0,1,0,0,0,1,0,2007,7,3,1,8,-8,-6,0,0,7,-10,-2,0,-1,4,-7,3,0,0,4,-7,0,0,0,6,-5,0,0,0,6,-4,3,0,0,26,-12,-6,0
43,2007-02-16 10:00:00,58,-2.13,-2.13,0,0,3,0,0,3,1,0,0,2007,7,4,1,15,-7,-8,0,0,7,-2,4,0,0,4,-3,1,0,0,4,-4,-2,0,0,3,-4,0,0,0,4,-4,0,0,0,26,12,-7,0
44,2007-02-21 10:00:00,7,-0.71,0.0,0,0,1,0,1,0,0,1,0,2007,8,2,1,5,1,2,0,0,8,6,4,0,0,10,6,-3,0,0,5,4,-2,0,0,4,2,-1,0,0,5,4,3,0,0,13,5,3,0
45,2007-02-22 08:30:00,69,0.04,0.01,0,0,1,1,0,0,0,1,0,2007,8,3,1,7,-6,-5,0,0,6,-4,3,0,0,4,-4,-1,0,0,7,-11,-7,0,-1,6,-12,-3,0,-1,4,-10,2,0,-1,18,13,-6,0
46,2007-02-27 09:00:00,65,-0.71,-0.71,0,0,1,1,0,0,0,1,0,2007,9,1,1,4,-2,-2,0,0,4,-2,-1,0,0,4,-5,-3,0,0,6,-4,0,0,0,7,-1,3,0,0,5,-5,-4,0,0,23,13,0,0
47,2007-02-28 09:45:00,10,1.42,1.42,0,0,2,2,0,0,0,0,1,2007,9,2,1,7,-6,-4,0,0,5,-4,2,0,0,5,-4,2,0,0,6,1,0,0,0,6,-1,0,0,0,3,-2,0,0,0,26,-12,-11,-1
