,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_120_after,reaction_max_60_120_after
0,2007-01-10 08:30:00,31,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,2,2,1,13,-7,7,-3,10,7,10,-8,10,7,6,0,13,-7,22,-13,6,0
1,2007-01-17 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,3,2,1,13,-5,6,1,7,7,7,3,7,-6,5,2,25,3,25,-10,19,0
2,2007-01-17 09:00:00,30,1.0,0,0.0,0,0,0,1,0,1,0,1,2007,3,2,1,12,-3,5,-1,9,-7,7,-3,13,11,5,2,21,7,31,8,21,1
3,2007-01-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,3,3,1,19,-12,12,7,7,3,6,-2,8,-2,9,6,30,37,23,-4,6,0
4,2007-01-19 10:00:00,28,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,3,4,1,10,-2,10,-3,6,-2,5,-1,7,-2,8,-5,31,25,23,-15,22,1
5,2007-01-25 10:00:00,14,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,4,3,1,8,-1,13,-11,6,-2,5,4,4,-1,8,6,9,-2,25,9,6,0
6,2007-01-26 08:30:00,8,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,4,4,1,20,-1,12,10,7,-6,7,-3,11,6,16,15,14,-8,23,-3,2,0
7,2007-01-26 10:00:00,21,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,4,4,1,19,6,6,-2,6,-4,4,1,10,7,7,2,15,-9,36,-24,13,0
8,2007-01-30 10:00:00,4,1.0,0,0.0,0,1,0,0,0,1,0,1,2007,5,1,1,7,5,5,-2,5,3,3,0,7,-4,7,-3,12,4,16,-9,1,0
9,2007-01-31 08:30:00,1,1.0,0,0.0,0,0,1,0,0,1,0,1,2007,5,2,1,11,0,12,-9,6,-4,9,-7,5,-1,8,7,11,10,15,5,48,1
