,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,precision_above_TH,support_below_TH,support_above_TH,report,elapsed_time
3,reg,rforest,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.32,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,16.01,33.47
4,reg,xgb,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.37,{'n_estimators': 50},,,,,,,16.18,0.23
5,reg,gboosting,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.50,{'n_estimators': 50},,,,,,,16.14,0.43
6,reg,ada,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.22,{'n_estimators': 10},,,,,,,18.03,0.43
0,clf,kn,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.75,{'n_neighbors': 41},0.75,0.71,0.76,0.53,962.00,330.00,"{'0': {'precision': 0.7645107794361525, 'recall': 0.9584199584199584, 'f1-score': 0.8505535055350553, 'support': 962}, '1': {'precision': 0.5348837209302325, 'recall': 0.1393939393939394, 'f1-score': 0.22115384615384617, 'support': 330}, 'micro avg': {'precision': 0.7492260061919505, 'recall': 0.7492260061919505, 'f1-score': 0.7492260061919505, 'support': 1292}, 'macro avg': {'precision': 0.6496972501831926, 'recall': 0.5489069489069489, 'f1-score': 0.5358536758444508, 'support': 1292}, 'weighted avg': {'precision': 0.705859905359563, 'recall': 0.7492260061919505, 'f1-score': 0.6897935306157063, 'support': 1292}}",2.02
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,0.00,962.00,330.00,"{'0': {'precision': 0.7445820433436533, 'recall': 1.0, 'f1-score': 0.8535936113575865, 'support': 962}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 330}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.37229102167182665, 'recall': 0.5, 'f1-score': 0.42679680567879325, 'support': 1292}, 'weighted avg': {'precision': 0.5544024192698099, 'recall': 0.7445820433436533, 'f1-score': 0.63557047532972, 'support': 1292}}",5.87
2,clf,dtree,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 3, 'min_samples_leaf': 10}",0.76,0.72,0.77,0.57,962.00,330.00,"{'0': {'precision': 0.7741116751269036, 'recall': 0.9511434511434511, 'f1-score': 0.8535447761194029, 'support': 962}, '1': {'precision': 0.5727272727272728, 'recall': 0.19090909090909092, 'f1-score': 0.2863636363636364, 'support': 330}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.6734194739270882, 'recall': 0.571026271026271, 'f1-score': 0.5699542062415197, 'support': 1292}, 'weighted avg': {'precision': 0.7226744825635304, 'recall': 0.7569659442724458, 'f1-score': 0.7086765283489672, 'support': 1292}}",0.43
3,clf,rforest,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",0.76,0.74,0.77,0.63,962.00,330.00,"{'0': {'precision': 0.7728785357737105, 'recall': 0.9656964656964657, 'f1-score': 0.8585951940850277, 'support': 962}, '1': {'precision': 0.6333333333333333, 'recall': 0.17272727272727273, 'f1-score': 0.2714285714285714, 'support': 330}, 'micro avg': {'precision': 0.7631578947368421, 'recall': 0.7631578947368421, 'f1-score': 0.7631578947368421, 'support': 1292}, 'macro avg': {'precision': 0.7031059345535219, 'recall': 0.5692118692118693, 'f1-score': 0.5650118827567996, 'support': 1292}, 'weighted avg': {'precision': 0.7372361853051931, 'recall': 0.7631578947368421, 'f1-score': 0.7086222951093075, 'support': 1292}}",19.01
4,clf,xgb,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.76,0.73,0.78,0.58,962.00,330.00,"{'0': {'precision': 0.7840416305290546, 'recall': 0.9397089397089398, 'f1-score': 0.8548463356973994, 'support': 962}, '1': {'precision': 0.5827338129496403, 'recall': 0.24545454545454545, 'f1-score': 0.34541577825159914, 'support': 330}, 'micro avg': {'precision': 0.7623839009287926, 'recall': 0.7623839009287926, 'f1-score': 0.7623839009287926, 'support': 1292}, 'macro avg': {'precision': 0.6833877217393475, 'recall': 0.5925817425817426, 'f1-score': 0.6001310569744993, 'support': 1292}, 'weighted avg': {'precision': 0.7326239991039721, 'recall': 0.7623839009287926, 'f1-score': 0.7247286236562894, 'support': 1292}}",0.25
5,clf,gboosting,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 100},0.77,0.74,0.79,0.59,962.00,330.00,"{'0': {'precision': 0.7877729257641921, 'recall': 0.9376299376299376, 'f1-score': 0.8561936402467963, 'support': 962}, '1': {'precision': 0.5918367346938775, 'recall': 0.2636363636363636, 'f1-score': 0.36477987421383645, 'support': 330}, 'micro avg': {'precision': 0.7654798761609907, 'recall': 0.7654798761609907, 'f1-score': 0.7654798761609908, 'support': 1292}, 'macro avg': {'precision': 0.6898048302290348, 'recall': 0.6006331506331506, 'f1-score': 0.6104867572303164, 'support': 1292}, 'weighted avg': {'precision': 0.7377273042059849, 'recall': 0.7654798761609907, 'f1-score': 0.7306777402538577, 'support': 1292}}",0.57
6,clf,ada,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 200},0.76,0.73,0.79,0.56,962.00,330.00,"{'0': {'precision': 0.7907390917186109, 'recall': 0.9230769230769231, 'f1-score': 0.8517985611510791, 'support': 962}, '1': {'precision': 0.5621301775147929, 'recall': 0.2878787878787879, 'f1-score': 0.3807615230460922, 'support': 330}, 'micro avg': {'precision': 0.7608359133126935, 'recall': 0.7608359133126935, 'f1-score': 0.7608359133126935, 'support': 1292}, 'macro avg': {'precision': 0.6764346346167018, 'recall': 0.6054778554778555, 'f1-score': 0.6162800420985857, 'support': 1292}, 'weighted avg': {'precision': 0.7323482699792456, 'recall': 0.7608359133126935, 'f1-score': 0.7314872433688455, 'support': 1292}}",0.67
0,reg,kn,min,basic,ALL_NO_1_1_1,0_60,included,basic,16.36,{'n_neighbors': 31},,,,,,,16.68,2.19
1,reg,svr-rbf,min,basic,ALL_NO_1_1_1,0_60,included,basic,18.85,"{'C': 5, 'gamma': 4}",,,,,,,18.63,5.73
2,reg,dtree,min,basic,ALL_NO_1_1_1,0_60,included,basic,16.24,"{'max_depth': 7, 'min_samples_leaf': 100}",,,,,,,16.17,0.36
3,reg,rforest,min,basic,ALL_NO_1_1_1,0_60,included,basic,15.81,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 100}",,,,,,,16.13,33.00
4,reg,xgb,min,basic,ALL_NO_1_1_1,0_60,included,basic,15.73,{'n_estimators': 100},,,,,,,16.25,0.23
5,reg,gboosting,min,basic,ALL_NO_1_1_1,0_60,included,basic,15.84,{'n_estimators': 100},,,,,,,16.35,0.44
6,reg,ada,min,basic,ALL_NO_1_1_1,0_60,included,basic,17.81,{'n_estimators': 10},,,,,,,18.30,0.46
0,clf,kn,max,all,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_neighbors': 61},0.74,0.72,0.75,0.65,943.00,349.00,"{'0': {'precision': 0.7483766233766234, 'recall': 0.9777306468716861, 'f1-score': 0.847816091954023, 'support': 943}, '1': {'precision': 0.65, 'recall': 0.11174785100286533, 'f1-score': 0.19070904645476772, 'support': 349}, 'micro avg': {'precision': 0.7438080495356038, 'recall': 0.7438080495356038, 'f1-score': 0.7438080495356038, 'support': 1292}, 'macro avg': {'precision': 0.6991883116883117, 'recall': 0.5447392489372758, 'f1-score': 0.5192625692043953, 'support': 1292}, 'weighted avg': {'precision': 0.721802752201359, 'recall': 0.7438080495356038, 'f1-score': 0.6703158141837133, 'support': 1292}}",2.24
