,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,volatility_5_10_after,pips_agg_5_10_after,volatility_10_15_after,pips_agg_10_15_after,volatility_15_20_after,pips_agg_15_20_after,volatility_20_25_after,pips_agg_20_25_after,volatility_25_30_after,pips_agg_25_30_after,volatility_0_45_after,pips_agg_0_45_after,volatility_0_60_after,pips_agg_0_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_120_after,direction_agg_0_120_after
115,2007-10-25 08:30:00,8,-0.22,0,2.0,1,0,0,1,0,1,0,1,2007,43,3,1,13,2,24,21,24,27,12,24,10,24,10,27,40,22,40,14,22,3,12,1
116,2007-10-25 10:00:00,21,72.65,0,-2.55,1,1,0,0,0,0,1,1,2007,43,3,1,13,-7,12,-2,17,6,13,-2,14,1,11,-4,24,-4,29,-11,27,-15,-15,1
117,2007-10-30 10:00:00,4,-0.72,0,-0.27,0,0,0,1,1,0,0,1,2007,44,1,1,21,18,8,18,11,11,7,10,10,12,11,15,31,27,31,13,30,3,13,1
118,2007-10-31 08:30:00,1,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,44,2,1,14,-8,24,-21,12,-24,15,-19,15,-12,13,-15,34,-1,39,4,27,-8,0,1
119,2007-10-31 14:15:00,15,0.11,0,0.0,0,1,0,0,1,0,0,1,2007,44,2,1,25,1,19,-1,9,-1,12,6,21,14,27,40,71,41,73,27,41,-4,32,2
120,2007-11-01 08:30:00,9,0.05,0,0.04,0,1,0,0,1,0,0,1,2007,44,3,1,16,-7,10,-4,13,1,12,-1,20,-15,16,-7,26,-4,26,-7,22,8,-19,0
121,2007-11-01 10:00:00,17,-0.65,0,0.0,0,0,0,1,1,0,0,1,2007,44,3,1,20,-12,11,-12,12,-6,13,-13,14,-10,16,-1,27,2,27,0,28,-3,9,1
122,2007-11-05 10:00:00,18,0.59,0,0.0,0,0,1,0,1,0,0,1,2007,45,0,1,10,2,10,-1,8,1,13,-4,10,-6,9,-5,15,-6,19,-5,18,0,-7,1
123,2007-11-09 08:30:00,31,1.15,0,0.75,0,0,1,0,0,1,0,1,2007,45,4,1,14,-3,18,-14,11,-10,9,-8,6,-10,10,-8,22,-7,33,6,23,-9,-10,1
124,2007-11-09 10:00:00,28,-1.06,0,-0.85,0,0,0,1,0,0,1,1,2007,45,4,1,15,4,18,-8,11,-5,15,0,11,-1,11,0,27,6,27,2,31,-9,-9,1
125,2007-11-13 15:00:00,24,0.5,0,0.71,0,0,1,0,1,0,0,1,2007,46,1,1,20,10,10,6,9,2,6,4,10,-2,7,-3,22,-2,22,9,27,-1,5,1
126,2007-11-15 08:30:00,7,0.04,0,0.0,0,1,0,0,1,0,0,1,2007,46,3,1,19,-15,13,-16,17,-24,11,-28,12,-23,20,-36,44,-16,44,-30,21,8,-9,1
127,2007-11-16 09:00:00,30,-0.54,0,-0.12,0,0,0,1,1,0,0,1,2007,46,4,1,16,4,13,6,12,9,15,15,17,23,15,18,33,13,33,19,30,8,-11,1
128,2007-11-27 10:00:00,4,-0.87,0,-0.49,0,0,0,1,0,0,1,1,2007,48,1,1,10,2,10,3,10,2,8,0,9,-3,17,-12,23,-6,23,-10,19,-5,-56,0
129,2007-11-28 08:30:00,8,-0.61,0,0.77,0,0,0,1,0,1,0,1,2007,48,2,1,17,8,15,5,12,-1,14,-4,8,-4,16,5,22,8,25,9,63,28,-10,1
130,2007-11-28 10:00:00,14,-0.29,0,-0.63,0,0,0,1,1,0,0,1,2007,48,2,1,10,1,10,-2,14,-5,13,-8,11,-7,10,-9,19,-3,24,5,23,-8,-9,1
131,2007-11-29 08:30:00,26,0.0,0,-0.1,0,1,0,0,1,0,0,1,2007,48,3,1,19,-7,9,-6,10,-5,9,-13,9,-9,8,-9,26,-8,34,-22,39,22,21,2
132,2007-11-29 10:00:00,21,-0.54,0,-1.76,0,0,0,1,0,0,1,1,2007,48,3,1,10,-2,12,7,15,13,26,32,9,30,10,25,43,31,45,29,25,1,25,2
133,2007-12-03 10:00:00,17,0.29,0,0.0,0,1,0,0,1,0,0,1,2007,49,0,1,9,2,10,2,16,9,7,6,11,6,8,3,21,3,21,3,22,-1,8,1
134,2007-12-05 08:15:00,0,2.91,1,0.72,0,0,1,0,0,1,0,1,2007,49,2,1,21,-10,43,-45,17,-39,17,-40,22,-50,16,-40,60,-34,60,-39,25,7,-54,0
135,2007-12-05 10:00:00,18,-0.36,0,0.0,0,0,0,1,1,0,0,1,2007,49,2,1,21,-2,8,-1,17,4,8,6,18,-4,9,-2,29,-6,29,-3,38,-16,3,1
