,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_EUR_down,precision_EUR_same,precision_EUR_up,support_EUR_down,support_EUR_same,support_EUR_up,report,elapsed_time
5,clf,gboosting,all,High_NO_1_1_1,60_240,included,basic,0.59,{'n_estimators': 10},0.56,0.56,0.61,0.53,0.54,155.00,219.00,130.00,"{'0': {'precision': 0.6142857142857143, 'recall': 0.5548387096774193, 'f1-score': 0.5830508474576271, 'support': 155}, '1': {'precision': 0.532319391634981, 'recall': 0.639269406392694, 'f1-score': 0.5809128630705395, 'support': 219}, '2': {'precision': 0.5445544554455446, 'recall': 0.4230769230769231, 'f1-score': 0.47619047619047616, 'support': 130}, 'micro avg': {'precision': 0.5575396825396826, 'recall': 0.5575396825396826, 'f1-score': 0.5575396825396826, 'support': 504}, 'macro avg': {'precision': 0.5637198537887467, 'recall': 0.5390616797156789, 'f1-score': 0.5467180622395476, 'support': 504}, 'weighted avg': {'precision': 0.5606831581156098, 'recall': 0.5575396825396826, 'f1-score': 0.5545586513355997, 'support': 504}}",0.77
6,clf,ada,all,High_NO_1_1_1,60_240,included,basic,0.58,{'n_estimators': 10},0.54,0.56,0.64,0.54,0.48,155.00,219.00,130.00,"{'0': {'precision': 0.6403508771929824, 'recall': 0.47096774193548385, 'f1-score': 0.5427509293680297, 'support': 155}, '1': {'precision': 0.5416666666666666, 'recall': 0.5342465753424658, 'f1-score': 0.5379310344827586, 'support': 219}, '2': {'precision': 0.4827586206896552, 'recall': 0.6461538461538462, 'f1-score': 0.5526315789473685, 'support': 130}, 'micro avg': {'precision': 0.5436507936507936, 'recall': 0.5436507936507936, 'f1-score': 0.5436507936507936, 'support': 504}, 'macro avg': {'precision': 0.5549253881831014, 'recall': 0.5504560544772653, 'f1-score': 0.5444378475993856, 'support': 504}, 'weighted avg': {'precision': 0.5568214417749354, 'recall': 0.5436507936507936, 'f1-score': 0.5432051505296164, 'support': 504}}",0.27
0,reg,kn,all,High_NO_1_1_1,60_240,included,basic,42.00,{'n_neighbors': 11},,,,,,,,,39.61,0.63
1,reg,svr-rbf,all,High_NO_1_1_1,60_240,included,basic,50.33,"{'C': 5, 'gamma': 1}",,,,,,,,,47.30,0.62
2,reg,dtree,all,High_NO_1_1_1,60_240,included,basic,38.91,"{'max_depth': 3, 'min_samples_leaf': 20}",,,,,,,,,38.45,0.14
3,reg,rforest,all,High_NO_1_1_1,60_240,included,basic,37.92,"{'max_depth': 4, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,38.02,15.06
4,reg,xgb,all,High_NO_1_1_1,60_240,included,basic,37.72,{'n_estimators': 50},,,,,,,,,38.82,0.09
5,reg,gboosting,all,High_NO_1_1_1,60_240,included,basic,37.85,{'n_estimators': 50},,,,,,,,,39.04,0.19
6,reg,ada,all,High_NO_1_1_1,60_240,included,basic,39.39,{'n_estimators': 10},,,,,,,,,39.50,0.27
0,clf,kn,basic,High_YES_1_1_1,60_240,included,basic,0.59,{'n_neighbors': 31},0.60,0.60,0.62,0.59,0.59,104.00,178.00,107.00,"{'0': {'precision': 0.6233766233766234, 'recall': 0.46153846153846156, 'f1-score': 0.5303867403314918, 'support': 104}, '1': {'precision': 0.594017094017094, 'recall': 0.7808988764044944, 'f1-score': 0.674757281553398, 'support': 178}, '2': {'precision': 0.5897435897435898, 'recall': 0.42990654205607476, 'f1-score': 0.4972972972972974, 'support': 107}, 'micro avg': {'precision': 0.5989717223650386, 'recall': 0.5989717223650386, 'f1-score': 0.5989717223650386, 'support': 389}, 'macro avg': {'precision': 0.6023791023791024, 'recall': 0.557447959999677, 'f1-score': 0.5674804397273957, 'support': 389}, 'weighted avg': {'precision': 0.6006909400225595, 'recall': 0.5989717223650386, 'f1-score': 0.5873466013413645, 'support': 389}}",0.52
