,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.74,{'n_neighbors': 21},0.74,0.68,0.75,0.98,0.48,0.06,956.00,336.00,"{'0': {'precision': 0.7475961538461539, 'recall': 0.9759414225941423, 'f1-score': 0.8466424682395645, 'support': 956}, '1': {'precision': 0.4772727272727273, 'recall': 0.0625, 'f1-score': 0.11052631578947368, 'support': 336}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.6124344405594406, 'recall': 0.5192207112970711, 'f1-score': 0.4785843920145191, 'support': 1292}, 'weighted avg': {'precision': 0.6772953246443959, 'recall': 0.7383900928792569, 'f1-score': 0.6552066886550209, 'support': 1292}}",10.76
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,1.00,0.00,0.00,956.00,336.00,"{'0': {'precision': 0.739938080495356, 'recall': 1.0, 'f1-score': 0.8505338078291814, 'support': 956}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 336}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.369969040247678, 'recall': 0.5, 'f1-score': 0.4252669039145907, 'support': 1292}, 'weighted avg': {'precision': 0.547508362967152, 'recall': 0.739938080495356, 'f1-score': 0.6293423531615305, 'support': 1292}}",11.52
2,clf,dtree,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 200}",0.75,0.71,0.76,0.97,0.56,0.12,956.00,336.00,"{'0': {'precision': 0.7579983593109105, 'recall': 0.9665271966527197, 'f1-score': 0.8496551724137931, 'support': 956}, '1': {'precision': 0.5616438356164384, 'recall': 0.12202380952380952, 'f1-score': 0.2004889975550122, 'support': 336}, 'micro avg': {'precision': 0.7469040247678018, 'recall': 0.7469040247678018, 'f1-score': 0.7469040247678018, 'support': 1292}, 'macro avg': {'precision': 0.6598210974636745, 'recall': 0.5442755030882646, 'f1-score': 0.5250720849844026, 'support': 1292}, 'weighted avg': {'precision': 0.7069340249755061, 'recall': 0.7469040247678018, 'f1-score': 0.6808317709025312, 'support': 1292}}",0.83
3,clf,rforest,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.75,"{'max_depth': 6, 'min_samples_leaf': 30, 'n_estimators': 50}",0.74,0.69,0.75,0.98,0.52,0.07,956.00,336.00,"{'0': {'precision': 0.7488, 'recall': 0.9790794979079498, 'f1-score': 0.8485947416137807, 'support': 956}, '1': {'precision': 0.5238095238095238, 'recall': 0.06547619047619048, 'f1-score': 0.11640211640211641, 'support': 336}, 'micro avg': {'precision': 0.7414860681114551, 'recall': 0.7414860681114551, 'f1-score': 0.7414860681114552, 'support': 1292}, 'macro avg': {'precision': 0.6363047619047619, 'recall': 0.5222778441920701, 'f1-score': 0.48249842900794854, 'support': 1292}, 'weighted avg': {'precision': 0.6902885448916408, 'recall': 0.7414860681114551, 'f1-score': 0.6581793220540908, 'support': 1292}}",30.11
4,clf,xgb,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.75,{'n_estimators': 100},0.74,0.69,0.76,0.94,0.49,0.16,956.00,336.00,"{'0': {'precision': 0.7612193056731583, 'recall': 0.9403765690376569, 'f1-score': 0.8413664014974263, 'support': 956}, '1': {'precision': 0.4864864864864865, 'recall': 0.16071428571428573, 'f1-score': 0.2416107382550336, 'support': 336}, 'micro avg': {'precision': 0.7376160990712074, 'recall': 0.7376160990712074, 'f1-score': 0.7376160990712074, 'support': 1292}, 'macro avg': {'precision': 0.6238528960798224, 'recall': 0.5505454273759713, 'f1-score': 0.54148856987623, 'support': 1292}, 'weighted avg': {'precision': 0.6897717613645502, 'recall': 0.7376160990712074, 'f1-score': 0.6853927924808288, 'support': 1292}}",0.54
5,clf,gboosting,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.75,{'n_estimators': 50},0.74,0.70,0.76,0.95,0.52,0.15,956.00,336.00,"{'0': {'precision': 0.761744966442953, 'recall': 0.9497907949790795, 'f1-score': 0.845437616387337, 'support': 956}, '1': {'precision': 0.52, 'recall': 0.15476190476190477, 'f1-score': 0.23853211009174313, 'support': 336}, 'micro avg': {'precision': 0.7430340557275542, 'recall': 0.7430340557275542, 'f1-score': 0.7430340557275542, 'support': 1292}, 'macro avg': {'precision': 0.6408724832214765, 'recall': 0.5522763498704921, 'f1-score': 0.5419848632395401, 'support': 1292}, 'weighted avg': {'precision': 0.698876306439213, 'recall': 0.7430340557275542, 'f1-score': 0.6876046054621671, 'support': 1292}}",1.24
6,clf,ada,max,basic,ALL_NO_1_1_1,60_240,included,basic,0.74,{'n_estimators': 50},0.74,0.70,0.77,0.93,0.49,0.19,956.00,336.00,"{'0': {'precision': 0.7663793103448275, 'recall': 0.9299163179916318, 'f1-score': 0.8402646502835538, 'support': 956}, '1': {'precision': 0.49242424242424243, 'recall': 0.19345238095238096, 'f1-score': 0.2777777777777778, 'support': 336}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.629401776384535, 'recall': 0.5616843494720064, 'f1-score': 0.5590212140306658, 'support': 1292}, 'weighted avg': {'precision': 0.6951340295233751, 'recall': 0.7383900928792569, 'f1-score': 0.6939832345235378, 'support': 1292}}",1.23
0,reg,kn,max,basic,ALL_NO_1_1_1,60_240,included,basic,22.79,{'n_neighbors': 71},,,,,,,,,23.30,9.34
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,60_240,included,basic,24.84,"{'C': 5, 'gamma': 2}",,,,,,,,,25.08,10.20
2,reg,dtree,max,basic,ALL_NO_1_1_1,60_240,included,basic,22.53,"{'max_depth': 4, 'min_samples_leaf': 200}",,,,,,,,,22.90,0.80
3,reg,rforest,max,basic,ALL_NO_1_1_1,60_240,included,basic,22.05,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 200}",,,,,,,,,22.83,74.05
4,reg,xgb,max,basic,ALL_NO_1_1_1,60_240,included,basic,22.31,{'n_estimators': 50},,,,,,,,,22.91,0.46
5,reg,gboosting,max,basic,ALL_NO_1_1_1,60_240,included,basic,22.32,{'n_estimators': 50},,,,,,,,,22.83,1.08
6,reg,ada,max,basic,ALL_NO_1_1_1,60_240,included,basic,24.81,{'n_estimators': 10},,,,,,,,,25.69,1.22
0,clf,kn,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,{'n_neighbors': 61},0.76,0.70,0.76,1.00,0.50,0.01,982.00,310.00,"{'0': {'precision': 0.7612752721617418, 'recall': 0.9969450101832994, 'f1-score': 0.86331569664903, 'support': 982}, '1': {'precision': 0.5, 'recall': 0.00967741935483871, 'f1-score': 0.0189873417721519, 'support': 310}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.630637636080871, 'recall': 0.503311214769069, 'f1-score': 0.4411515192105909, 'support': 1292}, 'weighted avg': {'precision': 0.6985853848783518, 'recall': 0.760061919504644, 'f1-score': 0.66072917187207, 'support': 1292}}",8.63
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,"{'C': 1, 'gamma': 1}",0.76,0.58,0.76,1.00,0.00,0.00,982.00,310.00,"{'0': {'precision': 0.760061919504644, 'recall': 1.0, 'f1-score': 0.8636763412489007, 'support': 982}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 310}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.380030959752322, 'recall': 0.5, 'f1-score': 0.43183817062445035, 'support': 1292}, 'weighted avg': {'precision': 0.5776941214810839, 'recall': 0.760061919504644, 'f1-score': 0.6564474977603874, 'support': 1292}}",9.76
2,clf,dtree,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,"{'max_depth': 4, 'min_samples_leaf': 200}",0.74,0.65,0.76,0.96,0.30,0.05,982.00,310.00,"{'0': {'precision': 0.7624798711755234, 'recall': 0.9643584521384929, 'f1-score': 0.8516187050359714, 'support': 982}, '1': {'precision': 0.3, 'recall': 0.04838709677419355, 'f1-score': 0.08333333333333333, 'support': 310}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.5312399355877617, 'recall': 0.5063727744563432, 'f1-score': 0.46747601918465237, 'support': 1292}, 'weighted avg': {'precision': 0.6515133386179288, 'recall': 0.7445820433436533, 'f1-score': 0.6672777876769793, 'support': 1292}}",0.76
3,clf,rforest,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",0.76,0.69,0.76,0.98,0.44,0.04,982.00,310.00,"{'0': {'precision': 0.7644268774703558, 'recall': 0.984725050916497, 'f1-score': 0.8607031597685804, 'support': 982}, '1': {'precision': 0.4444444444444444, 'recall': 0.03870967741935484, 'f1-score': 0.0712166172106825, 'support': 310}, 'micro avg': {'precision': 0.7577399380804953, 'recall': 0.7577399380804953, 'f1-score': 0.7577399380804952, 'support': 1292}, 'macro avg': {'precision': 0.6044356609574001, 'recall': 0.5117173641679259, 'f1-score': 0.46595988848963144, 'support': 1292}, 'weighted avg': {'precision': 0.6876509066978849, 'recall': 0.7577399380804953, 'f1-score': 0.6712752741703232, 'support': 1292}}",28.20
4,clf,xgb,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.72,0.77,0.98,0.56,0.10,982.00,310.00,"{'0': {'precision': 0.7738287560581584, 'recall': 0.9755600814663951, 'f1-score': 0.8630630630630631, 'support': 982}, '1': {'precision': 0.5555555555555556, 'recall': 0.0967741935483871, 'f1-score': 0.16483516483516483, 'support': 310}, 'micro avg': {'precision': 0.7647058823529411, 'recall': 0.7647058823529411, 'f1-score': 0.7647058823529412, 'support': 1292}, 'macro avg': {'precision': 0.664692155806857, 'recall': 0.5361671375073911, 'f1-score': 0.513949113949114, 'support': 1292}, 'weighted avg': {'precision': 0.7214567033059858, 'recall': 0.7647058823529411, 'f1-score': 0.6955316014139544, 'support': 1292}}",0.47
5,clf,gboosting,min,basic,ALL_NO_1_1_1,60_240,included,basic,0.76,{'n_estimators': 50},0.76,0.72,0.78,0.97,0.55,0.11,982.00,310.00,"{'0': {'precision': 0.7751623376623377, 'recall': 0.9725050916496945, 'f1-score': 0.8626919602529358, 'support': 982}, '1': {'precision': 0.55, 'recall': 0.1064516129032258, 'f1-score': 0.17837837837837836, 'support': 310}, 'micro avg': {'precision': 0.7647058823529411, 'recall': 0.7647058823529411, 'f1-score': 0.7647058823529412, 'support': 1292}, 'macro avg': {'precision': 0.6625811688311689, 'recall': 0.5394783522764601, 'f1-score': 0.5205351693156571, 'support': 1292}, 'weighted avg': {'precision': 0.7211373185637892, 'recall': 0.7647058823529411, 'f1-score': 0.6984990729610528, 'support': 1292}}",1.20
