,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.75,{'n_neighbors': 51},0.74,0.65,0.74,0.99,0.42,0.01,952.00,340.00,"{'0': {'precision': 0.73828125, 'recall': 0.9926470588235294, 'f1-score': 0.8467741935483871, 'support': 952}, '1': {'precision': 0.4166666666666667, 'recall': 0.014705882352941176, 'f1-score': 0.028409090909090908, 'support': 340}, 'micro avg': {'precision': 0.7352941176470589, 'recall': 0.7352941176470589, 'f1-score': 0.735294117647059, 'support': 1292}, 'macro avg': {'precision': 0.5774739583333334, 'recall': 0.5036764705882353, 'f1-score': 0.43759164222873903, 'support': 1292}, 'weighted avg': {'precision': 0.6536458333333334, 'recall': 0.7352941176470589, 'f1-score': 0.6314149560117301, 'support': 1292}}",9.17
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",11.04
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 30}",0.74,0.72,0.74,0.99,0.67,0.04,952.00,340.00,"{'0': {'precision': 0.7425431711145997, 'recall': 0.9936974789915967, 'f1-score': 0.8499550763701706, 'support': 952}, '1': {'precision': 0.6666666666666666, 'recall': 0.03529411764705882, 'f1-score': 0.0670391061452514, 'support': 340}, 'micro avg': {'precision': 0.7414860681114551, 'recall': 0.7414860681114551, 'f1-score': 0.7414860681114552, 'support': 1292}, 'macro avg': {'precision': 0.7046049188906331, 'recall': 0.5144957983193278, 'f1-score': 0.45849709125771104, 'support': 1292}, 'weighted avg': {'precision': 0.722575669944091, 'recall': 0.7414860681114551, 'f1-score': 0.6439245578899286, 'support': 1292}}",0.79
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 10}",0.74,0.70,0.75,0.98,0.57,0.08,952.00,340.00,"{'0': {'precision': 0.7485943775100402, 'recall': 0.9789915966386554, 'f1-score': 0.8484296768320437, 'support': 952}, '1': {'precision': 0.574468085106383, 'recall': 0.07941176470588235, 'f1-score': 0.13953488372093023, 'support': 340}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.6615312313082116, 'recall': 0.5292016806722689, 'f1-score': 0.493982280276487, 'support': 1292}, 'weighted avg': {'precision': 0.702771668982762, 'recall': 0.7422600619195047, 'f1-score': 0.6618784154870139, 'support': 1292}}",29.57
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.76,{'n_estimators': 100},0.74,0.69,0.75,0.97,0.53,0.11,952.00,340.00,"{'0': {'precision': 0.7520458265139116, 'recall': 0.9653361344537815, 'f1-score': 0.8454461821527139, 'support': 952}, '1': {'precision': 0.5285714285714286, 'recall': 0.10882352941176471, 'f1-score': 0.1804878048780488, 'support': 340}, 'micro avg': {'precision': 0.739938080495356, 'recall': 0.739938080495356, 'f1-score': 0.739938080495356, 'support': 1292}, 'macro avg': {'precision': 0.6403086275426702, 'recall': 0.5370798319327731, 'f1-score': 0.5129669935153813, 'support': 1292}, 'weighted avg': {'precision': 0.6932367744237845, 'recall': 0.739938080495356, 'f1-score': 0.6704571355014863, 'support': 1292}}",0.51
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.76,{'n_estimators': 50},0.73,0.67,0.75,0.97,0.46,0.08,952.00,340.00,"{'0': {'precision': 0.7459546925566343, 'recall': 0.9684873949579832, 'f1-score': 0.8427787934186471, 'support': 952}, '1': {'precision': 0.4642857142857143, 'recall': 0.07647058823529412, 'f1-score': 0.13131313131313133, 'support': 340}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6051202034211742, 'recall': 0.5224789915966387, 'f1-score': 0.48704596236588926, 'support': 1292}, 'weighted avg': {'precision': 0.6718312772221817, 'recall': 0.7337461300309598, 'f1-score': 0.6555509876014062, 'support': 1292}}",1.16
6,clf,ada,max,basic,ALL_NO_1_1_1,30_180,included,basic,0.75,{'n_estimators': 10},0.74,0.71,0.74,0.99,0.63,0.04,952.00,340.00,"{'0': {'precision': 0.7423409269442263, 'recall': 0.9926470588235294, 'f1-score': 0.849438202247191, 'support': 952}, '1': {'precision': 0.631578947368421, 'recall': 0.03529411764705882, 'f1-score': 0.06685236768802229, 'support': 340}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.6869599371563236, 'recall': 0.5139705882352942, 'f1-score': 0.45814528496760665, 'support': 1292}, 'weighted avg': {'precision': 0.7131930375821722, 'recall': 0.7407120743034056, 'f1-score': 0.6434945615737255, 'support': 1292}}",1.12
0,reg,kn,max,basic,ALL_NO_1_1_1,30_180,included,basic,22.50,{'n_neighbors': 31},,,,,,,,,22.29,7.59
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_180,included,basic,24.51,"{'C': 5, 'gamma': 1}",,,,,,,,,24.42,10.11
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_180,included,basic,22.31,"{'max_depth': 3, 'min_samples_leaf': 10}",,,,,,,,,21.93,0.77
