,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
31,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,1,18,-5,12,12,5,0,12,-11,7,5,22,10,16,0
32,2007-02-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,5,3,6,-2,5,5,7,6,5,0,31,15,20,0
33,2007-02-08 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-1,6,2,12,7,7,3,6,3,7,2,15,2,4,0
34,2007-02-12 14:00:00,25,2.0,0,0.0,0,2,0,0,2,0,0,0,0,1,2007,7,0,1,5,0,5,-2,5,1,6,1,4,1,4,2,12,-6,4,0
35,2007-02-13 08:30:00,68,3.0,0,3.0,0,0,0,3,3,0,0,1,0,0,2007,7,1,1,12,-4,17,15,9,-3,7,-5,3,0,7,-5,18,14,9,0
36,2007-02-13 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,7,1,1,6,-2,6,0,4,-4,5,3,4,2,4,1,18,-7,11,0
37,2007-02-14 10:00:00,5,2.0,0,2.0,0,0,2,0,0,2,0,0,0,1,2007,7,2,1,36,33,12,0,10,4,10,8,11,-8,5,-2,12,-1,6,0
38,2007-02-14 10:30:00,18,-0.67,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,2,1,7,-6,5,-1,4,-3,4,2,7,-5,10,-8,60,46,9,0
39,2007-02-15 09:00:00,66,3.0,0,3.0,0,0,0,3,0,3,0,1,0,0,2007,7,3,1,18,7,19,16,11,-6,10,3,10,1,8,-6,17,5,8,0
40,2007-02-15 10:30:00,46,-1.07,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,7,3,1,17,16,4,0,11,7,28,-21,9,1,5,2,16,-15,13,0
