,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_0_30_after,reaction_max_0_30_after
46,2007-02-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,23,17,3,0
47,2007-02-28 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,9,2,1,26,-7,11,0
48,2007-02-28 10:00:00,47,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,9,2,1,20,0,4,0
49,2007-02-28 10:30:00,18,-0.83,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,30,-7,20,1
50,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,10,-2,5,0
51,2007-03-01 09:30:00,46,-2.01,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,18,2,6,0
52,2007-03-02 10:00:00,63,1.0,0,1.0,0,0,0,1,1,0,0,0,0,1,2007,9,4,1,21,-8,7,0
53,2007-03-05 10:00:00,40,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,10,0,1,40,17,2,0
54,2007-03-07 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,0,0,1,2007,10,2,1,17,9,5,0
55,2007-03-07 10:30:00,18,-8.11,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,21,9,2,0
56,2007-03-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,24,26,3,0
57,2007-03-08 08:30:00,69,-0.1,0,0.0,1,1,0,0,1,0,0,0,1,0,2007,10,3,1,19,1,15,0
58,2007-03-08 09:30:00,46,-0.39,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,54,-35,7,0
59,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,21,-1,2,0
60,2007-03-12 15:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,11,0,1,27,4,5,0
61,2007-03-13 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,1,1,14,3,4,0
62,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,17,-13,3,0
63,2007-03-14 10:30:00,18,-0.4,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,33,29,15,0
64,2007-03-15 09:00:00,66,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,11,3,1,30,-3,17,0
65,2007-03-15 10:30:00,46,-0.92,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,3,1,13,-1,18,1
66,2007-03-15 12:00:00,53,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,3,1,20,9,14,0
67,2007-03-16 10:00:00,58,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,11,4,1,23,-5,8,0
68,2007-03-19 13:00:00,44,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,0,1,13,-5,2,0
69,2007-03-21 10:30:00,18,-1.2,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,2,1,9,8,3,0
70,2007-03-21 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,12,2,1,49,3,49,1
71,2007-03-22 08:30:00,69,-0.2,0,-2.24,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,20,-4,9,0
72,2007-03-22 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,12,3,1,22,4,7,0
73,2007-03-22 10:30:00,46,-5.35,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,12,3,1,22,8,3,0
74,2007-03-23 10:00:00,23,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,12,4,1,29,-8,11,0
75,2007-03-26 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,13,0,1,53,30,29,1
76,2007-03-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,13,1,1,21,-5,1,0
77,2007-03-28 10:30:00,18,-1.22,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,2,1,20,0,5,0
78,2007-03-29 10:30:00,46,-0.57,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,13,3,1,10,3,7,0
79,2007-03-30 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,13,4,1,24,1,6,0
80,2007-04-03 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,1,1,4,0,1,0
81,2007-04-03 10:00:00,50,1.0,0,1.0,0,0,1,0,1,0,0,1,0,0,2007,14,1,1,12,1,11,0
82,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,14,2,1,12,4,2,0
83,2007-04-04 10:30:00,18,-1.6,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,2,1,28,12,8,0
84,2007-04-05 08:30:00,69,-0.75,0,-2.24,0,0,0,1,1,0,0,0,1,0,2007,14,3,1,22,5,12,0
85,2007-04-05 10:30:00,46,-0.6,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,14,3,1,16,3,3,0
86,2007-04-06 10:00:00,31,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,14,4,1,16,-10,7,0
87,2007-04-06 15:00:00,12,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,14,4,1,8,1,1,0
88,2007-04-10 10:00:00,37,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,15,1,1,15,0,7,0
89,2007-04-11 10:30:00,18,-0.48,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,2,1,12,1,11,0
90,2007-04-11 14:00:00,25,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,15,2,1,18,-2,16,0
91,2007-04-12 10:30:00,46,-0.75,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,15,3,1,22,19,19,1
92,2007-04-13 10:00:00,58,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,15,4,1,20,2,11,0
93,2007-04-16 09:00:00,66,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,16,0,1,21,2,13,0
94,2007-04-16 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,0,1,14,-5,10,0
95,2007-04-16 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,16,0,1,7,-1,6,0
96,2007-04-18 10:30:00,18,-1.32,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,2,1,17,-2,0,0
97,2007-04-19 08:30:00,69,-0.93,1,0.5,0,0,0,1,1,0,0,0,1,0,2007,16,3,1,18,7,12,0
98,2007-04-19 10:00:00,7,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,16,3,1,15,-4,4,0
99,2007-04-19 10:30:00,46,-0.32,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,16,3,1,25,11,6,0
100,2007-04-19 12:00:00,53,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,16,3,1,14,-5,10,0
101,2007-04-24 09:00:00,65,0.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,17,1,1,11,-3,2,0
102,2007-04-25 10:00:00,47,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,17,2,1,24,0,10,0
103,2007-04-25 10:30:00,18,-3.26,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,2,1,34,16,2,0
104,2007-04-26 08:30:00,69,-0.3,0,-4.47,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,18,-17,13,0
105,2007-04-26 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,17,3,1,16,0,4,0
106,2007-04-27 10:00:00,63,1.0,0,1.0,0,0,1,0,1,0,0,0,0,1,2007,17,4,1,21,6,8,0
107,2007-04-30 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,18,0,1,17,8,10,0
108,2007-04-30 10:00:00,11,0.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,18,0,1,24,16,3,0
109,2007-05-01 01:00:00,67,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,1,1,9,-5,1,0
110,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,0,0,2007,18,2,1,25,12,3,0
111,2007-05-02 10:00:00,24,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,18,2,1,17,8,27,1
112,2007-05-02 10:30:00,18,-0.25,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,2,1,35,10,1,0
113,2007-05-03 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,18,3,1,36,-18,12,0
114,2007-05-03 10:30:00,46,-3.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,18,3,1,35,-26,10,0
115,2007-05-07 15:00:00,12,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,0,1,11,-6,1,0
116,2007-05-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,19,1,1,9,1,1,0
117,2007-05-09 10:30:00,18,-2.95,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,2,1,12,-4,4,0
118,2007-05-09 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,19,2,1,29,7,27,1
119,2007-05-10 10:30:00,46,0.0,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,19,3,1,16,9,2,0
120,2007-05-10 14:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,19,3,1,12,-13,3,0
121,2007-05-11 10:00:00,5,1.0,0,1.0,0,0,1,0,0,1,0,0,0,1,2007,19,4,1,18,11,9,0
122,2007-05-15 09:00:00,66,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,20,1,1,30,20,12,0
123,2007-05-15 10:00:00,37,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,20,1,1,10,-11,7,0
124,2007-05-15 13:00:00,44,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,20,1,1,7,-1,2,0
125,2007-05-16 10:30:00,18,-0.61,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,2,1,12,-3,4,0
126,2007-05-17 08:30:00,69,0.93,1,-0.61,0,0,1,0,1,0,0,0,1,0,2007,20,3,1,36,-4,18,1
127,2007-05-17 10:00:00,7,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,20,3,1,13,0,5,0
128,2007-05-17 10:30:00,46,-0.72,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,20,3,1,15,5,2,0
129,2007-05-17 12:00:00,53,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,20,3,1,10,1,11,0
130,2007-05-18 10:00:00,58,1.0,0,1.0,0,0,1,0,0,1,0,1,0,0,2007,20,4,1,10,5,20,1
131,2007-05-22 10:00:00,64,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,21,1,1,7,-2,19,1
132,2007-05-23 10:30:00,18,-0.78,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,2,1,11,-6,8,0
133,2007-05-24 10:00:00,47,1.0,0,1.0,0,0,1,0,0,0,1,1,0,0,2007,21,3,1,33,2,19,1
134,2007-05-24 10:30:00,46,-3.27,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,21,3,1,35,-33,16,0
135,2007-05-25 10:00:00,23,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,21,4,1,10,-6,19,1
136,2007-05-29 09:00:00,65,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,22,1,1,20,6,1,0
137,2007-05-29 10:00:00,6,1.0,0,1.0,0,0,1,0,0,1,0,1,0,0,2007,22,1,1,17,-1,11,0
138,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,0,0,2007,22,2,1,23,-10,2,0
139,2007-05-31 09:45:00,10,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,22,3,1,14,-10,5,0
140,2007-05-31 10:00:00,11,1.0,0,1.0,0,1,0,0,0,1,0,0,1,0,2007,22,3,1,25,-16,4,0
