,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_180_after,reaction_max_60_180_after
31,2007-03-26 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,8,-3,27,30,2,0
32,2007-03-27 10:00:00,4,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,1,1,11,-6,6,-1,8,6,16,12,8,3,3,-2,21,0,17,2,10,0
33,2007-03-28 08:30:00,8,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,2,1,20,11,6,-1,3,-1,6,5,3,-2,10,-7,13,3,12,2,17,0
34,2007-03-30 08:30:00,9,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,13,4,1,7,-4,29,-28,11,9,7,3,8,4,5,4,10,0,20,16,76,1
35,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,12,7,5,1,4,0,10,-8,3,3,2,-2,12,6,13,-7,10,0
36,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,7,-1,10,1,3,0
37,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,16,9,11,4,27,1
38,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,13,9,10,-2,5,0,8,7,5,-1,5,0,13,-2,15,-3,2,0
39,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,31,-19,15,2,6,0
40,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-3,3,-1,6,3,2,0,3,-2,9,-7,11,-1,12,2,12,0
41,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,8,0,16,15,18,15,11,-7,4,-1,14,1,13,2,3,0
42,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,13,-8,11,3,3,0,5,5,3,1,8,-1,12,-1,27,1
43,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,6,-1,13,9,9,-5,11,-1,5,-1,8,-2,11,0,0,0
44,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,14,-9,11,-1,12,-6,9,4,8,1,11,-1,12,8,7,0
45,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,-2,6,-2,8,7,8,7,3,-3,4,-1,17,12,13,4,44,1
