,Unnamed: 0,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
566,6,clf,ada,max,basic,ALL_NO_1_1_1,0_30,included,basic,0.77,{'n_estimators': 50},0.77,0.75,0.8,0.92,0.62,0.35,953.0,339.0,"{'0': {'precision': 0.8007279344858963, 'recall': 0.9233997901364114, 'f1-score': 0.8576998050682261, 'support': 953}, '1': {'precision': 0.6217616580310881, 'recall': 0.35398230088495575, 'f1-score': 0.4511278195488722, 'support': 339}, 'micro avg': {'precision': 0.7739938080495357, 'recall': 0.7739938080495357, 'f1-score': 0.7739938080495357, 'support': 1292}, 'macro avg': {'precision': 0.7112447962584922, 'recall': 0.6386910455106836, 'f1-score': 0.6544138123085491, 'support': 1292}, 'weighted avg': {'precision': 0.753770064734983, 'recall': 0.7739938080495357, 'f1-score': 0.7510218614992934, 'support': 1292}}",0.84
567,0,reg,kn,max,basic,ALL_NO_1_1_1,0_30,included,basic,11.82,{'n_neighbors': 21},,,,,,,,,12.23,2.96
568,1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,0_30,included,basic,13.63,"{'C': 5, 'gamma': 1}",,,,,,,,,14.43,7.89
569,2,reg,dtree,max,basic,ALL_NO_1_1_1,0_30,included,basic,11.58,"{'max_depth': 5, 'min_samples_leaf': 50}",,,,,,,,,11.82,0.48
570,3,reg,rforest,max,basic,ALL_NO_1_1_1,0_30,included,basic,11.27,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",,,,,,,,,11.45,44.72
571,4,reg,xgb,max,basic,ALL_NO_1_1_1,0_30,included,basic,11.28,{'n_estimators': 50},,,,,,,,,11.45,0.29
572,5,reg,gboosting,max,basic,ALL_NO_1_1_1,0_30,included,basic,11.39,{'n_estimators': 50},,,,,,,,,11.45,0.57
573,6,reg,ada,max,basic,ALL_NO_1_1_1,0_30,included,basic,12.46,{'n_estimators': 10},,,,,,,,,12.57,0.64
574,0,clf,kn,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.75,{'n_neighbors': 31},0.76,0.73,0.78,0.95,0.6,0.23,957.0,335.0,"{'0': {'precision': 0.7781599312123818, 'recall': 0.9456635318704284, 'f1-score': 0.8537735849056604, 'support': 957}, '1': {'precision': 0.5968992248062015, 'recall': 0.2298507462686567, 'f1-score': 0.3318965517241379, 'support': 335}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.6875295780092916, 'recall': 0.5877571390695425, 'f1-score': 0.5928350683148991, 'support': 1292}, 'weighted avg': {'precision': 0.731161218638024, 'recall': 0.760061919504644, 'f1-score': 0.7184571715033305, 'support': 1292}}",2.72
575,1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,0_30,included,basic,0.73,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,1.0,0.0,0.0,957.0,335.0,"{'0': {'precision': 0.7407120743034056, 'recall': 1.0, 'f1-score': 0.8510449088483771, 'support': 957}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 335}, 'micro avg': {'precision': 0.7407120743034056, 'recall': 0.7407120743034056, 'f1-score': 0.7407120743034055, 'support': 1292}, 'macro avg': {'precision': 0.3703560371517028, 'recall': 0.5, 'f1-score': 0.42552245442418857, 'support': 1292}, 'weighted avg': {'precision': 0.5486543770188538, 'recall': 0.7407120743034056, 'f1-score': 0.6303792397584341, 'support': 1292}}",7.67
