,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_0_180_after,reaction_max_0_180_after
35,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,15,-7,4,0
36,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,12,1,11,0
37,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,12,4,26,0
38,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,20,-3,19,0
39,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,20,2,11,0
40,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,21,2,13,0
41,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,27,2,34,0
42,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,21,-1,27,0
43,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,24,0,10,0
44,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,43,8,5,0
45,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,22,4,58,1
46,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,25,12,23,0
47,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,36,-18,12,0
48,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,29,7,27,0
49,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,19,1,2,0
50,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,32,6,48,1
51,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,30,20,60,1
52,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,10,5,44,1
53,2007-05-24 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,19,9,18,0
54,2007-05-24 10:00:00,21,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,33,2,19,0
55,2007-05-25 10:00:00,14,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,10,-6,19,0
56,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,17,-1,11,0
57,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,2,1,23,-10,17,0
58,2007-05-31 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,3,1,29,17,4,0
59,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,24,-20,10,0
60,2007-06-08 08:30:00,31,2.06,1,7.8,3,0,1,0,0,1,0,1,2007,23,4,1,33,23,15,0
61,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,32,-11,42,1
62,2007-06-15 08:30:00,7,-1.41,3,0.0,0,0,0,1,1,0,0,1,2007,24,4,1,27,10,56,1
63,2007-06-15 09:00:00,30,0.35,1,-2.13,3,0,1,0,0,0,1,1,2007,24,4,1,31,22,37,1
64,2007-06-15 10:00:00,28,-1.33,1,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,29,1,34,0
65,2007-06-25 10:00:00,14,0.1,0,-0.69,1,0,1,0,1,0,0,1,2007,26,0,1,8,3,2,0
66,2007-06-27 08:30:00,8,-0.6,0,1.61,1,0,0,1,0,1,0,1,2007,26,2,1,22,3,6,0
67,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,17,-15,9,0
68,2007-06-29 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,4,1,22,16,17,0
69,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,10,-4,39,1
70,2007-07-03 10:00:00,24,-1.28,1,-0.58,1,0,0,1,0,0,1,1,2007,27,1,1,13,-1,11,0
71,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,27,-19,8,0
