,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_30_after,reaction_min_0_30_after
49,2007-04-16 08:30:00,10_29,1.0,0,2.0,0,1,1,0,0,2,0,2,2007,16,0,2,15,-9,-9,0
50,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,21,2,-9,0
51,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,27,2,-16,0
52,2007-04-24 10:00:00,14_4,2.0,0,2.0,0,0,0,2,1,1,0,2,2007,17,1,2,29,13,-17,0
53,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,21,-1,-16,0
54,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,24,0,-16,0
55,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,43,8,-29,1
56,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,22,4,-4,0
57,2007-05-01 10:00:00,17_24,2.0,0,1.0,0,0,1,1,1,1,0,2,2007,18,1,2,28,2,-38,1
58,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,25,12,-5,0
59,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,36,-18,-9,0
60,2007-05-04 08:30:00,22_33,1.0,0,1.0,0,1,0,1,2,0,0,2,2007,18,4,2,30,-6,-11,0
61,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,29,7,-6,0
62,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,19,1,-40,1
63,2007-05-11 08:30:00,10_29_23,3.0,0,2.0,0,0,1,2,1,2,0,3,2007,19,4,3,18,10,-17,0
64,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,32,6,-18,1
65,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,30,20,-6,0
