,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
6,clf,ada,min,all,ALL_NO_1_1_1,30_240,included,basic,0.77,{'n_estimators': 200},0.74,0.70,0.78,0.92,0.44,0.21,980.00,312.00,"{'0': {'precision': 0.7835951134380453, 'recall': 0.9163265306122449, 'f1-score': 0.8447789275634995, 'support': 980}, '1': {'precision': 0.4383561643835616, 'recall': 0.20512820512820512, 'f1-score': 0.27947598253275113, 'support': 312}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.6109756389108034, 'recall': 0.560727367870225, 'f1-score': 0.5621274550481253, 'support': 1292}, 'weighted avg': {'precision': 0.7002247170719471, 'recall': 0.7445820433436533, 'f1-score': 0.708266142076198, 'support': 1292}}",1.17
0,reg,kn,min,all,ALL_NO_1_1_1,30_240,included,basic,25.15,{'n_neighbors': 51},,,,,,,,,23.84,7.29
1,reg,svr-rbf,min,all,ALL_NO_1_1_1,30_240,included,basic,27.37,"{'C': 5, 'gamma': 1}",,,,,,,,,25.68,9.44
2,reg,dtree,min,all,ALL_NO_1_1_1,30_240,included,basic,24.67,"{'max_depth': 7, 'min_samples_leaf': 150}",,,,,,,,,23.81,0.72
3,reg,rforest,min,all,ALL_NO_1_1_1,30_240,included,basic,24.09,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 50}",,,,,,,,,23.30,67.71
4,reg,xgb,min,all,ALL_NO_1_1_1,30_240,included,basic,24.21,{'n_estimators': 50},,,,,,,,,23.51,0.44
5,reg,gboosting,min,all,ALL_NO_1_1_1,30_240,included,basic,24.37,{'n_estimators': 50},,,,,,,,,23.74,0.87
6,reg,ada,min,all,ALL_NO_1_1_1,30_240,included,basic,26.34,{'n_estimators': 10},,,,,,,,,25.46,0.87
0,clf,kn,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,{'n_neighbors': 71},0.74,0.65,0.74,0.99,0.40,0.01,952.00,340.00,"{'0': {'precision': 0.7379095163806553, 'recall': 0.9936974789915967, 'f1-score': 0.846911369740376, 'support': 952}, '1': {'precision': 0.4, 'recall': 0.011764705882352941, 'f1-score': 0.022857142857142857, 'support': 340}, 'micro avg': {'precision': 0.7352941176470589, 'recall': 0.7352941176470589, 'f1-score': 0.735294117647059, 'support': 1292}, 'macro avg': {'precision': 0.5689547581903276, 'recall': 0.5027310924369748, 'f1-score': 0.43488425629875943, 'support': 1292}, 'weighted avg': {'precision': 0.6489859594383776, 'recall': 0.7352941176470589, 'f1-score': 0.6300549942447883, 'support': 1292}}",6.52
1,clf,svc-rbf,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",8.93
2,clf,dtree,max,basic,ALL_NO_3_2_1,30_240,included,basic,0.75,"{'max_depth': 3, 'min_samples_leaf': 10}",0.74,0.54,0.74,1.00,0.00,0.00,952.00,340.00,"{'0': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 952}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 340}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.3684210526315789, 'recall': 0.5, 'f1-score': 0.4242424242424242, 'support': 1292}, 'weighted avg': {'precision': 0.5429362880886426, 'recall': 0.7368421052631579, 'f1-score': 0.6251993620414672, 'support': 1292}}",0.76
