,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_0_60_after,reaction_min_0_60_after
46,2007-02-27 09:00:00,65,1.0,0,1.0,0,0,0,1,1,0,0,0,1,0,2007,9,1,1,24,17,-14,0
47,2007-02-28 09:45:00,10,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,9,2,1,28,-7,-19,0
48,2007-02-28 10:00:00,47,1.0,0,1.0,0,0,0,1,0,1,0,1,0,0,2007,9,2,1,21,0,-26,1
49,2007-02-28 10:30:00,18,-0.83,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,2,1,20,-7,-1,0
50,2007-03-01 00:00:00,67,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,9,3,1,10,-2,-6,0
51,2007-03-01 09:30:00,46,-2.01,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,9,3,1,16,2,-54,1
52,2007-03-02 10:00:00,63,1.0,0,1.0,0,0,0,1,1,0,0,0,0,1,2007,9,4,1,21,-8,-17,0
53,2007-03-05 10:00:00,40,1.0,0,0.0,0,0,0,1,1,0,0,1,0,0,2007,10,0,1,28,17,-14,0
54,2007-03-07 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,0,0,1,2007,10,2,1,17,9,-10,0
55,2007-03-07 10:30:00,18,-8.11,2,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,2,1,20,9,-16,0
56,2007-03-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,0,1,0,1,0,2007,10,2,1,31,26,-8,0
57,2007-03-08 08:30:00,69,-0.1,0,0.0,1,1,0,0,1,0,0,0,1,0,2007,10,3,1,19,1,-39,1
58,2007-03-08 09:30:00,46,-0.39,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,10,3,1,54,-35,-6,0
59,2007-03-09 10:00:00,31,1.0,0,0.0,0,0,0,1,1,0,0,0,1,0,2007,10,4,1,21,-1,-9,0
60,2007-03-12 15:00:00,25,1.0,0,0.0,0,0,1,0,1,0,0,0,0,1,2007,11,0,1,27,4,-4,0
61,2007-03-13 10:00:00,5,1.0,0,0.0,0,0,0,1,1,0,0,0,0,1,2007,11,1,1,16,3,-15,0
62,2007-03-13 11:00:00,37,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,1,1,19,-13,-11,0
63,2007-03-14 10:30:00,18,-0.4,1,0.0,0,1,0,0,1,0,0,0,1,0,2007,11,2,1,36,29,0,0
