,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_30_60_after,pips_candle_30_60_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_60_240_after,reaction_max_60_240_after
25,2007-01-31 14:15:00,26,0.0,0,0.0,0,1,0,0,1,0,0,1,0,0,2007,5,2,1,33,18,8,-2,14,2,6,1,9,2,10,-2,14,-2,13,0,8,0
26,2007-02-01 00:00:00,67,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,5,-1,5,-3,5,-3,4,1,5,-2,6,-3,8,2,8,1,6,0
27,2007-02-01 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,5,3,1,3,-1,8,-3,12,6,9,-5,8,-5,6,2,10,-3,33,6,9,0
28,2007-02-05 10:00:00,40,1.0,0,0.0,0,0,1,0,1,0,0,1,0,0,2007,6,0,1,9,-4,13,8,5,-1,5,4,7,-1,5,4,16,-8,22,-14,15,0
29,2007-02-07 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,2,1,5,0,4,1,9,-6,5,3,6,1,8,6,12,0,22,12,3,0
30,2007-02-07 15:00:00,12,1.0,0,1.0,0,0,0,1,0,1,0,0,1,0,2007,6,2,1,3,1,6,0,5,-2,4,2,5,-3,5,0,12,7,16,-10,12,0
31,2007-02-08 08:30:00,69,1.0,0,1.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,1,18,-5,12,12,5,0,12,-11,7,5,19,0,22,10,27,0
32,2007-02-08 10:00:00,31,1.0,0,1.0,0,0,1,0,0,1,0,0,1,0,2007,6,3,1,4,1,5,3,6,-2,5,5,7,6,5,0,22,16,31,15,4,0
33,2007-02-08 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,6,3,1,5,-1,6,2,12,7,7,3,6,3,7,2,14,0,15,2,1,0
34,2007-02-12 14:00:00,25,1.0,0,0.0,0,1,0,0,1,0,0,0,0,1,2007,7,0,1,5,0,5,-2,5,1,6,1,4,1,4,2,10,-3,12,-6,11,0
