,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_neighbors': 61},0.74,0.72,0.75,0.97,0.62,0.11,943.00,349.00,"{'0': {'precision': 0.748371335504886, 'recall': 0.9745493107104984, 'f1-score': 0.8466144633809304, 'support': 943}, '1': {'precision': 0.625, 'recall': 0.11461318051575932, 'f1-score': 0.19370460048426152, 'support': 349}, 'micro avg': {'precision': 0.7422600619195047, 'recall': 0.7422600619195047, 'f1-score': 0.7422600619195046, 'support': 1292}, 'macro avg': {'precision': 0.686685667752443, 'recall': 0.5445812456131289, 'f1-score': 0.520159531932596, 'support': 1292}, 'weighted avg': {'precision': 0.7150457967346033, 'recall': 0.7422600619195047, 'f1-score': 0.6702479446882543, 'support': 1292}}",3.75
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.53,0.73,1.00,0.00,0.00,943.00,349.00,"{'0': {'precision': 0.7298761609907121, 'recall': 1.0, 'f1-score': 0.8438478747203579, 'support': 943}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 349}, 'micro avg': {'precision': 0.7298761609907121, 'recall': 0.7298761609907121, 'f1-score': 0.7298761609907122, 'support': 1292}, 'macro avg': {'precision': 0.36493808049535603, 'recall': 0.5, 'f1-score': 0.42192393736017897, 'support': 1292}, 'weighted avg': {'precision': 0.5327192103825398, 'recall': 0.7298761609907121, 'f1-score': 0.6159044472610662, 'support': 1292}}",8.60
2,clf,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 5, 'min_samples_leaf': 20}",0.74,0.70,0.76,0.94,0.54,0.19,943.00,349.00,"{'0': {'precision': 0.7592116538131962, 'recall': 0.9395546129374337, 'f1-score': 0.8398104265402843, 'support': 943}, '1': {'precision': 0.544, 'recall': 0.19484240687679083, 'f1-score': 0.2869198312236287, 'support': 349}, 'micro avg': {'precision': 0.7383900928792569, 'recall': 0.7383900928792569, 'f1-score': 0.7383900928792569, 'support': 1292}, 'macro avg': {'precision': 0.6516058269065981, 'recall': 0.5671985099071123, 'f1-score': 0.5633651288819564, 'support': 1292}, 'weighted avg': {'precision': 0.7010778556856379, 'recall': 0.7383900928792569, 'f1-score': 0.6904614963812187, 'support': 1292}}",0.55
3,clf,rforest,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 50}",0.75,0.75,0.75,0.98,0.74,0.13,943.00,349.00,"{'0': {'precision': 0.7530463038180342, 'recall': 0.9830328738069989, 'f1-score': 0.8528058877644895, 'support': 943}, '1': {'precision': 0.7377049180327869, 'recall': 0.12893982808022922, 'f1-score': 0.21951219512195122, 'support': 349}, 'micro avg': {'precision': 0.7523219814241486, 'recall': 0.7523219814241486, 'f1-score': 0.7523219814241486, 'support': 1292}, 'macro avg': {'precision': 0.7453756109254106, 'recall': 0.555986350943614, 'f1-score': 0.5361590414432204, 'support': 1292}, 'weighted avg': {'precision': 0.7489022297940007, 'recall': 0.7523219814241486, 'f1-score': 0.6817381642875191, 'support': 1292}}",26.24
4,clf,xgb,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.75,0.77,0.97,0.69,0.20,943.00,349.00,"{'0': {'precision': 0.7657430730478589, 'recall': 0.9671261930010604, 'f1-score': 0.8547328959700093, 'support': 943}, '1': {'precision': 0.693069306930693, 'recall': 0.20057306590257878, 'f1-score': 0.31111111111111106, 'support': 349}, 'micro avg': {'precision': 0.760061919504644, 'recall': 0.760061919504644, 'f1-score': 0.760061919504644, 'support': 1292}, 'macro avg': {'precision': 0.729406189989276, 'recall': 0.5838496294518196, 'f1-score': 0.5829220035405602, 'support': 1292}, 'weighted avg': {'precision': 0.746112156349027, 'recall': 0.760061919504644, 'f1-score': 0.7078876924748426, 'support': 1292}}",0.32
5,clf,gboosting,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.77,{'n_estimators': 50},0.76,0.74,0.77,0.96,0.68,0.21,943.00,349.00,"{'0': {'precision': 0.7664418212478921, 'recall': 0.9639448568398727, 'f1-score': 0.8539220291216533, 'support': 943}, '1': {'precision': 0.6792452830188679, 'recall': 0.20630372492836677, 'f1-score': 0.31648351648351647, 'support': 349}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.72284355213338, 'recall': 0.5851242908841198, 'f1-score': 0.5852027728025848, 'support': 1292}, 'weighted avg': {'precision': 0.742887957593148, 'recall': 0.7592879256965944, 'f1-score': 0.7087470748563981, 'support': 1292}}",0.76
6,clf,ada,max,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,{'n_estimators': 50},0.76,0.74,0.77,0.95,0.65,0.23,943.00,349.00,"{'0': {'precision': 0.7708154506437769, 'recall': 0.9522799575821845, 'f1-score': 0.8519924098671727, 'support': 943}, '1': {'precision': 0.6456692913385826, 'recall': 0.2349570200573066, 'f1-score': 0.3445378151260504, 'support': 349}, 'micro avg': {'precision': 0.7585139318885449, 'recall': 0.7585139318885449, 'f1-score': 0.758513931888545, 'support': 1292}, 'macro avg': {'precision': 0.7082423709911798, 'recall': 0.5936184888197455, 'f1-score': 0.5982651124966116, 'support': 1292}, 'weighted avg': {'precision': 0.7370104896549898, 'recall': 0.7585139318885449, 'f1-score': 0.7149168266127984, 'support': 1292}}",0.84
0,reg,kn,max,basic,ALL_NO_1_1_1,0_60,included,basic,16.05,{'n_neighbors': 41},,,,,,,,,17.04,2.92
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.99,"{'C': 5, 'gamma': 1}",,,,,,,,,19.49,7.61
2,reg,dtree,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.68,"{'max_depth': 4, 'min_samples_leaf': 10}",,,,,,,,,16.20,0.49
3,reg,rforest,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.36,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}",,,,,,,,,16.00,45.06
4,reg,xgb,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.43,{'n_estimators': 50},,,,,,,,,16.05,0.29
5,reg,gboosting,max,basic,ALL_NO_1_1_1,0_60,included,basic,15.54,{'n_estimators': 50},,,,,,,,,16.08,0.56
6,reg,ada,max,basic,ALL_NO_1_1_1,0_60,included,basic,17.24,{'n_estimators': 10},,,,,,,,,17.96,0.40
0,clf,kn,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.75,{'n_neighbors': 51},0.76,0.73,0.76,0.98,0.62,0.12,962.00,330.00,"{'0': {'precision': 0.7632221318144833, 'recall': 0.975051975051975, 'f1-score': 0.8562300319488817, 'support': 962}, '1': {'precision': 0.6190476190476191, 'recall': 0.11818181818181818, 'f1-score': 0.1984732824427481, 'support': 330}, 'micro avg': {'precision': 0.7561919504643962, 'recall': 0.7561919504643962, 'f1-score': 0.7561919504643962, 'support': 1292}, 'macro avg': {'precision': 0.6911348754310511, 'recall': 0.5466168966168966, 'f1-score': 0.5273516571958149, 'support': 1292}, 'weighted avg': {'precision': 0.7263973723616465, 'recall': 0.7561919504643962, 'f1-score': 0.6882271470131045, 'support': 1292}}",2.73
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.74,"{'C': 1, 'gamma': 1}",0.74,0.55,0.74,1.00,0.00,0.00,962.00,330.00,"{'0': {'precision': 0.7445820433436533, 'recall': 1.0, 'f1-score': 0.8535936113575865, 'support': 962}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 330}, 'micro avg': {'precision': 0.7445820433436533, 'recall': 0.7445820433436533, 'f1-score': 0.7445820433436534, 'support': 1292}, 'macro avg': {'precision': 0.37229102167182665, 'recall': 0.5, 'f1-score': 0.42679680567879325, 'support': 1292}, 'weighted avg': {'precision': 0.5544024192698099, 'recall': 0.7445820433436533, 'f1-score': 0.63557047532972, 'support': 1292}}",7.76
2,clf,dtree,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 3, 'min_samples_leaf': 10}",0.76,0.72,0.77,0.95,0.57,0.19,962.00,330.00,"{'0': {'precision': 0.7741116751269036, 'recall': 0.9511434511434511, 'f1-score': 0.8535447761194029, 'support': 962}, '1': {'precision': 0.5727272727272728, 'recall': 0.19090909090909092, 'f1-score': 0.2863636363636364, 'support': 330}, 'micro avg': {'precision': 0.7569659442724458, 'recall': 0.7569659442724458, 'f1-score': 0.7569659442724458, 'support': 1292}, 'macro avg': {'precision': 0.6734194739270882, 'recall': 0.571026271026271, 'f1-score': 0.5699542062415197, 'support': 1292}, 'weighted avg': {'precision': 0.7226744825635304, 'recall': 0.7569659442724458, 'f1-score': 0.7086765283489672, 'support': 1292}}",0.46
3,clf,rforest,min,basic,ALL_NO_1_1_1,0_60,included,basic,0.76,"{'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 100}",0.76,0.73,0.77,0.96,0.60,0.17,962.00,330.00,"{'0': {'precision': 0.7714762301918265, 'recall': 0.9615384615384616, 'f1-score': 0.8560851457658492, 'support': 962}, '1': {'precision': 0.6021505376344086, 'recall': 0.1696969696969697, 'f1-score': 0.264775413711584, 'support': 330}, 'micro avg': {'precision': 0.7592879256965944, 'recall': 0.7592879256965944, 'f1-score': 0.7592879256965943, 'support': 1292}, 'macro avg': {'precision': 0.6868133839131176, 'recall': 0.5656177156177157, 'f1-score': 0.5604302797387166, 'support': 1292}, 'weighted avg': {'precision': 0.7282274077893901, 'recall': 0.7592879256965944, 'f1-score': 0.7050540222535369, 'support': 1292}}",22.94
