,model_type,model,direction,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,f1_microavg,precision_weighted,precision_below_TH,recall_below_TH,precision_above_TH,recall_above_TH,support_below_TH,support_above_TH,report,elapsed_time
0,clf,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_neighbors': 31},0.73,0.68,0.74,0.99,0.53,0.03,947.00,345.00,"{'0': {'precision': 0.7364705882352941, 'recall': 0.9915522703273495, 'f1-score': 0.8451845184518452, 'support': 947}, '1': {'precision': 0.5294117647058824, 'recall': 0.02608695652173913, 'f1-score': 0.04972375690607735, 'support': 345}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6329411764705882, 'recall': 0.5088196134245443, 'f1-score': 0.44745413767896125, 'support': 1292}, 'weighted avg': {'precision': 0.6811801129120378, 'recall': 0.7337461300309598, 'f1-score': 0.6327743305777818, 'support': 1292}}",9.22
1,clf,svc-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.73,0.54,0.73,1.00,0.00,0.00,947.00,345.00,"{'0': {'precision': 0.7329721362229102, 'recall': 1.0, 'f1-score': 0.8459133541759715, 'support': 947}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 345}, 'micro avg': {'precision': 0.7329721362229102, 'recall': 0.7329721362229102, 'f1-score': 0.7329721362229102, 'support': 1292}, 'macro avg': {'precision': 0.3664860681114551, 'recall': 0.5, 'f1-score': 0.42295667708798573, 'support': 1292}, 'weighted avg': {'precision': 0.5372481524791765, 'recall': 0.7329721362229102, 'f1-score': 0.620030918269849, 'support': 1292}}",10.71
2,clf,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'max_depth': 4, 'min_samples_leaf': 150}",0.73,0.68,0.75,0.96,0.49,0.11,947.00,345.00,"{'0': {'precision': 0.7475247524752475, 'recall': 0.9567053854276664, 'f1-score': 0.8392774432607689, 'support': 947}, '1': {'precision': 0.4875, 'recall': 0.11304347826086956, 'f1-score': 0.18352941176470589, 'support': 345}, 'micro avg': {'precision': 0.7314241486068112, 'recall': 0.7314241486068112, 'f1-score': 0.7314241486068112, 'support': 1292}, 'macro avg': {'precision': 0.6175123762376238, 'recall': 0.534874431844268, 'f1-score': 0.5114034275127374, 'support': 1292}, 'weighted avg': {'precision': 0.6780908982926156, 'recall': 0.7314241486068112, 'f1-score': 0.6641744472343435, 'support': 1292}}",0.80
3,clf,rforest,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.76,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 10}",0.73,0.68,0.74,0.98,0.51,0.06,947.00,345.00,"{'0': {'precision': 0.7413931144915933, 'recall': 0.9778247096092925, 'f1-score': 0.843351548269581, 'support': 947}, '1': {'precision': 0.5116279069767442, 'recall': 0.06376811594202898, 'f1-score': 0.11340206185567009, 'support': 345}, 'micro avg': {'precision': 0.7337461300309598, 'recall': 0.7337461300309598, 'f1-score': 0.7337461300309598, 'support': 1292}, 'macro avg': {'precision': 0.6265105107341687, 'recall': 0.5207964127756607, 'f1-score': 0.4783768050626256, 'support': 1292}, 'weighted avg': {'precision': 0.6800394019586035, 'recall': 0.7337461300309598, 'f1-score': 0.6484346962472906, 'support': 1292}}",29.69
4,clf,xgb,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 50},0.74,0.69,0.75,0.97,0.54,0.10,947.00,345.00,"{'0': {'precision': 0.7465475223395613, 'recall': 0.9704329461457233, 'f1-score': 0.8438934802571165, 'support': 947}, '1': {'precision': 0.5409836065573771, 'recall': 0.09565217391304348, 'f1-score': 0.1625615763546798, 'support': 345}, 'micro avg': {'precision': 0.7368421052631579, 'recall': 0.7368421052631579, 'f1-score': 0.7368421052631579, 'support': 1292}, 'macro avg': {'precision': 0.6437655644484692, 'recall': 0.5330425600293833, 'f1-score': 0.5032275283058981, 'support': 1292}, 'weighted avg': {'precision': 0.6916562290385911, 'recall': 0.7368421052631579, 'f1-score': 0.6619588774348715, 'support': 1292}}",0.48
5,clf,gboosting,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 100},0.73,0.68,0.75,0.95,0.47,0.13,947.00,345.00,"{'0': {'precision': 0.7489574645537949, 'recall': 0.9482576557550159, 'f1-score': 0.8369058713886299, 'support': 947}, '1': {'precision': 0.4731182795698925, 'recall': 0.12753623188405797, 'f1-score': 0.20091324200913244, 'support': 345}, 'micro avg': {'precision': 0.7291021671826625, 'recall': 0.7291021671826625, 'f1-score': 0.7291021671826625, 'support': 1292}, 'macro avg': {'precision': 0.6110378720618437, 'recall': 0.5378969438195369, 'f1-score': 0.5189095566988812, 'support': 1292}, 'weighted avg': {'precision': 0.6753007162415299, 'recall': 0.7291021671826625, 'f1-score': 0.6670781181874483, 'support': 1292}}",1.19
6,clf,ada,max,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,{'n_estimators': 50},0.73,0.68,0.76,0.94,0.49,0.17,947.00,345.00,"{'0': {'precision': 0.7553282182438192, 'recall': 0.9355860612460402, 'f1-score': 0.8358490566037735, 'support': 947}, '1': {'precision': 0.48739495798319327, 'recall': 0.1681159420289855, 'f1-score': 0.24999999999999994, 'support': 345}, 'micro avg': {'precision': 0.7306501547987616, 'recall': 0.7306501547987616, 'f1-score': 0.7306501547987616, 'support': 1292}, 'macro avg': {'precision': 0.6213615881135063, 'recall': 0.5518510016375129, 'f1-score': 0.5429245283018868, 'support': 1292}, 'weighted avg': {'precision': 0.6837825721215932, 'recall': 0.7306501547987616, 'f1-score': 0.6794110345230445, 'support': 1292}}",1.14
0,reg,kn,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.60,{'n_neighbors': 61},,,,,,,,,18.24,7.63
1,reg,svr-rbf,max,basic,ALL_NO_1_1_1,30_120,included,basic,20.21,"{'C': 5, 'gamma': 1}",,,,,,,,,20.20,10.20
2,reg,dtree,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.33,"{'max_depth': 4, 'min_samples_leaf': 150}",,,,,,,,,18.09,0.77
3,reg,rforest,max,basic,ALL_NO_1_1_1,30_120,included,basic,17.91,"{'max_depth': 7, 'min_samples_leaf': 20, 'n_estimators': 200}",,,,,,,,,17.75,68.27
4,reg,xgb,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.06,{'n_estimators': 50},,,,,,,,,17.76,0.43
5,reg,gboosting,max,basic,ALL_NO_1_1_1,30_120,included,basic,18.14,{'n_estimators': 50},,,,,,,,,17.80,0.96
6,reg,ada,max,basic,ALL_NO_1_1_1,30_120,included,basic,20.00,{'n_estimators': 10},,,,,,,,,20.63,1.07
0,clf,kn,min,basic,ALL_NO_1_1_1,30_120,included,basic,0.76,{'n_neighbors': 41},0.77,0.72,0.78,0.99,0.55,0.06,993.00,299.00,"{'0': {'precision': 0.7763679619349723, 'recall': 0.9859013091641491, 'f1-score': 0.8686779059449867, 'support': 993}, '1': {'precision': 0.5483870967741935, 'recall': 0.056856187290969896, 'f1-score': 0.10303030303030303, 'support': 299}, 'micro avg': {'precision': 0.7708978328173375, 'recall': 0.7708978328173375, 'f1-score': 0.7708978328173375, 'support': 1292}, 'macro avg': {'precision': 0.6623775293545828, 'recall': 0.5213787482275595, 'f1-score': 0.4858541044876449, 'support': 1292}, 'weighted avg': {'precision': 0.7236076843164948, 'recall': 0.7708978328173375, 'f1-score': 0.6914885613076102, 'support': 1292}}",6.88
1,clf,svc-rbf,min,basic,ALL_NO_1_1_1,30_120,included,basic,0.75,"{'C': 1, 'gamma': 1}",0.77,0.59,0.77,1.00,0.00,0.00,993.00,299.00,"{'0': {'precision': 0.7685758513931888, 'recall': 1.0, 'f1-score': 0.8691466083150985, 'support': 993}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 299}, 'micro avg': {'precision': 0.7685758513931888, 'recall': 0.7685758513931888, 'f1-score': 0.7685758513931888, 'support': 1292}, 'macro avg': {'precision': 0.3842879256965944, 'recall': 0.5, 'f1-score': 0.43457330415754925, 'support': 1292}, 'weighted avg': {'precision': 0.5907088393447651, 'recall': 0.7685758513931888, 'f1-score': 0.6680050944712792, 'support': 1292}}",10.05
