,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_min_30_60_after,reaction_min_30_60_after
0,2007-01-08 15:00:00,12,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,0,1,6,0,4,-2,9,1,4,2,6,-2,5,0,17,-2,-4,0
1,2007-01-09 10:00:00,37,0.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,1,1,5,0,7,1,5,-2,5,1,4,0,6,5,20,-14,-14,0
2,2007-01-10 08:30:00,68,3.0,0,0.0,0,0,3,0,3,0,0,1,0,0,2007,2,2,1,13,-7,7,-3,10,7,10,-8,10,7,6,0,15,-12,-10,0
3,2007-01-10 10:00:00,31,1.0,0,0.0,0,0,0,1,0,1,0,0,1,0,2007,2,2,1,7,5,18,-15,14,-9,7,2,6,-2,7,-3,26,-13,0,0
4,2007-01-10 10:30:00,18,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,2,1,5,4,8,6,5,-1,8,-3,7,-1,6,3,46,-36,-7,0
5,2007-01-11 08:30:00,69,1.0,0,0.0,0,0,1,0,1,0,0,0,1,0,2007,2,3,1,11,-9,26,-16,20,-4,14,-12,20,-4,11,-5,26,17,-25,1
6,2007-01-11 10:30:00,46,1.0,0,0.0,0,1,0,0,1,0,0,0,1,0,2007,2,3,1,8,5,7,-3,3,0,7,-3,9,4,7,-3,40,-34,-6,0
7,2007-01-12 10:00:00,5,0.0,0,0.0,0,2,0,0,0,2,0,0,0,1,2007,2,4,1,17,-7,8,-6,8,3,15,12,7,0,7,0,30,21,-14,0
8,2007-01-12 14:00:00,25,2.0,0,0.0,0,0,2,0,2,0,0,0,0,1,2007,2,4,1,6,-1,5,-1,7,-2,4,-1,5,0,6,4,12,-6,-3,0
9,2007-01-16 08:30:00,21,2.0,0,0.0,0,0,0,2,2,0,0,0,0,1,2007,3,1,1,11,10,6,0,5,2,7,-6,6,5,7,-7,28,-20,-20,1
10,2007-01-17 09:00:00,66,3.0,0,0.0,0,0,0,3,0,3,0,1,0,0,2007,3,2,1,12,-3,5,-1,9,-7,7,-3,13,11,5,2,24,3,-2,0
11,2007-01-17 13:00:00,44,1.0,0,0.0,0,0,1,0,0,1,0,0,1,0,2007,3,2,1,7,-4,7,5,6,-5,6,0,5,0,5,1,14,-1,-8,0
