,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_candle_25_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_candle_max_30_120_after,reaction_max_30_120_after
33,2007-03-15 09:00:00,30,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,11,3,1,14,8,13,11,8,-6,5,0,15,7,7,-3,30,-3,18,0
34,2007-03-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,11,4,1,10,1,8,2,10,4,8,-3,6,-2,5,0,14,-4,9,0
35,2007-03-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,11,4,1,8,-3,5,2,4,-1,7,-3,4,3,4,-2,23,-5,8,0
36,2007-03-21 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,12,2,1,41,25,38,37,25,-13,21,14,15,-8,12,9,49,3,13,0
37,2007-03-23 10:00:00,14,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,12,4,1,16,-11,9,5,9,-7,14,-11,11,-2,6,0,29,-8,5,0
38,2007-03-26 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,0,1,21,17,14,12,4,-1,10,6,6,6,7,2,53,30,4,0
39,2007-03-27 10:00:00,4,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,1,1,11,-6,6,-1,8,6,16,12,8,3,3,-2,17,2,10,0
40,2007-03-28 08:30:00,8,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,2,1,20,11,6,-1,3,-1,6,5,3,-2,10,-7,22,2,15,0
41,2007-03-30 08:30:00,9,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,13,4,1,7,-4,29,-28,11,9,7,3,8,4,5,4,20,16,3,0
42,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,12,7,5,1,4,0,10,-8,3,3,2,-2,15,-7,12,0
43,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,5,-3,10,8,4,0,8,-6,2,0,3,1,12,1,5,0
44,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,7,6,3,2,3,0,2,-1,9,-9,6,-2,12,4,23,0
45,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,13,9,10,-2,5,0,8,7,5,-1,5,0,20,-3,8,0
46,2007-04-06 08:30:00,22_33,2.0,0,1.0,0,0,2,0,1,1,0,2,2007,14,4,2,41,-34,19,13,22,-16,9,1,7,4,4,1,53,-6,7,0
47,2007-04-13 08:30:00,31_23,2.0,0,1.0,0,0,2,0,2,0,0,2,2007,15,4,2,17,5,9,-8,8,4,2,1,6,3,4,1,20,-11,18,0
48,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,16,-1,5,-4,5,0,8,6,8,-5,7,4,20,2,6,0
