,accuracy_test,before_data,elapsed_time,model,model_type,params,score,sweep_buy_sell,sweep_news_agg,sweeps_market_variables
0,0.30727554179566563,excluded,0.32,knn,clf,{'n_neighbors': 71},0.31,15_60,ALL_NO_1_1_1,market_basic
1,0.3862229102167183,excluded,0.19,tree,clf,"{'max_depth': 3, 'min_samples_leaf': 10}",0.39,15_60,ALL_NO_1_1_1,market_basic
2,0.40634674922600617,excluded,11.63,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 150, 'n_estimators': 50}",0.40,15_60,ALL_NO_1_1_1,market_basic
3,0.40092879256965946,excluded,1.51,xgb,clf,{'n_estimators': 100},0.39,15_60,ALL_NO_1_1_1,market_basic
4,0.40634674922600617,excluded,1.94,gradientBoosting,clf,{'n_estimators': 10},0.39,15_60,ALL_NO_1_1_1,market_basic
5,0.37229102167182665,excluded,0.45,AdaBoostClassifier,clf,{'n_estimators': 10},0.39,15_60,ALL_NO_1_1_1,market_basic
0,0.35990712074303405,excluded,0.80,knn,clf,{'n_neighbors': 21},0.36,30_60,ALL_NO_1_1_1,market_basic
1,0.4760061919504644,excluded,0.24,tree,clf,"{'max_depth': 5, 'min_samples_leaf': 150}",0.48,30_60,ALL_NO_1_1_1,market_basic
2,0.5007739938080495,excluded,11.13,forest,clf,"{'max_depth': 6, 'min_samples_leaf': 10, 'n_estimators': 100}",0.48,30_60,ALL_NO_1_1_1,market_basic
3,0.4938080495356037,excluded,1.73,xgb,clf,{'n_estimators': 50},0.48,30_60,ALL_NO_1_1_1,market_basic
4,0.48839009287925694,excluded,2.28,gradientBoosting,clf,{'n_estimators': 10},0.49,30_60,ALL_NO_1_1_1,market_basic
5,0.47523219814241485,excluded,0.46,AdaBoostClassifier,clf,{'n_estimators': 10},0.45,30_60,ALL_NO_1_1_1,market_basic
0,0.34055727554179566,excluded,0.77,knn,clf,{'n_neighbors': 41},0.33,30_90,ALL_NO_1_1_1,market_basic
1,0.4241486068111455,excluded,0.24,tree,clf,"{'max_depth': 4, 'min_samples_leaf': 10}",0.43,30_90,ALL_NO_1_1_1,market_basic
2,0.4481424148606811,excluded,10.65,forest,clf,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 200}",0.43,30_90,ALL_NO_1_1_1,market_basic
3,0.44659442724458204,excluded,1.74,xgb,clf,{'n_estimators': 50},0.43,30_90,ALL_NO_1_1_1,market_basic
4,0.43653250773993807,excluded,2.27,gradientBoosting,clf,{'n_estimators': 50},0.43,30_90,ALL_NO_1_1_1,market_basic
5,0.42879256965944273,excluded,0.47,AdaBoostClassifier,clf,{'n_estimators': 50},0.42,30_90,ALL_NO_1_1_1,market_basic
0,0.33900928792569657,excluded,0.82,knn,clf,{'n_neighbors': 51},0.31,30_120,ALL_NO_1_1_1,market_basic
1,0.4179566563467492,excluded,0.23,tree,clf,"{'max_depth': 5, 'min_samples_leaf': 100}",0.40,30_120,ALL_NO_1_1_1,market_basic
2,0.4311145510835913,excluded,10.77,forest,clf,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 50}",0.40,30_120,ALL_NO_1_1_1,market_basic
3,0.43653250773993807,excluded,1.79,xgb,clf,{'n_estimators': 50},0.40,30_120,ALL_NO_1_1_1,market_basic
4,0.4295665634674923,excluded,2.47,gradientBoosting,clf,{'n_estimators': 50},0.40,30_120,ALL_NO_1_1_1,market_basic
5,0.42492260061919507,excluded,0.50,AdaBoostClassifier,clf,{'n_estimators': 10},0.39,30_120,ALL_NO_1_1_1,market_basic
