,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,num_news
50,2007-04-16 09:00:00,30,-27.83,-0.324263854620902,-1.44,-29.27,-0.4551380663935502,0,0,1,1,0,0,1,1
51,2007-04-17 08:30:00,7,-50.0,-1.2247448713915892,0.0,-50.0,-1.5,0,0,1,1,0,0,1,1
52,2007-04-24 10:00:00,14_4,-7.51,-1.8601735887779105,1.08,-6.429999999999998,-1.3833357355451312,0,0,2,1,1,0,2,2
53,2007-04-25 08:30:00,8,36.36,0.4089126905700817,-300.0,-263.64,0.13815686625736556,0,1,0,0,0,1,1,1
54,2007-04-25 10:00:00,21,-3.6,0.2499263062752018,-1.42,-5.02,0.24245270330275046,0,0,1,0,0,1,1,1
55,2007-04-27 08:30:00,1,-31.58,-0.7071067811865476,-28.57,-60.15,-0.7071067811865475,0,0,1,0,0,1,1,1
56,2007-04-30 08:30:00,9,-100.0,-1.1666666666666667,0.0,-100.0,-1.1783315048523808,0,0,1,1,0,0,1,1
57,2007-05-01 10:00:00,17_24,-4992.75,-0.435629631774352,57.14,-4935.61,-0.4354348321394117,0,1,1,1,1,0,2,2
58,2007-05-02 08:15:00,0,-40.19,-0.7233824437106153,-7.55,-47.74,-0.6269946826632552,0,0,1,0,0,1,1,1
59,2007-05-03 10:00:00,18,5.26,0.98872953860122,0.0,5.26,0.98872953860122,0,1,0,1,0,0,1,1
60,2007-05-04 08:30:00,22_33,-17.76,-1.0157147777004538,1.67,-16.090000000000003,-1.1228302464896125,1,0,1,2,0,0,2,2
61,2007-05-09 14:15:00,15,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1
62,2007-05-10 08:30:00,31,-6.5,-1.4060292683395064,-0.86,-7.36,-1.4767716813034268,0,0,1,1,0,0,1,1
63,2007-05-11 08:30:00,10_29_23,-233.32999999999998,-2.452098247868638,80.36,-152.96999999999997,-1.7714115237894976,0,1,2,1,2,0,3,3
64,2007-05-15 08:30:00,7,0.0,0.0,0.0,0.0,0.4472135954999579,1,0,0,1,0,0,1,1
65,2007-05-15 09:00:00,30,-6.11,-0.04403869009775003,0.0,-6.11,-0.13905690311703595,0,0,1,1,0,0,1,1
66,2007-05-18 10:00:00,28,2.66,0.6061549583949739,2.11,4.77,0.9528254571557164,0,1,0,0,1,0,1,1
67,2007-05-24 08:30:00,8,200.0,0.5407195116907394,-80.0,120.0,0.563072211366198,0,1,0,0,0,1,1,1
68,2007-05-24 10:00:00,21,14.07,1.3077481735913692,-1.63,12.44,1.2102123683436787,0,1,0,0,0,1,1,1
69,2007-05-25 10:00:00,14,-2.44,-0.48665664944832204,0.49,-1.95,-0.4446410823220072,0,0,1,0,1,0,1,1
70,2007-05-29 10:00:00,4,3.35,1.0813959888641351,2.21,5.5600000000000005,1.3322516393006507,0,1,0,0,1,0,1,1
71,2007-05-30 08:15:00,0,-15.65,0.20544824236078985,4.69,-10.96,0.3477587286058095,0,0,1,1,0,0,1,1
72,2007-05-31 08:30:00,26,-14.29,-0.7071067811865477,40.91,26.62,0.7071067811865476,0,0,1,1,0,0,1,1
73,2007-06-01 08:30:00,9_22_33,-33.7,-0.1970542876244959,-9.09,-42.79,-0.8336318934960236,1,1,1,2,0,1,3,3
74,2007-06-01 10:00:00,17_24,-1164.8200000000002,0.03977499146225757,8.16,-1156.66,0.038114064041742744,0,1,1,1,1,0,2,2
75,2007-06-05 10:00:00,18,7.96,1.0902419992576493,0.0,7.96,1.0902419992576493,0,1,0,1,0,0,1,1
76,2007-06-08 08:30:00,31,7.87,1.3971654613710405,2.35,10.22,1.4806764698452026,0,1,0,0,1,0,1,1
77,2007-06-13 08:30:00,10_29,219.04000000000002,2.6804576426504,150.0,369.04,0.7604823304107631,0,2,0,0,2,0,2,2
78,2007-06-14 08:30:00,23,50.0,-0.1865312458248847,0.0,50.0,-0.1865312458248847,0,1,0,1,0,0,1,1
79,2007-06-15 08:30:00,7,-50.0,-0.956182887467515,0.0,-50.0,-1.095445115010332,0,0,1,1,0,0,1,1
80,2007-06-15 09:00:00,30,17.13,0.197073714366414,-24.26,-7.130000000000003,-0.1863179527313159,0,1,0,0,0,1,1,1
81,2007-06-15 10:00:00,28,-5.42,-1.147532967135272,0.45,-4.97,-0.7411795114084448,0,0,1,1,0,0,1,1
82,2007-06-25 10:00:00,14,0.5,0.08891003170891075,-0.33,0.16999999999999998,-0.03887155303229095,0,1,0,1,0,0,1,1
83,2007-06-26 10:00:00,21_4,-2.2800000000000002,-0.544139076904455,-4.74,-7.02,-0.5816937834133562,0,0,2,0,1,1,2,2
84,2007-06-27 08:30:00,8,-600.0,-0.3241924574526462,66.67,-533.33,-0.13936955270424708,0,0,1,0,1,0,1,1
85,2007-06-28 14:15:00,15,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1
86,2007-06-29 08:30:00,9,0.0,0.1533929977694741,0.0,0.0,0.2828291360515774,1,0,0,1,0,0,1,1
87,2007-07-02 10:00:00,17,1.82,-0.36785296849887,0.0,1.82,-0.36785296849887,0,1,0,1,0,0,1,1
88,2007-07-03 10:00:00,24,-683.33,0.3098613691963761,-6.25,-689.58,0.30558907198737045,0,0,1,0,0,1,1,1
89,2007-07-05 10:00:00,18,4.48,0.4743483862191429,0.0,4.48,0.4743483862191429,0,1,0,1,0,0,1,1
90,2007-07-06 08:30:00,22_33,5.6,-0.8035809372414126,21.02,26.62,-0.4276736084613234,1,1,0,1,1,0,2,2
91,2007-07-12 08:30:00,31,0.0,-0.1401887808411693,0.34,0.34,-0.12579476892999852,1,0,0,1,0,0,1,1
92,2007-07-13 08:30:00,10_29,-1200.0,-3.1663239684998414,30.22,-1169.78,-2.5982003776922964,0,0,2,0,2,0,2,2
93,2007-07-13 10:00:00,28,7.44,1.456342016199501,1.91,9.35,1.4155260190867842,0,1,0,0,1,0,1,1
94,2007-07-17 08:30:00,23,-200.0,-1.49927171460048,0.0,-200.0,-1.49927171460048,0,0,1,1,0,0,1,1
95,2007-07-17 09:00:00,30,80.14,0.7835153777024046,-4.52,75.62,0.7188377944202523,0,1,0,0,0,1,1,1
96,2007-07-18 08:30:00,7,0.0,0.7302967433402215,0.0,0.0,0.7302967433402214,1,0,0,1,0,0,1,1
97,2007-07-25 10:00:00,14,-2.04,-0.2333707445959874,0.17,-1.87,-0.23067112004546075,0,0,1,1,0,0,1,1
98,2007-07-26 08:30:00,8,-200.0,-0.2196506363203977,80.0,-120.0,0.2781773921181471,0,0,1,0,1,0,1,1
99,2007-07-26 10:00:00,21,-7.33,-0.4833611645622589,-2.4,-9.73,-0.3532752664555187,0,0,1,0,0,1,1,1
100,2007-07-27 08:30:00,1,6.25,0.3598606268485771,-46.15,-39.9,-0.3040708551979646,0,1,0,0,0,1,1,1
101,2007-07-31 08:30:00,9,-50.0,-0.3508232077228117,0.0,-50.0,-0.288308412150307,0,0,1,1,0,0,1,1
102,2007-07-31 10:00:00,4,7.24,1.5200833774349367,1.35,8.59,1.3583427240209915,0,1,0,0,1,0,1,1
103,2007-08-01 10:00:00,17_24,1096.59,-0.26498910867309267,-5.71,1090.8799999999999,-0.26213151525774714,0,1,1,1,0,1,2,2
104,2007-08-03 08:30:00,22_33,-34.07,-2.3666549020242273,4.55,-29.52,-2.233712987018145,0,0,2,2,0,0,2,2
105,2007-08-03 10:00:00,18,-6.22,-1.2122006849202458,0.0,-6.22,-1.2122006849202458,0,0,1,1,0,0,1,1
106,2007-08-07 14:15:00,15,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1
107,2007-08-13 08:30:00,10_29,33.33,0.9865239851629826,72.22,105.55,0.15926800387304477,1,1,0,0,2,0,2,2
108,2007-08-14 08:30:00,31_23,504.75,2.1731429134060836,1.33,506.08,2.196198423108084,0,2,0,1,1,0,2,2
109,2007-08-15 08:30:00,7,0.0,0.7302967433402215,0.0,0.0,0.7302967433402214,1,0,0,1,0,0,1,1
110,2007-08-15 09:00:00,30,88.91,1.1252433124372074,0.08,88.99,1.1989921937987422,0,1,0,1,0,0,1,1
111,2007-08-17 10:00:00,28,-5.88,-0.9015170032826813,-2.16,-8.04,-1.1003504635751888,0,0,1,0,0,1,1,1
112,2007-08-24 08:30:00,8,516.67,1.2505598863797056,-140.0,376.67,1.3173169974558858,0,1,0,0,0,1,1,1
113,2007-08-24 10:00:00,21,5.33,0.4513431576882414,1.44,6.77,0.7499122154615699,0,1,0,0,1,0,1,1
114,2007-08-27 10:00:00,14,0.0,0.7550213003414228,-0.17,-0.17,0.7152869157916625,1,0,0,1,0,0,1,1
115,2007-08-28 10:00:00,4,-0.19,-0.48197507489884295,-0.62,-0.81,-0.7462934673783997,1,0,0,0,0,1,1,1
116,2007-08-30 08:30:00,26,0.0,1.0504786061206357,-466.67,-466.67,-1.1523713578686507,1,0,0,1,0,0,1,1
117,2007-08-31 08:30:00,9,-50.0,0.0,100.0,50.0,1.403292830891247,0,0,1,0,1,0,1,1
118,2007-09-04 10:00:00,17,0.56,-0.276284447299092,0.0,0.56,-0.276284447299092,1,0,0,1,0,0,1,1
119,2007-09-05 10:00:00,24,-510.0,0.3280758833500968,0.0,-510.0,0.3270405532339961,0,0,1,1,0,0,1,1
120,2007-09-06 10:00:00,18,2.39,-0.07099412562069056,0.0,2.39,-0.07099412562069056,0,1,0,1,0,0,1,1
121,2007-09-07 08:30:00,22_33,-103.64,-1.1914099929208364,-26.09,-129.73,-1.2324207606252666,1,0,1,1,0,1,2,2
122,2007-09-11 08:30:00,31,0.34,-0.17489344848859775,-2.24,-1.9,-0.4918948243653398,1,0,0,0,0,1,1,1
123,2007-09-14 08:30:00,10_29,-350.0,-0.6645612614021068,141.67000000000002,-208.32999999999998,-0.43699850110548105,0,0,2,0,2,0,2,2
124,2007-09-14 10:00:00,28,-0.36,-0.008551583346969684,-0.12,-0.48,-0.08577236507150149,1,0,0,1,0,0,1,1
125,2007-09-18 08:30:00,23,-600.0,-1.3812976735147855,0.0,-600.0,-1.3812976735147855,0,0,1,1,0,0,1,1
126,2007-09-18 09:00:00,30,-80.61,-1.4514649318171131,-19.52,-100.13,-1.4485014057731984,0,0,1,0,0,1,1,1
127,2007-09-18 14:15:00,15,-5.0,-1.7888543819998317,0.0,-5.0,-1.7888543819998317,0,0,1,1,0,0,1,1
128,2007-09-19 08:30:00,7,0.0,0.4472135954999581,0.0,0.0,0.4472135954999579,1,0,0,1,0,0,1,1
129,2007-09-25 10:00:00,14_4,-4.5,-0.5910542673025314,0.57,-3.93,-0.3525500634433081,1,0,1,1,1,0,2,2
130,2007-09-26 08:30:00,8,-80.0,-0.11250782365634857,-8.11,-88.11,-0.11662380224762325,0,0,1,0,0,1,1,1
131,2007-09-27 10:00:00,21,-3.64,-0.6160351968058714,-0.34,-3.98,-0.4176909634872916,0,0,1,0,0,1,1,1
132,2007-09-28 08:30:00,9,0.0,1.095445115010332,0.0,0.0,0.2390457218668787,1,0,0,1,0,0,1,1
133,2007-10-01 10:00:00,17,-1.52,-0.6038794587410288,0.0,-1.52,-0.6038794587410288,0,0,1,1,0,0,1,1
134,2007-10-02 10:00:00,24,-225.0,0.0844471112608693,12.3,-212.7,0.09726962071923928,0,0,1,0,1,0,1,1
135,2007-10-03 08:15:00,0,-9.43,0.2121873140583064,-28.95,-38.38,-0.14123268469327424,1,0,0,0,0,1,1,1
136,2007-10-03 10:00:00,18,0.36,-0.2711580382418676,0.0,0.36,-0.2711580382418676,1,0,0,1,0,0,1,1
137,2007-10-05 08:30:00,22_33,10.0,1.061372660783933,2325.0,2335.0,2.233170344897084,1,1,0,1,1,0,2,2
138,2007-10-11 08:30:00,31,2.04,-0.2901885113685863,0.0,2.04,-0.2729428262267687,0,1,0,1,0,0,1,1
139,2007-10-12 08:30:00,10_29_23,253.32999999999998,1.560649578516123,0.0,253.32999999999998,1.2085404269350575,0,3,0,3,0,0,3,3
140,2007-10-12 10:00:00,28,-2.38,-0.19651003970971784,0.48,-1.9,-0.10512970159624913,0,0,1,1,0,0,1,1
141,2007-10-16 09:00:00,30,-215.5,-1.5163915505902097,-1.56,-217.06,-1.4441200159729688,0,0,1,1,0,0,1,1
142,2007-10-17 08:30:00,7,0.0,0.4472135954999581,0.0,0.0,0.4472135954999579,1,0,0,1,0,0,1,1
143,2007-10-24 10:00:00,14,-4.0,-1.530968981065478,0.36,-3.64,-1.5494430420407763,0,0,1,1,0,0,1,1
144,2007-10-25 08:30:00,8,-57.14,0.06731908773447975,105.56,48.42,0.3403294982241117,0,0,1,0,1,0,1,1
145,2007-10-25 10:00:00,21,0.0,0.2732495743547361,-7.55,-7.55,-0.5383465148603648,1,0,0,0,0,1,1,1
146,2007-10-30 10:00:00,4,-3.43,-0.6375975614593968,0.3,-3.1300000000000003,-0.6100059107953894,0,0,1,1,0,0,1,1
147,2007-10-31 08:30:00,1,25.81,0.8536747337781277,11.76,37.57,1.0634650801745602,0,1,0,0,1,0,1,1
148,2007-10-31 14:15:00,15,0.0,0.4472135954999579,0.0,0.0,0.4472135954999579,1,0,0,1,0,0,1,1
149,2007-11-01 08:30:00,9,0.0,0.7302967433402214,0.0,0.0,0.0,1,0,0,1,0,0,1,1
150,2007-11-01 10:00:00,17,-1.55,-0.35828895126505755,0.0,-1.55,-0.35828895126505755,0,0,1,1,0,0,1,1
151,2007-11-02 08:30:00,22_33,102.44,1.8652946141274205,-12.73,89.71,0.09627004779565634,1,1,0,1,0,1,2,2
