actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
5.1%,USD,2016-12-27 09:00:00,5.0%,accurate,Low,S&P/CS Composite-20 HPI y/y,5.0%,accurate,52,2016-12-27 14:00:00+00:00,2.0,2016,4,12,Tuesday
8,USD,2016-12-27 09:59:00,5,better,Low,Richmond Manufacturing Index,4,accurate,52,2016-12-27 14:59:00+00:00,60.0,2016,4,12,Tuesday
113.7,USD,2016-12-27 10:00:00,108.9,better,High,CB Consumer Confidence,109.4,better,52,2016-12-27 15:00:00+00:00,4.41,2016,4,12,Tuesday
-2.5%,USD,2016-12-28 10:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.1%,accurate,52,2016-12-28 15:00:00+00:00,-516.67,2016,4,12,Wednesday
265K,USD,2016-12-29 08:30:00,277K,better,High,Unemployment Claims,275K,accurate,52,2016-12-29 13:30:00+00:00,-4.33,2016,4,12,Thursday
-65.3B,USD,2016-12-29 08:30:00,-61.5B,worse,Low,Goods Trade Balance,-61.9B,accurate,52,2016-12-29 13:30:00+00:00,-6.18,2016,4,12,Thursday
0.9%,USD,2016-12-29 08:30:00,0.1%,worse,Low,Prelim Wholesale Inventories m/m,-0.1%,worse,52,2016-12-29 13:30:00+00:00,800.0,2016,4,12,Thursday
-237B,USD,2016-12-29 10:30:00,-219B,accurate,Low,Natural Gas Storage,-209B,accurate,52,2016-12-29 15:30:00+00:00,-8.22,2016,4,12,Thursday
0.6M,USD,2016-12-29 11:00:00,-1.3M,accurate,High,Crude Oil Inventories,2.3M,accurate,52,2016-12-29 16:00:00+00:00,146.15,2016,4,12,Thursday
54.6,USD,2016-12-30 09:45:00,56.5,worse,Medium,Chicago PMI,57.6,accurate,52,2016-12-30 14:45:00+00:00,-3.36,2016,4,12,Friday
53.4,USD,2016-12-19 09:45:00,55.2,worse,Low,Flash Services PMI,54.6,accurate,51,2016-12-19 14:45:00+00:00,-3.26,2016,4,12,Monday
