actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
339K,USD,2014-01-02 08:30:00,334K,worse,High,Unemployment Claims,341K,accurate,1,2014-01-02 13:30:00+00:00,-1.5,2014,1,1,Thursday,13658,13658,13642,13642,13652,13641,13642,11,down,0,0,13649,13636,13647,13,up,5,5,13647,13636,13639,11,down,3,8,13651,13644,13651,7,up,9,6,13653,13646,13649,7,down,7,2,13653,13644,13646,9,down,4,5,13650,13640,13644,10,down,2,5,13664,13655,13656,9,up,14,4,13666,13662,13666,4,up,24,2
55.0,USD,2014-01-02 09:00:00,54.4,better,Low,Final Manufacturing PMI,54.4,accurate,1,2014-01-02 14:00:00+00:00,-1.1,2014,1,1,Thursday,13645,13651,13644,13651,13655,13648,13653,7,up,2,1,13654,13648,13654,6,up,3,1,13657,13652,13653,5,down,2,1,13653,13646,13649,7,down,2,2,13653,13644,13646,9,down,5,5,13650,13640,13644,10,down,7,5,13659,13641,13658,18,up,7,16,13677,13670,13670,7,up,19,5,13675,13664,13674,11,up,23,9
57.0,USD,2014-01-02 10:00:00,56.8,accurate,High,ISM Manufacturing PMI,57.3,accurate,1,2014-01-02 15:00:00+00:00,-0.35,2014,1,1,Thursday,13651,13653,13644,13646,13653,13637,13652,16,up,6,6,13660,13651,13654,9,up,8,1,13658,13652,13653,6,down,7,1,13650,13640,13644,10,down,2,5,13659,13641,13658,18,up,12,16,13664,13655,13656,9,down,10,4,13677,13670,13670,7,up,24,5,13675,13664,13674,11,up,28,9,13670,13668,13668,2,down,22,1
1.0%,USD,2014-01-02 10:00:00,0.7%,better,Low,Construction Spending m/m,0.9%,accurate,1,2014-01-02 15:00:00+00:00,-42.86,2014,1,1,Thursday,13651,13653,13644,13646,13653,13637,13652,16,up,6,6,13660,13651,13654,9,up,8,1,13658,13652,13653,6,down,7,1,13650,13640,13644,10,down,2,5,13659,13641,13658,18,up,12,16,13664,13655,13656,9,down,10,4,13677,13670,13670,7,up,24,5,13675,13664,13674,11,up,28,9,13670,13668,13668,2,down,22,1
53.5,USD,2014-01-02 10:00:00,53.0,better,Low,ISM Manufacturing Prices,52.5,accurate,1,2014-01-02 15:00:00+00:00,-0.94,2014,1,1,Thursday,13651,13653,13644,13646,13653,13637,13652,16,up,6,6,13660,13651,13654,9,up,8,1,13658,13652,13653,6,down,7,1,13650,13640,13644,10,down,2,5,13659,13641,13658,18,up,12,16,13664,13655,13656,9,down,10,4,13677,13670,13670,7,up,24,5,13675,13664,13674,11,up,28,9,13670,13668,13668,2,down,22,1
15.4M,USD,2014-01-03 00:00:00,16.0M,worse,Low,Total Vehicle Sales,16.4M,accurate,1,2014-01-03 05:00:00+00:00,3.75,2014,1,1,Friday,13662,13663,13662,13663,13665,13660,13661,5,down,2,2,13663,13660,13663,3,up,0,2,13664,13660,13662,4,down,1,1,13661,13658,13658,3,down,5,1,13650,13646,13648,4,down,15,0,13653,13650,13651,3,up,12,2,13653,13649,13652,4,up,11,2,13652,13647,13651,5,down,12,4,13642,13635,13639,7,down,24,2
-97B,USD,2014-01-03 10:30:00,-125B,accurate,Low,Natural Gas Storage,-177B,accurate,1,2014-01-03 15:30:00+00:00,-22.4,2014,1,1,Friday,13611,13613,13610,13613,13613,13610,13610,3,down,3,3,13610,13608,13609,2,down,4,1,13615,13609,13614,6,up,1,5,13614,13607,13613,7,down,0,4,13612,13609,13610,3,down,3,0,13607,13603,13605,4,down,8,1,13600,13598,13599,2,down,14,0,13602,13600,13600,2,up,13,0,13604,13602,13602,2,up,11,2
-7.0M,USD,2014-01-03 11:00:00,-2.3M,accurate,Medium,Crude Oil Inventories,-4.7M,accurate,1,2014-01-03 16:00:00+00:00,204.35,2014,1,1,Friday,13609,13614,13607,13613,13615,13611,13613,4,down,0,1,13617,13607,13616,10,up,3,3,13617,13611,13613,6,down,0,3,13612,13609,13610,3,down,3,0,13607,13603,13605,4,down,8,1,13600,13598,13599,2,down,14,0,13605,13599,13604,6,up,9,4,13603,13599,13603,4,down,10,2,13599,13595,13599,4,down,14,1
55.7,USD,2014-01-06 09:00:00,56.0,accurate,Low,Final Services PMI,56.0,accurate,2,2014-01-06 14:00:00+00:00,0.54,2014,1,1,Monday,13600,13603,13598,13599,13600,13593,13594,7,down,5,5,13598,13594,13597,4,up,2,3,13602,13596,13598,6,up,1,1,13614,13606,13609,8,up,10,3,13614,13610,13614,4,up,15,2,13625,13620,13625,5,up,26,2,13647,13638,13642,9,up,43,4,13638,13635,13635,3,down,36,2,13643,13638,13639,5,up,40,4
53.0,USD,2014-01-06 10:00:00,54.6,worse,High,ISM Non-Manufacturing PMI,53.9,accurate,2,2014-01-06 15:00:00+00:00,2.93,2014,1,1,Monday,13612,13614,13610,13614,13634,13614,13631,20,up,17,17,13634,13629,13630,5,down,16,1,13631,13618,13621,13,down,7,9,13625,13620,13625,5,up,11,2,13647,13638,13642,9,up,28,4,13649,13644,13644,5,up,30,2,13638,13635,13635,3,down,21,2,13643,13638,13639,5,up,25,4,13647,13641,13644,6,up,30,2
1.8%,USD,2014-01-06 10:00:00,1.8%,accurate,Medium,Factory Orders m/m,-0.5%,better,2,2014-01-06 15:00:00+00:00,0.0,2014,1,1,Monday,13612,13614,13610,13614,13634,13614,13631,20,up,17,17,13634,13629,13630,5,down,16,1,13631,13618,13621,13,down,7,9,13625,13620,13625,5,up,11,2,13647,13638,13642,9,up,28,4,13649,13644,13644,5,up,30,2,13638,13635,13635,3,down,21,2,13643,13638,13639,5,up,25,4,13647,13641,13644,6,up,30,2
-34.3B,USD,2014-01-07 08:30:00,-40.2B,better,High,Trade Balance,-39.3B,better,2,2014-01-07 13:30:00+00:00,-14.68,2014,1,1,Tuesday,13639,13639,13636,13638,13638,13627,13630,11,down,8,7,13635,13629,13633,6,up,5,3,13638,13632,13638,6,up,0,5,13630,13625,13629,5,down,9,2,13630,13627,13629,3,down,9,1,13623,13619,13621,4,down,17,2,13606,13602,13603,4,down,35,0,13619,13613,13615,6,up,23,4,13640,13634,13634,6,up,4,3
238K,USD,2014-01-08 08:15:00,199K,better,High,ADP Non-Farm Employment Change,229K,better,2,2014-01-08 13:15:00+00:00,-19.6,2014,1,1,Wednesday,13592,13598,13592,13595,13595,13567,13573,28,down,22,22,13581,13570,13577,11,up,18,4,13584,13576,13580,8,up,15,3,13591,13583,13589,8,up,6,3,13603,13595,13601,8,up,6,4,13600,13596,13597,4,down,2,1,13614,13610,13613,4,up,18,0,13595,13591,13592,4,down,3,0,13579,13575,13576,4,down,19,2
