actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
57.0,USD,2011-01-03 10:00:00,57.0,accurate,High,ISM Manufacturing PMI,56.6,accurate,1,2011-01-03 15:00:00+00:00,0.0,2011,1,1,Monday,13316,13317,13311,13312,13323,13308,13310,15,down,2,2,13314,13305,13313,9,up,1,3,13320,13310,13320,10,up,8,7,13321,13316,13318,5,down,6,1,13363,13338,13362,25,up,50,24,13388,13378,13382,10,up,70,4,13372,13366,13370,6,down,58,2,13384,13374,13375,10,up,63,9,13379,13373,13373,6,down,61,6
0.4%,USD,2011-01-03 10:00:00,0.2%,accurate,Low,Construction Spending m/m,0.7%,accurate,1,2011-01-03 15:00:00+00:00,-100.0,2011,1,1,Monday,13316,13317,13311,13312,13323,13308,13310,15,down,2,2,13314,13305,13313,9,up,1,3,13320,13310,13320,10,up,8,7,13321,13316,13318,5,down,6,1,13363,13338,13362,25,up,50,24,13388,13378,13382,10,up,70,4,13372,13366,13370,6,down,58,2,13384,13374,13375,10,up,63,9,13379,13373,13373,6,down,61,6
72.5,USD,2011-01-03 10:00:00,71.2,better,Low,ISM Manufacturing Prices,69.5,accurate,1,2011-01-03 15:00:00+00:00,-1.83,2011,1,1,Monday,13316,13317,13311,13312,13323,13308,13310,15,down,2,2,13314,13305,13313,9,up,1,3,13320,13310,13320,10,up,8,7,13321,13316,13318,5,down,6,1,13363,13338,13362,25,up,50,24,13388,13378,13382,10,up,70,4,13372,13366,13370,6,down,58,2,13384,13374,13375,10,up,63,9,13379,13373,13373,6,down,61,6
12.6M,USD,2011-01-04 00:00:00,12.3M,better,Low,Total Vehicle Sales,12.3M,accurate,1,2011-01-04 05:00:00+00:00,-2.44,2011,1,1,Tuesday,13352,13354,13351,13351,13357,13351,13357,6,up,6,6,13358,13356,13356,2,down,5,1,13356,13343,13345,13,down,6,11,13357,13352,13355,5,up,4,2,13350,13340,13347,10,down,4,3,13335,13332,13335,3,down,16,0,13346,13341,13344,5,up,7,2,13360,13353,13353,7,up,2,0,13356,13343,13351,13,down,0,7
0.7%,USD,2011-01-04 10:00:00,-0.1%,better,Medium,Factory Orders m/m,-0.7%,better,1,2011-01-04 15:00:00+00:00,-800.0,2011,1,1,Tuesday,13373,13377,13367,13377,13379,13358,13365,21,down,12,12,13366,13356,13357,10,down,20,8,13360,13350,13360,10,up,17,3,13358,13343,13352,15,down,25,5,13335,13315,13317,20,down,60,16,13317,13307,13308,10,down,69,9,13316,13305,13305,11,down,72,8,13318,13305,13315,13,up,62,10,13322,13312,13321,10,up,56,7
297K,USD,2011-01-05 08:15:00,101K,better,High,ADP Non-Farm Employment Change,92K,accurate,1,2011-01-05 13:15:00+00:00,-194.06,2011,1,1,Wednesday,13215,13216,13209,13214,13213,13179,13179,34,down,35,34,13186,13172,13183,14,up,31,4,13189,13168,13169,21,down,45,14,13175,13163,13169,12,down,45,5,13159,13151,13156,8,down,58,2,13155,13146,13151,9,down,63,3,13165,13147,13147,18,down,67,17,13145,13139,13145,6,down,69,1,13174,13166,13169,8,up,45,2
57.1,USD,2011-01-05 10:00:00,55.6,better,High,ISM Non-Manufacturing PMI,55.0,accurate,1,2011-01-05 15:00:00+00:00,-2.7,2011,1,1,Wednesday,13148,13149,13143,13147,13158,13140,13158,18,up,11,11,13166,13157,13164,9,up,17,6,13165,13147,13147,18,down,0,17,13134,13126,13133,8,down,14,4,13152,13142,13143,10,up,4,5,13164,13159,13160,5,up,13,1,13173,13162,13170,11,up,23,8,13192,13182,13183,10,up,36,6,13162,13158,13161,4,down,14,0
-4.2M,USD,2011-01-05 10:30:00,-1.4M,accurate,Medium,Crude Oil Inventories,-1.3M,accurate,1,2011-01-05 15:30:00+00:00,200.0,2011,1,1,Wednesday,13129,13134,13126,13133,13145,13132,13142,13,up,9,10,13146,13138,13144,8,up,11,2,13147,13136,13145,11,up,12,1,13152,13142,13143,10,down,10,5,13164,13159,13160,5,up,27,1,13173,13162,13170,11,up,37,8,13186,13179,13182,7,up,49,3,13170,13168,13170,2,down,37,1,13162,13149,13150,13,down,17,10
409K,USD,2011-01-06 08:30:00,400K,worse,High,Unemployment Claims,391K,accurate,1,2011-01-06 13:30:00+00:00,-2.25,2011,1,1,Thursday,13106,13107,13101,13107,13121,13100,13117,21,up,10,10,13119,13102,13109,17,down,2,8,13121,13109,13111,12,up,4,2,13124,13117,13118,7,up,11,0,13126,13118,13121,8,up,14,5,13122,13114,13114,8,down,7,7,13070,13059,13066,11,down,41,0,13019,13007,13018,12,down,89,3,13024,13017,13017,7,down,90,5
-135B,USD,2011-01-06 10:30:00,-135B,accurate,Low,Natural Gas Storage,-136B,accurate,1,2011-01-06 15:30:00+00:00,0.0,2011,1,1,Thursday,13066,13070,13059,13066,13067,13056,13062,11,down,4,4,13069,13056,13061,13,down,5,2,13062,13051,13058,11,down,8,2,13041,13033,13035,8,down,31,4,13019,13007,13018,12,down,48,3,13034,13025,13026,9,up,40,0,13024,13017,13017,7,down,49,5,13006,13000,13005,6,down,61,2,13014,13010,13014,4,up,52,4
