actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
12.3B,USD,2007-01-08 15:00:00,5.4B,better,Low,Consumer Credit m/m,-1.3B,accurate,2,2007-01-08 20:00:00+00:00,-127.78,2007,1,1,Monday,13018,13020,13016,13018,13022,13016,13019,6,up,1,0,13020,13016,13017,4,down,1,2,13022,13013,13019,9,up,1,1,13020,13015,13018,5,down,0,0,13019,13015,13016,4,down,2,2,13021,13016,13019,5,up,1,1,13023,13018,13019,5,down,1,3,13030,13025,13027,5,up,9,0,13038,13034,13036,4,up,18,1
53.7,USD,2007-01-09 10:00:00,53.7,accurate,Low,IBD/TIPP Economic Optimism,53.5,accurate,2,2007-01-09 15:00:00+00:00,0.0,2007,1,1,Tuesday,12999,13004,12995,13000,13003,12998,13000,5,down,0,0,13007,13000,13002,7,up,2,1,13003,12998,13001,5,down,1,2,13005,12999,13005,6,up,5,5,13001,12993,12999,8,down,1,2,12999,12994,12994,5,down,6,3,12995,12989,12993,6,down,7,4,13012,13006,13007,6,up,7,4,13009,13005,13006,4,down,6,0
-58.2B,USD,2007-01-10 08:30:00,-60.0B,better,High,Trade Balance,-58.9B,accurate,2,2007-01-10 13:30:00+00:00,-3.0,2007,1,1,Wednesday,12986,12989,12983,12984,12985,12972,12974,13,down,10,7,12973,12966,12968,7,down,16,3,12974,12964,12972,10,up,12,7,12975,12969,12972,6,down,12,0,12974,12967,12969,7,down,15,4,12962,12955,12961,7,down,23,5,12937,12930,12933,7,down,51,3,12949,12942,12947,7,up,37,1,12941,12936,12937,5,down,47,3
1.3%,USD,2007-01-10 10:00:00,0.4%,worse,Low,Final Wholesale Inventories m/m,0.4%,better,2,2007-01-10 15:00:00+00:00,-225.0,2007,1,1,Wednesday,12956,12962,12955,12961,12967,12960,12967,7,up,6,5,12966,12948,12949,18,down,12,15,12953,12939,12941,14,down,20,9,12937,12930,12933,7,down,28,3,12945,12939,12944,6,up,17,3,12949,12942,12947,7,up,14,1,12943,12937,12938,6,down,23,1,12937,12933,12934,4,down,27,1,12940,12933,12939,7,up,22,3
-5.0M,USD,2007-01-10 10:30:00,-1.5M,accurate,Low,Crude Oil Inventories,-1.3M,accurate,2,2007-01-10 15:30:00+00:00,233.33,2007,1,1,Wednesday,12936,12937,12930,12933,12938,12933,12937,5,up,4,4,12945,12937,12943,8,up,10,6,12946,12941,12943,5,down,10,1,12945,12939,12944,6,up,11,3,12949,12942,12947,7,up,14,1,12943,12937,12938,6,down,5,1,12941,12936,12937,5,down,4,3,12938,12933,12937,5,down,4,4,12941,12937,12940,4,up,7,0
299K,USD,2007-01-11 08:30:00,320K,better,Low,Unemployment Claims,329K,accurate,2,2007-01-11 13:30:00+00:00,6.56,2007,1,1,Thursday,12988,12991,12986,12989,12989,12978,12980,11,down,9,9,12985,12959,12963,26,down,26,16,12965,12945,12958,20,down,31,4,12943,12932,12934,11,down,55,5,12925,12916,12922,9,down,67,5,12933,12923,12924,10,up,65,6,12904,12894,12894,10,down,95,8,12897,12890,12894,7,down,95,1,12905,12899,12903,6,up,86,1
-49B,USD,2007-01-11 10:30:00,-45B,accurate,Low,Natural Gas Storage,-47B,accurate,2,2007-01-11 15:30:00+00:00,8.89,2007,1,1,Thursday,12902,12904,12894,12894,12895,12887,12894,8,down,0,5,12895,12888,12891,7,down,3,3,12892,12889,12890,3,down,4,0,12894,12887,12888,7,down,6,3,12897,12890,12894,7,up,0,1,12904,12899,12900,5,up,6,2,12905,12899,12903,6,up,9,1,12892,12888,12892,4,down,2,3,12885,12881,12884,4,down,10,2
1.0%,USD,2007-01-12 08:30:00,0.5%,better,High,Core Retail Sales m/m,1.1%,accurate,2,2007-01-12 13:30:00+00:00,-100.0,2007,1,1,Friday,12889,12891,12885,12888,12890,12867,12884,23,down,4,3,12886,12875,12876,11,down,12,8,12877,12867,12867,10,down,21,9,12912,12884,12912,28,up,24,27,12926,12919,12920,7,up,32,2,12929,12921,12929,8,up,41,4,12941,12934,12935,7,up,47,0,12932,12927,12931,5,down,43,1,12927,12921,12926,6,down,38,4
0.9%,USD,2007-01-12 08:30:00,0.6%,better,High,Retail Sales m/m,1.0%,accurate,2,2007-01-12 13:30:00+00:00,-50.0,2007,1,1,Friday,12889,12891,12885,12888,12890,12867,12884,23,down,4,3,12886,12875,12876,11,down,12,8,12877,12867,12867,10,down,21,9,12912,12884,12912,28,up,24,27,12926,12919,12920,7,up,32,2,12929,12921,12929,8,up,41,4,12941,12934,12935,7,up,47,0,12932,12927,12931,5,down,43,1,12927,12921,12926,6,down,38,4
1.1%,USD,2007-01-12 08:30:00,0.5%,better,Medium,Import Prices m/m,0.2%,accurate,2,2007-01-12 13:30:00+00:00,-120.0,2007,1,1,Friday,12889,12891,12885,12888,12890,12867,12884,23,down,4,3,12886,12875,12876,11,down,12,8,12877,12867,12867,10,down,21,9,12912,12884,12912,28,up,24,27,12926,12919,12920,7,up,32,2,12929,12921,12929,8,up,41,4,12941,12934,12935,7,up,47,0,12932,12927,12931,5,down,43,1,12927,12921,12926,6,down,38,4
0.4%,USD,2007-01-12 10:00:00,0.4%,accurate,Medium,Business Inventories m/m,0.2%,better,2,2007-01-12 15:00:00+00:00,0.0,2007,1,1,Friday,12925,12929,12921,12929,12942,12925,12925,17,down,4,7,12926,12918,12919,8,down,10,6,12927,12919,12924,8,up,5,3,12941,12934,12935,7,up,6,0,12938,12930,12932,8,down,3,3,12932,12927,12931,5,down,2,1,12927,12920,12922,7,down,7,4,12922,12918,12920,4,down,9,1,12916,12911,12913,5,down,16,0
44.5B,USD,2007-01-12 14:00:00,25.6B,better,Medium,Federal Budget Balance,-75.6B,accurate,2,2007-01-12 19:00:00+00:00,-73.83,2007,1,1,Friday,12913,12916,12911,12913,12915,12909,12913,6,down,0,1,12914,12909,12912,5,down,1,1,12914,12907,12908,7,down,5,2,12914,12908,12913,6,up,0,4,12916,12912,12914,4,up,1,0,12916,12909,12912,7,down,1,3,12917,12909,12915,8,up,2,0,12924,12920,12921,4,up,8,1,12921,12921,12921,0,down,8,0
9.1,USD,2007-01-16 08:30:00,18.0,worse,Medium,Empire State Manufacturing Index,23.1,accurate,3,2007-01-16 13:30:00+00:00,49.44,2007,1,1,Tuesday,12941,12945,12939,12942,12957,12946,12957,11,up,15,10,12958,12952,12953,6,down,11,0,12956,12951,12955,5,up,13,2,12954,12947,12947,7,down,5,7,12946,12933,12939,13,down,3,6,12934,12930,12932,4,down,10,2,12937,12930,12935,7,up,7,2,12938,12930,12938,8,up,4,5,12919,12917,12917,2,down,25,0
0.9%,USD,2007-01-17 08:30:00,0.6%,better,High,PPI m/m,2.0%,accurate,3,2007-01-17 13:30:00+00:00,-50.0,2007,1,1,Wednesday,12916,12917,12910,12911,12910,12897,12905,13,down,6,5,12911,12905,12907,6,up,4,1,12915,12908,12915,7,up,4,7,12915,12910,12914,5,down,3,2,12923,12918,12922,5,up,11,2,12936,12930,12935,6,up,24,0,12938,12934,12936,4,up,25,1,12941,12931,12940,10,up,29,4,12944,12938,12943,6,up,32,4
0.2%,USD,2007-01-17 08:30:00,0.1%,better,Medium,Core PPI m/m,1.3%,accurate,3,2007-01-17 13:30:00+00:00,-100.0,2007,1,1,Wednesday,12916,12917,12910,12911,12910,12897,12905,13,down,6,5,12911,12905,12907,6,up,4,1,12915,12908,12915,7,up,4,7,12915,12910,12914,5,down,3,2,12923,12918,12922,5,up,11,2,12936,12930,12935,6,up,24,0,12938,12934,12936,4,up,25,1,12941,12931,12940,10,up,29,4,12944,12938,12943,6,up,32,4
68.4B,USD,2007-01-17 09:00:00,82.5B,worse,High,TIC Long-Term Purchases,89.3B,better,3,2007-01-17 14:00:00+00:00,17.09,2007,1,1,Wednesday,12912,12915,12910,12914,12928,12916,12917,12,up,3,3,12919,12914,12916,5,down,2,1,12917,12908,12909,9,down,5,7,12923,12918,12922,5,up,8,2,12936,12930,12935,6,up,21,0,12938,12934,12936,4,up,22,1,12948,12939,12947,9,up,33,4,12948,12941,12946,7,down,32,1,12947,12942,12946,5,down,32,0
81.8%,USD,2007-01-17 09:15:00,81.8%,accurate,Medium,Capacity Utilization Rate,81.6%,worse,3,2007-01-17 14:15:00+00:00,0.0,2007,1,1,Wednesday,12916,12917,12908,12909,12910,12903,12907,7,down,2,3,12920,12907,12919,13,up,10,11,12923,12918,12922,5,up,13,2,12924,12920,12924,4,up,15,1,12928,12923,12928,5,up,19,3,12935,12930,12932,5,up,23,1,12946,12938,12942,8,up,33,2,12945,12936,12937,9,down,28,3,12945,12939,12940,6,up,31,5
0.4%,USD,2007-01-17 09:15:00,0.1%,better,Medium,Industrial Production m/m,-0.1%,worse,3,2007-01-17 14:15:00+00:00,-300.0,2007,1,1,Wednesday,12916,12917,12908,12909,12910,12903,12907,7,down,2,3,12920,12907,12919,13,up,10,11,12923,12918,12922,5,up,13,2,12924,12920,12924,4,up,15,1,12928,12923,12928,5,up,19,3,12935,12930,12932,5,up,23,1,12946,12938,12942,8,up,33,2,12945,12936,12937,9,down,28,3,12945,12939,12940,6,up,31,5
35,USD,2007-01-17 13:00:00,33,better,Low,NAHB Housing Market Index,33,better,3,2007-01-17 18:00:00+00:00,-6.06,2007,1,1,Wednesday,12946,12947,12942,12946,12945,12938,12940,7,down,6,4,12946,12939,12945,7,up,1,5,12945,12939,12940,6,down,6,5,12943,12938,12942,5,up,4,1,12940,12935,12939,5,down,7,2,12933,12926,12929,7,down,17,2,12932,12927,12930,5,up,16,2,12935,12929,12931,6,up,15,3,12938,12934,12935,4,up,11,1
