actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-0.8%,USD,2010-12-28 09:00:00,-0.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,0.4%,worse,52,2010-12-28 14:00:00+00:00,700.0,2010,4,12,Tuesday
25,USD,2010-12-28 09:59:00,11,better,Low,Richmond Manufacturing Index,9,accurate,52,2010-12-28 15:00:00+00:00,-127.27,2010,4,12,Tuesday
52.5,USD,2010-12-28 10:00:00,56.2,worse,High,CB Consumer Confidence,54.3,accurate,52,2010-12-28 15:00:00+00:00,6.58,2010,4,12,Tuesday
388K,USD,2010-12-30 08:30:00,416K,better,High,Unemployment Claims,422K,accurate,52,2010-12-30 13:30:00+00:00,6.73,2010,4,12,Thursday
68.6,USD,2010-12-30 09:45:00,61.2,better,Medium,Chicago PMI,62.5,accurate,52,2010-12-30 14:45:00+00:00,-12.09,2010,4,12,Thursday
3.5%,USD,2010-12-30 10:00:00,1.8%,better,High,Pending Home Sales m/m,10.1%,worse,52,2010-12-30 15:00:00+00:00,-94.44,2010,4,12,Thursday
-136B,USD,2010-12-30 10:30:00,-171B,accurate,Low,Natural Gas Storage,-184B,accurate,52,2010-12-30 15:30:00+00:00,-20.47,2010,4,12,Thursday
-1.3M,USD,2010-12-30 11:00:00,-2.8M,accurate,Medium,Crude Oil Inventories,-5.3M,accurate,52,2010-12-30 16:00:00+00:00,-53.57,2010,4,12,Thursday
2.6%,USD,2010-12-22 08:30:00,2.8%,worse,Medium,Final GDP q/q,2.5%,accurate,52,2010-12-22 13:30:00+00:00,7.14,2010,4,12,Wednesday
2.1%,USD,2010-12-22 08:30:00,2.3%,worse,Low,Final GDP Price Index q/q,2.3%,accurate,52,2010-12-22 13:30:00+00:00,8.7,2010,4,12,Wednesday
4.68M,USD,2010-12-22 10:00:00,4.72M,worse,High,Existing Home Sales,4.43M,accurate,52,2010-12-22 15:00:00+00:00,0.85,2010,4,12,Wednesday
0.7%,USD,2010-12-22 10:00:00,-0.1%,better,Low,HPI m/m,-1.2%,worse,52,2010-12-22 15:00:00+00:00,-800.0,2010,4,12,Wednesday
-5.3M,USD,2010-12-22 10:30:00,-1.1M,accurate,Medium,Crude Oil Inventories,-9.9M,accurate,52,2010-12-22 15:30:00+00:00,381.82,2010,4,12,Wednesday
2.4%,USD,2010-12-23 08:30:00,1.7%,better,High,Core Durable Goods Orders m/m,-1.9%,better,52,2010-12-23 13:30:00+00:00,-41.18,2010,4,12,Thursday
420K,USD,2010-12-23 08:30:00,421K,accurate,High,Unemployment Claims,423K,accurate,52,2010-12-23 13:30:00+00:00,0.24,2010,4,12,Thursday
0.1%,USD,2010-12-23 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.0%,accurate,52,2010-12-23 13:30:00+00:00,0.0,2010,4,12,Thursday
-1.3%,USD,2010-12-23 08:30:00,-0.5%,worse,Medium,Durable Goods Orders m/m,-3.1%,better,52,2010-12-23 13:30:00+00:00,160.0,2010,4,12,Thursday
0.4%,USD,2010-12-23 08:30:00,0.5%,worse,Medium,Personal Spending m/m,0.7%,better,52,2010-12-23 13:30:00+00:00,20.0,2010,4,12,Thursday
0.3%,USD,2010-12-23 08:30:00,0.3%,accurate,Low,Personal Income m/m,0.4%,worse,52,2010-12-23 13:30:00+00:00,0.0,2010,4,12,Thursday
74.5,USD,2010-12-23 09:55:00,74.7,accurate,Medium,Revised UoM Consumer Sentiment,74.2,accurate,52,2010-12-23 14:55:00+00:00,0.27,2010,4,12,Thursday
290K,USD,2010-12-23 10:00:00,301K,worse,High,New Home Sales,275K,worse,52,2010-12-23 15:00:00+00:00,3.65,2010,4,12,Thursday
-184B,USD,2010-12-23 10:30:00,-170B,accurate,Low,Natural Gas Storage,-164B,accurate,52,2010-12-23 15:30:00+00:00,8.24,2010,4,12,Thursday
93.2,USD,2010-12-14 07:30:00,92.3,accurate,Low,NFIB Small Business Index,91.7,accurate,51,2010-12-14 12:30:00+00:00,-0.98,2010,4,12,Tuesday
1.2%,USD,2010-12-14 08:30:00,0.7%,better,High,Core Retail Sales m/m,0.8%,better,51,2010-12-14 13:30:00+00:00,-71.43,2010,4,12,Tuesday
0.8%,USD,2010-12-14 08:30:00,0.6%,better,High,PPI m/m,0.4%,accurate,51,2010-12-14 13:30:00+00:00,-33.33,2010,4,12,Tuesday
0.8%,USD,2010-12-14 08:30:00,0.6%,better,High,Retail Sales m/m,1.7%,better,51,2010-12-14 13:30:00+00:00,-33.33,2010,4,12,Tuesday
0.3%,USD,2010-12-14 08:30:00,0.2%,better,Medium,Core PPI m/m,-0.6%,accurate,51,2010-12-14 13:30:00+00:00,-50.0,2010,4,12,Tuesday
0.7%,USD,2010-12-14 10:00:00,0.9%,better,Medium,Business Inventories m/m,1.3%,worse,51,2010-12-14 15:00:00+00:00,22.22,2010,4,12,Tuesday
<0.25%,USD,2010-12-14 14:15:00,<0.25%,accurate,High,Federal Funds Rate,<0.25%,accurate,51,2010-12-14 19:15:00+00:00,0.0,2010,4,12,Tuesday
0.1%,USD,2010-12-15 08:30:00,0.1%,accurate,High,Core CPI m/m,0.0%,accurate,51,2010-12-15 13:30:00+00:00,0.0,2010,4,12,Wednesday
0.1%,USD,2010-12-15 08:30:00,0.2%,worse,Medium,CPI m/m,0.2%,accurate,51,2010-12-15 13:30:00+00:00,50.0,2010,4,12,Wednesday
10.6,USD,2010-12-15 08:30:00,4.7,better,Medium,Empire State Manufacturing Index,-11.1,accurate,51,2010-12-15 13:30:00+00:00,-125.53,2010,4,12,Wednesday
27.6B,USD,2010-12-15 09:00:00,82.3B,worse,High,TIC Long-Term Purchases,77.2B,worse,51,2010-12-15 14:00:00+00:00,66.46,2010,4,12,Wednesday
75.2%,USD,2010-12-15 09:15:00,75.1%,accurate,Medium,Capacity Utilization Rate,74.9%,accurate,51,2010-12-15 14:15:00+00:00,-0.13,2010,4,12,Wednesday
0.4%,USD,2010-12-15 09:15:00,0.4%,accurate,Medium,Industrial Production m/m,-0.2%,worse,51,2010-12-15 14:15:00+00:00,0.0,2010,4,12,Wednesday
16,USD,2010-12-15 10:00:00,16,accurate,Low,NAHB Housing Market Index,16,accurate,51,2010-12-15 15:00:00+00:00,0.0,2010,4,12,Wednesday
-9.9M,USD,2010-12-15 10:30:00,-2.7M,accurate,Medium,Crude Oil Inventories,-3.8M,accurate,51,2010-12-15 15:30:00+00:00,266.67,2010,4,12,Wednesday
0.53M,USD,2010-12-16 08:30:00,0.57M,worse,High,Building Permits,0.55M,accurate,51,2010-12-16 13:30:00+00:00,7.02,2010,4,12,Thursday
420K,USD,2010-12-16 08:30:00,421K,accurate,High,Unemployment Claims,423K,accurate,51,2010-12-16 13:30:00+00:00,0.24,2010,4,12,Thursday
-127B,USD,2010-12-16 08:30:00,-126B,accurate,Medium,Current Account,-123B,accurate,51,2010-12-16 13:30:00+00:00,0.79,2010,4,12,Thursday
0.56M,USD,2010-12-16 08:30:00,0.55M,accurate,Medium,Housing Starts,0.53M,accurate,51,2010-12-16 13:30:00+00:00,-1.82,2010,4,12,Thursday
24.3,USD,2010-12-16 10:00:00,14.8,better,High,Philly Fed Manufacturing Index,22.5,accurate,51,2010-12-16 15:00:00+00:00,-64.19,2010,4,12,Thursday
-164B,USD,2010-12-16 10:30:00,-166B,accurate,Low,Natural Gas Storage,-89B,accurate,51,2010-12-16 15:30:00+00:00,-1.2,2010,4,12,Thursday
1.1%,USD,2010-12-17 10:00:00,1.2%,worse,Low,CB Leading Index m/m,0.4%,worse,51,2010-12-17 15:00:00+00:00,8.33,2010,4,12,Friday
45.8,USD,2010-12-07 10:00:00,48.3,worse,Low,IBD/TIPP Economic Optimism,46.7,accurate,50,2010-12-07 15:00:00+00:00,5.18,2010,4,12,Tuesday
3.4B,USD,2010-12-07 15:00:00,-0.9B,better,Low,Consumer Credit m/m,1.2B,worse,50,2010-12-07 20:00:00+00:00,-477.78,2010,4,12,Tuesday
-3.8M,USD,2010-12-08 10:30:00,-1.3M,accurate,Medium,Crude Oil Inventories,1.1M,accurate,50,2010-12-08 15:30:00+00:00,192.31,2010,4,12,Wednesday
421K,USD,2010-12-09 08:30:00,426K,better,High,Unemployment Claims,438K,accurate,50,2010-12-09 13:30:00+00:00,1.17,2010,4,12,Thursday
1.9%,USD,2010-12-09 10:00:00,0.9%,worse,Low,Final Wholesale Inventories m/m,2.1%,worse,50,2010-12-09 15:00:00+00:00,-111.11,2010,4,12,Thursday
-89B,USD,2010-12-09 10:30:00,-83B,accurate,Low,Natural Gas Storage,-23B,accurate,50,2010-12-09 15:30:00+00:00,7.23,2010,4,12,Thursday
-38.7B,USD,2010-12-10 08:30:00,-43.5B,better,High,Trade Balance,-44.6B,accurate,50,2010-12-10 13:30:00+00:00,-11.03,2010,4,12,Friday
1.3%,USD,2010-12-10 08:30:00,0.9%,better,Medium,Import Prices m/m,1.0%,accurate,50,2010-12-10 13:30:00+00:00,-44.44,2010,4,12,Friday
