,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
49,2007-02-13 10:00:00,37,-2.41,-0.7071067811865476,0.0,-2.41,-0.7071067811865476,0,0,1,1,0,0,0,1,0,1
50,2007-02-14 08:30:00,17_60,-375.0,-4.242640687119285,189.99,-185.01,-4.242640687119286,0,0,6,0,6,0,2,0,0,2
51,2007-02-14 10:00:00,5,200.0,1.414213562373095,100.0,300.0,1.414213562373095,0,2,0,0,2,0,0,0,1,1
52,2007-02-14 10:30:00,18,160.0,0.4806105206178248,0.0,160.0,0.4806105206178248,1,0,0,1,0,0,0,1,0,1
53,2007-02-15 08:30:00,69_41_21,-748.9300000000001,-1.4723126658138108,-0.64,-749.57,-1.4884584244119425,0,2,3,5,0,0,0,1,2,3
54,2007-02-15 09:00:00,66,-222.0,-2.1213203435596424,72.36,-149.64000000000001,-2.121320343559643,0,0,3,0,3,0,1,0,0,1
55,2007-02-15 09:15:00,9_42,-1001.46,-2.82842712474619,50.0,-951.46,-2.82842712474619,0,0,4,2,2,0,0,0,2,2
56,2007-02-15 10:30:00,46,1.97,-0.0693633276622777,0.0,1.97,-0.0693633276622777,1,0,0,1,0,0,0,1,0,1
57,2007-02-15 12:00:00,53,-165.72,-1.414213562373095,0.0,-165.72,-1.414213562373095,0,0,2,2,0,0,0,0,1,1
58,2007-02-15 13:00:00,44,14.29,0.7071067811865475,0.0,14.29,0.7071067811865475,0,1,0,1,0,0,0,1,0,1
59,2007-02-16 08:30:00,49_16_4_36,-22.32,-6.363961030678928,-1.26,-23.58,-6.363961030678927,7,0,2,9,0,0,1,0,3,4
60,2007-02-16 10:00:00,58,-9.959999999999999,-2.1213203435596424,-3.3600000000000003,-13.32,-2.1213203435596424,0,0,3,0,0,3,1,0,0,1
61,2007-02-21 08:30:00,13_8,150.0,2.1213203435596424,-190.0,-40.0,-1.414213562373095,2,3,0,0,0,5,1,0,1,2
62,2007-02-21 10:00:00,7,-50.0,-0.7071067811865475,100.0,50.0,0.0,0,0,1,0,1,0,0,1,0,1
63,2007-02-22 08:30:00,69,-3.75,0.04264569542792437,-0.56,-4.3100000000000005,0.010360907921358915,0,0,1,1,0,0,0,1,0,1
64,2007-02-22 10:30:00,18_46,-270.89,-1.6457998787188246,0.0,-270.89,-1.6457998787188246,2,0,0,2,0,0,0,2,0,2
65,2007-02-27 08:30:00,14_20,-4800.0,-3.5355339059327373,19.759999999999998,-4780.24,-3.5355339059327373,0,0,5,0,3,2,1,0,1,2
66,2007-02-27 09:00:00,65,-44.44,-0.7071067811865476,-5.88,-50.32,-0.7071067811865476,0,0,1,1,0,0,0,1,0,1
67,2007-02-27 10:00:00,64_23_6,-380.29,3.5355339059327373,2.6700000000000004,-377.62,3.535533905932738,0,6,1,4,3,0,2,1,0,3
68,2007-02-28 08:30:00,55_54,-11.660000000000002,0.0,0.0,-11.660000000000002,0.0,0,1,3,4,0,0,1,1,0,2
69,2007-02-28 09:45:00,10,-8.4,1.4142135623730956,0.0,-8.4,1.4142135623730956,0,0,2,2,0,0,0,0,1,1
70,2007-02-28 10:00:00,47,-39.72,-2.121320343559643,0.81,-38.910000000000004,-2.121320343559643,0,0,3,0,3,0,1,0,0,1
71,2007-02-28 10:30:00,18,33.33,0.2474234246053661,0.0,33.33,0.2474234246053661,1,0,0,1,0,0,0,1,0,1
72,2007-03-01 00:00:00,67,2.47,0.7071067811865475,0.0,2.47,0.7071067811865475,0,1,0,1,0,0,0,1,0,1
73,2007-03-01 08:30:00,69_15_52_51,430.91,4.422586304933441,0.3,431.21000000000004,4.526842278642962,0,6,1,7,0,0,1,2,1,4
74,2007-03-01 09:30:00,46,-7.04,-1.0129702504231404,0.0,-7.04,-1.0129702504231404,1,0,0,1,0,0,0,1,0,1
75,2007-03-01 10:00:00,11_38_39,-36.53,2.1213203435596424,250.0,213.47,2.1213203435596424,0,4,1,4,1,0,1,2,0,3
76,2007-03-02 10:00:00,63,-5.74,-1.4142135623730951,7.44,1.7000000000000002,1.414213562373095,0,0,2,2,0,0,0,0,1,1
77,2007-03-05 10:00:00,40,-15.21,-2.1213203435596424,0.0,-15.21,-2.1213203435596424,0,0,3,3,0,0,1,0,0,1
78,2007-03-06 08:30:00,61_62,118.01,0.0,0.0,118.01,0.0,2,1,0,3,0,0,0,1,1,2
79,2007-03-06 10:00:00,50_24,-319.53999999999996,-3.5355339059327378,-7.82,-327.36,-3.5355339059327378,0,0,5,0,2,3,1,0,1,2
80,2007-03-07 08:15:00,0,-86.0,-1.4142135623730951,-40.78,-126.78,-1.4142135623730951,0,0,2,0,0,2,0,0,1,1
81,2007-03-07 10:30:00,18,366.67,1.2283337116764168,0.0,366.67,1.2283337116764168,1,0,0,1,0,0,0,1,0,1
82,2007-03-07 15:00:00,12,-8.57,-0.5414234746780012,-16.67,-25.24,-0.7071344190215236,0,0,1,0,0,1,0,1,0,1
83,2007-03-08 08:30:00,69,0.61,0.7898869772096091,0.0,0.61,0.7986522013466074,1,0,0,1,0,0,0,1,0,1
84,2007-03-08 09:30:00,46,2.0,0.5892318525300168,0.0,2.0,0.5892318525300168,1,0,0,1,0,0,0,1,0,1
85,2007-03-09 08:30:00,68_48_70_3,80.16,5.157020612432465,96.06,176.22,5.547456107008851,6,5,0,8,3,0,3,0,1,4
86,2007-03-09 10:00:00,31,-700.0,-1.0241866514687905,0.0,-700.0,-1.018470842651705,0,0,1,1,0,0,0,1,0,1
87,2007-03-12 15:00:00,25,4.88,-1.20502422660393,0.0,4.88,-1.20502422660393,0,2,0,2,0,0,0,0,1,1
88,2007-03-13 08:30:00,17_60,-600.0,-3.984163129360102,-99.99,-699.99,-4.975164753319223,0,0,6,3,0,3,2,0,0,2
89,2007-03-13 10:00:00,5,-200.0,-2.0,0.0,-200.0,-1.8543452998910617,0,0,2,2,0,0,0,0,1,1
90,2007-03-13 11:00:00,37,-0.59,0.3263747835459151,0.0,-0.59,0.3263747835459151,1,0,0,1,0,0,0,1,0,1
91,2007-03-14 08:30:00,41_19,-142.16,0.4836548434292961,50.0,-92.16,0.5826698619457849,0,2,2,0,2,2,0,0,2,2
92,2007-03-14 10:30:00,18,45.0,-0.0951948931052192,0.0,45.0,-0.0951948931052192,1,0,0,1,0,0,0,1,0,1
93,2007-03-15 08:30:00,69_21_49_16,702.4,4.103350003680358,-0.61,701.79,4.036658256731332,0,6,2,8,0,0,1,1,2,4
94,2007-03-15 09:00:00,66,328.38,3.3012425305705158,24.990000000000002,353.37,3.404634891941718,0,3,0,3,0,0,1,0,0,1
95,2007-03-15 10:30:00,46,-2.54,-0.33070723590933754,0.0,-2.54,-0.33070723590933754,1,0,0,1,0,0,0,1,0,1
96,2007-03-15 12:00:00,53,-190.0,-1.2329032818404078,0.0,-190.0,-1.2329032818404078,0,0,2,2,0,0,0,0,1,1
97,2007-03-16 08:30:00,13_8,66.66,0.5773502691896257,0.0,66.66,2.1444211310304286,3,2,0,5,0,0,1,0,1,2
98,2007-03-16 09:15:00,9_42,468.38000000000005,3.0534663576372987,80.5,548.8800000000001,3.2161949264478964,0,4,0,0,4,0,0,0,2,2
99,2007-03-16 10:00:00,58,-3.99,-1.0839974275378086,-6.42,-10.41,-1.472334735291454,0,0,3,0,0,3,1,0,0,1
100,2007-03-19 13:00:00,44,-5.26,-1.048329613990034,-2.5,-7.76,-1.073071489263612,0,0,1,0,0,1,0,1,0,1
101,2007-03-20 08:30:00,4_36,15.08,0.18515449493429736,1.42,16.5,0.5550601682408501,2,2,0,4,0,0,0,0,2,2
102,2007-03-21 10:30:00,18,-290.0,-0.9883166412851586,0.0,-290.0,-0.9883166412851586,1,0,0,1,0,0,0,1,0,1
103,2007-03-21 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
104,2007-03-22 08:30:00,69,1.25,0.467788390437081,-0.63,0.62,0.3722608801243667,1,0,0,1,0,0,0,1,0,1
105,2007-03-22 10:00:00,7,-66.67,-0.7043828380940534,-400.0,-466.67,-1.1547005383792517,0,0,1,0,0,1,0,1,0,1
106,2007-03-22 10:30:00,46,-1800.0,-1.7888395540455058,0.0,-1800.0,-1.7888395540455058,1,0,0,1,0,0,0,1,0,1
107,2007-03-23 10:00:00,23,16.56,2.685140445112548,0.9299999999999999,17.49,2.4408007120090884,0,3,0,3,0,0,1,0,0,1
108,2007-03-26 10:00:00,47,-41.730000000000004,-1.8172868359345093,-17.61,-59.34,-2.42175741834836,0,0,3,0,0,3,1,0,0,1
109,2007-03-27 09:00:00,65,-200.0,-1.1345379831914728,-20.0,-220.0,-1.1324779506733542,0,0,1,1,0,0,0,1,0,1
110,2007-03-27 10:00:00,64_6,-154.95,-2.47851188983367,-3.4799999999999995,-158.43,-2.731479137175614,0,0,4,1,0,3,1,1,0,2
111,2007-03-28 08:30:00,14_20,-350.02,1.9295740441148095,-125.55000000000001,-475.57,1.7052887910878853,0,0,5,0,0,5,1,0,1,2
112,2007-03-28 10:30:00,18,138.1,0.336184980789362,0.0,138.1,0.336184980789362,1,0,0,1,0,0,0,1,0,1
113,2007-03-29 08:30:00,69_28_27,31.03,0.9391848184249574,-0.63,30.400000000000002,0.9581706580713596,1,3,0,4,0,0,0,2,1,3
114,2007-03-29 10:30:00,46,22.22,0.4701779774559669,0.0,22.22,0.4701779774559669,1,0,0,1,0,0,0,1,0,1
115,2007-03-30 08:30:00,15_52_51,450.0,3.8789372420567303,-99.99,350.01,2.8016663584795216,0,6,0,3,0,3,1,1,1,3
116,2007-03-30 09:45:00,10,49.3,2.3057079330661834,0.0,49.3,2.3057079330661834,0,2,0,2,0,0,0,0,1,1
117,2007-03-30 10:00:00,11_63,150.9,2.939948314579189,167.98,318.88,2.8106379796044987,2,1,0,2,1,0,0,1,1,2
118,2007-04-02 10:00:00,38_39,6.83,-1.093169208323382,0.0,6.83,-1.093169208323382,0,1,3,4,0,0,1,1,0,2
119,2007-04-03 01:00:00,67,0.61,-0.32384180420701003,0.0,0.61,-0.32384180420701003,1,0,0,1,0,0,0,1,0,1
120,2007-04-03 10:00:00,50,720.0,2.683482698867527,7.32,727.3199999999999,2.6734504076825045,0,3,0,3,0,0,1,0,0,1
121,2007-04-04 08:15:00,0,-45.599999999999994,0.00035977693635792275,42.12,-3.4799999999999995,1.1974571424123783,0,0,3,0,3,0,1,0,0,1
122,2007-04-04 10:00:00,24_40,-107.88,-2.9884511817304587,3.58,-104.3,-3.1171004667574023,0,0,5,5,0,0,1,0,1,2
123,2007-04-04 10:30:00,18,-760.0,-1.5069195768380668,0.0,-760.0,-1.5069195768380668,1,0,0,1,0,0,0,1,0,1
124,2007-04-05 08:30:00,69,-2.23,-1.4724647313961117,-0.65,-2.88,-1.5458797463355745,0,0,1,1,0,0,0,1,0,1
125,2007-04-05 10:30:00,46,-7.41,0.4335613292820231,0.0,-7.41,0.4335613292820231,1,0,0,1,0,0,0,1,0,1
126,2007-04-06 08:30:00,48_70_3,113.03999999999999,5.936625422802255,49.47,162.51,5.166975827626223,2,6,0,5,3,0,2,0,1,3
127,2007-04-06 10:00:00,31,-25.0,0.4412992772095203,14.29,-10.71,0.4508758908267296,0,0,1,0,1,0,0,1,0,1
128,2007-04-06 15:00:00,12,-45.45,-0.7833461448201036,-3.12,-48.57,-0.7772747118051488,0,0,1,1,0,0,0,1,0,1
129,2007-04-10 10:00:00,37,-9.0,-1.4529903817346368,0.0,-9.0,-1.4529903817346368,0,0,1,1,0,0,0,1,0,1
130,2007-04-11 10:30:00,18,58.82,0.5914374644637083,0.0,58.82,0.5914374644637083,1,0,0,1,0,0,0,1,0,1
131,2007-04-11 14:00:00,25,-14.0,-1.3655676677724196,0.0,-14.0,-1.3655676677724196,0,0,2,2,0,0,0,0,1,1
132,2007-04-12 08:30:00,69_41,278.17,-0.05512540969606361,99.38,377.55,0.08572575655294279,0,2,1,3,0,0,0,1,1,2
133,2007-04-12 10:30:00,46,-27.78,0.4173539682094107,0.0,-27.78,0.4173539682094107,1,0,0,1,0,0,0,1,0,1
134,2007-04-13 08:30:00,68_49_16,-62.45000000000002,-1.2493595759911331,-1.02,-63.47000000000003,-1.5395628714057095,0,6,2,8,0,0,2,0,1,3
135,2007-04-13 10:00:00,58,-7.529999999999999,-1.5590933012638184,1.35,-6.18,-0.6679311387755739,0,0,3,3,0,0,1,0,0,1
136,2007-04-16 08:30:00,17_60_21,126.34,2.718695484165938,2700.0,2826.34,7.818029709487741,3,3,2,2,6,0,2,0,1,3
137,2007-04-16 09:00:00,66,-83.49,-0.972791563862706,-4.32,-87.81,-1.3654141991806505,0,0,3,3,0,0,1,0,0,1
138,2007-04-16 10:00:00,5,-100.0,-0.8783100656536798,0.0,-100.0,-0.9258200997725514,0,0,2,2,0,0,0,0,1,1
139,2007-04-16 13:00:00,44,-8.33,-0.9603885821772744,0.0,-8.33,-0.8505864714843638,0,0,1,1,0,0,0,1,0,1
140,2007-04-17 08:30:00,13_4_8_36,-148.68,-5.179062217530803,2.62,-146.06,-4.900050322109192,4,2,3,9,0,0,1,0,3,4
141,2007-04-17 09:15:00,9_42,-401.46,-2.3729051557275085,-40.98,-442.44,-2.9902631084858924,0,0,4,0,0,4,0,0,2,2
142,2007-04-18 10:30:00,18,242.86,0.8924428077492181,0.0,242.86,0.8924428077492181,1,0,0,1,0,0,0,1,0,1
143,2007-04-19 08:30:00,69,-4.31,-0.5584480058705897,-0.29,-4.6,-0.5024311639263159,0,0,1,1,0,0,0,1,0,1
144,2007-04-19 10:00:00,7,-50.0,-0.3904130738346321,-20.0,-70.0,0.15989588937083352,0,0,1,0,0,1,0,1,0,1
145,2007-04-19 10:30:00,46,-4.17,0.4472472108624835,0.0,-4.17,0.4472472108624835,1,0,0,1,0,0,0,1,0,1
146,2007-04-19 12:00:00,53,-184.0,-1.0299328384120348,0.0,-184.0,-1.0299328384120348,0,0,2,2,0,0,0,0,1,1
147,2007-04-24 09:00:00,65,0.0,0.6693268510847544,-50.0,-50.0,0.33472619604171405,1,0,0,1,0,0,0,1,0,1
148,2007-04-24 10:00:00,64_23_6,-79.66999999999999,-4.956204877219135,3.24,-76.43,-3.5256913175207973,0,0,7,4,3,0,2,1,0,3
149,2007-04-25 08:30:00,14_20,170.62,2.640620324918629,-892.0,-721.38,1.948500446089668,0,5,0,2,0,3,1,0,1,2
150,2007-04-25 10:00:00,47,-10.8,0.7497789188256054,-4.26,-15.059999999999999,0.7273581099082513,0,0,3,0,0,3,1,0,0,1
151,2007-04-25 10:30:00,18,-240.0,-0.31646134722031577,0.0,-240.0,-0.31646134722031577,1,0,0,1,0,0,0,1,0,1
152,2007-04-26 08:30:00,69,1.23,0.6844680551201211,-0.59,0.64,0.6831233511061362,1,0,0,1,0,0,0,1,0,1
153,2007-04-26 10:30:00,46,0.0,0.19170608431131775,0.0,0.0,0.19170608431131775,1,0,0,1,0,0,0,1,0,1
154,2007-04-27 08:30:00,2_1_22,-50.3,0.7071067811865472,-59.05000000000001,-109.35,0.7071067811865479,0,2,5,2,2,3,1,0,2,3
155,2007-04-27 10:00:00,63,4.22,2.3148635105427138,7.02,11.239999999999998,2.390479361541704,0,2,0,2,0,0,0,0,1,1
156,2007-04-30 08:30:00,15_52_51,-340.0,-6.101662089615277,50.010000000000005,-289.98999999999995,-5.7683526547458746,0,1,5,3,3,0,1,1,1,3
157,2007-04-30 09:45:00,10,-5.88,-0.791789365384525,0.0,-5.88,-0.791789365384525,0,0,2,2,0,0,0,0,1,1
158,2007-04-30 10:00:00,11,0.0,0.28052413470126397,400.0,400.0,0.7979510605023877,1,0,0,0,1,0,0,1,0,1
159,2007-05-01 01:00:00,67,-0.62,-0.9252818520610776,0.0,-0.62,-0.9252818520610776,1,0,0,1,0,0,0,1,0,1
160,2007-05-01 10:00:00,38_50_39,-14967.48,-1.0934772137793694,171.42000000000002,-14796.059999999998,-1.0928928148745483,0,4,3,4,3,0,2,1,0,3
161,2007-05-02 08:15:00,0,-120.57,-2.170147331131846,-22.65,-143.22,-1.8809840479897657,0,0,3,0,0,3,1,0,0,1
162,2007-05-02 10:00:00,24,144.44,2.07669626451602,80.0,224.44,2.4708865447499924,0,2,0,0,2,0,0,0,1,1
163,2007-05-02 10:30:00,18,20.0,0.3999223890189528,0.0,20.0,0.3999223890189528,1,0,0,1,0,0,0,1,0,1
164,2007-05-03 08:30:00,69_56_57,-448.28,-1.4221210069585493,668.26,219.98000000000008,1.3420681885520742,0,1,4,0,4,1,0,1,2,3
165,2007-05-03 10:00:00,40,15.78,2.9661886158036603,0.0,15.78,2.9661886158036603,0,3,0,3,0,0,1,0,0,1
166,2007-05-03 10:30:00,46,-7.41,0.1809945010818989,0.0,-7.41,0.1809945010818989,1,0,0,1,0,0,0,1,0,1
167,2007-05-04 08:30:00,48_70_3,-119.94,-4.174494123055128,5.01,-114.93,-4.495840529422605,3,0,5,8,0,0,2,0,1,3
168,2007-05-07 15:00:00,12,221.43,1.4504355051815676,86.67,308.1,1.5887828965137971,0,1,0,0,1,0,0,1,0,1
169,2007-05-08 10:00:00,31,25.0,0.5081218867039589,20.0,45.0,0.5258936383638186,0,1,0,0,1,0,0,1,0,1
170,2007-05-09 10:30:00,18,-511.11,-1.4483351174464931,0.0,-511.11,-1.4483351174464931,1,0,0,1,0,0,0,1,0,1
171,2007-05-09 14:15:00,26,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,0,1,0,0,1
172,2007-05-10 08:30:00,68_69_41,24.05,-2.575451602259131,-26.43,-2.3800000000000026,-2.904169380902728,0,3,3,4,0,2,1,1,1,3
173,2007-05-10 10:30:00,46,0.0,0.6811924951095295,0.0,0.0,0.6811924951095295,1,0,0,1,0,0,0,1,0,1
174,2007-05-10 14:00:00,25,45.1,0.20332365514413767,0.0,45.1,0.20332365514413767,0,2,0,2,0,0,0,0,1,1
175,2007-05-11 08:30:00,17_60_49_16,-899.99,-9.356294743605915,241.07999999999998,-658.9100000000001,-7.314234571368493,0,3,8,5,6,0,3,0,1,4
176,2007-05-11 10:00:00,5,300.0,2.5076626752861433,66.66,366.66,2.3581998346561477,0,2,0,0,2,0,0,0,1,1
177,2007-05-15 08:30:00,21_13_8,-62.22,-2.31344864196887,0.0,-62.22,-0.323412109943481,3,0,4,7,0,0,1,0,2,3
178,2007-05-15 09:00:00,66,-18.330000000000002,-0.1321160702932501,0.0,-18.330000000000002,-0.41717070935110784,0,0,3,3,0,0,1,0,0,1
179,2007-05-15 10:00:00,37,6.67,1.3785559827103966,0.0,6.67,1.3785559827103966,0,1,0,1,0,0,0,1,0,1
180,2007-05-15 13:00:00,44,-9.09,-0.8420910153965764,0.0,-9.09,-0.7672208056377192,0,0,1,1,0,0,0,1,0,1
181,2007-05-16 08:30:00,4_36,-6.4799999999999995,-2.615978231733176,-0.040000000000000036,-6.52,-2.92830365622894,0,2,2,0,2,2,0,0,2,2
182,2007-05-16 09:15:00,9_42,267.16,1.775698094219249,-100.5,166.66000000000003,0.9263283273810365,0,4,0,0,0,4,0,0,2,2
183,2007-05-16 10:30:00,18,110.0,0.6173775250148773,0.0,110.0,0.6173775250148773,1,0,0,1,0,0,0,1,0,1
184,2007-05-17 08:30:00,69,6.09,0.6013211676364151,-0.34,5.75,0.6789766652596061,0,1,0,1,0,0,0,1,0,1
185,2007-05-17 10:00:00,7,-400.0,-1.7232062628474951,500.0,100.0,0.7217441828450356,0,0,1,0,1,0,0,1,0,1
186,2007-05-17 10:30:00,46,2.06,1.0372972709013286,0.0,2.06,1.0372972709013286,1,0,0,1,0,0,0,1,0,1
187,2007-05-17 12:00:00,53,80.0,0.8513802840320629,0.0,80.0,0.8513802840320629,0,2,0,2,0,0,0,0,1,1
188,2007-05-18 10:00:00,58,7.98,1.8184648751849217,6.33,14.309999999999999,2.858476371467149,0,3,0,0,3,0,1,0,0,1
189,2007-05-22 10:00:00,64,-66.67,0.5027645061591859,0.0,-66.67,0.5027645061591859,0,0,1,1,0,0,0,1,0,1
190,2007-05-23 10:30:00,18,-233.33,-0.2550444747122554,0.0,-233.33,-0.2550444747122554,1,0,0,1,0,0,0,1,0,1
191,2007-05-24 08:30:00,69_14_20,529.4,-0.9831790950535757,-147.92,381.48,-0.17822294458986554,0,3,4,2,2,3,1,0,2,3
192,2007-05-24 10:00:00,47,42.21,3.923244520774108,-4.89,37.32,3.6306371050310364,0,3,0,0,0,3,1,0,0,1
193,2007-05-24 10:30:00,46,-8.33,-1.172099232947009,0.0,-8.33,-1.172099232947009,1,0,0,1,0,0,0,1,0,1
194,2007-05-25 10:00:00,23,-7.32,-1.4599699483449662,1.47,-5.85,-1.3339232469660216,0,0,3,0,3,0,1,0,0,1
195,2007-05-29 09:00:00,65,-16.67,0.4399026680219944,20.0,3.3299999999999983,0.7531589163466913,0,0,1,0,1,0,0,1,0,1
196,2007-05-29 10:00:00,6,10.05,3.2441879665924054,6.63,16.68,3.996754917901952,0,3,0,0,3,0,1,0,0,1
197,2007-05-30 08:15:00,0,-46.95,0.6163447270823695,14.07,-32.88,1.0432761858174284,0,0,3,3,0,0,1,0,0,1
198,2007-05-31 08:30:00,69_55_54,-41.599999999999994,-3.4495978749923775,-13.519999999999996,-55.11999999999999,0.7952613183388455,2,0,3,5,0,0,1,2,0,3
