actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,forecast_error_ratio,year,quarter,month,day_name
0.2%,USD,2013-12-30 10:00:00,1.1%,worse,High,Pending Home Sales m/m,-1.2%,worse,52,2013-12-30 15:00:00+00:00,-81.82,2013,4,12,Monday
13.6%,USD,2013-12-31 09:00:00,13.4%,better,Medium,S&P/CS Composite-20 HPI y/y,13.3%,accurate,52,2013-12-31 14:00:00+00:00,1.49,2013,4,12,Tuesday
59.1,USD,2013-12-31 09:45:00,61.3,worse,Medium,Chicago PMI,63.0,accurate,52,2013-12-31 14:45:00+00:00,-3.59,2013,4,12,Tuesday
78.1,USD,2013-12-31 10:00:00,76.5,better,High,CB Consumer Confidence,72.0,better,52,2013-12-31 15:00:00+00:00,2.09,2013,4,12,Tuesday
0.1%,USD,2013-12-23 08:30:00,0.1%,accurate,Medium,Core PCE Price Index m/m,0.1%,accurate,52,2013-12-23 13:30:00+00:00,0.0,2013,4,12,Monday
0.5%,USD,2013-12-23 08:30:00,0.5%,accurate,Medium,Personal Spending m/m,0.4%,better,52,2013-12-23 13:30:00+00:00,0.0,2013,4,12,Monday
0.2%,USD,2013-12-23 08:30:00,0.4%,worse,Low,Personal Income m/m,-0.1%,accurate,52,2013-12-23 13:30:00+00:00,-50.0,2013,4,12,Monday
82.5,USD,2013-12-23 09:55:00,82.9,accurate,Medium,Revised UoM Consumer Sentiment,82.5,accurate,52,2013-12-23 14:55:00+00:00,-0.48,2013,4,12,Monday
1.2%,USD,2013-12-24 08:30:00,0.9%,better,High,Core Durable Goods Orders m/m,0.4%,better,52,2013-12-24 13:30:00+00:00,33.33,2013,4,12,Tuesday
3.5%,USD,2013-12-24 08:30:00,1.7%,better,Medium,Durable Goods Orders m/m,-1.6%,better,52,2013-12-24 13:30:00+00:00,105.88,2013,4,12,Tuesday
0.5%,USD,2013-12-24 09:00:00,0.5%,accurate,Low,HPI m/m,0.2%,worse,52,2013-12-24 14:00:00+00:00,0.0,2013,4,12,Tuesday
13,USD,2013-12-24 09:59:00,15,worse,Low,Richmond Manufacturing Index,13,accurate,52,2013-12-24 14:59:00+00:00,-13.33,2013,4,12,Tuesday
464K,USD,2013-12-24 10:00:00,449K,better,High,New Home Sales,474K,better,52,2013-12-24 15:00:00+00:00,3.34,2013,4,12,Tuesday
338K,USD,2013-12-26 08:30:00,346K,better,High,Unemployment Claims,380K,accurate,52,2013-12-26 13:30:00+00:00,-2.31,2013,4,12,Thursday
-177B,USD,2013-12-27 10:30:00,-177B,accurate,Low,Natural Gas Storage,-285B,accurate,52,2013-12-27 15:30:00+00:00,0.0,2013,4,12,Friday
-4.7M,USD,2013-12-27 11:00:00,-1.9M,accurate,Medium,Crude Oil Inventories,-2.9M,accurate,52,2013-12-27 16:00:00+00:00,-147.37,2013,4,12,Friday
1.0,USD,2013-12-16 08:30:00,4.9,worse,Medium,Empire State Manufacturing Index,-2.2,accurate,51,2013-12-16 13:30:00+00:00,-79.59,2013,4,12,Monday
3.0%,USD,2013-12-16 08:30:00,2.9%,accurate,Medium,Revised Nonfarm Productivity q/q,1.9%,accurate,51,2013-12-16 13:30:00+00:00,3.45,2013,4,12,Monday
-1.4%,USD,2013-12-16 08:30:00,-1.5%,accurate,Low,Revised Unit Labor Costs q/q,-0.6%,accurate,51,2013-12-16 13:30:00+00:00,6.67,2013,4,12,Monday
54.4,USD,2013-12-16 09:00:00,54.9,worse,Medium,Flash Manufacturing PMI,54.7,better,51,2013-12-16 14:00:00+00:00,-0.91,2013,4,12,Monday
35.4B,USD,2013-12-16 09:00:00,31.4B,better,Medium,TIC Long-Term Purchases,31.3B,better,51,2013-12-16 14:00:00+00:00,12.74,2013,4,12,Monday
79.0%,USD,2013-12-16 09:15:00,78.5%,better,Medium,Capacity Utilization Rate,78.2%,accurate,51,2013-12-16 14:15:00+00:00,0.64,2013,4,12,Monday
1.1%,USD,2013-12-16 09:15:00,0.6%,better,Medium,Industrial Production m/m,0.1%,better,51,2013-12-16 14:15:00+00:00,83.33,2013,4,12,Monday
0.2%,USD,2013-12-17 08:30:00,0.1%,better,High,Core CPI m/m,0.1%,accurate,51,2013-12-17 13:30:00+00:00,100.0,2013,4,12,Tuesday
0.0%,USD,2013-12-17 08:30:00,0.1%,worse,Medium,CPI m/m,-0.1%,accurate,51,2013-12-17 13:30:00+00:00,-100.0,2013,4,12,Tuesday
-95B,USD,2013-12-17 08:30:00,-101B,better,Medium,Current Account,-97B,accurate,51,2013-12-17 13:30:00+00:00,5.94,2013,4,12,Tuesday
58,USD,2013-12-17 10:00:00,55,better,Medium,NAHB Housing Market Index,54,accurate,51,2013-12-17 15:00:00+00:00,5.45,2013,4,12,Tuesday
0.87M,USD,2013-12-18 00:00:00,0.91M,worse,Low,Housing Starts,0.88M,accurate,51,2013-12-18 05:00:00+00:00,-4.4,2013,4,12,Wednesday
0.89M,USD,2013-12-18 00:00:00,0.92M,worse,Low,Housing Starts,0.87M,accurate,51,2013-12-18 05:00:00+00:00,-3.26,2013,4,12,Wednesday
1.01M,USD,2013-12-18 08:30:00,0.99M,accurate,High,Building Permits,1.04M,accurate,51,2013-12-18 13:30:00+00:00,2.02,2013,4,12,Wednesday
1.09M,USD,2013-12-18 08:30:00,0.95M,better,Medium,Housing Starts,0.89M,accurate,51,2013-12-18 13:30:00+00:00,14.74,2013,4,12,Wednesday
56.0,USD,2013-12-18 09:00:00,56.4,worse,Low,Flash Services PMI,55.9,worse,51,2013-12-18 14:00:00+00:00,-0.71,2013,4,12,Wednesday
