actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
47.7,USD,2008-01-02 10:00:00,50.7,worse,High,ISM Manufacturing PMI,50.8,accurate,1,2008-01-02 15:00:00+00:00,5.92,2008,1,1,Wednesday,14648,14655,14644,14652,14689,14652,14689,37,up,37,35,14695,14681,14690,14,up,38,1,14701,14682,14701,19,up,49,10,14705,14685,14686,20,down,34,15,14726,14700,14725,26,up,73,18,14744,14727,14731,17,up,79,9,14742,14730,14735,12,up,83,4,14735,14725,14730,10,down,78,0,14734,14728,14730,6,down,78,0
0.1%,USD,2008-01-02 10:00:00,-0.4%,better,Low,Construction Spending m/m,-0.4%,better,1,2008-01-02 15:00:00+00:00,-125.0,2008,1,1,Wednesday,14648,14655,14644,14652,14689,14652,14689,37,up,37,35,14695,14681,14690,14,up,38,1,14701,14682,14701,19,up,49,10,14705,14685,14686,20,down,34,15,14726,14700,14725,26,up,73,18,14744,14727,14731,17,up,79,9,14742,14730,14735,12,up,83,4,14735,14725,14730,10,down,78,0,14734,14728,14730,6,down,78,0
68.0,USD,2008-01-02 10:00:00,65.0,better,Low,ISM Manufacturing Prices,67.5,accurate,1,2008-01-02 15:00:00+00:00,-4.62,2008,1,1,Wednesday,14648,14655,14644,14652,14689,14652,14689,37,up,37,35,14695,14681,14690,14,up,38,1,14701,14682,14701,19,up,49,10,14705,14685,14686,20,down,34,15,14726,14700,14725,26,up,73,18,14744,14727,14731,17,up,79,9,14742,14730,14735,12,up,83,4,14735,14725,14730,10,down,78,0,14734,14728,14730,6,down,78,0
16.2M,USD,2008-01-03 00:00:00,16.0M,better,Low,Total Vehicle Sales,16.2M,accurate,1,2008-01-03 05:00:00+00:00,-1.25,2008,1,1,Thursday,14707,14711,14705,14709,14714,14707,14710,7,up,1,1,14713,14705,14707,8,down,2,2,14710,14704,14706,6,down,3,1,14710,14703,14708,7,up,1,1,14710,14702,14705,8,down,4,1,14714,14707,14708,7,up,1,2,14729,14717,14728,12,up,19,6,14725,14719,14722,6,down,13,2,14698,14691,14695,7,down,14,0
40K,USD,2008-01-03 08:15:00,45K,accurate,High,ADP Non-Farm Employment Change,173K,worse,1,2008-01-03 13:15:00+00:00,11.11,2008,1,1,Thursday,14765,14767,14751,14754,14756,14735,14750,21,down,4,2,14750,14716,14728,34,down,26,21,14741,14725,14737,16,up,17,9,14711,14701,14708,10,down,46,1,14718,14706,14717,12,up,37,7,14727,14713,14724,14,up,30,9,14715,14707,14715,8,down,39,0,14728,14719,14721,9,up,33,2,14736,14728,14731,8,up,23,2
336K,USD,2008-01-03 08:30:00,345K,better,Medium,Unemployment Claims,357K,worse,1,2008-01-03 13:30:00+00:00,2.61,2008,1,1,Thursday,14728,14741,14725,14737,14739,14700,14710,39,down,27,26,14711,14697,14707,14,down,30,2,14711,14701,14708,10,up,29,1,14721,14708,14709,13,up,28,8,14733,14721,14726,12,up,11,5,14732,14722,14729,10,up,8,0,14718,14712,14713,6,down,24,3,14726,14719,14723,7,up,14,1,14737,14731,14734,6,up,3,1
1.5%,USD,2008-01-03 10:00:00,0.5%,better,Medium,Factory Orders m/m,0.7%,better,1,2008-01-03 15:00:00+00:00,-200.0,2008,1,1,Thursday,14729,14732,14722,14729,14731,14713,14718,18,down,11,10,14719,14709,14712,10,down,17,4,14715,14707,14715,8,up,14,0,14718,14712,14713,6,down,16,3,14725,14716,14721,9,up,8,1,14726,14719,14723,7,up,6,1,14735,14728,14734,7,up,5,1,14742,14734,14740,8,up,11,2,14760,14752,14754,8,up,25,4
-4.0M,USD,2008-01-03 10:30:00,-2.3M,accurate,Low,Crude Oil Inventories,-3.3M,accurate,1,2008-01-03 15:30:00+00:00,73.91,2008,1,1,Thursday,14716,14718,14712,14713,14719,14707,14714,12,up,1,0,14718,14708,14715,10,up,2,2,14728,14713,14726,15,up,13,9,14725,14716,14721,9,down,8,1,14726,14719,14723,7,up,10,1,14735,14728,14734,7,up,21,1,14737,14731,14734,6,down,21,1,14758,14752,14754,6,up,41,2,14747,14740,14745,7,down,32,2
18K,USD,2008-01-04 08:30:00,70K,worse,High,Non-Farm Employment Change,115K,better,1,2008-01-04 13:30:00+00:00,74.29,2008,1,1,Friday,14722,14733,14721,14723,14821,14724,14812,97,up,89,86,14817,14791,14794,26,down,71,17,14807,14782,14788,25,down,65,6,14806,14790,14800,16,up,77,2,14802,14791,14796,11,down,73,2,14788,14777,14781,11,down,58,2,14766,14751,14762,15,down,39,1,14784,14771,14773,13,up,50,7,14778,14768,14776,10,up,53,5
5.0%,USD,2008-01-04 08:30:00,4.8%,worse,High,Unemployment Rate,4.7%,accurate,1,2008-01-04 13:30:00+00:00,-4.17,2008,1,1,Friday,14722,14733,14721,14723,14821,14724,14812,97,up,89,86,14817,14791,14794,26,down,71,17,14807,14782,14788,25,down,65,6,14806,14790,14800,16,up,77,2,14802,14791,14796,11,down,73,2,14788,14777,14781,11,down,58,2,14766,14751,14762,15,down,39,1,14784,14771,14773,13,up,50,7,14778,14768,14776,10,up,53,5
0.4%,USD,2008-01-04 08:30:00,0.3%,better,Medium,Average Hourly Earnings m/m,0.4%,worse,1,2008-01-04 13:30:00+00:00,-33.33,2008,1,1,Friday,14722,14733,14721,14723,14821,14724,14812,97,up,89,86,14817,14791,14794,26,down,71,17,14807,14782,14788,25,down,65,6,14806,14790,14800,16,up,77,2,14802,14791,14796,11,down,73,2,14788,14777,14781,11,down,58,2,14766,14751,14762,15,down,39,1,14784,14771,14773,13,up,50,7,14778,14768,14776,10,up,53,5
53.9,USD,2008-01-04 10:00:00,53.5,better,High,ISM Non-Manufacturing PMI,54.1,accurate,1,2008-01-04 15:00:00+00:00,-0.75,2008,1,1,Friday,14779,14788,14777,14781,14782,14747,14769,35,down,12,11,14770,14750,14761,20,down,20,6,14761,14740,14756,21,down,25,2,14766,14751,14762,15,up,19,1,14776,14766,14773,10,up,8,6,14784,14771,14773,13,down,8,7,14786,14778,14784,8,up,3,3,14768,14755,14764,13,down,17,4,14772,14765,14769,7,up,12,1
-87B,USD,2008-01-04 10:30:00,-110B,accurate,Low,Natural Gas Storage,-165B,accurate,1,2008-01-04 15:30:00+00:00,-20.91,2008,1,1,Friday,14763,14766,14751,14762,14766,14756,14763,10,up,1,3,14771,14759,14769,12,up,7,6,14774,14762,14772,12,up,10,4,14776,14766,14773,10,up,11,6,14784,14771,14773,13,down,11,7,14786,14778,14784,8,up,22,3,14778,14768,14776,10,down,14,5,14771,14763,14768,8,down,6,4,14772,14765,14770,7,up,8,1
-2.6%,USD,2008-01-08 10:00:00,-0.7%,worse,High,Pending Home Sales m/m,3.7%,better,2,2008-01-08 15:00:00+00:00,271.43,2008,1,1,Tuesday,14732,14735,14724,14728,14743,14719,14723,24,down,5,7,14731,14715,14721,16,down,7,3,14725,14716,14722,9,up,6,3,14718,14705,14713,13,down,15,8,14716,14708,14713,8,down,15,1,14720,14712,14717,8,up,11,2,14717,14711,14713,6,down,15,2,14715,14710,14713,5,down,15,1,14713,14705,14710,8,down,18,1
