actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
53.9,USD,2012-01-03 10:00:00,53.3,better,High,ISM Manufacturing PMI,52.7,accurate,1,2012-01-03 15:00:00+00:00,-1.13,2012,1,1,Tuesday,13030,13035,13029,13035,13046,13031,13043,15,up,8,8,13051,13043,13048,8,up,13,5,13052,13044,13049,8,up,14,1,13062,13051,13052,11,up,17,5,13053,13047,13053,6,up,18,4,13068,13054,13065,14,up,30,11,13062,13057,13060,5,down,25,3,13053,13047,13048,6,down,13,5,13076,13070,13072,6,up,37,1
1.2%,USD,2012-01-03 10:00:00,0.6%,better,Low,Construction Spending m/m,-0.2%,worse,1,2012-01-03 15:00:00+00:00,-100.0,2012,1,1,Tuesday,13030,13035,13029,13035,13046,13031,13043,15,up,8,8,13051,13043,13048,8,up,13,5,13052,13044,13049,8,up,14,1,13062,13051,13052,11,up,17,5,13053,13047,13053,6,up,18,4,13068,13054,13065,14,up,30,11,13062,13057,13060,5,down,25,3,13053,13047,13048,6,down,13,5,13076,13070,13072,6,up,37,1
47.5,USD,2012-01-03 10:00:00,47.6,accurate,Low,ISM Manufacturing Prices,45.0,accurate,1,2012-01-03 15:00:00+00:00,0.21,2012,1,1,Tuesday,13030,13035,13029,13035,13046,13031,13043,15,up,8,8,13051,13043,13048,8,up,13,5,13052,13044,13049,8,up,14,1,13062,13051,13052,11,up,17,5,13053,13047,13053,6,up,18,4,13068,13054,13065,14,up,30,11,13062,13057,13060,5,down,25,3,13053,13047,13048,6,down,13,5,13076,13070,13072,6,up,37,1
13.6M,USD,2012-01-04 00:00:00,13.5M,accurate,Low,Total Vehicle Sales,13.6M,accurate,1,2012-01-04 05:00:00+00:00,-0.74,2012,1,1,Wednesday,13037,13037,13035,13036,13036,13033,13033,3,down,3,3,13034,13033,13034,1,up,2,1,13035,13034,13034,1,down,2,0,13033,13032,13032,1,down,4,1,13034,13029,13034,5,up,2,3,13033,13029,13032,4,down,4,2,13042,13037,13042,5,up,6,3,13041,13035,13040,6,down,4,1,13046,13031,13037,15,down,1,9
1.8%,USD,2012-01-04 10:00:00,1.9%,accurate,Medium,Factory Orders m/m,-0.2%,better,1,2012-01-04 15:00:00+00:00,5.26,2012,1,1,Wednesday,12952,12961,12952,12957,12958,12948,12948,10,down,9,9,12949,12945,12947,4,down,10,1,12947,12937,12938,10,down,19,9,12934,12918,12918,16,down,39,12,12918,12907,12909,11,down,48,5,12929,12924,12928,5,up,29,4,12933,12929,12930,4,up,27,2,12955,12948,12954,7,up,3,6,12951,12946,12946,5,down,11,4
325K,USD,2012-01-05 08:15:00,176K,better,High,ADP Non-Farm Employment Change,204K,accurate,1,2012-01-05 13:15:00+00:00,-84.66,2012,1,1,Thursday,12839,12839,12832,12832,12844,12806,12806,38,down,26,26,12822,12806,12820,16,up,12,14,12835,12821,12833,14,up,1,12,12846,12831,12833,15,down,1,2,12814,12805,12812,9,down,20,3,12807,12784,12791,23,down,41,15,12811,12800,12811,11,up,21,6,12794,12788,12791,6,down,41,2,12788,12783,12783,5,down,49,1
372K,USD,2012-01-05 08:30:00,375K,accurate,High,Unemployment Claims,387K,worse,1,2012-01-05 13:30:00+00:00,0.8,2012,1,1,Thursday,12821,12835,12821,12833,12837,12821,12823,16,down,10,10,12833,12818,12831,15,up,2,8,12846,12831,12833,15,up,0,2,12817,12808,12813,9,down,20,4,12812,12806,12809,6,down,24,2,12807,12801,12801,6,down,32,2,12814,12805,12809,9,up,24,0,12801,12795,12801,6,down,32,5,12794,12788,12788,6,down,45,4
52.6,USD,2012-01-05 10:00:00,53.0,worse,High,ISM Non-Manufacturing PMI,52.0,accurate,1,2012-01-05 15:00:00+00:00,0.75,2012,1,1,Thursday,12803,12807,12801,12801,12802,12790,12794,12,down,7,7,12808,12787,12805,21,up,4,11,12811,12800,12811,11,up,10,6,12814,12805,12809,9,down,8,0,12797,12789,12794,8,down,7,0,12801,12795,12801,6,up,0,5,12792,12778,12781,14,down,20,9,12794,12791,12794,3,up,7,2,12792,12784,12784,8,down,17,6
-76B,USD,2012-01-05 10:30:00,-78B,accurate,Low,Natural Gas Storage,-81B,accurate,1,2012-01-05 15:30:00+00:00,-2.56,2012,1,1,Thursday,12809,12814,12805,12809,12813,12801,12804,12,down,5,5,12806,12800,12800,6,down,9,4,12807,12796,12796,11,down,13,4,12797,12789,12794,8,down,15,0,12801,12795,12801,6,up,8,5,12792,12778,12781,14,down,28,9,12794,12788,12788,6,up,21,4,12787,12784,12785,3,down,24,1,12789,12785,12786,4,up,23,3
2.2M,USD,2012-01-05 11:00:00,-1.4M,accurate,Medium,Crude Oil Inventories,3.9M,accurate,1,2012-01-05 16:00:00+00:00,-257.14,2012,1,1,Thursday,12794,12797,12789,12794,12796,12791,12791,5,down,3,3,12792,12786,12789,6,down,5,2,12794,12788,12791,6,up,3,2,12801,12795,12801,6,up,7,5,12792,12778,12781,14,down,13,9,12794,12788,12788,6,up,6,4,12794,12791,12794,3,up,0,2,12792,12784,12784,8,down,10,6,12792,12784,12784,8,down,10,6
200K,USD,2012-01-06 08:30:00,152K,better,High,Non-Farm Employment Change,100K,worse,1,2012-01-06 13:30:00+00:00,-31.58,2012,1,1,Friday,12789,12789,12776,12777,12780,12753,12760,27,down,17,17,12772,12742,12743,30,down,34,17,12745,12729,12737,16,down,40,6,12743,12729,12733,14,down,44,4,12754,12748,12751,6,up,26,1,12717,12705,12717,12,down,60,10,12712,12701,12703,11,down,74,8,12720,12717,12717,3,up,60,1,12721,12717,12720,4,up,57,2
8.5%,USD,2012-01-06 08:30:00,8.7%,better,High,Unemployment Rate,8.6%,accurate,1,2012-01-06 13:30:00+00:00,2.3,2012,1,1,Friday,12789,12789,12776,12777,12780,12753,12760,27,down,17,17,12772,12742,12743,30,down,34,17,12745,12729,12737,16,down,40,6,12743,12729,12733,14,down,44,4,12754,12748,12751,6,up,26,1,12717,12705,12717,12,down,60,10,12712,12701,12703,11,down,74,8,12720,12717,12717,3,up,60,1,12721,12717,12720,4,up,57,2
0.2%,USD,2012-01-06 08:30:00,0.2%,accurate,Medium,Average Hourly Earnings m/m,0.0%,better,1,2012-01-06 13:30:00+00:00,0.0,2012,1,1,Friday,12789,12789,12776,12777,12780,12753,12760,27,down,17,17,12772,12742,12743,30,down,34,17,12745,12729,12737,16,down,40,6,12743,12729,12733,14,down,44,4,12754,12748,12751,6,up,26,1,12717,12705,12717,12,down,60,10,12712,12701,12703,11,down,74,8,12720,12717,12717,3,up,60,1,12721,12717,12720,4,up,57,2
20.4B,USD,2012-01-09 15:00:00,7.1B,better,Low,Consumer Credit m/m,6.0B,worse,2,2012-01-09 20:00:00+00:00,-187.32,2012,1,1,Monday,12758,12758,12755,12755,12766,12754,12762,12,up,7,6,12765,12761,12765,4,up,10,3,12765,12761,12762,4,down,7,3,12767,12764,12766,3,up,11,1,12774,12768,12772,6,up,17,2,12766,12765,12765,1,down,10,0,12766,12765,12765,1,down,10,1,12771,12764,12768,7,up,13,4,12772,12771,12772,1,up,17,1
93.8,USD,2012-01-10 07:30:00,93.9,accurate,Low,NFIB Small Business Index,92.0,accurate,2,2012-01-10 12:30:00+00:00,0.11,2012,1,1,Tuesday,12774,12777,12773,12777,12791,12776,12788,15,up,11,11,12793,12787,12789,6,up,12,1,12793,12788,12793,5,up,16,4,12803,12789,12801,14,up,24,10,12802,12795,12802,7,up,25,6,12801,12793,12799,8,down,22,2,12787,12783,12787,4,down,10,1,12788,12777,12778,11,down,1,10,12787,12781,12783,6,up,6,2
0.1%,USD,2012-01-10 10:00:00,0.5%,better,Low,Final Wholesale Inventories m/m,1.2%,better,2,2012-01-10 15:00:00+00:00,80.0,2012,1,1,Tuesday,12781,12786,12779,12785,12795,12785,12794,10,up,9,9,12800,12792,12797,8,up,12,3,12802,12792,12801,10,up,16,4,12788,12777,12778,11,down,7,10,12779,12770,12777,9,down,8,4,12787,12781,12783,6,up,2,2,12786,12779,12782,7,down,3,4,12779,12772,12778,7,down,7,6,12780,12776,12780,4,up,5,2
47.5,USD,2012-01-10 10:00:00,45.3,better,Low,IBD/TIPP Economic Optimism,42.8,accurate,2,2012-01-10 15:00:00+00:00,-4.86,2012,1,1,Tuesday,12781,12786,12779,12785,12795,12785,12794,10,up,9,9,12800,12792,12797,8,up,12,3,12802,12792,12801,10,up,16,4,12788,12777,12778,11,down,7,10,12779,12770,12777,9,down,8,4,12787,12781,12783,6,up,2,2,12786,12779,12782,7,down,3,4,12779,12772,12778,7,down,7,6,12780,12776,12780,4,up,5,2
5.0M,USD,2012-01-11 10:30:00,0.9M,accurate,Medium,Crude Oil Inventories,2.2M,accurate,2,2012-01-11 15:30:00+00:00,-455.56,2012,1,1,Wednesday,12683,12684,12677,12679,12683,12673,12680,10,up,1,1,12695,12680,12695,15,up,16,15,12696,12691,12693,5,down,14,2,12692,12684,12686,8,down,7,6,12680,12667,12667,13,down,12,12,12687,12683,12686,4,up,7,3,12689,12684,12686,5,down,7,2,12703,12701,12702,2,up,23,0,12698,12694,12696,4,down,17,2
-0.2%,USD,2012-01-12 08:30:00,0.3%,worse,High,Core Retail Sales m/m,0.3%,better,2,2012-01-12 13:30:00+00:00,166.67,2012,1,1,Thursday,12738,12743,12737,12738,12739,12718,12730,21,down,8,8,12730,12716,12720,14,down,18,10,12738,12718,12736,20,up,2,16,12755,12748,12752,7,up,14,0,12798,12776,12797,22,up,59,21,12820,12807,12818,13,up,80,11,12816,12809,12811,7,down,73,2,12823,12812,12820,11,up,82,8,12830,12826,12828,4,up,90,2
0.1%,USD,2012-01-12 08:30:00,0.3%,worse,High,Retail Sales m/m,0.4%,better,2,2012-01-12 13:30:00+00:00,66.67,2012,1,1,Thursday,12738,12743,12737,12738,12739,12718,12730,21,down,8,8,12730,12716,12720,14,down,18,10,12738,12718,12736,20,up,2,16,12755,12748,12752,7,up,14,0,12798,12776,12797,22,up,59,21,12820,12807,12818,13,up,80,11,12816,12809,12811,7,down,73,2,12823,12812,12820,11,up,82,8,12830,12826,12828,4,up,90,2
399K,USD,2012-01-12 08:30:00,373K,worse,High,Unemployment Claims,375K,accurate,2,2012-01-12 13:30:00+00:00,-6.97,2012,1,1,Thursday,12738,12743,12737,12738,12739,12718,12730,21,down,8,8,12730,12716,12720,14,down,18,10,12738,12718,12736,20,up,2,16,12755,12748,12752,7,up,14,0,12798,12776,12797,22,up,59,21,12820,12807,12818,13,up,80,11,12816,12809,12811,7,down,73,2,12823,12812,12820,11,up,82,8,12830,12826,12828,4,up,90,2
0.3%,USD,2012-01-12 10:00:00,0.4%,better,Medium,Business Inventories m/m,0.8%,accurate,2,2012-01-12 15:00:00+00:00,25.0,2012,1,1,Thursday,12807,12820,12807,12818,12822,12803,12822,19,up,4,4,12836,12822,12823,14,up,5,1,12827,12811,12813,16,down,5,10,12816,12809,12811,7,down,7,2,12798,12793,12797,5,down,21,1,12823,12812,12820,11,up,2,8,12818,12811,12817,7,down,1,0,12837,12831,12833,6,up,15,0,12835,12830,12834,5,up,16,3
-95B,USD,2012-01-12 10:30:00,-87B,accurate,Low,Natural Gas Storage,-76B,accurate,2,2012-01-12 15:30:00+00:00,9.2,2012,1,1,Thursday,12813,12816,12809,12811,12811,12806,12807,5,down,4,4,12807,12797,12797,10,down,14,9,12800,12791,12792,9,down,19,5,12798,12793,12797,5,up,14,1,12823,12812,12820,11,up,9,8,12818,12811,12817,7,down,6,0,12830,12826,12828,4,up,17,2,12832,12826,12827,6,down,16,3,12828,12824,12826,4,down,15,1
-86.0B,USD,2012-01-12 13:57:00,-79.0B,worse,Medium,Federal Budget Balance,-137.3B,accurate,2,2012-01-12 18:55:00+00:00,8.86,2012,1,1,Thursday,12830,12833,12829,12831,12835,12830,12834,5,up,3,3,12834,12832,12833,2,down,2,1,12834,12825,12825,9,down,6,8,12827,12824,12827,3,up,4,3,12830,12828,12829,2,up,2,0,12833,12827,12828,6,down,3,1,12832,12828,12830,4,up,1,0,12824,12815,12815,9,down,16,8,12816,12812,12816,4,up,15,1
-47.8B,USD,2012-01-13 08:30:00,-44.8B,worse,High,Trade Balance,-43.3B,accurate,2,2012-01-13 13:30:00+00:00,6.7,2012,1,1,Friday,12780,12789,12780,12785,12786,12775,12781,11,down,4,4,12785,12779,12785,6,up,0,4,12791,12778,12780,13,down,5,5,12753,12724,12729,29,down,56,21,12705,12687,12696,18,down,89,8,12695,12673,12677,22,down,108,13,12668,12631,12660,37,down,125,25,12678,12668,12671,10,up,114,5,12674,12669,12669,5,down,116,1
-0.1%,USD,2012-01-13 08:30:00,0.0%,accurate,Medium,Import Prices m/m,0.8%,accurate,2,2012-01-13 13:30:00+00:00,-100.0,2012,1,1,Friday,12780,12789,12780,12785,12786,12775,12781,11,down,4,4,12785,12779,12785,6,up,0,4,12791,12778,12780,13,down,5,5,12753,12724,12729,29,down,56,21,12705,12687,12696,18,down,89,8,12695,12673,12677,22,down,108,13,12668,12631,12660,37,down,125,25,12678,12668,12671,10,up,114,5,12674,12669,12669,5,down,116,1
74.0,USD,2012-01-13 09:55:00,71.2,better,High,Prelim UoM Consumer Sentiment,69.9,better,2,2012-01-13 14:55:00+00:00,-3.93,2012,1,1,Friday,12693,12693,12680,12690,12695,12673,12677,22,down,13,13,12685,12675,12679,10,up,11,2,12679,12655,12658,24,down,32,20,12644,12629,12635,15,down,55,2,12658,12648,12657,10,up,33,6,12681,12674,12676,7,up,14,1,12690,12682,12683,8,up,7,0,12678,12671,12678,7,down,12,6,12659,12653,12657,6,down,33,4
13.5,USD,2012-01-17 08:30:00,10.8,better,Medium,Empire State Manufacturing Index,9.5,accurate,3,2012-01-17 13:30:00+00:00,-25.0,2012,1,1,Tuesday,12782,12787,12782,12784,12789,12778,12780,11,down,4,4,12780,12767,12771,13,down,13,9,12773,12763,12763,10,down,21,7,12750,12735,12735,15,down,49,8,12730,12716,12721,14,down,63,8,12725,12715,12717,10,down,67,8,12736,12727,12732,9,up,52,5,12746,12741,12743,5,up,41,2,12745,12739,12740,6,down,44,4
-0.1%,USD,2012-01-18 08:30:00,0.1%,worse,High,PPI m/m,0.3%,accurate,3,2012-01-18 13:30:00+00:00,200.0,2012,1,1,Wednesday,12827,12831,12823,12828,12841,12828,12840,13,up,12,12,12845,12838,12838,7,down,10,2,12839,12831,12832,8,down,4,6,12816,12803,12804,13,down,24,11,12824,12816,12823,8,up,5,0,12836,12830,12836,6,up,8,0,12842,12834,12834,8,down,6,7,12822,12817,12818,5,down,10,1,12856,12832,12853,24,up,25,20
0.3%,USD,2012-01-18 08:30:00,0.1%,better,Medium,Core PPI m/m,0.1%,accurate,3,2012-01-18 13:30:00+00:00,-200.0,2012,1,1,Wednesday,12827,12831,12823,12828,12841,12828,12840,13,up,12,12,12845,12838,12838,7,down,10,2,12839,12831,12832,8,down,4,6,12816,12803,12804,13,down,24,11,12824,12816,12823,8,up,5,0,12836,12830,12836,6,up,8,0,12842,12834,12834,8,down,6,7,12822,12817,12818,5,down,10,1,12856,12832,12853,24,up,25,20
