datetime_gmt,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,forecast_error_diff,year,quarter,month,weekday,volatility_60_0_before,pips_agg_60_0_before,volatility_0_30_after,pips_agg_0_30_after,volatility_0_60_after,pips_agg_0_60_after,volatility_0_90_after,pips_agg_0_90_after,volatility_0_120_after,pips_agg_0_120_after,volatility_0_150_after,pips_agg_0_150_after,volatility_0_180_after,pips_agg_0_180_after,volatility_0_210_after,pips_agg_0_210_after,volatility_0_240_after,pips_agg_0_240_after,open_released,high_released,low_released,close_released,high_0_5_after,low_0_5_after,close_0_5_after,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,high_5_10_after,low_5_10_after,close_5_10_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,high_10_15_after,low_10_15_after,close_10_15_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,high_15_20_after,low_15_20_after,close_15_20_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,high_20_25_after,low_20_25_after,close_20_25_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,high_25_30_after,low_25_30_after,close_25_30_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,previous_value,previous_error_diff,total_error_diff,forecast_error_diff_outlier_class,forecast_error_diff_deviation,previous_error_diff_outlier_class,previous_error_diff_deviation,total_error_diff_outlier_class,total_error_diff_deviation
2007-11-07 20:00:00+00:00,3.7B,USD,2007-11-07 15:00:00,10.0B,worse,Low,Consumer Credit m/m,15.4B,better,45,-6.3,2007,4,11,2,17,-6,45,-13,51,-43,51,-27,51,-28,51,-41,56,-40,56,-42,56,-45,14670,14672,14665,14667,14669,14658,14660,11,-7,-6,14664,14655,14660,9,-7,0,14666,14658,14662,8,-5,1,14662,14649,14653,13,-14,-8,14656,14651,14654,5,-13,1,14655,14624,14635,31,-32,-18,12.2B,3.2,-3.0999999999999996,1,-1.31,1,2.56,1,-0.53
2007-12-07 20:00:00+00:00,4.7B,USD,2007-12-07 15:00:00,6.0B,worse,Low,Consumer Credit m/m,3.2B,worse,49,-1.3,2007,4,12,4,10,-2,10,1,12,0,12,2,13,2,13,1,13,1,13,1,13,1,14653,14656,14650,14653,14656,14648,14654,8,1,2,14654,14649,14651,5,-2,-1,14656,14651,14654,5,1,2,14658,14651,14654,7,1,0,14657,14652,14654,5,1,2,14658,14652,14654,6,1,1,3.7B,-0.5,-1.8,0,-0.23,1,-0.27,0,-0.3
2008-01-08 20:00:00+00:00,15.4B,USD,2008-01-08 15:00:00,7.5B,better,Low,Consumer Credit m/m,2.0B,worse,2,7.9,2008,1,1,1,16,-2,11,-1,12,5,15,-5,15,-2,15,-1,15,1,17,-1,17,-2,14710,14713,14705,14707,14710,14704,14708,6,1,1,14712,14705,14708,7,1,1,14710,14704,14708,6,1,0,14711,14703,14706,8,-1,-2,14709,14702,14706,7,-1,-1,14713,14703,14709,10,2,3,4.7B,-2.7,5.2,1,1.53,1,-1.44,0,0.87
2008-02-07 20:00:00+00:00,4.5B,USD,2008-02-07 15:00:00,7.2B,worse,Low,Consumer Credit m/m,17.1B,better,6,-2.7,2008,1,2,3,46,-18,19,3,23,15,35,22,35,23,43,35,44,36,44,25,44,18,14463,14465,14456,14458,14460,14453,14457,7,-1,0,14461,14454,14458,7,0,2,14459,14453,14458,6,0,0,14463,14456,14461,7,3,3,14467,14458,14458,9,0,-2,14472,14458,14469,14,11,9,15.4B,1.7,-1.0000000000000002,1,-0.51,0,0.7,0,-0.25
2008-03-07 20:00:00+00:00,6.9B,USD,2008-03-07 15:00:00,7.0B,accurate,Low,Consumer Credit m/m,3.7B,worse,10,-0.1,2008,1,3,4,26,8,11,1,11,-1,16,3,20,10,20,9,20,9,20,9,20,9,15346,15351,15344,15346,15349,15342,15346,7,0,1,15348,15342,15347,6,1,2,15350,15343,15345,7,-1,-1,15348,15341,15343,7,-3,-4,15351,15340,15346,11,0,2,15347,15343,15344,4,-2,-2,4.5B,-0.8,-0.9,0,-0.02,1,-0.34,0,-0.24
2008-04-07 19:00:00+00:00,5.2B,USD,2008-04-07 15:00:00,5.5B,worse,Low,Consumer Credit m/m,10.3B,better,15,-0.3,2008,2,4,0,19,13,12,-5,12,-6,12,-3,19,-1,24,-12,24,4,24,-4,24,-6,15703,15710,15703,15708,15711,15701,15703,10,-5,-6,15706,15701,15705,5,-3,2,15707,15699,15704,8,-4,-1,15708,15702,15705,6,-3,2,15706,15701,15704,5,-4,-1,15706,15701,15702,5,-6,-2,6.9B,3.4,3.1,0,-0.06,1,1.48,0,0.97
2008-05-07 19:00:00+00:00,15.3B,USD,2008-05-07 15:00:00,6.3B,better,Low,Consumer Credit m/m,6.5B,better,19,9.0,2008,2,5,2,17,7,10,-1,14,7,28,-8,28,-5,28,-8,28,-5,28,1,30,-13,15399,15404,15396,15397,15405,15396,15399,9,2,1,15404,15398,15399,6,2,0,15403,15397,15401,6,4,1,15403,15398,15400,5,3,0,15402,15395,15397,7,0,-3,15402,15395,15399,7,2,2,5.2B,1.3,10.3,1,2.17,0,0.55,1,3.37
2008-06-06 19:00:00+00:00,8.9B,USD,2008-06-06 15:00:00,7.3B,better,Low,Consumer Credit m/m,13.1B,worse,23,1.6,2008,2,6,4,27,17,21,-5,24,2,25,1,27,8,27,10,27,10,27,10,27,10,15768,15771,15758,15766,15768,15757,15762,11,-4,-3,15768,15760,15762,8,-4,-1,15764,15755,15759,9,-7,-4,15762,15751,15756,11,-10,-3,15762,15753,15760,9,-6,2,15772,15756,15770,16,4,10,15.3B,-2.2,-0.6000000000000001,0,0.3,1,-0.93,0,-0.13
2008-07-08 19:00:00+00:00,7.8B,USD,2008-07-08 15:00:00,7.5B,better,Low,Consumer Credit m/m,7.8B,worse,28,0.3,2008,3,7,1,20,-12,11,-3,15,-4,17,1,26,12,26,10,26,11,26,7,26,9,15660,15665,15651,15655,15657,15649,15651,8,-4,-3,15657,15649,15653,8,-2,3,15656,15647,15652,9,-3,-2,15655,15648,15652,7,-3,0,15653,15646,15650,7,-5,-2,15656,15648,15654,8,-1,3,8.9B,-1.1,-0.8,0,0.07,1,-0.5,0,-0.16
2008-08-07 19:00:00+00:00,14.3B,USD,2008-08-07 15:00:00,6.6B,better,Low,Consumer Credit m/m,8.1B,better,32,7.7,2008,3,8,3,19,0,11,2,20,1,31,-10,31,-4,31,-4,31,-3,31,1,31,5,15323,15326,15318,15322,15332,15322,15328,10,6,4,15333,15323,15330,10,8,2,15331,15324,15329,7,7,0,15331,15324,15329,7,7,0,15330,15322,15326,8,4,0,15331,15322,15328,9,6,2,7.8B,0.3,8.0,1,1.96,0,0.13,1,1.66
2008-09-08 19:00:00+00:00,4.6B,USD,2008-09-08 15:00:00,8.6B,worse,Low,Consumer Credit m/m,11.0B,worse,37,-4.0,2008,3,9,0,45,29,20,6,46,38,60,44,60,26,60,17,60,13,60,12,60,26,14099,14106,14094,14105,14115,14103,14114,12,9,9,14116,14108,14109,8,4,-4,14116,14101,14115,15,10,3,14119,14110,14113,9,8,-3,14116,14108,14111,8,6,-2,14121,14110,14120,11,15,9,14.3B,-3.3,-7.3,1,-0.92,1,-1.52,1,-1.45
2008-10-07 19:00:00+00:00,-7.9B,USD,2008-10-07 15:00:00,5.6B,worse,Low,Consumer Credit m/m,5.2B,better,41,-13.5,2008,4,10,1,78,53,26,-21,31,-21,48,-41,60,-53,65,-50,65,-16,65,-24,65,-64,13648,13648,13639,13643,13643,13622,13632,21,-11,-11,13633,13624,13628,9,-15,-4,13633,13627,13630,6,-13,2,13631,13620,13625,11,-18,-5,13627,13619,13622,8,-21,-3,13626,13617,13617,9,-26,-5,4.6B,0.6,-12.9,1,-2.5,0,0.32,1,-1.8
2008-11-07 20:00:00+00:00,6.9B,USD,2008-11-07 15:00:00,-0.3B,better,Low,Consumer Credit m/m,-6.3B,better,45,7.2,2008,4,11,4,45,9,25,2,34,14,36,-13,52,-30,52,-30,52,-30,52,-30,52,-30,12761,12764,12746,12747,12756,12743,12743,13,-4,-3,12755,12732,12751,23,4,8,12757,12746,12752,11,5,1,12753,12749,12750,4,3,-1,12752,12742,12748,10,1,-2,12750,12741,12741,9,-6,-7,-7.9B,1.6,8.8,1,0.91,1,0.97,1,1.12
2008-12-05 20:00:00+00:00,-3.5B,USD,2008-12-05 15:00:00,2.0B,worse,Low,Consumer Credit m/m,6.7B,accurate,49,-5.5,2008,4,12,4,78,48,37,10,52,22,64,41,64,44,64,30,64,30,64,30,64,30,12696,12706,12690,12690,12700,12675,12678,25,-12,-12,12699,12678,12690,21,0,12,12700,12689,12696,11,6,6,12712,12696,12706,16,16,10,12705,12694,12700,11,10,-5,12709,12698,12705,11,15,5,6.9B,-0.2,-5.7,1,-0.63,0,-0.11,1,-0.6
2009-01-08 20:00:00+00:00,-7.9B,USD,2009-01-08 15:00:00,0.0B,worse,Low,Consumer Credit m/m,-2.8B,better,2,-7.9,2009,1,1,3,48,33,29,-12,43,-4,47,-5,47,-21,49,-9,49,-20,49,-29,49,-28,13729,13739,13723,13723,13725,13714,13725,11,2,1,13731,13722,13723,9,0,-2,13723,13716,13717,7,-6,-6,13717,13702,13704,15,-19,-12,13717,13702,13712,15,-11,8,13716,13706,13707,10,-16,-5,-3.5B,0.7,-7.2,1,-0.87,0,0.38,1,-0.74
2009-02-06 20:00:00+00:00,-6.6B,USD,2009-02-06 15:00:00,-4.2B,worse,Low,Consumer Credit m/m,-11.0B,worse,6,-2.4,2009,1,2,4,41,-30,29,-13,29,-12,29,-2,32,-4,32,-5,32,-5,32,-5,32,-5,12947,12949,12937,12943,12946,12932,12932,14,-11,-11,12933,12917,12923,16,-20,-9,12929,12919,12927,10,-16,5,12929,12924,12925,5,-18,-2,12932,12918,12930,14,-13,5,12933,12920,12932,13,-11,2,-7.9B,-3.1,-5.5,0,-0.32,1,-1.64,1,-0.68
2009-03-06 20:00:00+00:00,1.8B,USD,2009-03-06 15:00:00,-4.2B,better,Low,Consumer Credit m/m,-7.5B,worse,10,6.0,2009,1,3,4,27,-8,65,-44,65,-23,65,-18,65,-15,65,-13,65,-13,65,-13,65,-13,12662,12666,12659,12662,12666,12659,12663,7,1,1,12664,12657,12658,7,-4,-5,12661,12653,12653,8,-9,-5,12659,12653,12656,6,-6,1,12657,12612,12619,45,-43,-37,12619,12601,12602,18,-60,-16,-6.6B,-0.9,5.1,0,0.78,0,-0.5,0,0.64
2009-04-07 19:00:00+00:00,-7.5B,USD,2009-04-07 15:00:00,-2.2B,worse,Low,Consumer Credit m/m,8.1B,better,15,-5.3,2009,2,4,1,16,-2,41,27,41,16,41,9,41,15,41,15,41,10,41,14,41,17,13254,13257,13252,13254,13261,13254,13257,7,3,3,13269,13257,13268,12,14,11,13282,13268,13280,14,26,12,13292,13279,13290,13,36,10,13295,13279,13280,16,26,-10,13281,13273,13273,8,19,-8,1.8B,6.3,1.0,1,-0.78,2,3.52,0,0.14
2009-05-07 19:00:00+00:00,-11.1B,USD,2009-05-07 15:00:00,-4.2B,worse,Low,Consumer Credit m/m,-8.1B,worse,19,-6.9,2009,2,5,3,40,15,17,8,20,12,26,14,26,13,38,25,38,20,38,11,38,23,13378,13384,13371,13372,13380,13371,13378,9,6,6,13378,13370,13371,8,-1,-7,13374,13367,13372,7,0,1,13378,13372,13377,6,5,5,13384,13375,13381,9,9,4,13383,13377,13378,6,6,-2,-7.5B,-0.6,-7.5,1,-1.28,0,-0.41,1,-1.42
2009-06-05 19:00:00+00:00,-15.7B,USD,2009-06-05 15:00:00,-6.0B,worse,Low,Consumer Credit m/m,-16.6B,worse,23,-9.7,2009,2,6,4,41,-12,15,3,15,-2,16,3,18,6,18,3,18,3,18,3,18,3,13964,13965,13959,13962,13969,13961,13966,8,4,4,13968,13962,13964,6,2,-1,13968,13960,13960,8,-2,-5,13970,13956,13970,14,8,10,13971,13963,13965,8,3,-5,13966,13963,13965,3,3,0,-11.1B,-5.5,-15.2,1,-1.73,2,-3.83,2,-2.71
2009-07-08 19:00:00+00:00,-3.2B,USD,2009-07-08 15:00:00,-9.8B,better,Low,Consumer Credit m/m,-16.5B,worse,28,6.6,2009,3,7,2,28,4,22,6,40,23,40,29,49,33,49,26,49,21,49,33,49,26,13847,13853,13846,13850,13857,13845,13855,12,5,5,13864,13851,13861,13,11,9,13863,13856,13861,7,11,3,13867,13857,13862,10,12,0,13863,13852,13855,11,5,-7,13856,13850,13851,6,1,-5,-15.7B,-0.8,5.8,1,1.1,0,-0.63,1,1.13
2009-08-07 19:00:00+00:00,-10.3B,USD,2009-08-07 15:00:00,-4.0B,worse,Low,Consumer Credit m/m,-5.4B,worse,32,-6.3,2009,3,8,4,18,-6,13,5,18,-2,21,-4,23,6,23,11,23,11,23,11,23,11,14165,14171,14162,14169,14171,14164,14170,7,1,1,14175,14167,14167,8,-2,-3,14176,14166,14174,10,5,7,14177,14169,14172,8,3,-4,14177,14169,14176,8,7,3,14176,14169,14175,7,6,1,-3.2B,-2.2,-8.5,1,-0.83,1,-5.07,1,-1.6
2009-09-08 19:00:00+00:00,-21.6B,USD,2009-09-08 15:00:00,-3.8B,worse,Low,Consumer Credit m/m,-15.5B,worse,37,-17.8,2009,3,9,1,35,-19,26,15,28,11,28,1,35,-8,37,-8,37,2,37,-1,37,13,14493,14494,14485,14488,14489,14481,14485,8,-3,-3,14493,14484,14489,9,1,2,14493,14487,14491,6,3,0,14502,14491,14498,11,10,6,14502,14493,14502,9,14,4,14507,14501,14505,6,17,2,-10.3B,-5.2,-23.0,1,-2.82,2,-5.77,2,-3.77
2009-10-07 19:00:00+00:00,-12.0B,USD,2009-10-07 15:00:00,-9.9B,worse,Low,Consumer Credit m/m,-19.0B,better,41,-2.1,2009,4,10,2,28,0,16,2,23,6,23,6,30,22,30,17,30,14,30,15,30,17,14669,14676,14666,14669,14671,14663,14666,8,-3,-3,14669,14663,14668,6,-1,3,14674,14666,14673,8,4,6,14677,14669,14675,8,6,3,14679,14671,14672,8,3,-2,14679,14670,14677,9,8,6,-21.6B,2.6,0.5,0,-0.24,1,2.89,0,0.08
2009-11-06 20:00:00+00:00,-14.8B,USD,2009-11-06 15:00:00,-9.9B,worse,Low,Consumer Credit m/m,-9.9B,better,45,-4.9,2009,4,11,4,15,-3,12,3,16,9,21,13,21,11,21,11,21,11,21,11,21,11,14838,14841,14832,14835,14835,14830,14834,5,-1,0,14837,14831,14833,6,-2,-1,14842,14831,14837,11,2,5,14838,14832,14836,6,1,-1,14840,14833,14837,7,2,0,14840,14833,14838,7,3,1,-12.0B,2.1,-2.8000000000000003,1,-0.54,1,1.2,0,-0.54
2009-12-07 20:00:00+00:00,-3.5B,USD,2009-12-07 15:00:00,-9.6B,better,Low,Consumer Credit m/m,-8.8B,better,50,6.1,2009,4,12,0,51,-38,19,-9,24,-11,24,-4,24,1,26,5,28,0,31,10,42,18,14819,14823,14817,14820,14823,14813,14819,10,-1,-2,14824,14814,14823,10,3,4,14827,14818,14819,9,-1,-3,14824,14816,14818,8,-2,-1,14821,14811,14814,10,-6,-4,14815,14808,14810,7,-10,-2,-14.8B,6.0,12.1,0,0.69,2,2.99,1,2.3
2010-01-08 20:00:00+00:00,-17.5B,USD,2010-01-08 15:00:00,-4.9B,worse,Low,Consumer Credit m/m,-4.2B,worse,2,-12.6,2010,1,1,4,20,-5,16,3,16,1,16,1,20,-8,20,-5,20,-5,20,-5,20,-5,14414,14417,14405,14413,14414,14405,14412,9,-1,-1,14415,14408,14413,7,0,1,14414,14405,14408,9,-5,-5,14414,14406,14412,8,-1,2,14421,14411,14416,10,3,4,14418,14412,14414,6,1,-2,-3.5B,-0.7,-13.299999999999999,1,-1.46,0,-0.36,1,-1.77
2010-02-05 20:00:00+00:00,-1.7B,USD,2010-02-05 15:00:00,-9.2B,better,Low,Consumer Credit m/m,-21.8B,worse,6,7.5,2010,1,2,4,40,27,36,20,40,27,43,33,53,45,53,45,53,45,53,45,53,45,13634,13636,13630,13631,13639,13626,13626,13,-5,-5,13649,13625,13647,24,16,19,13654,13639,13649,15,18,1,13657,13642,13652,15,21,-1,13661,13650,13651,11,20,-1,13654,13643,13646,11,15,-5,-17.5B,-4.3,3.2,1,0.81,1,-2.96,0,0.35
2010-03-05 20:00:00+00:00,5.0B,USD,2010-03-05 15:00:00,-4.2B,better,Low,Consumer Credit m/m,-4.6B,worse,10,9.2,2010,1,3,4,23,12,10,1,11,-1,12,-1,12,1,12,2,12,2,12,2,12,2,13621,13623,13615,13621,13626,13619,13623,7,2,3,13625,13619,13620,6,-1,-4,13623,13616,13620,7,-1,1,13624,13618,13621,6,0,0,13625,13616,13622,9,1,-2,13624,13618,13621,6,0,0,-1.7B,-2.9,6.299999999999999,1,1.11,1,-1.06,1,0.68
2010-04-07 19:00:00+00:00,-11.5B,USD,2010-04-07 15:00:00,-0.1B,worse,Low,Consumer Credit m/m,10.6B,better,15,-11.4,2010,2,4,2,18,10,23,-15,31,-21,33,-22,38,-31,43,-32,44,-38,44,-33,44,-28,13374,13377,13366,13369,13374,13365,13369,9,0,-3,13371,13360,13363,11,-6,-7,13363,13353,13356,10,-13,-5,13357,13351,13355,6,-14,1,13359,13352,13356,7,-13,0,13359,13352,13355,7,-14,-2,5.0B,5.6,-5.800000000000001,1,-1.21,1,2.24,1,-0.6
2010-05-07 19:00:00+00:00,2.0B,USD,2010-05-07 15:00:00,-2.9B,better,Low,Consumer Credit m/m,-6.2B,better,19,4.9,2010,2,5,4,33,0,30,-22,31,-13,41,-1,52,13,52,16,52,16,52,16,52,16,12735,12738,12730,12731,12734,12724,12728,10,-3,-4,12732,12717,12719,15,-12,-9,12721,12712,12716,9,-15,-1,12723,12708,12718,15,-13,2,12718,12708,12711,10,-20,-6,12714,12704,12709,10,-22,-1,-11.5B,5.3,10.2,0,0.45,1,1.4,1,1.01
2010-06-07 19:00:00+00:00,1.0B,USD,2010-06-07 15:00:00,1.1B,accurate,Low,Consumer Credit m/m,-5.4B,worse,24,-0.1,2010,2,6,0,20,-5,21,-1,35,-19,38,-20,38,-16,38,-21,38,-19,38,-9,38,-15,11935,11938,11931,11935,11945,11932,11942,13,7,8,11947,11938,11944,9,9,4,11947,11937,11940,10,5,-4,11943,11931,11933,12,-2,-8,11935,11928,11932,7,-3,-1,11934,11926,11926,8,-9,-7,2.0B,-7.4,-7.5,0,-0.01,2,-1.6,1,-0.79
2010-07-08 19:00:00+00:00,-9.1B,USD,2010-07-08 15:00:00,-1.9B,worse,Low,Consumer Credit m/m,-14.9B,worse,28,-7.2,2010,3,7,3,19,5,12,1,30,12,44,24,44,19,44,13,44,16,44,12,44,12,12676,12679,12673,12678,12679,12671,12676,8,-2,-1,12677,12667,12671,10,-7,-5,12673,12667,12670,6,-8,-1,12678,12668,12674,10,-4,6,12679,12671,12678,8,0,4,12679,12673,12678,6,0,0,1.0B,-15.9,-23.1,1,-0.87,3,-3.48,2,-3.01
2010-08-06 19:00:00+00:00,-1.3B,USD,2010-08-06 15:00:00,-5.2B,better,Low,Consumer Credit m/m,-5.3B,better,32,3.9,2010,3,8,4,20,-4,14,5,23,12,29,19,29,4,29,0,29,0,29,0,29,0,13275,13280,13271,13275,13280,13270,13273,10,-2,-2,13279,13272,13278,7,3,6,13283,13274,13277,9,2,1,13284,13276,13283,8,8,5,13283,13277,13281,6,6,-2,13284,13277,13279,7,4,-1,-9.1B,3.8,7.699999999999999,0,0.46,1,1.02,1,1.01
2010-09-08 19:00:00+00:00,-3.6B,USD,2010-09-08 15:00:00,-4.2B,better,Low,Consumer Credit m/m,-1.0B,better,37,0.6,2010,3,9,2,22,-10,19,-6,26,-9,26,-4,26,-1,26,-2,26,2,26,1,26,6,12726,12728,12719,12721,12727,12718,12726,9,5,5,12731,12723,12730,8,9,7,12730,12723,12727,7,6,-1,12727,12716,12717,11,-4,-9,12719,12713,12715,6,-6,1,12719,12712,12715,7,-6,0,-1.3B,0.3,0.8999999999999999,0,0.08,0,0.11,0,0.11
2010-10-07 19:00:00+00:00,-3.3B,USD,2010-10-07 15:00:00,-2.9B,worse,Low,Consumer Credit m/m,-4.1B,worse,41,-0.4,2010,4,10,3,38,36,20,-11,25,-20,25,-11,25,-4,25,-3,25,-11,25,-8,25,-5,13915,13928,13911,13927,13930,13916,13920,14,-7,-9,13924,13917,13921,7,-6,1,13925,13917,13919,8,-8,-1,13925,13916,13918,9,-9,-3,13920,13914,13918,6,-9,0,13918,13910,13911,8,-16,-7,-3.6B,-0.5,-0.9,0,-0.08,0,-0.2,0,-0.13
