actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-7.3%,USD,2009-12-29 09:00:00,-7.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,-9.3%,accurate,52,2009-12-29 14:00:00+00:00,2.82,2009,4,12,Tuesday
52.9,USD,2009-12-29 10:00:00,53.0,accurate,High,CB Consumer Confidence,50.6,better,52,2009-12-29 15:00:00+00:00,0.19,2009,4,12,Tuesday
60.0,USD,2009-12-30 09:45:00,55.2,better,High,Chicago PMI,56.1,accurate,52,2009-12-30 14:45:00+00:00,-8.7,2009,4,12,Wednesday
-1.5M,USD,2009-12-30 10:30:00,-1.7M,accurate,Medium,Crude Oil Inventories,-4.9M,accurate,52,2009-12-30 15:30:00+00:00,-11.76,2009,4,12,Wednesday
432K,USD,2009-12-31 08:30:00,460K,better,High,Unemployment Claims,454K,accurate,52,2009-12-31 13:30:00+00:00,6.09,2009,4,12,Thursday
-124B,USD,2009-12-31 10:30:00,-143B,accurate,Low,Natural Gas Storage,-166B,accurate,52,2009-12-31 15:30:00+00:00,-13.29,2009,4,12,Thursday
2.2%,USD,2009-12-22 08:30:00,2.8%,worse,Medium,Final GDP q/q,2.8%,accurate,52,2009-12-22 13:30:00+00:00,21.43,2009,4,12,Tuesday
0.4%,USD,2009-12-22 08:30:00,0.5%,accurate,Low,Final GDP Price Index q/q,0.5%,accurate,52,2009-12-22 13:30:00+00:00,20.0,2009,4,12,Tuesday
-4,USD,2009-12-22 09:59:00,4,worse,Low,Richmond Manufacturing Index,1,accurate,52,2009-12-22 15:00:00+00:00,200.0,2009,4,12,Tuesday
6.54M,USD,2009-12-22 10:00:00,6.29M,better,High,Existing Home Sales,6.09M,accurate,52,2009-12-22 15:00:00+00:00,-3.97,2009,4,12,Tuesday
0.6%,USD,2009-12-22 10:02:00,0.2%,better,Low,HPI m/m,-0.4%,worse,52,2009-12-22 15:00:00+00:00,-200.0,2009,4,12,Tuesday
0.0%,USD,2009-12-23 08:30:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,52,2009-12-23 13:30:00+00:00,100.0,2009,4,12,Wednesday
0.5%,USD,2009-12-23 08:30:00,0.6%,worse,Medium,Personal Spending m/m,0.6%,worse,52,2009-12-23 13:30:00+00:00,16.67,2009,4,12,Wednesday
0.4%,USD,2009-12-23 08:30:00,0.4%,accurate,Low,Personal Income m/m,0.3%,better,52,2009-12-23 13:30:00+00:00,0.0,2009,4,12,Wednesday
72.5,USD,2009-12-23 09:55:00,74.0,worse,Medium,Revised UoM Consumer Sentiment,73.4,accurate,52,2009-12-23 14:55:00+00:00,2.03,2009,4,12,Wednesday
355K,USD,2009-12-23 10:00:00,442K,worse,High,New Home Sales,400K,worse,52,2009-12-23 15:00:00+00:00,19.68,2009,4,12,Wednesday
-4.9M,USD,2009-12-23 10:30:00,-1.5M,accurate,Medium,Crude Oil Inventories,-3.7M,accurate,52,2009-12-23 15:30:00+00:00,226.67,2009,4,12,Wednesday
2.0%,USD,2009-12-24 08:30:00,1.1%,better,High,Core Durable Goods Orders m/m,-0.7%,better,52,2009-12-24 13:30:00+00:00,-81.82,2009,4,12,Thursday
452K,USD,2009-12-24 08:30:00,471K,better,High,Unemployment Claims,480K,accurate,52,2009-12-24 13:30:00+00:00,4.03,2009,4,12,Thursday
0.2%,USD,2009-12-24 08:30:00,0.6%,worse,Medium,Durable Goods Orders m/m,-0.6%,accurate,52,2009-12-24 13:30:00+00:00,66.67,2009,4,12,Thursday
-166B,USD,2009-12-24 10:30:00,-171B,accurate,Low,Natural Gas Storage,-207B,accurate,52,2009-12-24 15:30:00+00:00,-2.92,2009,4,12,Thursday
1.8%,USD,2009-12-15 08:30:00,0.8%,better,High,PPI m/m,0.3%,accurate,51,2009-12-15 13:30:00+00:00,-125.0,2009,4,12,Tuesday
0.5%,USD,2009-12-15 08:30:00,0.3%,better,Medium,Core PPI m/m,-0.6%,accurate,51,2009-12-15 13:30:00+00:00,-66.67,2009,4,12,Tuesday
2.6,USD,2009-12-15 08:30:00,24.7,worse,Medium,Empire State Manufacturing Index,23.5,accurate,51,2009-12-15 13:30:00+00:00,89.47,2009,4,12,Tuesday
20.7B,USD,2009-12-15 09:00:00,38.3B,worse,High,TIC Long-Term Purchases,40.7B,accurate,51,2009-12-15 14:00:00+00:00,45.95,2009,4,12,Tuesday
71.3%,USD,2009-12-15 09:15:00,71.1%,better,Medium,Capacity Utilization Rate,70.6%,accurate,51,2009-12-15 14:15:00+00:00,-0.28,2009,4,12,Tuesday
0.8%,USD,2009-12-15 09:15:00,0.6%,better,Medium,Industrial Production m/m,0.0%,worse,51,2009-12-15 14:15:00+00:00,-33.33,2009,4,12,Tuesday
16,USD,2009-12-15 13:00:00,18,worse,Low,NAHB Housing Market Index,17,accurate,51,2009-12-15 18:00:00+00:00,11.11,2009,4,12,Tuesday
0.58M,USD,2009-12-16 08:30:00,0.58M,accurate,High,Building Permits,0.55M,accurate,51,2009-12-16 13:30:00+00:00,0.0,2009,4,12,Wednesday
0.0%,USD,2009-12-16 08:30:00,0.1%,worse,High,Core CPI m/m,0.2%,accurate,51,2009-12-16 13:30:00+00:00,100.0,2009,4,12,Wednesday
0.4%,USD,2009-12-16 08:30:00,0.4%,accurate,Medium,CPI m/m,0.3%,accurate,51,2009-12-16 13:30:00+00:00,0.0,2009,4,12,Wednesday
-108B,USD,2009-12-16 08:30:00,-107B,accurate,Medium,Current Account,-98B,accurate,51,2009-12-16 13:30:00+00:00,0.93,2009,4,12,Wednesday
0.57M,USD,2009-12-16 08:30:00,0.59M,accurate,Medium,Housing Starts,0.53M,accurate,51,2009-12-16 13:30:00+00:00,3.39,2009,4,12,Wednesday
