actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
-124B,USD,2008-12-18 10:35:00,-112B,accurate,Low,Natural Gas Storage,-67B,accurate,51,2008-12-18 15:35:00+00:00,10.71,2008,4,12,Thursday
-0.7%,USD,2008-12-09 10:00:00,-3.2%,better,High,Pending Home Sales m/m,-4.3%,better,50,2008-12-09 15:00:00+00:00,-78.12,2008,4,12,Tuesday
45.0,USD,2008-12-09 10:00:00,45.0,accurate,Low,IBD/TIPP Economic Optimism,50.8,accurate,50,2008-12-09 15:00:00+00:00,0.0,2008,4,12,Tuesday
-1.1%,USD,2008-12-10 10:00:00,-0.2%,better,Low,Final Wholesale Inventories m/m,-0.4%,better,50,2008-12-10 15:00:00+00:00,450.0,2008,4,12,Wednesday
0.4M,USD,2008-12-10 10:35:00,1.0M,accurate,Medium,Crude Oil Inventories,-0.4M,accurate,50,2008-12-10 15:35:00+00:00,60.0,2008,4,12,Wednesday
-164.4B,USD,2008-12-10 14:00:00,-176.0B,better,Medium,Federal Budget Balance,-237.2B,accurate,50,2008-12-10 19:00:00+00:00,-6.59,2008,4,12,Wednesday
-57.2B,USD,2008-12-11 08:30:00,-53.5B,worse,High,Trade Balance,-56.6B,accurate,50,2008-12-11 13:30:00+00:00,6.92,2008,4,12,Thursday
573K,USD,2008-12-11 08:30:00,530K,worse,High,Unemployment Claims,515K,worse,50,2008-12-11 13:30:00+00:00,-8.11,2008,4,12,Thursday
-6.7%,USD,2008-12-11 08:30:00,-4.9%,worse,Medium,Import Prices m/m,-5.4%,worse,50,2008-12-11 13:30:00+00:00,36.73,2008,4,12,Thursday
-67B,USD,2008-12-11 10:35:00,-83B,accurate,Low,Natural Gas Storage,-64B,accurate,50,2008-12-11 15:35:00+00:00,-19.28,2008,4,12,Thursday
-1.6%,USD,2008-12-12 08:30:00,-1.8%,better,High,Core Retail Sales m/m,-2.4%,worse,50,2008-12-12 13:30:00+00:00,-11.11,2008,4,12,Friday
-2.2%,USD,2008-12-12 08:30:00,-2.0%,worse,High,PPI m/m,-2.8%,accurate,50,2008-12-12 13:30:00+00:00,10.0,2008,4,12,Friday
-1.8%,USD,2008-12-12 08:30:00,-1.9%,better,High,Retail Sales m/m,-2.9%,worse,50,2008-12-12 13:30:00+00:00,-5.26,2008,4,12,Friday
0.1%,USD,2008-12-12 08:30:00,0.1%,accurate,Medium,Core PPI m/m,0.4%,accurate,50,2008-12-12 13:30:00+00:00,0.0,2008,4,12,Friday
59.1,USD,2008-12-12 09:55:00,54.8,better,High,Prelim UoM Consumer Sentiment,55.3,worse,50,2008-12-12 14:55:00+00:00,-7.85,2008,4,12,Friday
