actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name,open_released,high_released,low_released,close_released,high_5,low_5,close_5,volatility_5,direction_5,pips_agg_5,pips_candle_5,high_10,low_10,close_10,volatility_10,direction_10,pips_agg_10,pips_candle_10,high_15,low_15,close_15,volatility_15,direction_15,pips_agg_15,pips_candle_15,high_30,low_30,close_30,volatility_30,direction_30,pips_agg_30,pips_candle_30,high_60,low_60,close_60,volatility_60,direction_60,pips_agg_60,pips_candle_60,high_90,low_90,close_90,volatility_90,direction_90,pips_agg_90,pips_candle_90,high_120,low_120,close_120,volatility_120,direction_120,pips_agg_120,pips_candle_120,high_180,low_180,close_180,volatility_180,direction_180,pips_agg_180,pips_candle_180,high_240,low_240,close_240,volatility_240,direction_240,pips_agg_240,pips_candle_240
54.3,USD,2017-01-03 09:45:00,54.2,accurate,Low,Final Manufacturing PMI,54.2,accurate,1,2017-01-03 14:45:00+00:00,-0.18,2017,1,1,Tuesday,10395,10398,10394,10398,10402,10396,10402,6,up,4,4,10408,10402,10404,6,up,6,2,10404,10389,10389,15,down,9,15,10362,10340,10345,22,down,53,17,10368,10363,10367,5,up,31,2,10398,10386,10395,12,up,3,8,10434,10418,10428,16,up,30,10,10427,10418,10426,9,down,28,8,10426,10418,10419,8,down,21,7
54.7,USD,2017-01-03 10:00:00,53.7,better,High,ISM Manufacturing PMI,53.2,accurate,1,2017-01-03 15:00:00+00:00,-1.86,2017,1,1,Tuesday,10404,10404,10389,10389,10390,10360,10360,30,down,29,29,10369,10356,10362,13,up,27,2,10362,10340,10345,22,down,44,17,10366,10354,10363,12,up,26,8,10386,10375,10384,11,up,5,7,10423,10409,10416,14,up,27,7,10418,10413,10415,5,down,26,1,10428,10424,10427,4,up,38,0,10417,10413,10415,4,down,26,2
0.9%,USD,2017-01-03 10:00:00,0.5%,better,Low,Construction Spending m/m,0.6%,accurate,1,2017-01-03 15:00:00+00:00,-80.0,2017,1,1,Tuesday,10404,10404,10389,10389,10390,10360,10360,30,down,29,29,10369,10356,10362,13,up,27,2,10362,10340,10345,22,down,44,17,10366,10354,10363,12,up,26,8,10386,10375,10384,11,up,5,7,10423,10409,10416,14,up,27,7,10418,10413,10415,5,down,26,1,10428,10424,10427,4,up,38,0,10417,10413,10415,4,down,26,2
65.5,USD,2017-01-03 10:00:00,55.6,better,Low,ISM Manufacturing Prices,54.5,accurate,1,2017-01-03 15:00:00+00:00,-17.81,2017,1,1,Tuesday,10404,10404,10389,10389,10390,10360,10360,30,down,29,29,10369,10356,10362,13,up,27,2,10362,10340,10345,22,down,44,17,10366,10354,10363,12,up,26,8,10386,10375,10384,11,up,5,7,10423,10409,10416,14,up,27,7,10418,10413,10415,5,down,26,1,10428,10424,10427,4,up,38,0,10417,10413,10415,4,down,26,2
18.4M,USD,2017-01-04 00:00:00,17.8M,better,Low,Total Vehicle Sales,17.9M,accurate,1,2017-01-04 05:00:00+00:00,-3.37,2017,1,1,Wednesday,10406,10406,10402,10402,10404,10402,10403,2,up,1,1,10404,10402,10404,2,up,2,1,10405,10404,10405,1,up,3,1,10406,10404,10405,2,down,3,1,10409,10406,10407,3,up,5,1,10410,10407,10409,3,up,7,1,10410,10406,10406,4,down,4,4,10418,10412,10417,6,up,15,1,10434,10425,10434,9,up,32,9
153K,USD,2017-01-05 08:15:00,171K,worse,High,ADP Non-Farm Employment Change,215K,accurate,1,2017-01-05 13:15:00+00:00,10.53,2017,1,1,Thursday,10496,10503,10495,10501,10514,10499,10510,15,up,9,8,10523,10504,10518,19,up,17,8,10521,10514,10518,7,down,17,1,10541,10530,10541,11,up,40,8,10541,10530,10537,11,down,36,7,10547,10536,10545,11,up,44,8,10561,10553,10554,8,up,53,1,10615,10604,10608,11,up,107,1,10601,10597,10600,4,down,99,1
235K,USD,2017-01-05 08:30:00,262K,better,High,Unemployment Claims,263K,accurate,1,2017-01-05 13:30:00+00:00,10.31,2017,1,1,Thursday,10519,10521,10514,10518,10532,10509,10529,23,up,11,10,10534,10522,10533,12,up,15,4,10541,10530,10541,11,up,23,8,10533,10523,10531,10,down,13,1,10546,10536,10537,10,up,19,8,10549,10539,10545,10,up,27,3,10582,10546,10568,36,up,50,19,10592,10586,10589,6,up,71,0,10600,10596,10600,4,up,82,2
53.9,USD,2017-01-05 09:45:00,53.4,better,Low,Final Services PMI,53.4,accurate,1,2017-01-05 14:45:00+00:00,-0.94,2017,1,1,Thursday,10537,10547,10536,10545,10546,10539,10540,7,down,5,5,10551,10539,10548,12,up,3,8,10549,10539,10545,10,down,0,3,10561,10553,10554,8,up,9,1,10592,10576,10591,16,up,46,12,10615,10604,10608,11,up,63,1,10612,10600,10609,12,up,64,8,10600,10595,10596,5,down,51,4,10598,10593,10598,5,up,53,3
57.2,USD,2017-01-05 10:00:00,56.6,better,High,ISM Non-Manufacturing PMI,57.2,accurate,1,2017-01-05 15:00:00+00:00,-1.06,2017,1,1,Thursday,10548,10549,10539,10545,10555,10536,10552,19,up,7,7,10557,10545,10554,12,up,9,2,10561,10553,10554,8,down,9,1,10582,10546,10568,36,up,23,19,10607,10589,10602,18,up,57,0,10592,10586,10589,6,down,44,0,10608,10596,10599,12,up,54,1,10600,10592,10598,8,down,53,2,10602,10599,10600,3,up,55,0
-49B,USD,2017-01-05 10:30:00,-97B,accurate,Low,Natural Gas Storage,-237B,accurate,1,2017-01-05 15:30:00+00:00,-49.48,2017,1,1,Thursday,10549,10582,10546,10568,10572,10563,10568,9,down,0,0,10581,10564,10578,17,up,10,10,10592,10576,10591,16,up,23,12,10607,10589,10602,18,up,34,0,10592,10586,10589,6,down,21,0,10608,10596,10599,12,up,31,1,10600,10596,10600,4,up,32,2,10600,10595,10595,5,down,27,5,10600,10592,10600,8,up,32,7
