actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
15,USD,2018-10-23 10:00:00,25,worse,Low,Richmond Manufacturing Index,29,accurate,43,2018-10-23 14:00:00+00:00,40.0,2018,4,10,Tuesday
0.3%,USD,2018-10-24 09:00:00,0.3%,accurate,Low,HPI m/m,0.4%,better,43,2018-10-24 13:00:00+00:00,0.0,2018,4,10,Wednesday
55.9,USD,2018-10-24 09:45:00,55.4,better,Low,Flash Manufacturing PMI,55.6,accurate,43,2018-10-24 13:45:00+00:00,-0.9,2018,4,10,Wednesday
54.7,USD,2018-10-24 09:45:00,54.1,better,Low,Flash Services PMI,53.5,better,43,2018-10-24 13:45:00+00:00,-1.11,2018,4,10,Wednesday
553K,USD,2018-10-24 10:00:00,627K,worse,Low,New Home Sales,585K,worse,43,2018-10-24 14:00:00+00:00,11.8,2018,4,10,Wednesday
6.3M,USD,2018-10-24 10:30:00,3.6M,accurate,Medium,Crude Oil Inventories,6.5M,accurate,43,2018-10-24 14:30:00+00:00,-75.0,2018,4,10,Wednesday
0.1%,USD,2018-10-25 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,0.0%,accurate,43,2018-10-25 12:30:00+00:00,80.0,2018,4,10,Thursday
0.8%,USD,2018-10-25 08:30:00,-1.3%,better,Medium,Durable Goods Orders m/m,4.4%,accurate,43,2018-10-25 12:30:00+00:00,-161.54,2018,4,10,Thursday
-76.0B,USD,2018-10-25 08:30:00,-74.9B,worse,Low,Goods Trade Balance,-75.5B,accurate,43,2018-10-25 12:30:00+00:00,1.47,2018,4,10,Thursday
0.3%,USD,2018-10-25 08:30:00,0.5%,better,Low,Prelim Wholesale Inventories m/m,1.0%,worse,43,2018-10-25 12:30:00+00:00,40.0,2018,4,10,Thursday
215K,USD,2018-10-25 08:30:00,214K,accurate,Low,Unemployment Claims,210K,accurate,43,2018-10-25 12:30:00+00:00,-0.47,2018,4,10,Thursday
0.5%,USD,2018-10-25 10:00:00,-0.1%,better,Low,Pending Home Sales m/m,-1.9%,accurate,43,2018-10-25 14:00:00+00:00,-600.0,2018,4,10,Thursday
58B,USD,2018-10-25 10:30:00,47B,accurate,Low,Natural Gas Storage,81B,accurate,43,2018-10-25 14:30:00+00:00,-23.4,2018,4,10,Thursday
