actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week,datetime_gmt,prediction_error,year,quarter,month,day_name
4.5%,USD,2014-12-30 09:00:00,4.4%,accurate,Low,S&P/CS Composite-20 HPI y/y,4.8%,accurate,52,2014-12-30 14:00:00+00:00,-2.27,2014,4,12,Tuesday
92.6,USD,2014-12-30 10:00:00,94.6,worse,High,CB Consumer Confidence,91.0,better,52,2014-12-30 15:00:00+00:00,2.11,2014,4,12,Tuesday
298K,USD,2014-12-31 08:30:00,287K,worse,High,Unemployment Claims,281K,accurate,52,2014-12-31 13:30:00+00:00,-3.83,2014,4,12,Wednesday
58.3,USD,2014-12-31 09:45:00,60.2,worse,Medium,Chicago PMI,60.8,accurate,52,2014-12-31 14:45:00+00:00,3.16,2014,4,12,Wednesday
0.8%,USD,2014-12-31 10:00:00,0.6%,better,Medium,Pending Home Sales m/m,-1.2%,accurate,52,2014-12-31 15:00:00+00:00,-33.33,2014,4,12,Wednesday
-1.8M,USD,2014-12-31 10:30:00,0.2M,accurate,Medium,Crude Oil Inventories,7.3M,accurate,52,2014-12-31 15:30:00+00:00,1000.0,2014,4,12,Wednesday
-26B,USD,2014-12-31 12:00:00,-37B,accurate,Low,Natural Gas Storage,-49B,accurate,52,2014-12-31 17:00:00+00:00,-29.73,2014,4,12,Wednesday
4.93M,USD,2014-12-22 10:00:00,5.21M,worse,Medium,Existing Home Sales,5.25M,accurate,52,2014-12-22 15:00:00+00:00,5.37,2014,4,12,Monday
-0.4%,USD,2014-12-23 08:30:00,1.1%,worse,High,Core Durable Goods Orders m/m,-1.1%,worse,52,2014-12-23 13:30:00+00:00,136.36,2014,4,12,Tuesday
5.0%,USD,2014-12-23 08:30:00,4.3%,better,High,Final GDP q/q,3.9%,accurate,52,2014-12-23 13:30:00+00:00,-16.28,2014,4,12,Tuesday
-0.7%,USD,2014-12-23 08:30:00,3.0%,worse,Medium,Durable Goods Orders m/m,0.3%,accurate,52,2014-12-23 13:30:00+00:00,123.33,2014,4,12,Tuesday
1.4%,USD,2014-12-23 08:30:00,1.4%,accurate,Low,Final GDP Price Index q/q,1.4%,accurate,52,2014-12-23 13:30:00+00:00,0.0,2014,4,12,Tuesday
0.6%,USD,2014-12-23 09:00:00,0.3%,better,Low,HPI m/m,0.0%,accurate,52,2014-12-23 14:00:00+00:00,-100.0,2014,4,12,Tuesday
93.6,USD,2014-12-23 09:55:00,93.5,accurate,Medium,Revised UoM Consumer Sentiment,93.8,accurate,52,2014-12-23 14:55:00+00:00,-0.11,2014,4,12,Tuesday
7,USD,2014-12-23 09:59:00,8,worse,Low,Richmond Manufacturing Index,4,accurate,52,2014-12-23 15:00:00+00:00,12.5,2014,4,12,Tuesday
438K,USD,2014-12-23 10:00:00,461K,worse,High,New Home Sales,445K,worse,52,2014-12-23 15:00:00+00:00,4.99,2014,4,12,Tuesday
0.0%,USD,2014-12-23 10:00:00,0.1%,worse,Medium,Core PCE Price Index m/m,0.2%,accurate,52,2014-12-23 15:00:00+00:00,100.0,2014,4,12,Tuesday
0.6%,USD,2014-12-23 10:00:00,0.5%,better,Medium,Personal Spending m/m,0.3%,better,52,2014-12-23 15:00:00+00:00,-20.0,2014,4,12,Tuesday
0.4%,USD,2014-12-23 10:00:00,0.6%,worse,Low,Personal Income m/m,0.3%,better,52,2014-12-23 15:00:00+00:00,33.33,2014,4,12,Tuesday
280K,USD,2014-12-24 08:30:00,291K,better,High,Unemployment Claims,289K,accurate,52,2014-12-24 13:30:00+00:00,3.78,2014,4,12,Wednesday
7.3M,USD,2014-12-24 10:30:00,-2.4M,accurate,Medium,Crude Oil Inventories,-0.8M,accurate,52,2014-12-24 15:30:00+00:00,-404.17,2014,4,12,Wednesday
-49B,USD,2014-12-24 12:00:00,-81B,accurate,Low,Natural Gas Storage,-64B,accurate,52,2014-12-24 17:00:00+00:00,-39.51,2014,4,12,Wednesday
-3.6,USD,2014-12-15 08:30:00,12.1,worse,Medium,Empire State Manufacturing Index,10.2,accurate,51,2014-12-15 13:30:00+00:00,129.75,2014,4,12,Monday
80.1%,USD,2014-12-15 09:15:00,79.4%,better,Medium,Capacity Utilization Rate,79.3%,better,51,2014-12-15 14:15:00+00:00,-0.88,2014,4,12,Monday
1.3%,USD,2014-12-15 09:15:00,0.8%,better,Medium,Industrial Production m/m,0.1%,better,51,2014-12-15 14:15:00+00:00,-62.5,2014,4,12,Monday
57,USD,2014-12-15 10:00:00,59,worse,Medium,NAHB Housing Market Index,58,accurate,51,2014-12-15 15:00:00+00:00,3.39,2014,4,12,Monday
-1.4B,USD,2014-12-15 16:00:00,72.8B,worse,Low,TIC Long-Term Purchases,164.3B,accurate,51,2014-12-15 21:00:00+00:00,101.92,2014,4,12,Monday
1.04M,USD,2014-12-16 08:30:00,1.06M,accurate,High,Building Permits,1.09M,accurate,51,2014-12-16 13:30:00+00:00,1.89,2014,4,12,Tuesday
1.03M,USD,2014-12-16 08:30:00,1.04M,accurate,Medium,Housing Starts,1.05M,better,51,2014-12-16 13:30:00+00:00,0.96,2014,4,12,Tuesday
53.7,USD,2014-12-16 09:45:00,56.1,worse,Medium,Flash Manufacturing PMI,54.8,accurate,51,2014-12-16 14:45:00+00:00,4.28,2014,4,12,Tuesday
-0.3%,USD,2014-12-17 08:30:00,-0.1%,worse,High,CPI m/m,0.0%,accurate,51,2014-12-17 13:30:00+00:00,200.0,2014,4,12,Wednesday
0.1%,USD,2014-12-17 08:30:00,0.1%,accurate,High,Core CPI m/m,0.2%,accurate,51,2014-12-17 13:30:00+00:00,0.0,2014,4,12,Wednesday
-100B,USD,2014-12-17 08:30:00,-98B,accurate,Medium,Current Account,-98B,accurate,51,2014-12-17 13:30:00+00:00,2.04,2014,4,12,Wednesday
-0.8M,USD,2014-12-17 10:30:00,-2.6M,accurate,Medium,Crude Oil Inventories,1.5M,accurate,51,2014-12-17 15:30:00+00:00,-69.23,2014,4,12,Wednesday
<0.25%,USD,2014-12-17 14:00:00,<0.25%,accurate,High,Federal Funds Rate,<0.25%,accurate,51,2014-12-17 19:00:00+00:00,0.0,2014,4,12,Wednesday
289K,USD,2014-12-18 08:30:00,297K,better,High,Unemployment Claims,295K,accurate,51,2014-12-18 13:30:00+00:00,2.69,2014,4,12,Thursday
53.6,USD,2014-12-18 09:45:00,57.1,worse,Low,Flash Services PMI,56.2,accurate,51,2014-12-18 14:45:00+00:00,6.13,2014,4,12,Thursday
24.5,USD,2014-12-18 10:00:00,26.3,worse,High,Philly Fed Manufacturing Index,40.8,accurate,51,2014-12-18 15:00:00+00:00,6.84,2014,4,12,Thursday
0.6%,USD,2014-12-18 10:00:00,0.6%,accurate,Low,CB Leading Index m/m,0.6%,worse,51,2014-12-18 15:00:00+00:00,0.0,2014,4,12,Thursday
-64B,USD,2014-12-18 10:30:00,-61B,accurate,Low,Natural Gas Storage,-51B,accurate,51,2014-12-18 15:30:00+00:00,4.92,2014,4,12,Thursday
98.1,USD,2014-12-09 07:30:00,96.6,better,Low,NFIB Small Business Index,96.1,accurate,50,2014-12-09 12:30:00+00:00,-1.55,2014,4,12,Tuesday
4.83M,USD,2014-12-09 10:00:00,4.81M,accurate,Medium,JOLTS Job Openings,4.69M,accurate,50,2014-12-09 15:00:00+00:00,-0.42,2014,4,12,Tuesday
0.4%,USD,2014-12-09 10:00:00,0.1%,worse,Low,Final Wholesale Inventories m/m,0.4%,worse,50,2014-12-09 15:00:00+00:00,-300.0,2014,4,12,Tuesday
48.4,USD,2014-12-09 10:00:00,47.2,better,Low,IBD/TIPP Economic Optimism,46.4,accurate,50,2014-12-09 15:00:00+00:00,-2.54,2014,4,12,Tuesday
1.5M,USD,2014-12-10 10:30:00,-2.6M,accurate,Medium,Crude Oil Inventories,-3.7M,accurate,50,2014-12-10 15:30:00+00:00,-157.69,2014,4,12,Wednesday
-56.8B,USD,2014-12-10 14:00:00,-68.3B,better,Low,Federal Budget Balance,-121.7B,accurate,50,2014-12-10 19:00:00+00:00,-16.84,2014,4,12,Wednesday
0.5%,USD,2014-12-11 08:30:00,0.1%,better,High,Core Retail Sales m/m,0.4%,better,50,2014-12-11 13:30:00+00:00,-400.0,2014,4,12,Thursday
