,datetime,new_id,forecast_error_ratio,forecast_error_ratio_zscore,previous_error_ratio,total_error_ratio,total_error_ratio_zscore,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,Low,Medium,num_news
1302,2009-07-29 10:30:00,18,-1127.28,-3.530988675845834,0.0,-1127.28,-3.530988675845834,2,0,0,2,0,0,0,0,1,1
1303,2009-07-30 08:30:00,69,-5.76,-2.8812761596861023,-2.7,-8.459999999999999,-3.0832984599250306,0,0,3,0,0,3,1,0,0,1
1304,2009-07-30 10:30:00,46,0.0,-0.5078727203297463,0.0,0.0,-0.5078727203297463,1,0,0,1,0,0,0,1,0,1
1306,2009-07-31 09:45:00,10,4.24,0.5614019475257126,0.0,4.24,0.5614019475257126,0,2,0,2,0,0,0,0,1,1
1307,2009-08-03 01:00:00,67,10.89,1.1657127416273405,0.0,10.89,1.1657127416273405,0,1,0,1,0,0,0,1,0,1
1310,2009-08-04 10:00:00,50,1500.0,-1.7403032015936613,2100.0,3600.0,-0.38887944673039065,0,3,0,0,3,0,1,0,0,1
1311,2009-08-05 08:15:00,0,-17.1,-0.382209667724713,6.33,-10.770000000000001,-0.11980461728988803,0,0,3,0,3,0,1,0,0,1
1313,2009-08-05 10:30:00,18,-177.78,0.2576730997655145,0.0,-177.78,0.2576730997655145,2,0,0,2,0,0,0,0,1,1
1314,2009-08-06 08:30:00,69,18.9,2.249617805195335,-2.04,16.86,2.19041056385582,0,3,0,3,0,0,1,0,0,1
1315,2009-08-06 10:30:00,46,-10.0,-1.2196528496519208,0.0,-10.0,-1.2196528496519208,1,0,0,1,0,0,0,1,0,1
1317,2009-08-07 15:00:00,12,-157.5,-0.2242392044360439,-68.75,-226.25,-0.8642666126412502,0,0,1,0,0,1,0,1,0,1
1320,2009-08-12 08:30:00,68,14.79,-1.6000559917018569,0.0,14.79,-1.2958721463096952,0,3,0,3,0,0,1,0,0,1
1321,2009-08-12 10:30:00,18,-514.28,-0.6779615294584002,0.0,-514.28,-0.6779615294584002,2,0,0,2,0,0,0,0,1,1
