,datetime,new_id,impact,forecast_error_ratio_zscore,total_error_ratio_zscore,num_news,pips_agg_30,pips_agg_60
57,2017-04-05 08:15:00,0,['High'],0.26781148338694405,-0.15054177390042606,1,13,18
58,2017-04-05 10:00:00,13,['High'],-1.4187734449571816,-1.4187734449571812,1,0,2
59,2017-04-05 10:30:00,9,['High'],-1.6456683460779316,-1.6456683460779316,1,2,1
60,2017-04-06 08:30:00,20,['High'],1.3646966025069285,1.2725695503457874,1,2,2
61,2017-04-07 08:30:00,14_21_2,"['High', 'High', 'High']",-0.07429154587639553,-0.026095756233734058,3,13,14
62,2017-04-12 10:30:00,9,['High'],0.6532537271093921,0.6532537271093921,1,7,4
63,2017-04-13 08:30:00,20_15,"['High', 'High']",-0.9849266990901581,-1.0079782821768732,2,1,2
64,2017-04-13 10:00:00,18,['High'],0.18127579240411346,-0.1971630622849964,1,2,6
65,2017-04-14 08:30:00,8_19_6_5,"['High', 'High', 'High', 'High']",-5.753674908832103,-6.330291200372583,4,16,16
66,2017-04-18 08:30:00,3,['High'],-0.09591497934890088,-0.380100624945062,1,8,4
67,2017-04-19 10:30:00,9,['High'],0.4161909276417622,0.4161909276417622,1,2,0
68,2017-04-20 08:30:00,20_16,"['High', 'High']",-1.1018478528414322,-1.0158973514341556,2,3,18
69,2017-04-25 10:00:00,4,['High'],-1.1154823384337085,-1.1355997813034375,1,26,28
70,2017-04-26 10:30:00,9,['High'],0.5786086313211423,0.5786086313211423,1,17,18
71,2017-04-27 08:30:00,20_7,"['High', 'High']",-2.0403692633670305,-2.352039432378002,2,6,9
72,2017-04-28 08:30:00,1,['High'],-0.7669860204161791,-1.4776806607741282,1,15,16
73,2017-05-01 10:00:00,12,['High'],-1.6261649763657988,-1.6261649763657988,1,13,5
74,2017-05-03 08:15:00,0,['High'],-0.8869831957035353,-0.8575574289210519,1,0,2
75,2017-05-03 10:00:00,13,['High'],0.9514296597173484,0.951429659717348,1,2,3
76,2017-05-03 10:30:00,9,['High'],0.2382565146653727,0.2382565146653727,1,5,2
77,2017-05-03 14:00:00,10,['High'],0.0,0.0,1,18,9
78,2017-05-04 08:30:00,20,['High'],0.4175556342871043,0.46045727572003203,1,12,3
79,2017-05-05 08:30:00,14_21_2,"['High', 'High', 'High']",1.65138639534145,0.13564658117296424,3,18,15
80,2017-05-10 10:30:00,9,['High'],0.4027587283260787,0.4027587283260787,1,4,9
81,2017-05-11 08:30:00,20_15,"['High', 'High']",1.0390300464289852,1.0786344441330484,2,3,11
82,2017-05-12 08:30:00,8_19_6_5,"['High', 'High', 'High', 'High']",-0.8273473744264513,1.0012206192275874,4,34,46
83,2017-05-16 08:30:00,3,['High'],-0.7667190010231311,-0.8872569799959484,1,22,18
84,2017-05-17 10:30:00,9,['High'],-0.659618508100314,-0.659618508100314,1,7,3
85,2017-05-18 08:30:00,20,['High'],0.6401266023781065,0.6452684533388646,1,26,20
86,2017-05-24 10:30:00,9,['High'],0.07460463001214808,0.07460463001214808,1,5,13
87,2017-05-25 08:30:00,20,['High'],0.14228950932830606,0.046872678942624514,1,4,3
88,2017-05-26 08:30:00,7_17,"['High', 'High']",0.5898251745240779,0.5429933552152909,2,13,25
89,2017-05-30 10:00:00,4,['High'],-0.6482424918537316,-0.6804444627623895,1,5,14
90,2017-06-01 08:15:00,0,['High'],0.03976445733596423,0.1851155815535292,1,5,1
91,2017-06-01 08:30:00,20,['High'],-1.7336182216497018,-1.7130920088472437,1,7,6
92,2017-06-01 10:00:00,12,['High'],-0.24639976497877944,-0.24639976497877944,1,2,3
93,2017-06-01 11:00:00,9,['High'],0.7938643761621539,0.7938643761621539,1,8,12
94,2017-06-02 08:30:00,14_21_2,"['High', 'High', 'High']",0.14377729197561906,-0.8951115442692164,3,54,50
95,2017-06-05 10:00:00,13,['High'],0.08678811321920424,0.08678811321920421,1,2,1
96,2017-06-07 10:30:00,9,['High'],-1.5667995533183232,-1.5667995533183232,1,0,8
97,2017-06-08 08:30:00,20,['High'],-0.7108853375012909,-1.1002745923600743,1,6,10
98,2017-06-13 08:30:00,15,['High'],-0.5813183589761807,-0.5813183589761807,1,9,13
99,2017-06-14 08:30:00,8_19_6_5,"['High', 'High', 'High', 'High']",-3.231171112880061,-2.5130014246322134,4,59,66
100,2017-06-14 10:30:00,9,['High'],-0.13699302727708548,-0.13699302727708548,1,3,1
101,2017-06-14 14:00:00,10,['High'],0.0,0.0,1,22,55
102,2017-06-15 08:30:00,20,['High'],0.489171163895372,0.5961684577684795,1,12,15
103,2017-06-16 08:30:00,3,['High'],-1.0541949610728545,-1.0596194335133775,1,0,4
104,2017-06-21 10:30:00,9,['High'],0.6343455945458005,0.6343455945458005,1,0,0
105,2017-06-22 08:30:00,20,['High'],0.1795758638386206,0.27836304020573,1,8,13
106,2017-06-26 08:30:00,7,['High'],0.40125152400373104,0.02765241227890861,1,23,22
107,2017-06-27 10:00:00,4,['High'],0.03135385471652531,0.06135009884592299,1,10,2
108,2017-06-28 10:30:00,9,['High'],-0.5992486956152008,-0.5992486956152008,1,13,22
109,2017-06-29 08:30:00,20_11,"['High', 'High']",1.5164711170065817,0.7153864595274103,2,3,4
110,2017-07-03 10:00:00,12,['High'],1.347697694700161,1.347697694700161,1,6,4
111,2017-07-06 08:15:00,0,['High'],-1.2716937491715166,-1.2539775940206754,1,1,1
112,2017-07-06 08:30:00,20,['High'],-0.9274574393749752,-0.2973522444805423,1,1,2
113,2017-07-06 10:00:00,13,['High'],0.4159546979383128,0.41595469793831263,1,5,5
114,2017-07-06 11:00:00,9,['High'],1.1620922510142568,1.1620922510142568,1,0,2
115,2017-07-07 08:30:00,14_21_2,"['High', 'High', 'High']",-1.5316642510613074,-1.3671996518728977,3,9,13
116,2017-07-12 10:30:00,9,['High'],0.7103694881789079,0.7103694881789079,1,20,17
117,2017-07-13 08:30:00,20_15,"['High', 'High']",0.01718917845545115,-0.2851650494397936,2,2,3
